Band Number,Original Date,Original Site,Species,Original Sex,Original Age,Recapture Year,Recapture 1,Recapture 2,Recapture 3,Recapture 4,Recapture 5,Recapture 6,Recapture 7,Recapture 8,Recapture 9,Recapture 10,Recapture 11,Recapture 12,Recapture 13,Recapture 14,Recapture 15,Recapture 16,Recapture 17,Recapture 18,Comments
5000-11529,6/1/2003,MCGC,BTLH,M,AHY,2005,5/13 3.5g,5/15 3.3g,5/16 3.3g,,,,,,,,,,,,,,,,
5000-11536,6/4/2003,MCGC,BTLH,F,AHY,2005,6/10 3.5g,6/12 3.4g E6,,,,,,,,,,,,,,,,,
5000-11543,6/4/2003,MCGC,BTLH,F,AHY,2005,6/13 3.6g E6,6/18 3.4g,7/31 3.9g,,,,,,,,,,,,,,,,"Jul, r3 Lt wear"
5000-11554,6/5/2003,MCGC,BTLH,F,AHY,2005,8/1 4.3g,,,,,,,,,,,,,,,,,,"Aug, LTW"
5000-11558,6/12/2003,MCGC,BTLH,F,AHY,2005,5/17 3.4g,5/18 3.4g,6/12 3.7g E7,6/13 n.w.,6/18 3.6g,7/8 3.5g,7/19 3.5g,7/25 3.5g,,,,,,,,,,,"Jul, HTW"
5000-11591,6/15/2003,MCGC,BTLH,M,AHY,2005,5/16 3.4g,,,,,,,,,,,,,,,,,,
5000-11593,6/15/2003,MCGC,BTLH,F,AHY,2005,5/14 3.4g,6/13 3.4g,,,,,,,,,,,,,,,,,
5000-11601,6/15/2003,MCGC,BTLH,F,AHY,2005,6/13 3.4g,7/10 3.4g E6,,,,,,,,,,,,,,,,,
5000-11632,6/22/2003,MCGC,BTLH,M,AHY,2005,5/15 3.1g,5/16 3.3g 7x,5/17 3.3g 5x,5/18 3.2g 2x,5/19 3.2g,6/13 3.1g,,,,,,,,,,,,,
5000-11633,6/22/2003,MCGC,BTLH,M,AHY,2005,5/14 3.2g 2x,,,,,,,,,,,,,,,,,,
5000-11635,6/22/2003,MCGC,BTLH,F,AHY,2005,6/12 3.8g E6,6/13 3.6g,,,,,,,,,,,,,,,,,
5000-11639,6/22/2003,MCGC,BTLH,M,AHY,2005,5/13 3.4g,5/14 3.2g,5/15 3.2g,5/16 3.1g 3x,5/19 3.1g,5/23 3.1g,5/25 3.2g,5/31 3.3g,6/2 3.2g,,,,,,,,,,
5000-11657,6/28/2003,MCGC,BTLH,F,AHY,2005,6/12 3.8g E6,6/13 3.4g,7/14 4.1g,7/21 3.5g,,,,,,,,,,,,,,,
5000-11665,7/3/2003,MCGC,BTLH,M,AHY,2005,5/13 3.5g,5/14 3.4g,5/15 3.3g,5/16 3.3g 3x,5/19 3.3g,,,,,,,,,,,,,,
5000-11679,7/5/2003,MCGC,BTLH,M,AHY,2005,5/16 3.3g,,,,,,,,,,,,,,,,,,
5000-11693,7/6/2003,MCGC,BTLH,M,AHY,2005,7/10 3.5g,,,,,,,,,,,,,,,,,,
5000-11698,7/6/2003,CC2,BTLH,F,AHY,2005,8/7 3.9g,,,,,,,,,,,,,,,,,,
5000-11709,7/7/2003,MCGC,BTLH,M,AHY,2005,5/15 3.3g,,,,,,,,,,,,,,,,,,
5000-11723,7/10/2003,MCGC,BTLH,F,AHY,2005,7/26 3.5g,,,,,,,,,,,,,,,,,,"Jul, HTW"
5000-11732,7/11/2003,MCGC,BTLH,F,AHY,2005,6/12 4.1 E7,7/26 4.2g,7/31 4.1g,,,,,,,,,,,,,,,,"Jul, MTW"
5000-11738,7/11/2003,MCGC,BTLH,F,AHY,2005,5/14 4.0g E6,5/15 4.4g E8,5/16 4.1g E8,,,,,,,,,,,,,,,,
5000-11749,7/11/2003,MCGC,BTLH,M,AHY,2005,5/19 3.2g,,,,,,,,,,,,,,,,,,
5000-11757,7/12/2003,MCGC,BTLH,F,AHY,2005,7/8 3.2g,7/10 3.4g E6,,,,,,,,,,,,,,,,,
5000-11778,7/14/2003,MCGC,BTLH,F,AHY,2005,5/16 3.4 E6-,,,,,,,,,,,,,,,,,,
5000-29248,7/25/2003,MCGC,BTLH,M,AHY,2005,5/15 3.3g 2x,5/16 3.4 3x,5/17 3.3g,6/12 3.0g,,,,,,,,,,,,,,,
5000-29260,7/26/2003,MCGC,BTLH,M,AHY,2005,5/17 3.6g,,,,,,,,,,,,,,,,,,
5000-29290,7/28/2003,MP1,BTLH,F,AHY,2005,6/11 3.3g E6,7/7 3.6g,,,,,,,,,,,,,,,,,
5000-29291,7/28/2003,MP1,BTLH,F,AHY,2005,6/18 3.8g E8,,,,,,,,,,,,,,,,,,
5000-29292,7/28/2003,MP1,BTLH,F,AHY,2005,6/18 3.7g,,,,,,,,,,,,,,,,,,
5000-29304,8/1/2003,MCGC,BTLH,F,AHY,2005,7/12 3.7g,,,,,,,,,,,,,,,,,,
5000-29306,8/1/2003,MCGC,BTLH,F,AHY,2005,6/10 3.7g 2x,6/12 4.0g E6 2x,6/13 3.8g E6,6/18 3.7g,7/10 3.7g,,,,,,,,,,,,,,"Jul, VHTW"
5000-29348,8/4/2003,MP1,BTLH,F,AHY,2005,5/31 3.5g,,,,,,,,,,,,,,,,,,
5000-29365,8/5/2003,MCGC,BTLH,M,HY,2005,5/13 3.8g,5/14 3.5g,5/16 3.3g,,,,,,,,,,,,,,,,
5000-29369,8/5/2003,MCGC,BTLH,F,AHY,2005,5/14 3.6g,6/10 3.5g 2x,6/12 3.4g 2x,6/18 3.5g,6/21 3.4g,7/103.4g,7/11 3.3g,8/1 3.7g,,,,,,,,,,,
5000-29371,8/6/2003,MCGC,BTLH,M,HY,2005,5/13 3.3g,5/16 3.2g,,,,,,,,,,,,,,,,,
5000-29401,8/11/2003,MCGC,BTLH,M,AHY,2005,5/14 3.4g 2x,5/15 3.3g 3x,5/16 3.4g 3x,5/17 3.4g,5/18 3.5g,,,,,,,,,,,,,,
5000-29407,8/11/2003,MP1,BTLH,F,AHY,2005,5/26 4.5g E8,6/2 3.5g,6/5 3.4g,,,,,,,,,,,,,,,,
5000-29419,8/11/2003,MP1,BTLH,F,AHY,2005,6/12 3.9g E6,,,,,,,,,,,,,,,,,,
5000-29421,8/12/2003,MCGC,BTLH,F,AHY,2005,,,,,,,,,,,,,,,,,,,"Betts' residence, Devils Gulch Rd, found dead on 4 Aug 05"
4000-47660,8/17/2003,MP1,BTLH,F,AHY,2005,5/25 4.0g E6,6/1 3.6g,6/4 3.8g E6,6/5 3.4g,,,,,,,,,,,,,,,
4000-47664,8/17/2003,MP1,BTLH,F,AHY,2005,5/24 3.4g,6/2 3.3g,,,,,,,,,,,,,,,,,
4000-47673,8/18/2003,MCGC,BTLH,M,HY,2005,5/14 3.2g,,,,,,,,,,,,,,,,,,
4000-47686,8/18/2003,MP1,BTLH,F,AHY,2005,5/24 3.2g,6/29 3.4g,,,,,,,,,,,,,,,,,
4000-47688,8/18/2003,MP1,BTLH,F,AHY,2005,6/11 3.7g E7,6/13 3.6g,,,,,,,,,,,,,,,,,
4000-47693,8/18/2003,MP1,BTLH,F,HY,2005,6/12 3.9g E6,,,,,,,,,,,,,,,,,,
4000-47761,5/9/2004,MCGC,BTLH,M,AHY,2005,7/21 3.7g,,,,,,,,,,,,,,,,,,
4000-47771,5/10/2004,MCGC,BTLH,M,AHY,2005,5/17 3.8g,,,,,,,,,,,,,,,,,,
4000-47788,6/10/2004,MCGC,BTLH,F,AHY,2005,6/19 3.5g,6/21 3.6g,,,,,,,,,,,,,,,,,
4000-47789,6/10/2004,MCGC,BTLH,F,AHY,2005,7/27 3.9g,,,,,,,,,,,,,,,,,,
4000-47790,6/10/2004,MCGC,BTLH,F,AHY,2005,7/10 3.5g,7/11 3.5g,,,,,,,,,,,,,,,,,
4000-47792,6/11/2004,MCGC,BTLH,F,AHY,2005,5/14 3.4g,,,,,,,,,,,,,,,,,,
4000-47798,6/12/2004,MCGC,BTLH,M,AHY,2005,5/14 3.3g,,,,,,,,,,,,,,,,,,
5000-29451,6/14/2004,MCGC,BTLH,F,AHY,2005,6/12 3.2g,6/13 3.5g,,,,,,,,,,,,,,,,,
5000-29455,6/14/2004,MCGC,BTLH,M,AHY,2005,5/15 3.3g 2x,5/16 3.0g,,,,,,,,,,,,,,,,,
5000-29456,6/14/2004,MCGC,BTLH,F,AHY,2005,6/12 3.7g,,,,,,,,,,,,,,,,,,
5000-29471,6/16/2004,MCGC,BTLH,M,AHY,2005,5/16 3.1g,,,,,,,,,,,,,,,,,,
5000-29473,6/16/2004,MCGC,BTLH,M,AHY,2005,5/14 3.2g,5/15 3.2g 3x,5/16 3.1g 2x,5/17 3.3g 2x,5/18 3.3g 2x,5/19 3.2g 3x,6/13 3.3g,,,,,,,,,,,,
5000-29475,6/16/2004,MCGC,BTLH,F,AHY,2005,6/13 3.4g,6/18 3.2g,6/19 3.1g,6/21 3.1g,7/18 3.5g,,,,,,,,,,,,,,"Jul, NTW"
5000-29476,6/16/2004,MCGC,BTLH,F,AHY,2005,5/18 3.5g,,,,,,,,,,,,,,,,,,
5000-29478,6/16/2004,MCGC,BTLH,F,AHY,2005,8/13 3.8g,,,,,,,,,,,,,,,,,,"Aug, HTW"
5000-29482,6/18/2004,MCGC,BTLH,F,AHY,2005,5/17 3.6g,5/18 3.3g,6/13 3.8g,6/19 3.2g,,,,,,,,,,,,,,,
5000-29483,6/18/2004,MCGC,BTLH,F,AHY,2005,5/17 3.3g,,,,,,,,,,,,,,,,,,
5000-29486,6/18/2004,MCGC,BTLH,F,AHY,2005,5/13 3.5g,5/16 3.6g E6,6/05 3.6g,6-12 3.6g,6/18 3.5g,,,,,,,,,,,,,,
5000-29496,6/25/2004,KV1,BTLH,F,AHY,2005,6/27 3.5g,,,,,,,,,,,,,,,,,,
5000-29497,6/25/2004,KV1,BTLH,M,AHY,2005,6/27 3.5g,,,,,,,,,,,,,,,,,,
5000-29523,6/25/2004,GNMTN,BTLH,F,AHY,2005,7/1 3.7g,,,,,,,,,,,,,,,,,,
5000-29526,6/26/2004,MCGC,BTLH,F,AHY,2005,6/18 3.4g,6/27 3.4g,,,,,,,,,,,,,,,,,
