Band Number,Original Date,Original Site,Species,Original Sex,Original Age,Recapture Year,Recapture 1,Recapture 2,Recapture 3,Recapture 4,Recapture 5,Recapture 6,Recapture 7,Recapture 8,Recapture 9,Recapture 10,Recapture 11,Recapture 12,Recapture 13,Recapture 14,Recapture 15,Recapture 16,Recapture 17,Recapture 18,Comments
5000-11558,6/12/2003,MCGC,BTLH,F,AHY,2006,6/2 3.9g E7,6/18 3.5g E6,6/23 3.7g E6,7/5 3.7g E6,7/26 3.4g,,,,,,,,,,,,,,VHTW
5000-11566,6/13/2003,MCGC,BTLH,F,AHY,2006,6/5 3.4g,6/21 3.5g,,,,,,,,,,,,,,,,,
5000-11632,6/22/2003,MCGC,BTLH,M,AHY,2006,5/29 3.2g,6/4 3.2g,,,,,,,,,,,,,,,,,
5000-11639,6/22/2003,MCGC,BTLH,M,AHY,2006,"5/26, 3.2 g.",6/2 3.1g 2x,6/4 3.1g,6/5 3.0g,6/9 3.0g,6/13 3.2g,6/25 3.0g,7/7 3.2g,,,,,,,,,,,
5000-11657,6/28/2003,MCGC,BTLH,F,AHY,2006,7/4 3.6g,7/7 3.4g,,,,,,,,,,,,,,,,,NTW
5000-11693,7/6/2003,MCGC,BTLH,M,AHY,2006,6/7 3.3g,,,,,,,,,,,,,,,,,,
5000-11698,7/6/2003,CC2,BTLH,F,AHY,2006,7/5 3.7g at MCGC,7/31 3.7g at CC2,,,,,,,,,,,,,,,,,
5000-11723,7/10/2003,MCGC,BTLH,F,AHY,2006,7/4 3.5g,,,,,,,,,,,,,,,,,,
5000-11741,7/11/2003,MCGC,BTLH,F,AHY,2006,6/13 3.9g E6,,,,,,,,,,,,,,,,,,
5000-11757,7/12/2003,MCGC,BTLH,F,AHY,2006,6/2 3.4g,6/8 3.5g E6,6/18 3.4g,7/4 3.5g,,,,,,,,,,,,,,,
5000-11763*,7/12/2003,MCGC,BTLH,F,AHY,2006,7/27 3.6g,7/31 3.9g,8/16 3.6g,,,,,,,,,,,,,,,,*NEW: E12256
5000-11788,7/18/2003,MCGC,BTLH,F,AHY,2006,7/21 4.2g,,,,,,,,,,,,,,,,,,HTW
5000-29217,7/20/2003,MCGC,BTLH,F,AHY,2006,6/5 3.6g,6/25 3.4g,7/7 3.8g,7/13 4.9g,,,,,,,,,,,,,,,HTW
5000-29218,7/20/2003,MCGC,BTLH,F,AHY,2006,6/22 3.8g,,,,,,,,,,,,,,,,,,
5000-29290,7/28/2003,MP1,BTLH,F,AHY,2006,"5/20, 3.4g.",6/13 3.7g,6/23 3.6g E6-,,,,,,,,,,,,,,,,
5000-29292,7/28/2003,MP1,BTLH,F,AHY,2006,6/9 3.5g,,,,,,,,,,,,,,,,,,
5000-29317,8/2/2003,MCGC,BTLH,F,AHY,2006,7/4 3.5g,,,,,,,,,,,,,,,,,,HTW
5000-29396,8/11/2003,MCGC,BTLH,M,AHY,2006,6/5 3.2g,6/9 3.3g,6/16 3.3g,7/6 3.0g,7/7 3.4g,,,,,,,,,,,,,,
5000-29449,8/16/2003,MCGC,BTLH,M,AHY,2006,6/13 3.2g,,,,,,,,,,,,,,,,,,
4000-47664,8/17/2003,MP1,BTLH,F,AHY,2006,9/7 4.6g,,,,,,,,,,,,,,,,,,HTW
4000-47686*,8/18/2003,MP1,BTLH,F,AHY,2006,"5/13, 3.6 g.",7/15 3.4g,,,,,,,,,,,,,,,,,*NEW: E12075
4000-47780,6/2/2004,MCGC,BTLH,F,AHY,2006,6/8 3.8g E8,7/24 3.9g,7/27 4.0g,7/31 3.8g,8/3 3.9g,8/4 3.6g,8/12 3.4g,8/27 3.5g,,,,,,,,,,,
4000-47796,6/12/2004,MCGC,BTLH,F,AHY,2006,6/7 3.5g,6/14 3.7g,6/16 3.5g E6,,,,,,,,,,,,,,,,
5000-29451,6/14/2004,MCGC,BTLH,F,AHY,2006,6/2 3.5g,6/5 3.3g,6/13 3.6g,,,,,,,,,,,,,,,,
5000-29452,6/14/2004,MCGC,BTLH,F,AHY,2006,6/15 3.7g,,,,,,,,,,,,,,,,,,
5000-29473,6/16/2004,MCGC,BTLH,M,AHY,2006,6/3 3.1g,6/23 3.2g,6/25 3.1g,7/7 3.2g,7/8 3.0g,,,,,,,,,,,,,,
5000-29482,6/18/2004,MCGC,BTLH,F,AHY,2006,6/6 4.1g,6/25 3.8g,8/1 3.6g,,,,,,,,,,,,,,,,
5000-29484,6/18/2004,MCGC,BTLH,F,AHY,2006,8/16 3.3g,,,,,,,,,,,,,,,,,,
5000-29486,6/18/2004,MCGC,BTLH,F,AHY,2006,5/29 3.5g,6/5 3.2g,7/13 4.0g E8,7/17 3.7g,7/18 3.9g E8,7/19 3.4g,7/27 3.7g,,,,,,,,,,,,
5000-29497,6/25/2004,KV1,BTLH,M,AHY,2006,6/17 3.2g,,,,,,,,,,,,,,,,,,
5000-29498,6/25/2004,KV1,BTLH,F,AHY,2006,6/8 3.8g E7,,,,,,,,,,,,,,,,,,
5000-29500,6/25/2004,KV1,BTLH,F,AHY,2006,6/17 3.6g,,,,,,,,,,,,,,,,,,
5000-29523,6/25/2004,GNMTN,BTLH,F,AHY,2006,6/17 3.5g,6/24 3.6g E7,,,,,,,,,,,,,,,,,
5000-29526,6/26/2004,MCGC,BTLH,F,AHY,2006,7/20 3.7g at CC3,7/28 4.0g,8/1 3.8g,8/3 3.4g,8/18 3.4g,,,,,,,,,,,,,,HTW
5000-29530,6/28/2004,MCGC,BTLH,F,AHY,2006,7/21 4.4g,8/7 3.7g,8/26 3.5g,,,,,,,,,,,,,,,,HTW
5000-29531,6/28/2004,MCGC,BTLH,M,AHY,2006,6/8 3.3g,,,,,,,,,,,,,,,,,,
5000-29547,7/6/2004,GNMTN,BTLH,F,AHY,2006,6/17 3.4g E7,,,,,,,,,,,,,,,,,,
5000-29551,7/6/2004,GNMTN,BTLH,F,AHY,2006,7/25 3.5g,,,,,,,,,,,,,,,,,,
5000-29552,7/6/2004,GNMTN,BTLH,F,AHY,2006,6/24 3.7g,,,,,,,,,,,,,,,,,,
5000-29555,7/6/2004,KV1,BTLH,F,AHY,2006,6/17 4.1g E9,,,,,,,,,,,,,,,,,,
5000-29557,7/6/2004,KV1,BTLH,M,AHY,2006,6/24 3.2g,,,,,,,,,,,,,,,,,,
5000-29561,7/6/2004,KV1,BTLH,F,AHY,2006,6/17 3.4g,,,,,,,,,,,,,,,,,,
5000-29564,7/6/2004,KV1,BTLH,F,AHY,2006,6/30 3.6g E6,,,,,,,,,,,,,,,,,,
5000-29595,7/12/2004,CC2,BTLH,F,AHY,2006,7/17 3.4g at CC3,,,,,,,,,,,,,,,,,,
5000-29606,7/13/2004,KV1,BTLH,F,AHY,2006,6/8 3.5g,,,,,,,,,,,,,,,,,,
5000-29608,7/13/2004,GNMTN,BTLH,F,AHY,2006,6/30 3.2g,,,,,,,,,,,,,,,,,,
5000-29613,7/13/2004,GNMTN,BTLH,F,AHY,2006,6/24 3.7 E7,,,,,,,,,,,,,,,,,,
5000-29635,7/15/2004,MCGC,BTLH,M,AHY,2006,6/5 3.2g,6/9 3.7g,,,,,,,,,,,,,,,,,
5000-29660,7/19/2004,MCGC,BTLH,M,AHY,2006,"5/9, 3.4g","5/14, 3.2 g.",,,,,,,,,,,,,,,,,
5000-29676,7/18/2004,GNMTN,BTLH,F,AHY,2006,6/17 3.7g E7,,,,,,,,,,,,,,,,,,
5000-29687,7/19/2004,MCGC,BTLH,F,AHY,2006,6/16 3.5g,,,,,,,,,,,,,,,,,,
5000-96616,7/22/2004,KV1,BTLH,F,AHY,2006,6/17 3.8g E7,,,,,,,,,,,,,,,,,,
5000-96639,7/24/2004,MCGC,BTLH,F,AHY,2006,6/18 3.5g,6/22 3.7g,7/27 3.4g,8/8 3.6g,,,,,,,,,,,,,,,
5000-96640,7/24/2004,MCGC,BTLH,F,AHY,2006,6/6 3.5g,6/9 4.0g,,,,,,,,,,,,,,,,,
5000-96650,7/25/2004,MCGC,BTLH,F,AHY,2006,6/5 3.5g,6/22 3.5g,7/6 3.7g,8/1 3.4g,,,,,,,,,,,,,,,HTW
5000-96665,7/26/2004,MCGC,BTLH,F,AHY,2006,6/5 3.5g,7/18 3.5g,,,,,,,,,,,,,,,,,MTW
5000-96678,7/26/2004,MP1,BTLH,F,AHY,2006,6/3 3.7g,,,,,,,,,,,,,,,,,,
5000-96679,7/26/2004,MP1,BTLH,F,AHY,2006,8/16 3.8g,,,,,,,,,,,,,,,,,,VHTW
5000-96683,7/26/2004,MP1,BTLH,F,AHY,2006,6/13 3.4g,8/28 3.3g,,,,,,,,,,,,,,,,,LTW
5000-96693,7/27/2004,MCGC,BTLH,F,AHY,2006,6/6 3.4g,6/7 3.6g,6/9 3.6g,7/27 4.0g,8/8 3.8g,8/21 3.4g,9/2 3.7g,,,,,,,,,,,,HTW
5000-96714,8/3/2004,MCGC,BTLH,F,HY,2006,6/5 4.0g,6/7 3.5g,6/13 3.4g,6/14 3.4g,6/15 3.4g,7/7 3.7g,7/8 3.8g,7/17 3.6g,,,,,,,,,,,MTW
5000-96722,8/5/2004,GNMTN,BTLH,F,AHY,2006,6/24 3.7g,7/25 3.9g,,,,,,,,,,,,,,,,,L-MTW
5000-96732,8/6/2004,MP1,BTLH,F,AHY,2006,6/3 3.6g E7,6/13 3.7g E7,,,,,,,,,,,,,,,,,
5000-96734,8/6/2004,MP1,BTLH,F,AHY,2006,7/12 3.7 E8,,,,,,,,,,,,,,,,,,HTW
5000-96737,8/6/2004,MP1,BTLH,F,AHY,2006,6/4 3.9g E9,,,,,,,,,,,,,,,,,,HTW
5000-96754,8/7/2004,MP1,BTLH,F,AHY,2006,6/7 n.w .,,,,,,,,,,,,,,,,,,
5000-96762,8/7/2004,MP1,BTLH,F,AHY,2006,6/23 n.w .,,,,,,,,,,,,,,,,,,
5000-96770,8/7/2004,MP1,BTLH,F,AHY,2006,6/13 3.5g,,,,,,,,,,,,,,,,,,
5000-96783,8/8/2004,MCGC,BTLH,F,AHY,2006,7/7 3.2g,,,,,,,,,,,,,,,,,,
5000-96822,8/11/2004,MP1,BTLH,F,AHY,2006,6/7 3.5g,,,,,,,,,,,,,,,,,,
5000-96824,8/12/2004,GNMTN,BTLH,F,AHY,2006,6/17 3.6 E7,7/4 3.9g,7/25 3.5g,,,,,,,,,,,,,,,,HTW
5000-96829,8/12/2004,KV1,BTLH,F,AHY,2006,6/24 4.2g E9,,,,,,,,,,,,,,,,,,
5000-96838,8/13/2004,MP1,BTLH,F,AHY,2006,6/13 n.w .,,,,,,,,,,,,,,,,,,
5000-96839,8/13/2004,MP1,BTLH,F,AHY,2006,7/15 4.4g,,,,,,,,,,,,,,,,,,MTW
5000-96852,8/14/2004,MCGC,BTLH,M,HY,2006,5/5 3.1g 2x,6/9 3.1g,6/13 3.1g,6/23 3.1g,7/4 3.2g,7/7 3.1g 2x,7/16 3.3g 2x,,,,,,,,,,,,
5000-96858,8/14/2004,MP1,BTLH,F,AHY,2006,5/26 3.6g,,,,,,,,,,,,,,,,,,
5000-96861,8/14/2004,MP1,BTLH,F,AHY,2006,"5/26, 3.6 g.",,,,,,,,,,,,,,,,,,
5000-96868,8/14/2004,MP1,BTLH,F,AHY,2006,6/7 3.2g,,,,,,,,,,,,,,,,,,
5000-96872,8/14/2004,MP1,BTLH,F,AHY,2006,6/7 3.9g,6/13 3.7g E6,,,,,,,,,,,,,,,,,
5000-96892,8/16/2004,MCGC,BTLH,F,AHY,2006,7/27 3.8g,,,,,,,,,,,,,,,,,,HTW
5000-96894,8/16/2004,MCGC,BTLH,F,AHY,2006,5/29 3.7g E6,6/2 4.2g,6/4 3.5g,6/13 3.6g,8/19 3.9g,,,,,,,,,,,,,,LTW
5000-96940,8/21/2004,MP1,BTLH,F,AHY,2006,6/23 3.5g,,,,,,,,,,,,,,,,,,
