Band Number,Original Date,Original Site,Species,Original Sex,Original Age,Recapture Year,Recapture 1,Recapture 2,Recapture 3,Recapture 4,Recapture 5,Recapture 6,Recapture 7,Recapture 8,Recapture 9,Recapture 10,Recapture 11,Recapture 12,Recapture 13,Recapture 14,Recapture 15,Recapture 16,Recapture 17,Comments
9000-39054,06/09/07,MCGC,BTLH,M,AHY,2007,"6/18, 3.4g","7/19, n.w.",,,,,,,,,,,,,,,,
9000-39058,06/09/07,MP1,BTLH,M,AHY,2007,"7/18, 3.7g",,,,,,,,,,,,,,,,,
9000-39061,06/12/07,MCGC,BTLH,M,AHY,2007,"6/30, 3.6g","7/9, 3.5g",,,,,,,,,,,,,,,,
9000-39062,06/12/07,MCGC,BTLH,M,AHY,2007,"7/2, 3.5g",,,,,,,,,,,,,,,,,
9000-39065,06/12/07,MP1,BTLH,M,AHY,2007,"7/31, 3.7g at HPK1",,,,,,,,,,,,,,,,,
9000-39066,06/12/07,MP1,BTLH,M,AHY,2007,"6/19, 3.1g",,,,,,,,,,,,,,,,,
9000-39068,06/13/07,GNMTN,BTLH,M,AHY,2007,"6/20, 3.2g","6/29, 3.3g",,,,,,,,,,,,,,,,
9000-39070,06/14/07,MCGC,BTLH,M,AHY,2007,"6/28, 3.2g",,,,,,,,,,,,,,,,,
9000-39071,06/14/07,MCGC,BTLH,M,AHY,2007,"6/14, 3.4g","6/23, 3.3g","8/14, 3.7g",,,,,,,,,,,,,,,
9000-39072,06/14/07,MCGC,BTLH,M,AHY,2007,"6/21, 3.3g","6/23, 3.3g","7/9, 3.3g","7/18, 3.6g",,,,,,,,,,,,,,
9000-39073,06/14/07,MCGC,BTLH,M,AHY,2007,"7/2, 3.1g",,,,,,,,,,,,,,,,,
9000-39075,06/17/07,MCGC,BTLH,M,AHY,2007,"7/30, 3.6g","8/9, 3.7g",,,,,,,,,,,,,,,,
9000-39077,06/17/07,MCGC,BTLH,M,AHY,2007,"6/28, 3.1g","7/1, 3.1g",,,,,,,,,,,,,,,,
9000-39084,06/18/07,MCGC,BTLH,M,AHY,2007,"7/14, 3.8g",,,,,,,,,,,,,,,,,
9000-39086,06/18/07,MCGC,BTLH,M,AHY,2007,"7/1, 3.1g",,,,,,,,,,,,,,,,,
9000-39103,06/20/07,KV1,BTLH,M,AHY,2007,6/20 again,,,,,,,,,,,,,,,,,
9000-39105,06/21/07,MCGC,BTLH,M,AHY,2007,"6/28, 3.3g","7/1, 3.0g","7/17, 3.2g","7/18, 3.5g",,,,,,,,,,,,,,
9000-39112,06/21/07,MP1,BTLH,M,AHY,2007,"8/21, 3.5g at HPK1",,,,,,,,,,,,,,,,,
9000-39116,06/22/07,GC1,BTLH,M,AHY,2007,"7/7, 3.8g",,,,,,,,,,,,,,,,,
9000-39121,06/23/07,MCGC,BTLH,M,AHY,2007,"7/2, 3.1g","7/8, 3.3g",,,,,,,,,,,,,,,,
9000-39130,06/27/07,MCGC,BTLH,M,AHY,2007,"6/28, 3.2g",,,,,,,,,,,,,,,,,
9000-39134,06/29/07,HOLZ,BTLH,M,AHY,2007,"6/29, again",,,,,,,,,,,,,,,,,
9000-39135,06/29/07,HOLZ,BTLH,M,AHY,2007,"6/29, again",,,,,,,,,,,,,,,,,
9000-39140,06/29/07,GNMTN,BTLH,M,AHY,2007,"7/6, 3.3g",,,,,,,,,,,,,,,,,
9000-39142,06/30/07,GC1,BTLH,M,AHY,2007,"6/30, again, 3.2g",,,,,,,,,,,,,,,,,
9000-39145,06/30/07,MCGC,BTLH,M,AHY,2007,"7/5, 3.2g","8/13, 4.7g",,,,,,,,,,,,,,,,
9000-39149,07/01/07,MCGC,BTLH,M,AHY,2007,"7/2, 3.3g","7/8, 3.5g",,,,,,,,,,,,,,,,
9000-39152,07/02/07,MCGC,BTLH,M,AHY,2007,"7/8, 3.1g","7/9, 3.3g","7/27, 3.4g","8/22, 3.3g",,,,,,,,,,,,,,
9000-39158,07/06/07,GNMTN,BTLH,M,AHY,2007,"7/6, again",,,,,,,,,,,,,,,,,
9000-39160,07/07/07,MCGC,BTLH,M,AHY,2007,"8/7, 3.8g","8/14, 3.5g",,,,,,,,,,,,,,,,
9000-39181,07/10/07,MCGC,BTLH,M,AHY,2007,"7/10, 3.4g","7/19, 3.8g",,,,,,,,,,,,,,,,
9000-39182,07/10/07,MCGC,BTLH,M,AHY,2007,"7/10, again",,,,,,,,,,,,,,,,,
9000-39191,07/14/07,WC1,RUHU,F,AHY,2007,"7/15, 3.4g at MCGC",,,,,,,,,,,,,,,,,
9000-39195,07/14/07,MCGC,RUHU,F,AHY,2007,"7/14, again",,,,,,,,,,,,,,,,,
9000-39201,05/13/07,MP1,BTLH,F,AHY,2007,"5/30, 3.6g, LTW",,,,,,,,,,,,,,,,,
9000-39204,05/13/07,MP1,BTLH,F,AHY,2007,"5/29, 3.4g HTW",,,,,,,,,,,,,,,,,
9000-39207,05/14/07,MP1,BTLH,F,AHY,2007,"5/20, 3.6g E9","5/23, 3.4g NTW",,,,,,,,,,,,,,,,
9000-39208,05/14/07,MP1,BTLH,F,AHY,2007,"5/30, 3.5g NTW",,,,,,,,,,,,,,,,,
9000-39210,05/16/07,MP1,BTLH,F,AHY,2007,"6/12, 3.4g ",,,,,,,,,,,,,,,,,
9000-39215,05/20/07,MP1,BTLH,F,AHY,2007,"6/12, 4.2g E7 ","6/22, 3.7g E6-",,,,,,,,,,,,,,,,
9000-39217,05/20/07,MP1,BTLH,F,AHY,2007,"6/12, 3.6g",,,,,,,,,,,,,,,,,
9000-39218,05/20/07,HPK1,BTLH,F,AHY,2007,"7/9, 4.0g E8 HTW",,,,,,,,,,,,,,,,,
9000-39224,05/21/07,CC3,BTLH,F,AHY,2007,"6/23, 3.5g",,,,,,,,,,,,,,,,,
9000-39227,05/21/07,MP1,BTLH,F,AHY,2007,"6/19, 3.9g E7",,,,,,,,,,,,,,,,,
9000-39230,05/21/07,MCGC,BTLH,F,AHY,2007,"6/6, 3.7g NTW","6/8, 3.6g",,,,,,,,,,,,,,,,
9000-39231,05/23/07,MP1,BTLH,F,AHY,2007,"5/30, 3.6g E7+","6/17, 3.4g E6-",,,,,,,,,,,,,,,,
9000-39232,05/23/07,MP1,BTLH,F,AHY,2007,"6/19, 4.0g NTW",,,,,,,,,,,,,,,,,
9000-39234,05/23/07,MP1,BTLH,F,AHY,2007,"5/30, 3.6g",,,,,,,,,,,,,,,,,
9000-39242,05/30/07,MP1,BTLH,F,AHY,2007,"6/8, 3.4g",,,,,,,,,,,,,,,,,
9000-39247,06/04/07,KV1,BTLH,F,AHY,2007,"6/13, 4.0g E8",,,,,,,,,,,,,,,,,
