Band Number,Original Date,Original Site,Species,Original Sex,Original Age,Recapture Year,Recapture 1,Recapture 2,Recapture 3,Recapture 4,Recapture 5,Recapture 6,Recapture 7,Recapture 8,Recapture 9,Recapture 10,Recapture 11,Recapture 12,Recapture 13,Recapture 14,Recapture 15,Recapture 16,Recapture 17,Comments
5000-11679,07/05/03,MCGC,BTLH,M,AHY,2009,"5/17, 3.2g",,,,,,,,,,,,,,,,,
5000-11757,07/12/03,MCGC,BTLH,F,AHY,2009,"5/11, 3.6g","6/9, 3.6g","6/10, 3.5g","7/1, 3.7g","7/10, 3.6g",,,,,,,,,,,,,
5000-11763*,07/12/03,MCGC,BTLH,F,AHY,2009,"5/15, 3.9g","5/17, 3.5g","7/28, 3.4g",,,,,,,,,,,,,,,*New: E12256
5000-29407,08/11/03,MP1,BTLH,F,AHY,2009,"5/23, 3.8 E6","6/11, 3.7g",,,,,,,,,,,,,,,,
4000-47664,08/17/03,MP1,BTLH,F,AHY,2009,"6/2, 3.4g",8/1 n.w.,,,,,,,,,,,,,,,,
4000-47796*,06/12/04,MCGC,BTLH,F,AHY,2009,"7/15, 3.4g","8/15, 3.6g",,,,,,,,,,,,,,,,"*New E90377, band removed, not rebanded (swollen tarsus)"
5000-29452,06/14/04,MCGC,BTLH,F,AHY,2009,"5/11, 3.6g","5/14, 3.8g E6","6/12, 3.4g E6",,,,,,,,,,,,,,,
5000-29486*,06/18/04,MCGC,BTLH,F,AHY,2009,"5/17, 3.5g","5/26, 3.4g","6/7, 3.3g","6/10, 3.2g","6/20, n.w.","7/6, 4.0g E8+","7/10,3.8g",,,,,,,,,,,*New H42126
5000-29500,06/25/04,KV1,BTLH,F,AHY,2009,"5/22, 3.8g","6/21, n.w.",,,,,,,,,,,,,,,,
5000-29547,07/06/04,GNMTN,BTLH,F,AHY,2009,"5/30, 3.4g",,,,,,,,,,,,,,,,,
5000-29551,07/06/04,GNMTN,BTLH,F,AHY,2009,"7/26, 3.5g",,,,,,,,,,,,,,,,,
5000-29608,07/13/04,GNMTN,BTLH,F,AHY,2009,"5/30, 3.8g E9","7/19, 3.5g",,,,,,,,,,,,,,,,
5000-29676,07/18/04,GNMTN,BTLH,F,AHY,2009,"5/30, 3.7g E6",,,,,,,,,,,,,,,,,
5000-96639,07/24/04,MCGC,BTLH,F,AHY,2009,"5/17, 4.1g E7","7/15, 3.4g","8/9, 3.5g",,,,,,,,,,,,,,,
5000-96800,08/13/04,MP1,BTLH,F,AHY,2009,"6/10, 3.9g E8",,,,,,,,,,,,,,,,,
5000-96835,08/13/04,MCGC,BTLH,F,AHY,2009,"8/11, 3.4g",,,,,,,,,,,,,,,,,
5000-96868,08/14/04,MP1,BTLH,F,AHY,2009,"6/27, 3.2g at HPK1",,,,,,,,,,,,,,,,,
5000-96894,08/16/04,MCGC,BTLH,F,AHY,2009,"6/7, 4.4g E6",,,,,,,,,,,,,,,,,
5000-96960,08/22/04,MCGC,BTLH,F,AHY,2009,"6/25, 3.8g E6",,,,,,,,,,,,,,,,,
5000-97004,08/30/04,KV1,BTLH,F,AHY,2009,"5/30, 3.4g",,,,,,,,,,,,,,,,,
5000-97049,09/11/04,MP1,BTLH,F,HY,2009,"6/27, 3.3g at HPK1",,,,,,,,,,,,,,,,,
5000-97067,05/14/05,MCGC,BTLH,M,AHY,2009,"5/17, 3.4g",,,,,,,,,,,,,,,,,
5000-23412*,05/24/05,MP1,BTLH,F,AHY,2009,"5/26, 3.6g","6/4, 3.4g",,,,,,,,,,,,,,,,*New H41738
6000-23432,05/25/05,MP1,BTLH,F,AHY,2009,"5/17, 4.1g E8","6/9, 3.8g",,,,,,,,,,,,,,,,
6000-23468,05/31/05,MP1,BTLH,F,AHY,2009,"6/10, n.w.",,,,,,,,,,,,,,,,,
