Band Number,Original Date,Original Site,Species,Original Sex,Original Age,Recapture Year,Recapture 1,Recapture 2,Recapture 3,Recapture 4,Recapture 5,Recapture 6,Recapture 7,Recapture 8,Recapture 9,Recapture 10,Recapture 11,Recapture 12,Recapture 13,Recapture 14,Recapture 15,Recapture 16,Recapture 17,Comments
5000-11757,07/12/03,MCGC,BTLH,F,AHY,2011,"6/27, 3.9g E6","7/10, 3.4g","7/23, 3.2 g","8/5, 3.6g",,,,,,,,,,,,,,New: L08484
5000-96868,08/14/04,MP1,BTLH,F,AHY,2011,"6/18, 3.1 g at HPK2",,,,,,,,,,,,,,,,,
5000-96894,08/16/04,MCGC,BTLH,F,AHY,2011,"6/24, 3.9 g E6",7/29 4.0 g ,8/1 3.7 g,,,,,,,,,,,,,,,
5000-97012,08/30/04,MP1,BTLH,F,HY,2011,8/19 3.7 g,,,,,,,,,,,,,,,,,
6000-23664,07/01/05,KV1,BTLH,F,AHY,2011,6/30 4.1 g E6+,7/9 3.4 g ,,,,,,,,,,,,,,,,
6000-23792,07/13/05,MCGC,BTLH,F,AHY,2011,5/20 3.6 g,,,,,,,,,,,,,,,,,
6000-53837,08/17/05,MP1,BTLH,F,AHY,2011,6/18 3.65 g ,7/14 3.65 g,,,,,,,,,,,,,,,,
6000-53887,08/19/05,MP1,BTLH,F,AHY,2011,7/14 3.95 g,,,,,,,,,,,,,,,,,
6000-80917,05/21/06,MP1,BTLH,F,AHY,2011,5/30 3.5 g ,6/2 3.3 g,,,,,,,,,,,,,,,,
6000-80951,06/03/06,MP1,BTLH,F,AHY,2011,7/8 3.52 g,,,,,,,,,,,,,,,,,
6000-81022,06/12/06,MP1,BTLH,F,AHY,2011,8/19 3.58 g,,,,,,,,,,,,,,,,,
9000-11842,06/23/06,MCGC,BTLH,M,AHY,2011,5/28 3.2 g at CC3,,,,,,,,,,,,,,,,,
9000-12028,07/12/06,MP1,BTLH,F,AHY,2011,8/13 nw,,,,,,,,,,,,,,,,,
9000-12128,07/19/06,MP1,BTLH,F,AHY,2011,6/18 3.7 g,,,,,,,,,,,,,,,,,
9000-12157,07/27/06,MCGC,BTLH,F,AHY,2011,7/30 4.0 g,,,,,,,,,,,,,,,,,
9000-12271,07/31/06,MCGC,BTLH,F,AHY,2011,"6/16, 4.3 g",,,,,,,,,,,,,,,,,"band removed, not rebanded"
9000-12390,08/09/06,GNMTN,BTLH,F,AHY,2011,7/17 4.24 g E6 2x,,,,,,,,,,,,,,,,,
9000-12410,08/10/06,MCGC,BTLH,F,AHY,2011,6/27 3.7 g ,,,,,,,,,,,,,,,,,
9000-39020,05/13/07,MP1,BTLH,M,AHY,2011,5/31 3.4 g,,,,,,,,,,,,,,,,,
9000-39028,05/17/07,HPK1,BTLH,M,AHY,2011,6/10 3.2 g at HPK2 2x ,,,,,,,,,,,,,,,,,
9000-39084,06/18/07,MCGC,BTLH,M,AHY,2011,6/24 3.3 g,,,,,,,,,,,,,,,,,
9000-39201,05/13/07,MP1,BTLH,F,AHY,2011,8/13 3.49 g,,,,,,,,,,,,,,,,,
9000-39210,05/16/07,MP1,BTLH,F,AHY,2011,7/14 3.3 g,,,,,,,,,,,,,,,,,
9000-39222,05/23/07,HPK1,BTLH,F,AHY,2011,6/10 3.95 g E7,,,,,,,,,,,,,,,,,New L08571
9000-39227,05/21/07,MP1,BTLH,F,AHY,2011,6/23 3.58 g,7/14 nw,,,,,,,,,,,,,,,,
9000-39246,06/04/07,KV1,BTLH,F,AHY,2011,6/26 4.86 g E9,8/3 4.09 g,,,,,,,,,,,,,,,,
9000-39319,06/12/07,MP1,BTLH,F,AHY,2011,6/18 3.6 g,,,,,,,,,,,,,,,,,
9000-39332,06/13/07,KV1,BTLH,F,AHY,2011,6/30 3.63 E6,,,,,,,,,,,,,,,,,
9000-39369,06/17/07,MP1,BTLH,F,AHY,2011,8/23 3.6 g,,,,,,,,,,,,,,,,,
9000-39371,06/17/07,MP1,BTLH,F,AHY,2011,7/8 3.15 g,,,,,,,,,,,,,,,,,missing p4
9000-39401,06/19/07,HPK1,BTLH,F,AHY,2011,5/30 4.1 g E7 at MP1,,,,,,,,,,,,,,,,,
9000-39415,06/20/07,GNMTN,BTLH,F,AHY,2011,6/22 3.7 g,,,,,,,,,,,,,,,,,
9000-39479,06/29/07,HOLZ,BTLH,F,AHY,2011,"8/25, nw",,,,,,,,,,,,,,,,,
9000-39491,06/29/07,HOLZ,BTLH,F,AHY,2011,"6/22, 3.38g",,,,,,,,,,,,,,,,,new: E40106
9000-39493,06/29/07,HOLZ,BTLH,F,AHY,2011,"6/22, 3.8g E6",,,,,,,,,,,,,,,,,
9000-39541,07/07/07,MCGC,BTLH,F,AHY,2011,"6/23, 3.5g",,,,,,,,,,,,,,,,,
9000-39560,07/09/07,MCGC,BTLH,F,AHY,2011,"6/24, 3.9g at CC3",,,,,,,,,,,,,,,,,
9000-39573,07/09/07,HPK1,BTLH,F,AHY,2011,"6/9, 3.4g at HPK2","7/13, 3.7g E7 at HPK2",,,,,,,,,,,,,,,,
9000-39579,07/10/07,MCGC,BTLH,F,AHY,2011,"6/24, 3.6g",,,,,,,,,,,,,,,,,
9000-39582,07/14/07,WC1,BTLH,F,AHY,2011,"6/18, 4.3g E6 at MCGC",,,,,,,,,,,,,,,,,"cactus thorn in crown, removed"
9000-39890,07/24/07,GNMTN,BTLH,F,AHY,2011,"7/9, 4.14g E9","8/17, 3.78g at HOLZ","8/25, 3.9g 3X at HOLZ","8/31, 3.3g at HOLZ",,,,,,,,,,,,,,
9000-39897,07/24/07,GNMTN,BTLH,F,AHY,2011,"6/22, 3.2g",,,,,,,,,,,,,,,,,
9000-39930,07/31/07,MP1,BTLH,F,AHY,2011,"7/14, 3.87g",,,,,,,,,,,,,,,,,
