Band Number,Original Date,Original Site,Species,Original Sex,Original Age,Recapture Year,Recapture 1,Recapture 2,Recapture 3,Recapture 4,Recapture 5,Recapture 6,Recapture 7,Recapture 8,Recapture 9,Recapture 10,Recapture 11,Recapture 12,Recapture 13,Recapture 14,Recapture 15,Recapture 16,Recapture 17,Recapture 18,Comments
4000-47653,8/16/2003,MCGC,BTLH,M,HY,2003,"8/17/03, 3.6g.",,,,,,,,,,,,,,,,,,
4000-47716,8/24/2003,MCGC,RUHU,F,HY,2003,8/24/2003,,,,,,,,,,,,,,,,,,
4000-47733,9/1/2003,MCGC,BTLH,F,HY,2003,9/1/2003,,,,,,,,,,,,,,,,,,
5000-11523,5/31/2003,MCGC,BTLH,M,AHY,2003,5/31/03 (3),"6/1/03 (2), 3.2g",6/4/2003,"6/14/2003, 3.2 g.","6/21/2003, 3.3g.","6/22/2003, 3.2g ","6/27/2003, 3.3g.","7/4/2003, 3.4g.","7/5/2003, 3.4g.",,,,,,,,,,
5000-11525,5/31/2003,MCGC,BTLH,F,AHY,2003,"6/13/03, 3.0g.","6/12/03, 3.9g.",,,,,,,,,,,,,,,,,
5000-11526,6/1/2003,MCGC,BTLH,F,AHY,2003,"7/6/03, 3.3g.",,,,,,,,,,,,,,,,,,
5000-11527,6/1/2003,MCGC,BTLH,M,AHY,2003,"6/14/03, 3.4g.",,,,,,,,,,,,,,,,,,
5000-11533,6/4/2003,MCGC,BTLH,F,AHY,2003,6/4/2003,"6/13/03, 3.0g.","6/21/03, 3.4g.",,,,,,,,,,,,,,,,
5000-11534,6/4/2003,MCGC,BTLH,M,AHY,2003,6/4/2003,"6/13/03, 2.9g.","6/14/03, 3.0g.",,,,,,,,,,,,,,,,
5000-11535,6/4/2003,MCGC,BTLH,M,AHY,2003,"6/12/03, 3.3g.",,,,,,,,,,,,,,,,,,
5000-11536,6/4/2003,MCGC,BTLH,F,AHY,2003,"6/28/03, 3.3g.","7/22/03, 4.2g.",,,,,,,,,,,,,,,,,
5000-11537,6/4/2003,MCGC,BTLH,F,AHY,2003,"6/12/03, 3.2g.",,,,,,,,,,,,,,,,,,
5000-11538,6/4/2003,MCGC,BTLH,F,AHY,2003,"6/12/03, 3.1g.",,,,,,,,,,,,,,,,,,
5000-11539,6/4/2003,MCGC,BTLH,F,AHY,2003,"6/5/03, 3.5g.","6/14/03, 3.7g.","6/20/03, 3.7g.","6/26/03, 3.4g.",,,,,,,,,,,,,,,
5000-11540,6/4/2003,MCGC,BTLH,M,AHY,2003,"6/12/03, 3.1g.","6/13/03, 3.1g.","6/14/03, 3.1g","6/22/03, 3.1g.",,,,,,,,,,,,,,,
