Band Number,Original Date,Original Site,Species,Original Sex,Original Age,Recapture Year,Recapture 1,Recapture 2,Recapture 3,Recapture 4,Recapture 5,Recapture 6,Recapture 7,Recapture 8,Recapture 9,Recapture 10,Recapture 11,Recapture 12,Recapture 13,Recapture 14,Recapture 15,Recapture 16,Recapture 17,Comments,
9000-39250,06/05/2007,MCGC,BTLH,F,AHY,2008,"6/23, n.w .","7/2, 3.7g","7/3, 3.7g at CC2","7/6, n.w .",,,,,,,,,,,,,,*former E90316,
9000-39251,06/05/2007,MCGC,BTLH,F,AHY,2008,"6/16, 3.3g","7/2, 3.3g",,,,,,,,,,,,,,,,,
9000-39252,06/05/2007,MCGC,BTLH,F,AHY,2008,"6/18, 3.3g",,,,,,,,,,,,,,,,,,
9000-39263,06/06/2007,MCGC,BTLH,F,AHY,2008,"6/16, 3.4g","6/18, 3.6g","6/19, 3.4g","7/10, 3.6g",,,,,,,,,,,,,,,
9000-39273,06/07/2007,MCGC,BTLH,F,AHY,2008,"7/14, 3.3g","7/20, 3.8g ltw",,,,,,,,,,,,,,,,,
9000-39277,06/08/2007,MP1,BTLH,F,AHY,2008,"7/26, 3.5g, mtw  r4l",,,,,,,,,,,,,,,,,,
9000-39278,06/08/2007,MP1,BTLH,F,AHY,2008,"7/2, 3.8g E8",,,,,,,,,,,,,,,,,,
9000-39289,06/08/2007,MP1,BTLH,F,AHY,2008,"6/24, 3.2g",,,,,,,,,,,,,,,,,,
9000-39298,06/09/2007,MP1,BTLH,F,AHY,2008,"6/16, 3.7g",,,,,,,,,,,,,,,,,,
9000-39304,06/12/2007,MCGC,BTLH,F,AHY,2008,"6/16, 3.8g E6","6/18, 3.8g E6-",,,,,,,,,,,,,,,,,
9000-39307,06/12/2007,MCGC,BTLH,F,AHY,2008,"5/16, 3.5g","6/16, 3.1g","6/18, 3.4g","6/19, n.w .","6/23, 3.3g","7/6g, 3.7g E6","7/10, 3.9g E7","7/14, 3.5g","7/17, 3.4g",,,,,,,,,,
9000-39324,06/12/2007,MP1,BTLH,F,AHY,2008,"5/31, 3.5g",,,,,,,,,,,,,,,,,,
9000-39327,06/13/2007,KV1,BTLH,F,AHY,2008,"7/11, 3.1g",,,,,,,,,,,,,,,,,,
9000-39331,06/13/2007,KV1,BTLH,F,AHY,2008,"8/6, 3.2g",,,,,,,,,,,,,,,,,,
9000-39352,06/14/2007,MCGC,BTLH,F,AHY,2008,"5/31, 3.5g E6",,,,,,,,,,,,,,,,,,
9000-39353,06/14/2007,MCGC,BTLH,F,AHY,2008,"7/10, 3.6g","8/16, 3.9g ntw",,,,,,,,,,,,,,,,,
9000-39355,06/14/2007,MCGC,BTLH,F,AHY,2008,"7/2, 4.1g E6","7/8, 4.2g E9","7/14, 3.7g","7/17, 3.6g","7/26g, 3.7g","8/14, 3.9g new  r3,4r grow","8/19, 3.8g","8/26, 3.6g ntw",,,,,,,,,,,
9000-39359,06/14/2007,MCGC,BTLH,F,AHY,2008,"7/25, 4.0g ht","8/16, 4.5g htw",,,,,,,,,,,,,,,,,
9000-39380,06/18/2007,MCGC,BTLH,F,AHY,2008,"6/28, 4.2g E6",,,,,,,,,,,,,,,,,,
9000-39397,06/19/2007,MP1,BTLH,F,AHY,2008,"8/14, 3.6g htw",,,,,,,,,,,,,,,,,,
9000-39399,06/19/2007,MP1,BTLH,F,AHY,2008,"6/6, 4.0g E7",,,,,,,,,,,,,,,,,,
9000-39408,06/19/2007,HPK1,BTLH,F,AHY,2008,"6/17, 4.3g E9",,,,,,,,,,,,,,,,,,
9000-39412,06/20/2007,KV1,BTLH,F,AHY,2008,"6/21, 3.5g",,,,,,,,,,,,,,,,,,
9000-39420,06/20/2007,GNMTN,BTLH,F,AHY,2008,"6/14, 4.4g E8","7/5, 3.8g",,,,,,,,,,,,,,,,,
9000-39430,06/21/2007,MCGC,BTLH,F,AHY,2008,"6/16, 3.5g","6/18, 3.3g at CC3",,,,,,,,,,,,,,,,,
9000-39431,06/21/2007,MCGC,BTLH,F,AHY,2008,"6/29, 3.8g E7","7/17, 3.8g",,,,,,,,,,,,,,,,,
9000-39433,06/21/2007,MCGC,BTLH,F,AHY,2008,"7/3, 3.6g",,,,,,,,,,,,,,,,,,
9000-39459,06/23/2007,MCGC,BTLH,F,AHY,2008,"7/10, 3.7g E8",,,,,,,,,,,,,,,,,,
9000-39463,06/23/2007,MCGC,BTLH,F,AHY,2008,"6/22, 3.6g","7/11, 4.2g","7/20, 3.6g","7/30g, 3.6g nt","8/16, 3.4g mtw",,,,,,,,,,,,,,
9000-39464,06/23/2007,MCGC,BTLH,F,AHY,2008,"7/25, 3.9g mtw                     ","7/26, 3.8g mtw","7/30, 3.6g at CC3","8/4, 4.0g","8/13, 4.0g",,,,,,,,,,,,,,
9000-39474,06/27/2007,MCGC,BTLH,F,AHY,2008,"6/19, 3.7g","6/28, 3.6g",,,,,,,,,,,,,,,,,
9000-39479,06/28/2007,HOLZ,BTLH,F,AHY,2008,"6/14, 3.8g E7","7/5, 3.8g",,,,,,,,,,,,,,,,,
9000-39480,06/29/2007,HOLZ,BTLH,F,AHY,2008,"6/14, 4.2g","7/12, 3.6g",,,,,,,,,,,,,,,,,
9000-39485,06/29/2007,HOLZ,BTLH,F,AHY,2008,"6/14, 4.4g, E9+","6/21, 4.0g","7/5, 3.9g",,,,,,,,,,,,,,,,
9000-39489,06/29/2007,HOLZ,BTLH,F,AHY,2008,"7/5, 4.1g","7/18, 3.8g",,,,,,,,,,,,,,,,,
9000-39493,06/29/2007,HOLZ,BTLH,F,AHY,2008,"6/14, 4.1g E6","7/12, 3.8g",,,,,,,,,,,,,,,,,
9000-39494,06/29/2007,HOLZ,BTLH,F,AHY,2008,"6/14, 3.8g","6/21, 3.7g E7",,,,,,,,,,,,,,,,,
9000-39508,06/30/2007,MCGC,BTLH,F,AHY,2008,"6/16, 3.4g","6/18, 3.0g",,,,,,,,,,,,,,,,,
9000-39509,06/30/2007,MCGC,BTLH,F,AHY,2008,"6/29, 3.5g","7/11, 3.5g","7/20, 4.2g ntw",,,,,,,,,,,,,,,,
9000-39512,07/01/2007,MCGC,BTLH,F,AHY,2008,"7/20, 3.5g ntw","8/11, 3.7g l-mtw","8/16, 3.8g",,,,,,,,,,,,,,,,
9000-39514,07/01/2007,MCGC,BTLH,F,AHY,2008,"6/16, 3.7g","6/23, 4.0g","7/2, 4.0g","7/6, n.w .","7/10, 3.9g",,,,,,,,,,,,,,
9000-39515,07/02/2007,MCGC,BTLH,F,AHY,2008,"6/16, 3.6g E6","6/23, 4.0g E6","7/2, 3.6g","7/8, 3.7g","7/17, 3.6","7/21, 3.6 ntw","8/3, 4.0g","8/7, 3.3g ltw","8/10, 3.7g",,,,,,,,,,
9000-39518,07/02/2007,MCGC,BTLH,F,AHY,2008,"7/21, 4.2g ntw",,,,,,,,,,,,,,,,,,
9000-39526,07/05/2007,MCGC,BTLH,F,AHY,2008,"6/19, 3.3g, p9 6mm<p10","6/24, 3.3g, p9 4mm<p10",,,,,,,,,,,,,,,,,
9000-39530,07/06/2007,KV1,BTLH,F,AHY,2008,"6/7, 3.7g","6/14, 3.5g",,,,,,,,,,,,,,,,,
9000-39531,07/06/2007,GNMTN,BTLH,F,AHY,2008,"7/5, 3.9g E7",,,,,,,,,,,,,,,,,,
9000-39537,07/06/2007,GNMTN,BTLH,F,AHY,2008,"6/21, 3.7g",,,,,,,,,,,,,,,,,,
9000-39539,07/07/2007,MCGC,BTLH,F,AHY,2008,"8/16, 3.5g htw",,,,,,,,,,,,,,,,,,
9000-39541,07/07/2007,MCGC,BTLH,F,AHY,2008,"5/17, 3.6G","6/16, 3.3G",,,,,,,,,,,,,,,,,
9000-39547,07/07/2007,HPK1,BTLH,F,AHY,2008,"8/13, 3.8g ntw",,,,,,,,,,,,,,,,,,
9000-39560,07/09/2007,MCGC,BTLH,F,AHY,2008,"7/2, 3.6g",,,,,,,,,,,,,,,,,,
9000-39562,07/09/2007,MCGC,BTLH,F,AHY,2008,"7/14, 3.7g","8/16, 3.8g htw",,,,,,,,,,,,,,,,,
9000-39564,07/09/2007,MCGC,BTLH,F,AHY,2008,"6/23, 3.4g",,,,,,,,,,,,,,,,,,
9000-39566,07/09/2007,MCGC,BTLH,F,AHY,2008,"7/3, 3.5g","7/6, 3.1g","7/9, 3.4g","7/10, n.w .","7/11, 3.2g","7/17, 3.1g",,,,,,,,,,,,,
9000-39567,07/09/2007,MCGC,BTLH,F,AHY,2008,"6/16, 3.6g",,,,,,,,,,,,,,,,,,
9000-39573,07/09/2007,HPK1,BTLH,F,AHY,2008,"6/17, 3.4g",,,,,,,,,,,,,,,,,,
9000-39576,07/10/2007,MCGC,BTLH,F,AHY,2008,"6/18, 3.5g",,,,,,,,,,,,,,,,,,
9000-39579,07/10/2007,MCGC,BTLH,F,AHY,2008,"6/28, 3.5g",,,,,,,,,,,,,,,,,,
9000-39583,07/14/2007,WC1,BTLH,F,AHY,2008,"7/3, 3.8g E6- at MCGC      ","7/8, 3.3g at MCGC",,,,,,,,,,,,,,,,,
9000-39584,07/14/2007,WC1,BTLH,F,AHY,2008,"6/19, 3.3g at MCGC",,,,,,,,,,,,,,,,,,
9000-39586,07/14/2007,mcgc,BTLH,F,AHY,2008,"7/2, 3.5g E7","7/20, 3.6g",,,,,,,,,,,,,,,,,
9000-39587,07/14/2007,MCGC,BTLH,F,AHY,2008,"6/24, n.w .",,,,,,,,,,,,,,,,,,
9000-39588,07/14/2007,MCGC,BTLH,F,AHY,2008,"6/23, 3.5g","7/20, 3.7g ntw","8/16, 4.3g ltw","8/23, 3.4g",,,,,,,,,,,,,,,
9000-39597,07/16/2007,MP1,BTLH,F,AHY,2008,"6/16, 4.2g E8",,,,,,,,,,,,,,,,,,
9000-39605,07/16/2007,MP1,BTLH,M,AHY,2008,"6/16, 3.0g",,,,,,,,,,,,,,,,,,
9000-39612,07/17/2007,HOLZ,BTLH,M,AHY,2008,"6/14, 3.6g",,,,,,,,,,,,,,,,,,
9000-39689,08/03/2007,MCGC,BTLH,M,AHY,2008,"7/11, 3.0g",,,,,,,,,,,,,,,,,,
9000-39708,07/24/2007,HOLZ,BTLH,M,AHY,2008,"6/1, 3.2g","6/7, 3.0g 2x",,,,,,,,,,,,,,,,,
9000-39714,07/24/2007,GNMTN,BTLH,M,AHY,2008,"6/14, 3,5g",,,,,,,,,,,,,,,,,,
9000-39736,07/31/2007,MP1,BTLH,M,AHY,2008,"7/2, 3.2g",,,,,,,,,,,,,,,,,,
9000-39761,08/07/2007,WC1,BTLH,M,HY,2008,"7/9, 3.3g at MCGC",,,,,,,,,,,,,,,,,,
9000-39803,07/16/2007,MP1,BTLH,F,AHY,2008,"9/2, 3.5g at HPK1",,,,,,,,,,,,,,,,,,
9000-39809,07/17/2007,MCGC,BTLH,F,AHY,2008,"6/8, 3.7g","6/10, 3.7g","6/16, 3.5g 2x","6/18, 3.5g","7/8, 3.8g","7/11, 3.6g","7/14, n.w .",,,,,,,,,,,skel r1s,
9000-39810,07/17/2007,MCGC,BTLH,F,AHY,2008,"7/20, 3.9g",,,,,,,,,,,,,,,,,,
9000-39812,07/17/2007,MCGC,BTLH,F,AHY,2008,"7/13, 3.7g","7/17, n.w .",,,,,,,,,,,,,,,,,
9000-39815,07/17/2007,HOLZ,BTLH,F,AHY,2008,"7/5, 4.1g","7/12, 3.5g",,,,,,,,,,,,,,,,,
9000-39816,07/17/2007,HOLZ,BTLH,F,AHY,2008,"6/14, 3.9g","6/21, 3.8g E8","7/12, 4.1g","7/31, 3.8g htw",,,,,,,,,,,,,,,
9000-39817,07/17/2007,HOLZ,BTLH,F,AHY,2008,"6/7, 3.5g E8","6/14, 3.8g E8","7/5, 3.4g","7/12, 3.3g",,,,,,,,,,,,,,,
9000-39818,07/17/2007,HOLZ,BTLH,F,AHY,2008,"6/14, 3.6g E6 at GNMTN      ","7/18, 3.4g htw  at GNMTN","8/15, 3.5g htw  at GNMTN ",, , ,,,,,,,,,,,,,
9000-39820,07/17/2007,HOLZ,BTLH,F,AHY,2008,"7/31, 3.7g ltw",,,,,,,,,,,,,,,,,,
9000-39821,07/17/2007,HOLZ,BTLH,F,AHY,2008,"6/14, 4.2g E7 2x","7/12, 3.4g",,,,,,,,,,,,,,,,,
9000-39825,07/18/2007,MCGC,BTLH,F,AHY,2008,"7/10, 3.8g","7/17, 3.7g",,,,,,,,,,,,,,,,,
9000-39826,07/18/2007,MCGC,BTLH,F,AHY,2008,"6/29, 3.8g",,,,,,,,,,,,,,,,,,
9000-39829,07/18/2007,MCGC,BTLH,F,AHY,2008,"6/16, 3.4g E6","6/19, 3.6g E6",,,,,,,,,,,,,,,,,
9000-39830,07/18/2007,MCGC,BTLH,F,AHY,2008,"6/24, 3.6g","7/3, 3.3g","7/20, 3.2g mtw , 5gfc",,,,,,,,,,,,,,,,
9000-39831,07/18/2007,MCGC,BTLH,F,AHY,2008,"7/6, 3.2g","7/14, 3.7g","7/17, 3.0g","7/24, 3.6g ntw","7/26, 3.9g vlt","8/4, 4.4g ltw",,,,,,,,,,,,,
9000-39835,07/18/2007,MCGC,BTLH,F,AHY,2008,"6/16, 3.7g","6/29, 3.3g",,,,,,,,,,,,,,,,,
9000-39837,07/19/2007,MCGC,BTLH,F,AHY,2008,"6/18, 3.8g at CC3",,,,,,,,,,,,,,,,,,
9000-39842,07/19/2007,MCGC,BTLH,F,AHY,2008,"7/1, 3.7g","7/6, 3.3g",,,,,,,,,,,,,,,,,
9000-39843,07/19/2007,MCGC,BTLH,F,AHY,2008,"7/20, 3.9g",,,,,,,,,,,,,,,,,,
9000-39856,07/23/2007,MP1,BTLH,F,AHY,2008,"6/24, n.w .",,,,,,,,,,,,,,,,,,
9000-39879,07/24/2007,HOLZ,BTLH,F,AHY,2008,"6/21, 3.7g","7/12, 3.5g",,,,,,,,,,,,,,,,,
9000-39881,07/24/2007,GNMTN,BTLH,F,AHY,2008,"7/5, 3.4g",,,,,,,,,,,,,,,,,,
9000-39889,07/24/2007,GNMTN,BTLH,F,AHY,2008,"6/14, 3.7g",,,,,,,,,,,,,,,,,,
9000-39890,07/24/2007,GNMTN,BTLH,F,AHY,2008,"7/13, 3.6g",,,,,,,,,,,,,,,,,,
9000-39893,07/24/2007,GNMTN,BTLH,F,AHY,2008,"6/7, 3.7g at KV1                 ","6/14, 3.5g at KV1",,,,,,,,,,,,,,,,,
9000-39897,07/24/2007,GNMTN,BTLH,F,AHY,2008,"6/7, 3.4g","6/14, 3.7g E8",,,,,,,,,,,,,,,,p9 3mm < p10,
9000-39902,07/27/2007,MCGC,BTLH,F,AHY,2008,"7/20, 3.4g ltw  15 gfc",,,,,,,,,,,,,,,,,,
9000-39905,07/27/2007,MCGC,BTLH,F,AHY,2008,6/28. 3.2g,,,"7/1, 3.8g",,,,,,,,,,,,,,tumor on left side of breast,
9000-39907,07/27/2007,MCGC,BTLH,F,AHY,2008,"7/3, 3.9g",,,,,,,,,,,,,,,,,,
9000-39912,07/24/2007,KV1,BTLH,F,AHY,2008,"6/14, n.w .",,,,,,,,,,,,,,,,,,
9000-39922,07/31/2007,MP1,BTLH,F,HY,2008,"6/6, 3.6g",,,,,,,,,,,,,,,,,"p9 6.5mm<p10, sheath visible",
9000-39923,07/31/2007,MP1,BTLH,F,HY,2008,"6/9, 4.0g E8 at HPK1",,,,,,,,,,,,,,,,,,
9000-29930,07/31/2007,MP1,BTLH,F,AHY,2008,"6/17, 3.6g",,,,,,,,,,,,,,,,,,
9000-39932,07/31/2007,MP1,BTLH,F,HY,2008,"6/16, 3.9g",,,,,,,,,,,,,,,,,,
9000-39936,08/01/2007,HOLZ,BTLH,F,AHY,2008,"6/7, 3.7g","6/21, 3.7g E8","6/28, 3.7g E6-","7/5, 3.8g",,,,,,,,,,,,,,,
9000-39937,08/01/2007,HOLZ,BTLH,F,AHY,2008,"6/14, 3.7g","6/21, 3.6g",6/28. 3.4g,,,,,,,,,,,,,,,,
9000-39943,08/01/2007,KV1,BTLH,F,AHY,2008,"6/21, 3.4g",,,,,,,,,,,,,,,,,,
9000-39947,08/01/2007,HOLZ,BTLH,F,AHY,2008,"6/1, 3.4g","6/7, 3.8g E7 2x","7/12, 3.8g","7/18, 3.5g",,,,,,,,,,,,,,,
9000-39948,08/01/2007,GNMTN,BTLH,F,AHY,2008,"7/5, 3.8g",,,,,,,,,,,,,,,,,,
9000-39950,08/01/2007,GNMTN,BTLH,F,AHY,2008,"6/4, 3.3g",,,,,,,,,,,,,,,,,,
9000-39951,08/01/2007,GNMTN,BTLH,F,AHY,2008,"7/13, 3.6g",,,,,,,,,,,,,,,,,,
9000-39954,08/01/2007,GNMTN,BTLH,F,AHY,2008,"7/5, 4.5g E8","7/13, 3.5g",,,,,,,,,,,,,,,,,
9000-39959,08/02/2007,MCGC,BTLH,F,AHY,2008,"6/18, 3.5g E6","6/23, 3.9g","7/3, 3.6g","7/14, 3.1g","7/24, 3.6g htw",,,,,,,,,,,,,,
9000-39970,08/03/2007,MCGC,BTLH,F,AHY,2008,"6/28, 4.3g","7/10, 3.9g","7/14, 3.3g","7/21, 3.5g","7/22, 3.7g","7/25, 3.5g","8/7, 3.4g ntw",,,,,,,,,,,,
9000-39974,08/08/2007,MP1,BTLH,F,HY,2008,"6/16, 3.9g","6/24, 3.5g",,,,,,,,,,,,,,,,,
9000-39990,08/12/2007,MCGC,BTLH,F,HY,2008,"7/10, 3.5g","7/17, 3.9g","7/20, 3.7g","7/24, 3.6g no rects",,,,,,,,,,,,,,"7/20 no rectrices, p9L broken at tip",
9000-39995,08/08/2007,GNMTN,BTLH,F,AHY,2008,"7/5, 3.7g E7","8/27, 3.8g vltw",,,,,,,,,,,,,,,,,
9000-39996,08/08/2007,GNMTN,BTLH,F,AHY,2008,"6/14, 4.4g E8",,,,,,,,,,,,,,,,,,
9000-40003,08/12/2007,MCGC,BTLH,M,HY,2008,"8/19, 3.7g silent f light",,,,,,,,,,,,,,,,,,
9000-40035,08/14/2007,MCGC,BTLH,M,HY,2008,"6/23, 3.3g","7/1, 3.3g",,,,,,,,,,,,,,,,,
9000-40038,08/22/2007,MCGC,BTLH,M,HY,2008,"6/29, 3.4g","7/11, 3.5g",,,,,,,,,,,,,,,,,
9000-40056,08/12/2007,MCGC,BTLH,F,AHY,2008,"7/14, 3.4g",,,,,,,,,,,,,,,,,,
9000-40070,08/14/2007,MCGC,BTLH,F,AHY,2008,"5/16, 3.7g E6","6/23, 3.4g","7/3, 3.6g","7/17, 3.4g",,,,,,,,,,,,,,,
9000-40072,08/14/2007,MCGC,BTLH,F,AHY,2008,"7/21, 3.5g",,,,,,,,,,,,,,,,,,
9000-40073,08/14/2007,MCGC,BTLH,F,AHY,2008,"6/16, 3.3g",,,,,,,,,,,,,,,,,,
9000-40074,08/21/2007,MCGC,BTLH,F,AHY,2008,"6/17, 3.5g","6/28, 3.6g","7/9, 3.7","7/22, 3.6g htw",,,,,,,,,,,,,,,
9000-40079,08/21/2007,HPK1,BTLH,F,HY,2008,"7/9, 3.4g",,,,,,,,,,,,,,,,,,
9000-40106*,08/14/2007,HOLZ,BTLH,F,AHY,2008,"6/28, 4.0g E6","7/12, 3.5g",,,,,,,,,,,,,,,,*former E39491,
9000-40108,08/14/2007,HOLZ,BTLH,F,AHY,2008,"6/7, n.w . E7","6/21, 3.8g E7 2x","7/12, 4.1g E8","7/31, 4.0g ltw","8/6, 3.6g mtw","8/27, 3.6g mtw",,,,,,,,,,,,,
9000-40117,08/24/2007,MP1,BTLH,F,HY,2008,"7/20, 4.3g ntw",,,,,,,,,,,,,,,,,,
9000-40135,08/23/2007,MCGC,BTLH,F,HY,2008,"6/24, 3.3g","7/17, 3.5g","7/22, 3.7g ltw","8/19, 3.8g mtw",,,,,,,,,,,,,,,
9000-40137,08/23/2007,MCGC,BTLH,M,HY,2008,"5/17, 3.4g",,,,,,,,,,,,,,,,,,
9000-40161,08/27/2007,MP1,BTLH,M,HY,2008,"7/2, 3.3g",,,,,,,,,,,,,,,,,,
9000-90003,08/30/2007,HOLZ,BTLH,F,HY,2008,"7/5, 4.3g E8","8/6, 4.1g ntw","8/21, 3.6g htw","8/27, 3.9g",,,,,,,,,,,,,,,
9000-90009,09/02/2007,MCGC,BTLH,F,HY,2008,"6/16, 3.0g","6/18, 3.3g","6/23, 3.5g E8","7/3, 3.4g","7/10, 3.1g","7/11, 2.8g","7/14, 3.3g","7/18, 3.0g","8/7, 3.0g ltw",,,,,,,,,,
9000-90013,09/01/2007,MP1,BTLH,F,HY,2008,"6/16, 3.3g",,,,,,,,,,,,,,,,,,
9000-90030,08/30/2007,HOLZ,BTLH,M,HY,2008,"6/28, 3.7g E6, FEMALE",,,,,,,,,,,,,,,,,,
9000-90054,09/01/2007,MP1,BTLH,M,HY,2008,"8/11, 3.8g",,,,,,,,,,,,,,,,,,
9000-90078,09/07/2007,MP1,BTLH,F,AHY,2008,7/11 at YMCA,,,,,,,,,,,,,,,,,,
9000-40046,06/22/2008,MCGC,RUHU,M,AHY,2008,"6/23, 3.7g",,,,,,,,,,,,,,,,,,
9000-89905,06/07/2008,HOLZ,BTLH,M,AHY,2008,"6/7, again","6/14, 3.5g","6/21, 3.4g 3x","7/5, 3.5g","7/12, 3.5g",,,,,,,,,,,,,,
9000-89907,06/07/2008,GNMTN,BTLH,M,AHY,2008,"6/7, again","6/14, 3.2g 3x","6/21, 3.1g","6/28, 3.1g","7/13, 3.1g",,,,,,,,,,,,,,
9000-89912,06/09/2008,CC3,BTLH,M,AHY,2008,"8/20, 3.7g at CC2",,,,,,,,,,,,,,,,,,
9000-89916,06/10/2008,MCGC,BTLH,M,AHY,2008,"6/16, 3.5g, p9 1.9mm<p10","6/19, 3.2g",,,,,,,,,,,,,,,,,
9000-89917,06/11/2008,MCGC,BTLH,M,AHY,2008,"8/22, 3.5g",,,,,,,,,,,,,,,,,,
9000-89919,06/14/2008,KV1,BTLH,M,AHY,2008,"6/28, 3.2g",,,,,,,,,,,,,,,,,,
9000-89924,06/14/2008,HOLZ,BTLH,M,AHY,2008,"6/14, again","6/21, 3.6g","7/5, 3.4g",,,,,,,,,,,,,,,,
9000-89925,06/14/2008,HOLZ,BTLH,M,AHY,2008,"6/28, 3.3g",,,,,,,,,,,,,,,,,,
9000-89927,06/14/2008,HOLZ,BTLH,M,AHY,2008,"6/28, 3.4g","7/5, 3.5g",,,,,,,,,,,,,,,,,
9000-89928,06/16/2008,MCGC,BTLH,M,AHY,2008,"6/16, 3.3g again","6/18, 3.2g","6/23, 3.2g","7/6, 3.0g","7/8, 3.3g","7/10, 3.1g",,,,,,,,,,,,,
9000-89933,06/16/2008,MP1,BTLH,M,AHY,2008,"6/17, 3.2g","7/9, 3.3g at HPK1",,,,,,,,,,,,,,,,,
9000-89940,06/19/2008,MCGC,BTLH,M,AHY,2008,"7/10, 3.1g","7/20, 3.4g",,,,,,,,,,,,,,,,,
9000-89946,06/21/2008,GNMTN,BTLH,M,AHY,2008,"7/5, 3.3g","7/13, 3.8g",,,,,,,,,,,,,,,,,
9000-89948,06/21/2008,GNMTN,BTLH,M,AHY,2008,"7/18, 3.4g",,,,,,,,,,,,,,,,,,
9000-89952,06/17/2008,MCGC,BTLH,M,AHY,2008,"7/3, 3.2g",,,,,,,,,,,,,,,,,,
9000-89964,06/24/2008,MP1,BTLH,M,AHY,2008,"7/2, 3.0g","7/9, 3.3g",,,,,,,,,,,,,,,,,
9000-89965,06/28/2008,HOLZ,BTLH,M,AHY,2008,"6/28, 3.2g",,,,,,,,,,,,,,,,,,
9000-89976,07/01/2008,MCGC,BTLH,M,AHY,2008,"7/2, 3.3g",,,,,,,,,,,,,,,,,,
9000-89988,07/03/2008,MCGC,BTLH,M,AHY,2008,"7/8, n.w .",,,,,,,,,,,,,,,,,,
9000-90096,05/31/2008,MP1,BTLH,F,AHY,2008,"5/31, again",,,,,,,,,,,,,,,,,,
9000-90097,06/01/2008,HOLZ,BTLH,F,AHY,2008,"6/7, 3.5g E8","6/28, 3.2g","7/11, 3.2g",,,,,,,,,,,,,,,,
9000-90098,06/02/2008,MCGC,BTLH,F,AHY,2008,"6/19, 3.7g","6/28, 4.0g","7/8, 3.5g","7/14, 3.7g","7/17, 3.6g 2x","7/24, 3.5g ntw",,,,,,,,,,,,,
9000-90109,05/17/2008,MCGC,BTLH,M,AHY,2008,"5/17, again",,,,,,,,,,,,,,,,,,
9000-90114,06/02/2008,MP1,BTLH,M,AHY,2008,"6/2, again","6/11, 3.2g","7/2, 3.0g",,,,,,,,,,,,,,,,
9000-90118,06/03/2008,MP1,BTLH,M,AHY,2008,"6/17, 3.4g",,,,,,,,,,,,,,,,,,
9000-90123,06/02/2008,MP1,BTLH,F,AHY,2008,"8/13, 3.7g htw  at HPK1",,,,,,,,,,,,,,,,,,
9000-90129,06/07/2008,GNMTN,BTLH,F,AHY,2008,"6/28, 3.3g","7/13, 3.4g",,,,,,,,,,,,,,,,,
9000-90132,06/03/2008,MP1,BTLH,F,AHY,2008,"6/6, 3.4g E6",,,,,,,,,,,,,,,,,,
9000-90136,06/04/2008,MP1,BTLH,F,AHY,2008,"7/29, 3.7g htw",,,,,,,,,,,,,,,,,,
9000-90141,06/07/2008,GNMTN,BTLH,F,AHY,2008,"7/13, 3.7g","8/27, 3.6g htw",,,,,,,,,,,,,,,,,
9000-90142,06/07/2008,GNMTN,BTLH,F,AHY,2008,"6/14, 3.9g",,,,,,,,,,,,,,,,,,
9000-90143,06/07/2008,GNMTN,BTLH,F,AHY,2008,"6/28, 3.6g E6","7/5, 3.8g",,,,,,,,,,,,,,,,,
9000-90144,06/07/2008,GNMTN,BTLH,F,AHY,2008,"7/13, 3.7g","8/16, 3.8g ntw",,,,,,,,,,,,,,,,,
9000-90146,06/07/2008,KV1,BTLH,F,AHY,2008,"8/6, 3.5g ntw",,,,,,,,,,,,,,,,,,
9000-90147,06/07/2008,KV1,BTLH,F,AHY,2008,"6/7, again",,,,,,,,,,,,,,,,,,
9000-90148,06/07/2008,KV1,BTLH,F,AHY,2008,"6/14, 3.5g","7/23, 3.7g ntw",,,,,,,,,,,,,,,,,
9000-90149,06/07/2008,KV1,BTLH,F,AHY,2008,"6/21, 3.4g E6",,,,,,,,,,,,,,,,,,
9000-90150,06/08/2008,MCGC,BTLH,F,AHY,2008,"8/7, 4.0g htw",,,,,,,,,,,,,,,,,,
9000-90152,06/08/2008,MP1,BTLH,F,AHY,2008,"8/26, 3.6g ntw",,,,,,,,,,,,,,,,,,
9000-90158,06/09/2008,HPK1,BTLH,F,AHY,2008,"8/1, 3.7g vltw",,,,,,,,,,,,,,,,,,
9000-90160,06/09/2008,HPK1,BTLH,F,AHY,2008,"6/17, 3.5g",,,,,,,,,,,,,,,,,,
9000-90162,06/11/2008,MCGC,BTLH,F,AHY,2008,"6/11, again 3.3g",,,,,,,,,,,,,,,,,,
9000-90163,06/14/2008,KV1,BTLH,F,AHY,2008,"6/14, again",,,,,,,,,,,,,,,,,,
9000-90165,06/14/2008,KV1,BTLH,F,AHY,2008,"7/13, 3.7g",,,,,,,,,,,,,,,,,,
9000-90167,06/14/2008,KV1,BTLH,F,AHY,2008,"7/5, 3.6g","8/15, 4.4g",,,,,,,,,,,,,,,,,
9000-90168,06/14/2008,KV1,BTLH,F,AHY,2008,"7/13, 3.0g",,,,,,,,,,,,,,,,,,
9000-90169,06/14/2008,KV1,BTLH,F,AHY,2008,"7/5, 3.3g",,,,,,,,,,,,,,,,,,
9000-90171,06/14/2008,KV1,BTLH,F,AHY,2008,"8/15, 3.5g vhtw",,,,,,,,,,,,,,,,,,
9000-90173,06/14/2008,KV1,BTLH,F,AHY,2008,"7/15, 3.4g",,,,,,,,,,,,,,,,,,
