Band Number,Original Date,Original Site,Species,Original Sex,Original Age,Recapture Year,Recapture 1,Recapture 2,Recapture 3,Recapture 4,Recapture 5,Recapture 6,Recapture 7,Recapture 8,Recapture 9,Recapture 10,Recapture 11,Recapture 12,Recapture 13,Recapture 14,Recapture 15,Recapture 16,Recapture 17,Comments,
6000-23482,06/01/2005,MP1,BTLH,F,AHY,2008,"6/3, 3.6g",,,,,,,,,,,,,,,,,,
6000-23528,06/11/2005,MP1,BTLH,F,AHY,2008,"6/16, 3.7g E6+",,,,,,,,,,,,,,,,,,
6000-23567,06/18/2005,MP1,BTLH,F,AHY,2008,"6/16, 3.4g",,,,,,,,,,,,,,,,,,
6000-23631,06/27/2005,KV1,BTLH,F,AHY,2008,"7/13, 3.6g 3x",,,,,,,,,,,,,,,,,,
6000-23641,06/27/2005,GNMTN,BTLH,F,AHY,2008,"7/13, 3.5g","8/27, 3.9g nt","9/4, 3.5g vltw",,,,,,,,,,,,,,,,
6000-23645,06/27/2005,GNMTN,BTLH,F,AHY,2008,"6/7, 3.4g","7/5, 3.8g E8","7/18, 3.6g ltw  7 g.f.",,,,,,,,,,,,,,,,
6000-23648,06/27/2005,GNMTN,BTLH,F,AHY,2008,"7/13, 3.7g",,,,,,,,,,,,,,,,,,
6000-23664,07/01/2005,KV1,BTLH,F,AHY,2008,"7/11, 3.7g",,,,,,,,,,,,,,,,,,
6000-23679,07/07/2005,MCGC,BTLH,F,AHY,2008,"7/24, 3.7g ltw","8/22, 3.8g ltw",,,,,,,,,,,,,,,,,
6000-23694*,07/08/2005,MCGC,BTLH,F,AHY,2008,"5/17, 3.7g","7/26, n.w .",,,,,,,,,,,,,,,,*New  E90908,
6000-23724,07/09/2005,GNMTN,BTLH,F,AHY,2008,"7/13, 3.7g","7/18, 3.8g","8/15, 3.4g","8/27, 3.6g ltw",,,,,,,,,,,,,,,
6000-23740,07/10/2005,MCGC,BTLH,F,AHY,2008,"7/1, 3.3g",,,,,,,,,,,,,,,,,,
6000-23745*,07/11/2005,MCGC,BTLH,F,AHY,2008,"5/17, 3.6g","6/23, 3.6g","6/29, 3.6g","7/3, 3.7g at CC2",,,,,,,,,,,,,,*New  E90414,
6000-23792,07/13/2005,MCGC,BTLH,F,AHY,2008,"7/8, n.w . E7","7/14, 3.7 E7","8/16, 4.5g htw","8/24, 3.5g htw",,,,,,,,,,,,,,,
6000-23805*,07/14/2005,MCGC,BTLH,F,AHY,2008,"8/10, 3.7g",,,,,,,,,,,,,,,,,*New  E91047,
6000-23817,07/19/2005,MCGC,BTLH,F,AHY,2008,"7/3, 3.7g E7","7/11, 3.8g","7/14, 3.5g","7/19, 3.2g","7/24, 3.3g","7/26, 3.5g","7/29, 3.3g","8/16, 3.3g 2x","8/23, 3.8g ltw",,,,,,,,,,
6000-23872,07/22/2005,MCGC,BTLH,M,AHY,2008,"6/18, 3.1g","6/29, 3.1g",,,,,,,,,,,,,,,,,
6000-53536,07/28/2005,MCGC,RUHU,M,AHY,2008,,,,,,,,,,,,,,,,,,"Recaptured near Banff, Alberta, Canada, on 21 June 2008",
6000-53580,07/26/2005,MCGC,BTLH,F,AHY,2008,"7/1, 3.4g",,,,,,,,,,,,,,,,,,
6000-53582,07/26/2005,MCGC,BTLH,F,AHY,2008,"6/28, 3.4g","7/3, 3.4g","7/8, 3.3g",,,,,,,,,,,,,,,,
6000-53620,07/28/2005,GNMTN,BTLH,F,AHY,2008,"8/15, 3.5g",,,,,,,,,,,,,,,,,,
6000-53625,07/28/2005,KV1,BTLH,F,AHY,2008,"7/5, 3.6g",,,,,,,,,,,,,,,,,,
6000-53637,07/30/2005,MCGC,BTLH,F,AHY,2008,"6/24, 3.2g","6/29, 3.1g","7/19, 3.3g","7/20, 3.5g htw",,,,,,,,,,,,,,,
6000-53702,08/01/2005,MP1,BTLH,F,AHY,2008,"8/11, 3.4g l-mtw",,,,,,,,,,,,,,,,,,
6000-53724,08/06/2005,MP1,BTLH,F,AHY,2008,"6/24, 3.3g",,,,,,,,,,,,,,,,,,
6000-53739,08/08/2005,MP1,BTLH,F,AHY,2008,"7/9, 3.6g E8",,,,,,,,,,,,,,,,,,
6000-53749,08/06/2005,MP1,BTLH,M,HY,2008,"8/26, 3.7g, female",,,,,,,,,,,,,,,,,l-htw,
6000-53773,08/09/2005,GNMTN,BTLH,F,AHY,2008,"6/14, 3.6g",,,,,,,,,,,,,,,,,p9 6mm<p10,
6000-53809,08/15/2005,HOLZ,BTLH,F,AHY,2008,"6/7, 4.1g E8 2x","7/5, 3.9g E6-","7/12, 3.7g","8/6, 3.4g m-htw",,,,,,,,,,,,,,,
6000-53813,08/16/2005,MP1,BTLH,F,AHY,2008,"6/17, 3.6g",,,,,,,,,,,,,,,,,,
6000-53814,08/16/2005,MP1,BTLH,F,HY,2008,"5/31, 3.9g",,,,,,,,,,,,,,,,,,
6000-53816,08/16/2005,MP1,BTLH,F,AHY,2008,"8/26, 4.1g htw",,,,,,,,,,,,,,,,,,
6000-53837,08/17/2005,MP1,BTLH,F,AHY,2008,"7/20, 3.4g vltw",,,,,,,,,,,,,,,,,,
6000-53890,08/24/2005,MCGC,BTLH,F,AHY,2008,"6/18, 3.3g",,,,,,,,,,,,,,,,,,
6000-53908,08/26/2005,MP1,BTLH,F,AHY,2008,"6/24, 3.3g",,,,,,,,,,,,,,,,,,
6000-53918,08/25/2005,MCGC,BTLH,M,HY,2008,"6/3, 3.7g E6- at CC2 female",,,,,,,,,,,,,,,,,,
6000-80917,05/21/2006,MP1,BTLH,F,AHY,2008,"6/17, 3.5g",,,,,,,,,,,,,,,,,,
6000-80918,05/21/2006,MP1,BTLH,F,AHY,2008,"8/26, 3.4g htw",,,,,,,,,,,,,,,,,,
6000-80924,05/27/2006,CC2,BTLH,F,AHY,2008,"6/23, 3.6g at MCGC",,,,,,,,,,,,,,,,,,
6000-80933,05/29/2006,MCGC,BTLH,F,AHY,2008,"6/9, 3.6g E6-","7/1, 3.7g E6+","7/6, 3.5g","7/19, 3.3g vltw","8/11, 3.8g ltw","8/23, 3.8g",,,,,,,,,,,,,
