Band Number,Recapture Date,Recapture Site,Species,Recaptured Sex,Recapture Age,Recapture Year,Recapture 1,Comments
4100-08225,7/19/2012,MP1,BTLH,F,AHY,2012,3.6,
9100-23269,7/19/2012,MP1,BTLH,F,AHY,2012,3.2,
9100-23336,7/19/2012,MP1,BTLH,F,AHY,2012,3.5,
9100-22970,7/19/2012,MP1,BTLH,F,AHY,2012,3.3,
4100-59122,7/19/2012,MP1,BTLH,F,AHY,2012,3.6,
9100-23563,7/20/2012,HOLZ,BTLH,F,AHY,2012,3.91,
9100-23560,7/20/2012,HOLZ,BTLH,F,AHY,2012,3.63,
4100-59310,7/20/2012,HOLZ,BTLH,F,AHY,2012,3.7,
9100-23149,7/20/2012,HOLZ,BTLH,F,AHY,2012,3.51,
9100-23684,7/20/2012,HOLZ,BTLH,F,AHY,2012,3.57,
9100-23392,7/20/2012,HOLZ,BTLH,F,AHY,2012,3.25,
4100-08945,7/20/2012,HOLZ,BTLH,F,AHY,2012,3.66,
9100-22931,7/20/2012,HOLZ,BTLH,F,AHY,2012,3.59,
3100-41757,7/20/2012,HOLZ,BTLH,F,AHY,2012,3.81,
4100-08778,7/20/2012,HOLZ,BTLH,F,AHY,2012,3.7,
3100-42601,7/20/2012,HOLZ,BTLH,F,AHY,2012,3.6,
9100-23621,7/20/2012,HOLZ,BTLH,M,AHY,2012,3.54,
9100-23138,7/20/2012,HOLZ,BTLH,F,AHY,2012,3.54,
9100-23375,7/20/2012,HOLZ,BTLH,F,AHY,2012,3.56,
9100-23825,7/20/2012,HOLZ,CAHU,F,AHY,2012,2.7,
9100-23562,7/20/2012,HOLZ,BTLH,F,AHY,2012,,
9100-23686,7/20/2012,HOLZ,BTLH,F,AHY,2012,3.7,
9100-23826,7/20/2012,HOLZ,RUHU,F,AHY,2012,3.3,
9100-23484,7/20/2012,HOLZ,BTLH,F,AHY,2012,3.68,
4100-59310,7/20/2012,HOLZ,BTLH,F,AHY,2012,3.4,
9100-23684,7/20/2012,HOLZ,BTLH,F,AHY,2012,,
9100-23892,7/20/2012,GNMTN,CAHU,M,AHY,2012,, banded today
4100-08622,7/20/2012,GNMTN,BTLH,F,AHY,2012,3.49,
4100-08817,7/20/2012,GNMTN,BTLH,F,AHY,2012,3.47,
9100-23462,7/20/2012,GNMTN,BTLH,F,AHY,2012,3.4,
9100-23252,7/20/2012,GNMTN,BTLH,F,AHY,2012,3.76,
4100-08915,7/20/2012,GNMTN,BTLH,F,AHY,2012,3.66,
4100-08619,7/20/2012,GNMTN,BTLH,F,AHY,2012,3.45,
9000-90143,7/20/2012,GNMTN,BTLH,F,AHY,2012,3.67,
9100-23830,7/20/2012,GNMTN,RUHU,F,AHY,2012,, banded today
4100-08622,7/20/2012,GNMTN,BTLH,F,AHY,2012,3.37,
4100-59487,7/20/2012,GNMTN,BTLH,F,AHY,2012,,
3100-42889,7/20/2012,GNMTN,BTLH,F,AHY,2012,3.58,
9100-23690,7/20/2012,GNMTN,BTLH,F,AHY,2012,3.6,
9100-23378,7/20/2012,GNMTN,BTLH,F,AHY,2012,3.73,
9100-23694,7/20/2012,GNMTN,BTLH,F,AHY,2012,3.47,
4100-59390,7/20/2012,GNMTN,BTLH,F,AHY,2012,3.73,
9000-39332,7/27/2012,KV1,BTLH,F,AHY,2012,3.48,
3100-42164,7/27/2012,KV1,BTLH,F,AHY,2012,3.9,
9100-23872,8/2/2012,GNMTN,BTLH,F,AHY,2012,3.42,
9100-23693,8/2/2012,GNMTN,BTLH,F,AHY,2012,3.39,
4100-08622,8/2/2012,GNMTN,BTLH,F,AHY,2012,3.52,
9100-23257,8/2/2012,GNMTN,BTLH,F,AHY,2012,3.79,
4100-08622,8/2/2012,GNMTN,BTLH,F,AHY,2012,3.52,
9100-23254,8/2/2012,GNMTN,BTLH,F,AHY,2012,3.57,
9100-24760,8/2/2012,KV1,BTLH,F,AHY,2012,3.74,
9100-23376,8/2/2012,HOLZ,BTLH,F,AHY,2012,3.86,
9100-23568,8/2/2012,HOLZ,BTLH,F,AHY,2012,3.81,
9100-23987,8/2/2012,HOLZ,BTLH,F,AHY,2012,3.55,
9100-23488,8/2/2012,HOLZ,BTLH,F,AHY,2012,3.86,
9100-23808,8/2/2012,HOLZ,BTLH,F,AHY,2012,4.45,
9100-23569,8/2/2012,HOLZ,BTLH,F,AHY,2012,4.09,
9100-23805,8/2/2012,HOLZ,BTLH,F,AHY,2012,3.66,
9000-90307,8/2/2012,HOLZ,BTLH,F,AHY,2012,4.04,
9100-23145,8/2/2012,HOLZ,BTLH,F,AHY,2012,3.82,
9100-24071,8/2/2012,HOLZ,RUHU,F,AHY,2012,,again; banded today
9100-23562,8/2/2012,HOLZ,BTLH,F,AHY,2012,4.42,
9100-23392,8/2/2012,HOLZ,BTLH,F,AHY,2012,3.91,
9100-23561,8/2/2012,HOLZ,BTLH,F,AHY,2012,3.63,
9100-24084,8/2/2012,HOLZ,BTLH,F,AHY,2012,,
4100-08778,8/2/2012,HOLZ,BTLH,F,AHY,2012,4.12,
9000-91022,8/2/2012,HOLZ,BTLH,F,AHY,2012,3.77,
4100-59952,8/2/2012,HOLZ,BTLH,F,AHY,2012,3.53,
9100-24086,8/2/2012,HOLZ,BTLH,F,AHY,2012,,
9100-23994,8/2/2012,HOLZ,BTLH,F,AHY,2012,3.83,
9100-24071,8/2/2012,HOLZ,RUHU,F,AHY,2012,,again
9000-39479,8/2/2012,HOLZ,BTLH,F,AHY,2012,3.9,
9100-23988,8/2/2012,HOLZ,BTLH,F,AHY,2012,4.02,
9100-23492,8/2/2012,HOLZ,BTLH,F,AHY,2012,4.09,
9100-24090,8/2/2012,HOLZ,BTLH,F,AHY,2012,,again
9100-23138,8/2/2012,HOLZ,BTLH,F,AHY,2012,3.84,
4100-59952,8/2/2012,HOLZ,BTLH,F,AHY,2012,3.48,again
9100-23414,8/4/2012,MP1,BTLH,F,AHY,2012,3.48,
9100-23424,8/4/2012,MP1,BTLH,F,AHY,2012,3.9,
4100-08148,8/4/2012,MP1,BTLH,F,AHY,2012,3.72,
4100-08791,8/4/2012,MP1,BTLH,F,AHY,2012,3.63,
4100-59105,8/4/2012,HPK2,BTLH,F,AHY,2012,3.23,
3100-42876,8/4/2012,HPK2,BTLH,F,AHY,2012,3.63,
9100-23934,8/4/2012,HPK2,BTLH,F,AHY,2012,3.12,
9100-23211,8/5/2012,MP1,BTLH,M,AHY,2012,3.46,
9100-23010,8/5/2012,MP1,BTLH,M,AHY,2012,3.53,
9100-23199,8/5/2012,MP1,BTLH,M,AHY,2012,3.62,
9100-23412,8/5/2012,MP1,BTLH,F,AHY,2012,3.96,
9000-90401,8/5/2012,MP1,BTLH,F,AHY,2012,3.66,
9100-23136,8/5/2012,MP1,BTLH,F,AHY,2012,3.52,
9000-90745,8/5/2012,MP1,BTLH,F,AHY,2012,4.25,
9100-23942,8/5/2012,MP1,BTLH,F,AHY,2012,3.79,
4100-58639,8/5/2012,MP1,BTLH,F,AHY,2012,3.8,
4100-59103,8/5/2012,MP1,BTLH,F,AHY,2012,3.66,
4100-59122,8/5/2012,MP1,BTLH,F,AHY,2012,3.9,
4100-59037,8/5/2012,MP1,BTLH,F,AHY,2012,3.97,
4100-59738,8/5/2012,MP1,BTLH,F,AHY,2012,,escaped
9000-90677,8/5/2012,MP1,BTLH,F,AHY,2012,3.82,
4100-59177,8/5/2012,MP1,BTLH,F,AHY,2012,3.46,
4100-59443,8/5/2012,MP1,BTLH,F,AHY,2012,3.7,
9100-23345,8/5/2012,MP1,BTLH,M,AHY,2012,3.57,
9100-23419,8/5/2012,MP1,BTLH,F,AHY,2012,3.4,
4100-08219,8/5/2012,MP1,BTLH,F,AHY,2012,3.58,
4100-59147,8/7/2012,MP1,BTLH,F,AHY,2012,3.37,
4100-08173,8/7/2012,MP1,BTLH,F,AHY,2012,3.66,
9100-23412,8/7/2012,MP1,BTLH,F,AHY,2012,3.49,
4100-08456,8/7/2012,MP1,BTLH,F,AHY,2012,3.4,
9100-23410,8/7/2012,MP1,BTLH,F,AHY,2012,3.3,
9000-91345,8/7/2012,MP1,BTLH,F,AHY,2012,3.8,
4100-08204,8/7/2012,MP1,BTLH,F,AHY,2012,4.16,
4100-59797,8/7/2012,MP1,BTLH,F,AHY,2012,3.89,
9100-23430,8/7/2012,MP1,BTLH,F,AHY,2012,3.58,
4100-59631,8/7/2012,MP1,BTLH,F,AHY,2012,3.67,
9100-23426,8/7/2012,MP1,BTLH,F,AHY,2012,3.69,
4100-59752,8/7/2012,MP1,BTLH,F,AHY,2012,3.83,
9100-23782,8/7/2012,MP1,BTLH,F,AHY,2012,,
9100-23942,8/7/2012,MP1,BTLH,F,AHY,2012,,
4100-59478,8/7/2012,MP1,BTLH,F,AHY,2012,,
4100-59991,8/7/2012,MP1,BTLH,F,AHY,2012,,
4100-08949,8/8/2012,KV1,BTLH,F,AHY,2012,3.65,
9100-23694,8/8/2012,GNMTN,BTLH,F,AHY,2012,3.27,
9100-23998,8/8/2012,GNMTN,BTLH,F,AHY,2012,3.4,
9100-23630,8/8/2012,GNMTN,BTLH,F,AHY,2012,3.9,
9100-23695,8/8/2012,GNMTN,BTLH,F,AHY,2012,3.72,
9100-24160,8/8/2012,GNMTN,RUHU,F,HY,2012,,again; banded today
9100-24048,8/8/2012,GNMTN,RUHU,M,HY,2012,,again; banded today
9100-57006,8/8/2012,GNMTN,BTLH,F,HY,2012,,
4100-08814,8/8/2012,GNMTN,BTLH,F,AHY,2012,3.8,
9100-23865,8/8/2012,GNMTN,BTLH,F,AHY,2012,3.54,
9100-23995,8/8/2012,HOLZ,BTLH,F,AHY,2012,4.06,
9100-23993,8/8/2012,HOLZ,BTLH,F,AHY,2012,3.27,
9100-23492,8/8/2012,HOLZ,BTLH,F,AHY,2012,4.19,
9100-23804,8/8/2012,HOLZ,BTLH,F,AHY,2012,3.6,
9100-24084,8/8/2012,HOLZ,BTLH,F,AHY,2012,3.69,
9100-23485,8/8/2012,HOLZ,BTLH,F,AHY,2012,3.65,
9100-23569,8/8/2012,HOLZ,BTLH,F,AHY,2012,3.49,
9100-24072,8/8/2012,HOLZ,BTLH,F,AHY,2012,3.51,
9100-57012,8/8/2012,HOLZ,BTLH,F,AHY,2012,,
9100-24090,8/8/2012,HOLZ,BTLH,F,AHY,2012,3.42,
9100-23483,8/8/2012,HOLZ,BTLH,F,AHY,2012,3.65,
9100-23989,8/8/2012,HOLZ,BTLH,F,AHY,2012,3.5,
9100-23808,8/8/2012,HOLZ,BTLH,F,AHY,2012,3.73,
9100-23563,8/8/2012,HOLZ,BTLH,F,AHY,2012,3.76,
9100-57013,8/8/2012,HOLZ,BTLH,F,AHY,2012,3.6,
4100-08778,8/8/2012,HOLZ,BTLH,F,AHY,2012,3.7,
9100-23990,8/8/2012,HOLZ,BTLH,F,AHY,2012,3.87,
9100-24093,8/8/2012,HOLZ,BTLH,F,AHY,2012,3.67,
9100-23490,8/8/2012,HOLZ,BTLH,F,AHY,2012,3.79,
4100-59952,8/8/2012,HOLZ,BTLH,F,AHY,2012,3.48,
9100-23487,8/8/2012,HOLZ,BTLH,F,AHY,2012,3.76,
3100-42601,8/8/2012,HOLZ,BTLH,F,AHY,2012,3.28,
9100-24183,8/30/2012,MP1,BTLH,F,AHY,2012,3.3,
9100-57099,8/30/2012,MP1,CAHU,M,HY,2012,2.67, banded today
9100-57140,8/30/2012,MP1,BTLH,F,AHY,2012,4.2,
4100-59122,8/31/2012,MP1,BTLH,F,AHY,2012,3.71,
9100-57100,8/31/2012,MP1,CAHU,M,HY,2012,,again
9100-24136,8/31/2012,MP1,BTLH,F,AHY,2012,4.38,
9100-57207,8/31/2012,MP1,BTLH,F,HY,2012,,again
9100-57236,8/31/2012,MP1,BTLH,M,HY,2012,3.93,
9100-57210,8/31/2012,MP1,BTLH,F,HY,2012,3.8,
9100-23690,9/1/2012,GNMTN,BTLH,F,AHY,2012,3.57,
4100-59487,9/1/2012,GNMTN,BTLH,F,AHY,2012,3.54,
9100-24093,9/1/2012,HOLZ,BTLH,F,AHY,2012,3.6,
9000-90307,9/1/2012,HOLZ,BTLH,F,AHY,2012,3.65,
9100-57195,9/2/2012,MP1,BTLH,F,HY,2012,3.44,
9100-57243,9/2/2012,MP1,BTLH,F,HY,2012,3.91,
9100-57236,9/2/2012,MP1,BTLH,M,HY,2012,3.4,
4100-08591,9/2/2012,MP1,BTLH,F,AHY,2012,3.96,
3100-41970,8/15/2012,MP1,BTLH,F,AHY,2012,3.65,"reband-pine pitch, debris 9100-57026"
9100-23411,8/15/2012,MP1,BTLH,F,AHY,2012,3.89,
9000-12435,8/15/2012,MP1,BTLH,F,AHY,2012,3.48,
4100-08383,8/15/2012,MP1,BTLH,F,AHY,2012,3.66,
4100-57631,8/15/2012,MP1,BTLH,F,AHY,2012,3.68,
3100-41613,8/15/2012,MP1,BTLH,F,AHY,2012,3.63,
9100-23991,8/16/2012,HOLZ,BTLH,F,AHY,2012,4.15,
9100-24086,8/16/2012,HOLZ,BTLH,F,AHY,2012,3.29,
9100-57018,8/16/2012,HOLZ,BTLH,F,AHY,2012,3.25,
9100-57020,8/16/2012,HOLZ,BTLH,F,AHY,2012,4.36,
9100-24092,8/16/2012,HOLZ,BTLH,F,AHY,2012,3.41,
9100-24084,8/16/2012,HOLZ,BTLH,F,AHY,2012,3.76,
9100-23990,8/16/2012,HOLZ,BTLH,F,AHY,2012,4.07,
9100-57016,8/16/2012,HOLZ,BTLH,F,AHY,2012,4.17,
9100-23993,8/16/2012,HOLZ,BTLH,F,AHY,2012,3.8,
9100-23988,8/16/2012,HOLZ,BTLH,F,AHY,2012,3.43,
9000-90307,8/16/2012,HOLZ,BTLH,F,AHY,2012,3.62,
9100-23801,8/16/2012,HOLZ,BTLH,F,AHY,2012,4.62,
9100-24091,8/16/2012,HOLZ,BTLH,F,AHY,2012,4.46,
9100-23989,8/16/2012,HOLZ,BTLH,F,AHY,2012,3.52,
3100-41757,8/16/2012,HOLZ,BTLH,F,AHY,2012,3.68,
3100-42225,8/16/2012,HOLZ,BTLH,F,AHY,2012,3.6,
9100-57061,8/16/2012,HOLZ,BTLH,M,HY,2012,,banded today
9100-23560,8/16/2012,HOLZ,BTLH,F,AHY,2012,3.73,
9100-23808,8/16/2012,HOLZ,BTLH,F,AHY,2012,3.86,
9100-23375,8/16/2012,HOLZ,BTLH,F,AHY,2012,3.51,
9100-23987,8/16/2012,HOLZ,BTLH,F,AHY,2012,3.74,
4100-59834,8/16/2012,KV1,BTLH,F,AHY,2012,3.7,
9100-57091,8/16/2012,KV1,CAHU,F,HY,2012,,banded today
4100-59395,8/16/2012,KV1,BTLH,F,AHY,2012,,found dead in building
9100-57036,8/18/2012,MP1,BTLH,F,AHY,2012,4.38,
9100-24191,8/18/2012,MP1,BTLH,F,AHY,2012,4.65,
9100-24117,8/19/2012,MP1,BTLH,F,AHY,2012,3.6,
9000-90197,8/19/2012,MP1,BTLH,F,AHY,2012,3.83,
9100-57141,8/22/2012,MP1,RUHU,M,HY,2012,,again
4100-61571,8/22/2012,MP1,BTLH,M,HY,2012,3.34,foreign 9100-57147
9100-57141,8/22/2012,MP1,RUHU,M,HY,2012,,again
9100-57121,8/22/2012,MP1,BTLH,M,HY,2012,,again
9100-57141,8/25/2012,MP1,RUHU,M,HY,2012,3.97,
9100-57141,8/25/2012,MP1,RUHU,M,HY,2012,,again
9100-57108,8/25/2012,MP1,BTLH,F,AHY,2012,3.78,
9100-57244,8/26/2012,KV1,RUHU,M,HY,2012,4.8,
9100-57038,8/26/2012,HOLZ,BTLH,F,AHY,2012,3.96,
9100-24093,8/26/2012,HOLZ,BTLH,F,AHY,2012,3.56,
9100-24084,8/26/2012,HOLZ,BTLH,F,AHY,2012,3.78,
9100-23990,8/26/2012,HOLZ,BTLH,F,AHY,2012,3.58,
9100-57013,8/26/2012,HOLZ,BTLH,F,AHY,2012,3.85,
9100-57038,8/26/2012,HOLZ,BTLH,F,AHY,2012,4.01,
9100-24084,8/26/2012,HOLZ,BTLH,F,AHY,2012,3.72,again
9100-57020,8/26/2012,HOLZ,BTLH,F,AHY,2012,3.18,
4100-08778,8/26/2012,HOLZ,BTLH,F,AHY,2012,3.74,
9100-57038,8/26/2012,HOLZ,BTLH,F,AHY,2012,3.7,
9000-90307,8/26/2012,HOLZ,BTLH,F,AHY,2012,3.63,
9100-23560,8/26/2012,HOLZ,BTLH,F,AHY,2012,4.09,
9100-23990,8/26/2012,HOLZ,BTLH,F,AHY,2012,,again
9100-57038,8/26/2012,HOLZ,BTLH,F,AHY,2012,,again
9100-57081,9/3/2012,MP1,BTLH,F,AHY,2012,4.4,
9100-23707,9/3/2012,MP1,BTLH,F,AHY,2012,4.62,again
9100-57289,9/4/2012,MP1,RUHU,M,HY,2012,,again
9100-57289,9/4/2012,MP1,RUHU,M,HY,2012,,again
9100-57289,9/4/2012,MP1,RUHU,M,HY,2012,,again
9100-57289,9/4/2012,MP1,RUHU,M,HY,2012,3.96,
9100-57289,9/4/2012,MP1,RUHU,M,HY,2012,,again
9100-57295,9/4/2012,MP1,BTLH,F,AHY,2012,4.02,captured w/two HY F
4100-08186,9/4/2012,MP1,BTLH,F,AHY,2012,,"debris, constricted tarsus band removed"
9100-57387,9/7/2012,MP1,BTLH,F,HY,2012,3.51,
9100-57295,9/7/2012,MP1,BTLH,M,HY,2012,4.19,
9100-57386,9/7/2012,MP1,BTLH,F,HY,2012,3.74,
9100-57389,9/7/2012,MP1,BTLH,F,HY,2012,,again
9100-57382,9/7/2012,MP1,BTLH,F,HY,2012,3.44,
9100-57384,9/7/2012,MP1,BTLH,F,HY,2012,3.6,
9100-57389,9/7/2012,MP1,BTLH,F,HY,2012,,again
9100-57256,9/8/2012,GNMTN,BTLH,M,HY,2012,3.58,
9100-57294,9/9/2012,MP1,BTLH,M,HY,2012,3.61,
9100-57386,9/9/2012,MP1,BTLH,F,HY,2012,3.79,
9100-57322,9/9/2012,MP1,BTLH,M,HY,2012,,banded today
9000-39201,5/13/2012,MP1,BTLH,F,AHY,2012,"E8, 4.1",
9000-40063,5/13/2012,MP1,BTLH,F,AHY,2012,4.3,
4100-07987,5/13/2012,MP1,BTLH,M,AHY,2012,3.1,
9000-93765,5/13/2012,MP1,BTLH,F,AHY,2012,3.6,
9000-90677,5/13/2012,MP1,BTLH,F,AHY,2012,3.3,
4100-08214,5/13/2012,MP1,BTLH,F,AHY,2012,"E6+, 3.7",
4100-59112,5/13/2012,MP1,BTLH,F,AHY,2012,3.4,
3100-41740,5/13/2012,MP1,BTLH,F,AHY,2012,3.5,
3100-41724,5/13/2012,MP1,BTLH,M,AHY,2012,3.3,
4100-59602,5/13/2012,MP1,BTLH,F,AHY,2012,"E8, 4.4",
4100-59527,5/4/2012,MCGC,BTLH,F,AHY,2012,3.7,
4100-08925,5/4/2012,MCGC,BTLH,F,AHY,2012,3.8,band to left leg
4100-59259,5/4/2012,MCGC,BTLH,M,AHY,2012,3.05,
4100-59259,5/4/2012,MCGC,BTLH,M,AHY,2012,,again
4100-08138,5/10/2012,MCGC,BTLH,F,AHY,2012,3.65,
4100-08367,5/10/2012,MCGC,BTLH,F,AHY,2012,"E6+, 3.9",
4100-59259,5/10/2012,MCGC,BTLH,M,AHY,2012,3.1,
4100-08811,5/10/2012,MCGC,BTLH,F,AHY,2012,3.2,
4100-08240,5/10/2012,MCGC,BTLH,F,AHY,2012,"E8, 3.7",
4100-08230,5/10/2012,MCGC,BTLH,F,AHY,2012,"E7, 3.9",
4100-59171,5/10/2012,MCGC,BTLH,F,AHY,2012,3.3,
4100-08127,5/10/2012,MCGC,BTLH,F,AHY,2012,"E7, 3.7",
4100-59259,5/10/2012,MCGC,BTLH,M,AHY,2012,2.9,
4100-59206,5/10/2012,MCGC,BTLH,M,AHY,2012,3.2,
3100-42307,5/10/2012,MCGC,BTLH,F,AHY,2012,"E7, 3.7",
4100-59259,5/10/2012,MCGC,BTLH,M,AHY,2012,,again
3100-42512,5/10/2012,MCGC,BTLH,F,AHY,2012,"E8, 4.1",
4100-59507,5/10/2012,MCGC,BTLH,F,AHY,2012,3.4,
4100-59243,5/10/2012,MCGC,BTLH,M,AHY,2012,3.4,
4100-58684,5/10/2012,MCGC,BTLH,F,AHY,2012,4,
3100-41930,5/10/2012,MCGC,BTLH,F,AHY,2012,"E8, 4",
4100-08127,5/12/2012,MCGC,BTLH,F,AHY,2012,"E7, 3.8",
4100-59106,5/14/2012,MCGC,BTLH,F,AHY,2012,3.6,
4100-59259,5/14/2012,MCGC,BTLH,M,AHY,2012,3,
4100-59196,5/14/2012,MCGC,BTLH,F,AHY,2012,"E6-, 3.6",
3100-42709,5/14/2012,MCGC,BTLH,M,AHY,2012,3.3,
4100-08959,5/14/2012,MCGC,BTLH,F,AHY,2012,"E6-, 3.6",
4100-59201,5/14/2012,MCGC,BTLH,M,AHY,2012,3.2,
4100-08362,5/14/2012,MCGC,BTLH,F,AHY,2012,3.7,
4100-59259,5/14/2012,MCGC,BTLH,M,AHY,2012,,again
3100-41930,5/14/2012,MCGC,BTLH,F,AHY,2012,3.6,
4100-08240,5/14/2012,MCGC,BTLH,F,AHY,2012,"E7+, 4",
4100-59259,5/14/2012,MCGC,BTLH,M,AHY,2012,,
3100-42097,5/14/2012,MCGC,BTLH,M,AHY,2012,3.8,
4100-59259,5/14/2012,MCGC,BTLH,M,AHY,2012,,again
3100-42195,5/14/2012,MCGC,BTLH,F,AHY,2012,3.4,
4100-08116,5/14/2012,MCGC,BTLH,F,AHY,2012,3.4,
3100-42325,5/14/2012,MCGC,BTLH,F,AHY,2012,3.4,
3100-42341,5/14/2012,MCGC,BTLH,F,AHY,2012,3.2,
4100-59259,5/14/2012,MCGC,BTLH,M,AHY,2012,,again
4100-59252,5/14/2012,MCGC,BTLH,M,AHY,2012,3.2,p9 3.5 mm<p10
4100-59259,5/14/2012,MCGC,BTLH,M,AHY,2012,,again
4100-59106,5/20/2012,MCGC,BTLH,F,AHY,2012,3.7,
4100-08127,5/20/2012,MCGC,BTLH,F,AHY,2012,3.9,
4100-08952,5/20/2012,MCGC,BTLH,F,AHY,2012,3.9,p9 3.5mm<p10/w wing trill
4100-59259,5/20/2012,MCGC,BTLH,M,AHY,2012,3.1,
3100-42460,5/20/2012,MCGC,BTLH,F,AHY,2012,3.5,
4100-08230,5/20/2012,MCGC,BTLH,F,AHY,2012,3.4,
4100-59196,5/20/2012,MCGC,BTLH,F,AHY,2012,"E8, 3.9",
4100-58572,5/20/2012,MCGC,BTLH,F,AHY,2012,3.7,
4100-59524,5/20/2012,MCGC,BTLH,F,AHY,2012,3.2,
3100-41930,5/20/2012,MCGC,BTLH,F,AHY,2012,3.5,
4100-08127,5/20/2012,MCGC,BTLH,F,AHY,2012,,again
4100-58634,5/20/2012,MCGC,BTLH,F,AHY,2012,"E7+, 3.9",
3100-42453,5/20/2012,MCGC,BTLH,F,AHY,2012,3.3,
4100-59327,5/20/2012,MCGC,BTLH,F,AHY,2012,3.5,
4100-58572,5/20/2012,MCGC,BTLH,F,AHY,2012,3.6,again
3100-42512,5/20/2012,MCGC,BTLH,F,AHY,2012,3.5,
3100-41930,5/20/2012,MCGC,BTLH,F,AHY,2012,,again
4100-58684,5/20/2012,MCGC,BTLH,F,AHY,2012,"E7, 3.8",
9100-23007,5/20/2012,MCGC,BTLH,M,AHY,2012,,banded today
4100-08590,5/22/2012,MCGC,BTLH,F,AHY,2012,"E6, 3.7",
4100-08734,5/22/2012,MCGC,BTLH,F,AHY,2012,3.7,
4100-08235,5/22/2012,MCGC,BTLH,F,AHY,2012,"E8, 4.5",
4100-59624,5/22/2012,MCGC,BTLH,F,AHY,2012,3.5,
4100-59329,5/22/2012,MCGC,BTLH,F,AHY,2012,3.3,
4100-59533,5/22/2012,MCGC,BTLH,F,AHY,2012,3.6,
4100-59259,5/22/2012,MCGC,BTLH,M,AHY,2012,3.2,
3100-42188,5/22/2012,MCGC,BTLH,F,AHY,2012,3.5,
4100-59684,5/22/2012,MCGC,BTLH,F,AHY,2012,"E7, 4",
3100-42311,5/22/2012,MCGC,BTLH,F,AHY,2012,3.7,
4100-59461,5/22/2012,MCGC,BTLH,F,AHY,2012,3.1,
4100-08590,5/22/2012,MCGC,BTLH,F,AHY,2012,3.5,
9000-91054,5/22/2012,MCGC,BTLH,F,AHY,2012,"E7, 4.3",
4100-59201,5/22/2012,MCGC,BTLH,M,AHY,2012,3.1,
4100-08590,5/22/2012,MCGC,BTLH,F,AHY,2012,3.38,
3100-41930,5/22/2012,MCGC,BTLH,F,AHY,2012,3.4,
4100-08127,5/22/2012,MCGC,BTLH,F,AHY,2012,3.7,
4100-08235,5/22/2012,MCGC,BTLH,F,AHY,2012,,again
4100-59161,5/22/2012,MCGC,BTLH,F,AHY,2012,"E6, 4.5",
3100-42456,5/26/2012,MCGC,BTLH,F,AHY,2012,,9100-22920
4100-59524,5/26/2012,MCGC,BTLH,F,AHY,2012,"E6+, 3.7",
4100-59460,5/26/2012,MCGC,BTLH,F,AHY,2012,3.6,P9 5mm<p10
4100-59504,5/26/2012,MCGC,BTLH,F,AHY,2012,3.44,
4100-59438,5/26/2012,MCGC,BTLH,F,AHY,2012,3.43,
4100-59259,5/26/2012,MCGC,BTLH,M,AHY,2012,2.9,
9100-22907,5/26/2012,MCGC,BTLH,F,AHY,2012,"E6, 3.4",
4100-59196,5/26/2012,MCGC,BTLH,F,AHY,2012,3.6,
4100-08127,5/26/2012,MCGC,BTLH,F,AHY,2012,3.6,again
3100-42195,5/26/2012,MCGC,BTLH,F,AHY,2012,3.5,
9100-22907,5/26/2012,MCGC,BTLH,F,AHY,2012,3.65,
9100-23026,5/26/2012,MCGC,BTLH,M,AHY,2012,3.18,
4100-59243,5/26/2012,MCGC,BTLH,M,AHY,2012,3.34,
4100-59527,5/26/2012,MCGC,BTLH,F,AHY,2012,3.4,
9100-23016,5/26/2012,MCGC,BTLH,M,AHY,2012,3.3,
4100-08127,5/26/2012,MCGC,BTLH,F,AHY,2012,,again
4100-59504,5/26/2012,MCGC,BTLH,F,AHY,2012,,again
4100-59259,5/26/2012,MCGC,BTLH,M,AHY,2012,3,again
9100-23016,5/26/2012,MCGC,BTLH,M,AHY,2012,3.11,
4100-08127,5/26/2012,MCGC,BTLH,F,AHY,2012,,again
4100-59452,5/26/2012,MCGC,BTLH,F,AHY,2012,"E8, 4.1",
3100-42188,5/26/2012,MCGC,BTLH,F,AHY,2012,3.3,
4100-59304,5/26/2012,MCGC,BTLH,F,AHY,2012,"E8, 4.4",
4100-59762,5/26/2012,MCGC,BTLH,M,AHY,2012,3.5,
9100-23013,5/26/2012,MCGC,BTLH,M,AHY,2012,3.3,
4100-59203,5/26/2012,MCGC,BTLH,M,AHY,2012,3.6,
4100-58819,5/26/2012,MCGC,BTLH,F,AHY,2012,3.6,
4100-08113,5/26/2012,MCGC,BTLH,F,AHY,2012,3.8,
4100-59201,5/26/2012,MCGC,BTLH,M,AHY,2012,3.1,
4100-59243,5/26/2012,MCGC,BTLH,M,AHY,2012,3.5,
4100-59261,5/26/2012,MCGC,BTLH,M,AHY,2012,3.8,
3100-42709,5/26/2012,MCGC,BTLH,M,AHY,2012,3.1,
4100-08784,5/26/2012,MCGC,BTLH,F,AHY,2012,4.1,
3100-42192,5/29/2012,MCGC,BTLH,F,AHY,2012,3.4,
4100-08925,5/29/2012,MCGC,BTLH,F,AHY,2012,3.2,
4100-59260,5/29/2012,MCGC,BTLH,M,AHY,2012,3.4,
9100-23016,5/29/2012,MCGC,BTLH,M,AHY,2012,3.3,
4100-08133,5/29/2012,MCGC,BTLH,F,AHY,2012,"E6, 3.4",
4100-59106,5/29/2012,MCGC,BTLH,F,AHY,2012,3.67,
