Band Number,Original Date,Original Site,Species,Original Sex,Original Age,Recapture Year,Recapture 1,Recapture 2,Recapture 3,Recapture 4,Recapture 5,Recapture 6,Recapture 7,Recapture 8,Recapture 9,Recapture 10,Recapture 11,Recapture 12,Recapture 13,Recapture 14,Recapture 15,Recapture 16,Recapture 17,Comments
5000-11757,07/12/2003,MCGC,BTLH,F,AHY,2010,"5/28, 3.8g E9","6/12, nw","6/26, 3.7g","7/17, 4.1g",,,,,,,,,,,,,,new: L08484
4000-47664,08/17/2003,MP1,BTLH,F,AHY,2010,"7/3, 3.39g",,,,,,,,,,,,,,,,,
5000-29452,06/14/2004,MCGC,BTLH,F,AHY,2010,"6/12, 3.6g","6/17, 3.4g",,,,,,,,,,,,,,,,new: H42459
5000-96732,08/06/2004,MP1,BTLH,F,AHY,2010,"6/22, 3.4g E6","7/21, 3.45g",,,,,,,,,,,,,,,,new: H41814 
5000-96838,08/13/2004,MP1,BTLH,F,AHY,2010,"8/3, 3.4g","8/19, 3.37g",,,,,,,,,,,,,,,,new: L58824
5000-96894,08/16/2004,MCGC,BTLH,F,AHY,2010,"5/21, 4.9g E9+","7/6, 3.6g",,,,,,,,,,,,,,,,
6000-23631,06/27/2005,KV1,BTLH,F,AHY,2010,"6/3, 3.6g","7/25, 3.51g",,,,,,,,,,,,,,,,
6000-23646,06/27/2005,GNMTN,BTLH,F,AHY,2010,"6/23, 3.89g E6-",,,,,,,,,,,,,,,,,
6000-23679,07/07/2005,MCGC,BTLH,F,AHY,2010,"7/17, 3.5g",,,,,,,,,,,,,,,,,
6000-23792,07/13/2005,MCGC,BTLH,F,AHY,2010,"6/12, 3.9g E6","6/13, 3.6g",,,,,,,,,,,,,,,,
6000-53646,07/30/2005,MP1,BTLH,F,AHY,2010,"6/10, 3.53g",,,,,,,,,,,,,,,,,new: L08315
6000-53656,07/30/2005,MP1,BTLH,F,AHY,2010,"6/24, nw",,,,,,,,,,,,,,,,,new: L08685
6000-53739,08/08/2005,MP1,BTLH,F,AHY,2010,"8/7, 3.4g",,,,,,,,,,,,,,,,,
6000-53773,08/09/2005,GNMTN,BTLH,F,AHY,2010,"8/1, 3.3g",,,,,,,,,,,,,,,,,
6000-53816,08/16/2005,MP1,BTLH,F,AHY,2010,"7/26, 3.7g",,,,,,,,,,,,,,,,,
6000-53887,08/19/2005,MP1,BTLH,F,AHY,2010,"6/22, 3.78g",,,,,,,,,,,,,,,,,
6000-80924,05/27/2006,CC3,BTLH,F,AHY,2010,"7/3, 3.4g at MCGC",,,,,,,,,,,,,,,,,
6000-80944,06/03/2006,MCGC,BTLH,F,AHY,2010,"6/27, 3.6g","7/10, 3.3g at CC3","7/15, 3.2g",,,,,,,,,,,,,,,new: L08367
6000-81059,06/16/2006,MCGC,BTLH,F,AHY,2010,"6/12, 4.1g E6",,,,,,,,,,,,,,,,,
9000-11809,06/24/2006,HOLZ,BTLH,F,AHY,2010,"8/13, 3.6g 2X",,,,,,,,,,,,,,,,,
9000-11812*,06/13/2006,MCGC,BTLH,M,AHY,2010,"5/17, 3.4g","5/18, 3.3g",,,,,,,,,,,,,,,,new: H41563
9000-11842,06/23/2006,MCGC,BTLH,M,AHY,2010,"5/26, 3.1g at CC3",,,,,,,,,,,,,,,,,
9000-11902,06/24/2006,KV1,BTLH,F,AHY,2010,"6/3, 3.63g","7/11, 4.04g E8",,,,,,,,,,,,,,,,
9000-11917*,06/25/2006,MCGC,BTLH,F,AHY,2010,"5/25, 4.0g",,,,,,,,,,,,,,,,,"new: E91152, band removed. Not rebanded"
9000-11950,06/30/2006,GNMTN,BTLH,F,AHY,2010,"7/11, nw",,,,,,,,,,,,,,,,,
