Band Number,Original Date,Original Site,Species,Original Sex,Original Age,Recapture 1,Recapture 2,Recapture 3,Recapture 4,Recapture 5,Recapture 6,Recapture 7,Recapture 8,Recapture 9,Recapture 10,Comments
5000-96776,8/7/2004,MP1,BTLH,M,AHY,"8/24, 4.9g",,,,,,,,,,
5000-96781,7/24/2004,MCGC,BTLH,F,AHY,"CC2,8/8, 3.3g",,,,,,,,,,
5000-96790,8/10/2004,MCGC,BTLH,M,HY,"8/15, 3.6g",,,,,,,,,,
5000-96795,8/13/2004,MP1,BTLH,F,AHY,"8/21, 3.6g",,,,,,,,,,
5000-96802,8/11/2004,MCGC,BTLH,F,AHY,"CC2,8/17,3.5g",,,,,,,,,,
5000-96822,8/11/2004,MP1,BTLH,F,AHY,"8/21, 3.9g",,,,,,,,,,
5000-96830,8/13/2004,MCGC,BTLH,M,HY,"8/14, 3.4g",,,,,,,,,,
5000-96831,8/13/2004,MCGC,BTLH,M,HY,"8/14, 3.2g","8/15, 3.6g",,,,,,,,,
5000-96832,8/13/2004,MCGC,BTLH,F,HY,"8/14, 3.1g",,,,,,,,,,
5000-96855,8/14/2004,MCGC,BTLH,F,HY,"CC2,8/15,3.7g",,,,,,,,,,
5000-96867,8/14/2004,MP1,BTLH,M,HY,"8/21, 3.9g",,,,,,,,,,
5000-96872,8/14/2004,MP1,BTLH,F,AHY,"8/20, 3.6g",,,,,,,,,,
5000-96877,8/14/2004,MP1,BTLH,F,AHY,"8/25, 3.5g",,,,,,,,,,
5000-96881,8/15/2004,CC2,BTLH,F,AHY,"8/16, 3.3g MCGC",,,,,,,,,,
5000-96884,8/15/2004,CC2,BTLH,F,AHY,"8/16, 3.8g MCGC",,,,,,,,,,
5000-96886,8/15/2004,MCGC,BTLH,F,HY,"8/16, 3.8g","8/17, 3.3g","CC2,8/24,3.5g",,,,,,,,
5000-96887,8/15/2004,MCGC,BTLH,F,HY,"8/21, 3.4g",,,,,,,,,,
5000-96888,8/15/2004,MCGC,BTLH,F,HY,"8/16, 3.3g ","8/17, 3.3g 2x",,,,,,,,,
5000-96891,8/16/2004,MCGC,BTLH,M,HY,"8/22, 3.7g",,,,,,,,,,
5000-96892,8/16/2004,MCGC,BTLH,F,AHY,"8/25, 3.7g",,,,,,,,,,
5000-96913,8/20/2004,MP1,BTLH,F,AHY,"8/21, 4.7g",,,,,,,,,,
5000-96943,8/21/2004,MP1,BTLH,M,HY,"8/21, n.w.",,,,,,,,,,
5000-96947,8/21/2004,MP1,BTLH,F,AHY,"8/24, 4.1g",,,,,,,,,,
5000-96952,8/21/2004,MP1,BTLH,M,HY,"8/21, n.w.","8/24, n.w.",,,,,,,,,
5000-96958,8/21/2004,MP1,BTLH,F,AHY,"8/24, 4.4g","8/25, 3.9g",,,,,,,,,
5000-96974,8/24/2004,MP1,BTLH,F,HY,"8/25, 3.7g",,,,,,,,,,
5000-97005,8/30/2004,KV1,BTLH,F,HY,"8/30, nw,2x",,,,,,,,,,
5000-97023,9/3/2004,MP1,BTLH,M,HY,"9/6, 3.6g",,,,,,,,,,
5000-97026,8/29/2004,MCGC,RUHU,F,AHY,"8/29, nw",8/30. 3.7g,,,,,,,,,
5000-97040,9/7/2004,KV1,BTLH,M,HY,"9/7, nw, 2x",,,,,,,,,,
