Protocol,CMR,Bander,Location,Date,Year,Month,Day,Time,Old.Band.Status,Band.Status,Band.Number,Leg.Condition,Tarsus.Measurement,Band.Size,Species,Sex,Age,Replaced.Band.Number,Gorget.Color,Gorget.Count,Head.Count,Grooves,Buffy,Bill.Trait,Green.on.back,Primary.Width.P.10.Shape,Wing.Tail.Trait,Tail.Center,Tail.Middle,Tail.Outer,Tail.Measurement,Wing.Chord,Culmen,Tail,Pollen.Color..Location,Fat,CP.Breed,Head.Gorget.Molt,Body.Molt,Primaries.Molt,Secondaries.Molt,Tail.Molt,Weight,Photo.Taken,Sample.Type,Day.Recaptures,Recapture.Time.1,Recapture.Time.2,Recapture.Time.3,Recapture.Time.4,Comment
HMN,Y,GS,ML,8/26/2022,2022,8,26,7:44,1,1,810053341,NA,D,E,RUHU,F,2,NA,O,2,NA,1,N,NA,NA,NA,20,GB,N,NA,3.5,45,17.3,NA,N,1,2,1,F,F,F,L,3.45,NA,NA,NA,NA,NA,NA,NA,NA
HMN,Y,GS,ML,8/26/2022,2022,8,26,7:56,1,1,810053342,NA,D,E,BTLH,M,2,NA,HS,NA,NA,1,Y,NA,NA,NA,P,O,4X5,GBB,5.5,47.5,17.3,NA,N,0,NA,1,1,F,F,F,3.22,NA,NA,NA,NA,NA,NA,NA,NA
HMN,Y,GS,ML,8/26/2022,2022,8,26,8:05,1,1,810053343,NA,E,E,BTLH,M,2,NA,R,1,NA,3,Y,NA,NA,NA,P,O,3X3,GGB,5,49,18.2,NA,N,T,NA,1,1,F,F,F,3.24,NA,NA,NA,NA,NA,NA,NA,NA
HMN,Y,GS,ML,8/26/2022,2022,8,26,8:09,1,1,810007851,NA,D,D,RUHU,M,2,NA,O,15,NA,3,S,NA,NA,NA,80,RB,N,NA,3,42.5,15.9,NA,N,T,NA,1,F,F,F,L,3.35,NA,NA,NA,NA,NA,NA,NA,NA
HMN,Y,GS,ML,8/26/2022,2022,8,26,8:17,1,1,810007852,NA,D,D,RUHU,F,2,NA,O,7,NA,2,Y,NA,NA,NA,20,GB,N,NA,3.5,44,17.5,NA,N,1,2,F,F,F,F,L,3.41,NA,NA,NA,NA,NA,NA,NA,NA
HMN,Y,GS,ML,8/26/2022,2022,8,26,8:25,1,1,810053344,NA,D,E,BTLH,M,2,NA,R,10,NA,1,N,NA,NA,NA,P,O,NA,GGB,5,48,17.8,NA,N,P,NA,1,1,L,L,M,3.37,NA,NA,NA,NA,NA,NA,NA,SKIPPED TAIL MIDDLE DUE TO WEAR
HMN,Y,GS,ML,8/26/2022,2022,8,26,8:32,1,1,810053345,NA,D,E,BTLH,U,2,NA,HS,NA,NA,2,S,NA,NA,NA,P,O,3X3,GGB,4,48,17.4,NA,N,0,NA,1,1,F,F,F,2.96,NA,NA,NA,NA,NA,NA,NA,NA
HMN,Y,GS,ML,8/26/2022,2022,8,26,8:46,1,1,810053395,NA,D,F,BTLH,F,1,NA,HS,NA,NA,0,N,NA,NA,NA,P,O,2X2,GGG,5,50,17.6,NA,N,1,2,F,1,F,F,F,3.27,NA,NA,NA,NA,NA,NA,NA,NA
HMN,Y,GS,ML,8/26/2022,2022,8,26,8:52,4,4,810053346,NA,NA,NA,BADE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HMN,Y,GS,ML,8/26/2022,2022,8,26,8:56,R,R,810008050,1,NA,NA,RIHU,M,1,NA,GP,99,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69,26.5,NA,N,0,NA,F,F,M,L,M,7.69,NA,NA,NA,NA,NA,NA,NA,NA
HMN,Y,GS,ML,8/26/2022,2022,8,26,9:04,R,R,810007975,1,NA,NA,ANHU,F,1,NA,R,20,0,0,N,NA,NA,E,E,NA,4X2,N,5,51,18.5,NA,WN,0,2,1,1,F,F,F,4.26,NA,NA,NA,NA,NA,NA,NA,NA
HMN,Y,GS,ML,8/26/2022,2022,8,26,9:11,1,1,810053396,NA,E,F,BTLH,F,1,NA,MS,NA,NA,0,N,NA,NA,NA,P,O,4X3,GGB,5,47.5,18.6,NA,"WN, GXU",0,2,1,1,F,F,L,3.13,NA,NA,NA,NA,NA,NA,NA,NA
