"Protocol","CMR","Bander","Location","Date","Year","Month","Day","Time","Old.Band.Status","Band.Status","Band.Number","Leg.Condition","Tarsus.Measurement","Band.Size","Species","Sex","Age","Replaced.Band.Number","Gorget.Color","Gorget.Count","Head.Count","Grooves","Buffy","Bill.Trait","Green.on.back","Primary.Width.P.10.Shape","Wing.Tail.Trait","Tail.Center","Tail.Middle","Tail.Outer","Tail.Measurement","Wing.Chord","Culmen","Tail","Pollen.Color..Location","Fat","CP.Breed","Head.Gorget.Molt","Body.Molt","Primaries.Molt","Secondaries.Molt","Tail.Molt","Weight","Photo.Taken","Sample.Type","Day.Recaptures","Recapture.Time.1","Recapture.Time.2","Recapture.Time.3","Recapture.Time.4","Comment"
"HMN","Y","GS","ML",2022-06-03,2022,6,3,"05:49","1","1","810009587",NA,"E","E","BTLH","M","1",NA,"R","80",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"49.5","17.3",NA,"N","2",NA,"2","2","F","F","F","3.85",NA,NA,NA,NA,NA,NA,NA,NA
"HMN","Y","GS","ML",2022-06-03,2022,6,3,"05:55","1","1","810009588",NA,"D","E","BTLH","M","1",NA,"R","80",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"49","16.6",NA,"N","T",NA,"F","F","F","F","F","2.9",NA,NA,NA,NA,NA,NA,NA,NA
"HMN","Y","GS","ML",2022-06-03,2022,6,3,"05:58","R","R","610039034","1",NA,NA,"BTLH","F","1",NA,"R","5",NA,NA,NA,NA,NA,NA,"R","W","3X3","GGG","4","49","17.9",NA,"N","0","2","1","F","F","F","L","3.29",NA,NA,NA,NA,NA,NA,NA,"TOE WAS INJURED, BLEEDING  STTOPED"
"HMN","Y","GS","ML",2022-06-03,2022,6,3,"06:03","1","1","810008895",NA,"E","F","BTLH","F","1",NA,"MS",NA,NA,NA,NA,NA,NA,NA,"R","O",NA,"GGR","5","49","18.4",NA,"N","0","2","1","1","F","F","R","3.15",NA,NA,NA,NA,NA,NA,NA,"TAIL MIDDLE SKIPPED DUE TO WEAR"
"HMN","Y","GS","ML",2022-06-03,2022,6,3,"06:08","1","1","810008896",NA,"E","F","BTLH","F","1",NA,"R","1",NA,NA,NA,NA,NA,NA,"P","O",NA,"GGR",NA,"49.5","18",NA,"N","0","2","1","1","F","F","R","3.5",NA,NA,NA,NA,NA,NA,NA,"TAIL MIDDLE SKIPPED DUE TO WEAR"
"HMN","Y","GS","ML",2022-06-03,2022,6,3,"06:13","1","1","810008897",NA,"E","F","BTLH","F","1",NA,"R","3",NA,NA,NA,NA,NA,NA,"P","O",NA,"GGG","5","0","0",NA,NA,NA,"NOT TAKEN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TAIL MIDDLE SKIPPED DUE TO WEAR, ESCAPED"
"HMN","Y","GS","ML",2022-06-03,2022,6,3,"06:18","R","R","810007977","1",NA,NA,"BTLH","F","1",NA,"HS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"50","19.2",NA,"N","T","2","L","F","L","F","M","3.52",NA,NA,NA,NA,NA,NA,NA,NA
"HMN","Y","GS","ML",2022-06-03,2022,6,3,"06:21","1","1","810009589",NA,"D","E","BTLH","M","1",NA,"R","80",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","16.9",NA,"N","0",NA,"1","F","9","F","F","3.18",NA,NA,NA,NA,NA,NA,NA,"SKIPPED WING CHORD DUE TO MOLT"
"HMN","Y","GS","ML",2022-06-03,2022,6,3,"06:26","1","1","810008048",NA,"L","L","RIHU","M","1",NA,"GP","95","95",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"68","28.3",NA,"WN","0",NA,"F","F","L","F","M","7.1",NA,NA,NA,NA,NA,NA,NA,NA
"HMN","Y","GS","ML",2022-06-03,2022,6,3,"06:32","1","1","810008898",NA,"E","F","BTLH","F","1",NA,"MS",NA,NA,NA,NA,NA,NA,NA,"P","O",NA,"GGR","5","49","18.4",NA,"N","0","5","L","F","F","F","M","3.47",NA,NA,NA,NA,NA,NA,NA,"TAIL MIDDLE SKIPPED DUE TO WEAR"
"HMN","Y","GS","ML",2022-06-03,2022,6,3,"06:37","R","R","710066640","1",NA,NA,"BTLH","F","1",NA,"HS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"49","17",NA,"N","0","7","F","F","F","F","M","3.78",NA,NA,NA,NA,NA,NA,NA,"SKIPPED TRAITS FOR SPEED"
"HMN","Y","GS","ML",2022-06-03,2022,6,3,"06:39","R","R","810008887","1",NA,NA,"BTLH","F","1",NA,"MS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"49.5","17.8",NA,"N","0","5","L","1","F","F","M","3.2",NA,NA,NA,NA,NA,NA,NA,"SKIPPED TRAITS FOR SPEED"
"HMN","Y","GS","ML",2022-06-03,2022,6,3,"06:42","1","1","810009590",NA,"D","E","BTLH","M","1",NA,"R","70",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"49","17.1",NA,"N","0",NA,"F","F","F","F","F","2.97",NA,NA,NA,NA,NA,NA,NA,"SKIPPED TRAITS FOR SPEED"
"HMN","Y","GS","ML",2022-06-03,2022,6,3,"06:46","1","1","810009591",NA,"D","E","BTLH","F","1",NA,"HS",NA,NA,NA,NA,NA,NA,NA,"P","O",NA,"GGR","4","50","17.4",NA,"N","0","8","L","F","F","F","M","3.61",NA,NA,"2","7:29","10:40",NA,NA,"TAIL MIDDLE SKIPPED DUE TO WEAR"
"HMN","Y","GS","ML",2022-06-03,2022,6,3,"06:49","1","1","810009592",NA,"D","E","BTLH","F","1",NA,"MS",NA,NA,NA,NA,NA,NA,NA,"R","O","4X4","GGR","5","49","19.5",NA,"N","0","8","1","F","F","F","M","3.78",NA,NA,"1","8:50",NA,NA,NA,NA
"HMN","Y","GS","ML",2022-06-03,2022,6,3,"06:54","1","1","810009593",NA,"D","E","BTLH","M","1",NA,"R","70",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"50","17.9",NA,"N","0",NA,"1","F","F","F","F","3.05",NA,NA,"1","10:36",NA,NA,NA,NA
"HMN","Y","GS","ML",2022-06-03,2022,6,3,"06:57","1","1","810008049",NA,"K","L","RIHU","M","1",NA,"GP","90","80",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"72","25.6",NA,"WN","0",NA,"F","F","L","F","L","6.92",NA,NA,NA,NA,NA,NA,NA,NA
"HMN","Y","GS","ML",2022-06-03,2022,6,3,"07:01","1","1","810008899",NA,"E","F","BTLH","F","1",NA,"HS",NA,NA,NA,NA,NA,NA,NA,"P","O",NA,"GGR","4","49","18.6",NA,"N","0","5","1","F","F","F","R","3.46",NA,NA,"1","8:03",NA,NA,NA,"TAILED MIDDLE SKIPPED DUE TO WEAR"
"HMN","Y","GS","ML",2022-06-03,2022,6,3,"07:09","1","1","810009594",NA,"E","E","BTLH","M","1",NA,"R","90",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"49","16.7",NA,"WN","0",NA,"1","1","F","F","F","3.14",NA,NA,NA,NA,NA,NA,NA,NA
"HMN","Y","GS","ML",2022-06-03,2022,6,3,"07:11","R","R","810008884","1",NA,NA,"BTLH","F","1",NA,"MS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"50","18.3",NA,"N","0","5","L","1","F","F","M","3.34",NA,NA,"1","10:52",NA,NA,NA,"SKIPPED TRAITS FOR SPEED"
"HMN","Y","GS","ML",2022-06-03,2022,6,3,"07:14","1","1","810008900",NA,"E","F","BTLH","F","1",NA,"R","2",NA,NA,NA,NA,NA,NA,"R","O","4X4","GGR","5","50","18.8",NA,"N","T","5","F","F","F","F","L","3.45",NA,NA,NA,NA,NA,NA,NA,NA
"HMN","Y","GS","ML",2022-06-03,2022,6,3,"07:17","1","1","810009901",NA,"E","F","BTLH","F","1",NA,"LS",NA,NA,NA,NA,NA,NA,NA,"R","O","4X4","GGG","5","49","18",NA,"N","0","2","1","F","F","F","L","3.19",NA,NA,NA,NA,NA,NA,NA,NA
"HMN","Y","GS","ML",2022-06-03,2022,6,3,"07:21","1","1","810009595",NA,"E","E","BTLH","M","1",NA,"R","90",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"49","17.1",NA,"N","0",NA,"F","F","F","F","F","2.99",NA,NA,NA,NA,NA,NA,NA,NA
"HMN","Y","GS","ML",2022-06-03,2022,6,3,"07:23","1","1","810009596",NA,"D","E","BTLH","M","1",NA,"R","85",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"50","18",NA,"WN","0",NA,"1","L","F","L","F","3.29",NA,NA,NA,NA,NA,NA,NA,NA
