Protocol,CMR,Bander,Location,Date,Year,Month,Day,Time,Old.Band.Status,Band.Status,Band.Number,Leg.Condition,Tarsus.Measurement,Band.Size,Species,Sex,Age,Replaced.Band.Number,Gorget.Color,Gorget.Count,Head.Count,Grooves,Buffy,Bill.Trait,Green.on.back,Primary.Width.P.10.Shape,Wing.Tail.Trait,Tail.Center,Tail.Middle,Tail.Outer,Tail.Measurement,Wing.Chord,Culmen,Tail,Pollen.Color..Location,Fat,CP.Breed,Head.Gorget.Molt,Body.Molt,Primaries.Molt,Secondaries.Molt,Tail.Molt,Weight,Photo.Taken,Sample.Type,Day.Recaptures,Recapture.Time.1,Recapture.Time.2,Recapture.Time.3,Recapture.Time.4,Comment
HMN,Y,GS,ML,8/12/2022,2022,8,12,6:17,1,1,810008064,NA,L,N,RIHU,F,2,NA,NA,NA,NA,3,Y,NA,NA,NA,NA,G,NA,A,NA,67,29.8,NA,N,1,2,F,NA,F,F,F,6.71,NA,NA,NA,NA,NA,NA,NA,NA
HMN,Y,GS,ML,8/12/2022,2022,8,12,6:26,1,1,810053321,NA,D,E,BTLH,M,2,NA,R,1,NA,1,Y,NA,NA,NA,P,O,2X4,GGG,4.5,49.5,17.3,NA,N,1,NA,1,1,F,F,F,3.26,NA,NA,NA,NA,NA,NA,NA,NA
HMN,Y,GS,ML,8/12/2022,2022,8,12,6:41,1,1,810053380,NA,E,F,RUHU,F,1,NA,O,5,NA,0,N,NA,NA,NA,20,GB,N,NA,4,43,17.5,NA,N,0,2,F,F,F,F,F,3.31,NA,NA,NA,NA,NA,NA,NA,NA
HMN,Y,GS,ML,8/12/2022,2022,8,12,6:49,1,1,810053381,NA,E,F,BTLH,F,1,NA,HS,NA,NA,0,N,NA,NA,NA,P,O,3X3,GGB,5,48,18.5,NA,N,1,2,1,1,F,F,F,3.31,NA,NA,NA,NA,NA,NA,NA,NA
HMN,Y,GS,ML,8/12/2022,2022,8,12,6:55,1,1,810053322,NA,D,E,BTLH,M,2,NA,R,2,NA,1,S,NA,NA,NA,P,O,2X2,GGB,4,49,18.4,NA,WN,0,NA,1,1,F,F,F,3.1,NA,NA,NA,NA,NA,NA,NA,NA
HMN,Y,GS,ML,8/12/2022,2022,8,12,7:00,1,1,810053323,NA,D,E,BTLH,M,1,NA,R,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,18,NA,N,0,NA,1,1,L,L,M,3.66,NA,NA,NA,NA,NA,NA,NA,NA
HMN,Y,GS,ML,8/12/2022,2022,8,12,7:04,1,1,810053382,NA,E,F,BTLH,F,1,NA,HS,NA,NA,NA,NA,NA,NA,NA,R,W,4X5,GBB,5,48,19.1,NA,N,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ESCAPED
HMN,Y,GS,ML,8/12/2022,2022,8,12,7:08,1,1,810053383,NA,E,F,BTLH,F,2,NA,HS,NA,NA,1,S,NA,NA,NA,R,W,4X4,GRR,5,49,19.4,NA,N,0,2,F,1,F,F,F,3.28,NA,NA,NA,NA,NA,NA,NA,NA
HMN,Y,GS,ML,8/12/2022,2022,8,12,7:15,1,1,810053324,NA,D,E,BTLH,M,1,NA,R,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,17.2,NA,N,0,NA,1,1,L,F,F,3.51,NA,NA,NA,NA,NA,NA,NA,NA
HMN,Y,GS,ML,8/12/2022,2022,8,12,7:18,1,1,810053384,NA,E,F,BTLH,F,1,NA,HS,NA,NA,NA,NA,NA,NA,NA,P,W,3X4,GRR,5,48,17.7,NA,WN,T,2,1,F,F,F,M,3.02,NA,NA,NA,NA,NA,NA,NA,NA
HMN,Y,GS,ML,8/12/2022,2022,8,12,7:22,1,1,810053325,NA,D,E,BTLH,M,2,NA,R,3,NA,2,N,NA,NA,NA,P,O,1X1,GGB,4,48,18.6,NA,WN,0,NA,1,1,F,F,L,3.22,NA,NA,NA,NA,NA,NA,NA,NA
HMN,Y,GS,ML,8/12/2022,2022,8,12,7:29,1,1,810053326,NA,D,E,BTLH,M,1,NA,R,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,17.9,NA,WN,0,NA,1,1,M,L,M,3.13,NA,NA,NA,NA,NA,NA,NA,NA
HMN,Y,GS,ML,8/12/2022,2022,8,12,7:33,1,1,810053327,NA,D,E,BTLH,M,2,NA,R,3,NA,1,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ESCAPED
HMN,Y,GS,ML,8/12/2022,2022,8,12,7:38,R,R,810009932,1,NA,NA,BTLH,F,1,NA,MS,NA,NA,NA,NA,NA,NA,NA,P,O,3X3,GGB,5,50,20.1,NA,WN,0,2,F,F,F,F,M,3.28,NA,NA,NA,NA,NA,NA,NA,NA
HMN,Y,GS,ML,8/12/2022,2022,8,12,7:45,1,1,810053385,NA,F,F,ANHU,M,1,NA,R,99,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,18.9,NA,N,0,NA,1,1,F,F,F,3.98,NA,NA,1,8:07,NA,NA,NA,NA
HMN,Y,GS,ML,8/12/2022,2022,8,12,7:48,R,R,810007976,1,NA,NA,BTLH,F,1,NA,R,1,NA,NA,NA,NA,NA,NA,R,O,4X3,GGB,5,49,18,NA,N,0,2,F,F,F,F,F,3.38,NA,NA,NA,NA,NA,NA,NA,NA
HMN,Y,GS,ML,8/12/2022,2022,8,12,7:53,1,1,810053328,NA,D,E,BTLH,M,2,NA,R,3,NA,2,S,NA,NA,NA,P,O,2X1,GGG,4,47,18,NA,WN,0,NA,1,1,F,F,L,3.03,NA,NA,NA,NA,NA,NA,NA,NA
