"Protocol","CMR","Bander","Location","Date","Year","Month","Day","Time","Old.Band.Status","Band.Status","Band.Number","Leg.Condition","Tarsus.Measurement","Band.Size","Species","Sex","Age","Replaced.Band.Number","Gorget.Color","Gorget.Count","Head.Count","Grooves","Buffy","Bill.Trait","Green.on.back","Primary.Width.P.10.Shape","Wing.Tail.Trait","Tail.Center","Tail.Middle","Tail.Outer","Tail.Measurement","Wing.Chord","Culmen","Tail","Pollen.Color..Location","Fat","CP.Breed","Head.Gorget.Molt","Body.Molt","Primaries.Molt","Secondaries.Molt","Tail.Molt","Weight","Photo.Taken","Sample.Type","Day.Recaptures","Recapture.Time.1","Recapture.Time.2","Recapture.Time.3","Recapture.Time.4","Comment"
"HMN","Y","GS","ML",2022-07-15,2022,7,15,"7:20","1","1",810009959,NA,"F","F","ANHU","M",2,NA,"R",20,1,0,"Y",NA,NA,"E","R",NA,NA,"Y",4.5,49,17,NA,"WN","0",NA,"2","2","2","F","L",4.16,NA,NA,NA,NA,NA,NA,NA,NA
"HMN","Y","GS","ML",2022-07-15,2022,7,15,"7:24","1","1",810009960,NA,"E","F","BTLH","F",1,NA,"HS",NA,NA,NA,NA,NA,NA,NA,"P","B","4X4","GGB",6,48,17.7,NA,"YNU","0",2,"1","1","F","F","F",3.1,NA,NA,NA,NA,NA,NA,NA,NA
"HMN","Y","GS","ML",2022-07-15,2022,7,15,"7:28","R","R",810008884,1,NA,NA,"BTLH","F",1,NA,"MS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,18.5,NA,"WN","0",2,"1","1","L","F","R",3.27,NA,NA,NA,NA,NA,NA,NA,"SKIPPED TAIL TRAITS DUE TO WEAR"
"HMN","Y","GS","ML",2022-07-15,2022,7,15,"7:30","1","1",810009961,NA,"E","F","BTLH","F",2,NA,"HS",NA,NA,3,"S",NA,NA,NA,"R","W","5X5","GRR",5,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ESCAPED"
"HMN","Y","GS","ML",2022-07-15,2022,7,15,"7:34","1","1",810009962,NA,"E","F","BTLH","F",1,NA,"LS",NA,NA,0,"S",NA,NA,NA,"P","O","4X4","GGB",5,48,19,NA,"WN","T",2,"1","1","F","F","F",3.19,NA,NA,NA,NA,NA,NA,NA,NA
"HMN","Y","GS","ML",2022-07-15,2022,7,15,"7:39","1","1",810009963,NA,"F","F","ANHU","M",2,NA,"R",25,1,0,"Y",NA,NA,"E","R",NA,NA,"Y",5,47,17.9,NA,"N","0",NA,"1","2","5","F","L",4.01,NA,NA,NA,NA,NA,NA,NA,NA
"HMN","Y","GS","ML",2022-07-15,2022,7,15,"7:43","1","1",810009964,NA,"F","F","ANHU","M",2,NA,"R",20,4,1,"Y",NA,NA,"E","E",NA,NA,"Y",4,49,18,NA,"WN","0",NA,"1","1","2","F","L",4,NA,NA,NA,NA,NA,NA,NA,NA
"HMN","Y","GS","ML",2022-07-15,2022,7,15,"7:47","1","1",810009965,NA,"E","F","BTLH","F",1,NA,"HS",NA,NA,0,"N",NA,NA,NA,"P","O","2X3","GGG",5,50,17.8,NA,"WN","1",2,"1","F","F","F","F",3.3,NA,NA,NA,NA,NA,NA,NA,NA
"HMN","Y","GS","ML",2022-07-15,2022,7,15,"7:51","1","1",810009966,NA,"F","F","ANHU","M",2,NA,"R",25,2,1,"S",NA,NA,"E","E",NA,NA,"Y",5,50.5,17.6,NA,"WN","0",NA,"1","2","5","F","L",4.32,NA,NA,NA,NA,NA,NA,NA,NA
"HMN","Y","GS","ML",2022-07-15,2022,7,15,"7:56","1","1",810009967,NA,"F","F","ANHU","M",2,NA,"R",20,1,2,"Y",NA,NA,"E","E",NA,NA,"Y",5,51,17.7,NA,"N","0",NA,"1","2","2","F","L",4.29,NA,NA,NA,NA,NA,NA,NA,NA
"HMN","Y","GS","ML",2022-07-15,2022,7,15,"8:01","1","1",810009968,NA,"F","F","ANHU","M",1,NA,"R",99,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.5,NA,"WN","0",NA,"1","1","9","4","5",4.08,NA,NA,NA,NA,NA,NA,NA,NA
"HMN","Y","GS","ML",2022-07-15,2022,7,15,"8:07","1","1",810009969,NA,"F","F","ANHU","M",2,NA,"R",30,10,0,"S",NA,NA,"E","R",NA,NA,"Y",4.5,48,18.2,NA,"WN","0",NA,"2","2","7","F","L",4.31,NA,NA,NA,NA,NA,NA,NA,NA
"HMN","Y","GS","ML",2022-07-15,2022,7,15,"8:11","1","1",810009970,NA,"E","F","ANHU","M",2,NA,"R",80,80,0,"S",NA,NA,"E","E",NA,NA,"Y",5,49,17.8,NA,"N","1",NA,"1","2","8","F","2",4.3,NA,NA,NA,NA,NA,NA,NA,NA
"HMN","Y","GS","ML",2022-07-15,2022,7,15,"8:15","1","1",810053318,NA,"D","E","BTLH","M",1,NA,"R",99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.5,16.9,NA,"WN","0",NA,"F","F","F","F","F",3.18,NA,NA,NA,NA,NA,NA,NA,NA
"HMN","Y","GS","ML",2022-07-15,2022,7,15,"8:18","R","R",710067363,1,NA,NA,"BTLH","M",1,NA,"R",99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,17.9,NA,"N","0",NA,"1","1","F","F","F",3.26,NA,NA,NA,NA,NA,NA,NA,NA
"HMN","Y","GS","ML",2022-07-15,2022,7,15,"8:20","1","1",810053371,NA,"E","F","BTLH","M",2,NA,"R",3,NA,3,"S",NA,NA,NA,"P","O","3X3","GGG",5,48,17.6,NA,"N","0",NA,"1","1","F","F","F",3.03,NA,NA,NA,NA,NA,NA,NA,NA
"HMN","Y","GS","ML",2022-07-15,2022,7,15,"8:25","1","1",810008053,NA,"K","L","RIHU","M",1,NA,"GP",80,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,25.1,NA,"WN","0",NA,"1","1","F","L","L",7.2,NA,NA,NA,NA,NA,NA,NA,NA
"HMN","Y","GS","ML",2022-07-15,2022,7,15,"8:28","1","1",810053372,NA,"E","F","BTLH","F",1,NA,"R",3,NA,0,"N",NA,NA,NA,"P","O","3X2","GGG",5,48,17.6,NA,"N","0",2,"1","1","F","F","L",3.06,NA,NA,NA,NA,NA,NA,NA,NA
