Band Number,Original Date,Original Site,Species,Original Sex,Original Age,Recapture Year,Recapture 1,Recapture 2,Recapture 3,Recapture 4,Recapture 5,Recapture 6,Recapture 7,Recapture 8,Recapture 9,Recapture 10,Recapture 11,Recapture 12,Recapture 13,Recapture 14,Recapture 15,Recapture 16,Recapture 17,Comments
4000-47653,08/16/03,MCGC,BTLH,M,HY,2003,"8/17, 3.6g.",,,,,,,,,,,,,,,,,
4000-47716,08/24/03,MCGC,RUHU,F,HY,2003,24-Aug,,,,,,,,,,,,,,,,,
4000-47733,09/01/03,MCGC,BTLH,F,HY,2003,1-Sep,,,,,,,,,,,,,,,,,
5000-11523,05/31/03,MCGC,BTLH,M,AHY,2003,5/31 (3),"6/1 (2), 3.2g",4-Jun,"6/14, 3.2 g.","6/21, 3.3g.","6/22, 3.2g ","6/27, 3.3g.","7/4, 3.4g.","7/5, 3.4g.",,,,,,,,,
5000-11525,05/31/03,MCGC,BTLH,F,AHY,2003,"6/13, 3.0g.","6/12, 3.9g.",,,,,,,,,,,,,,,,
5000-11526,06/01/03,MCGC,BTLH,F,AHY,2003,"7/6, 3.3g.",,,,,,,,,,,,,,,,,
5000-11527,06/01/03,MCGC,BTLH,M,AHY,2003,"6/14, 3.4g.",,,,,,,,,,,,,,,,,
5000-11533,06/04/03,MCGC,BTLH,F,AHY,2003,4-Jun,"6/13, 3.0g.","6/21, 3.4g.",,,,,,,,,,,,,,,
5000-11534,06/04/03,MCGC,BTLH,M,AHY,2003,4-Jun,"6/13, 2.9g.","6/14, 3.0g.",,,,,,,,,,,,,,,
5000-11535,06/04/03,MCGC,BTLH,M,AHY,2003,"6/12, 3.3g.",,,,,,,,,,,,,,,,,
5000-11536,06/04/03,MCGC,BTLH,F,AHY,2003,"6/28, 3.3g.","7/22, 4.2g.",,,,,,,,,,,,,,,,
5000-11537,06/04/03,MCGC,BTLH,F,AHY,2003,"6/12, 3.2g.",,,,,,,,,,,,,,,,,
5000-11538,06/04/03,MCGC,BTLH,F,AHY,2003,"6/12, 3.1g.",,,,,,,,,,,,,,,,,
5000-11539,06/04/03,MCGC,BTLH,F,AHY,2003,"6/5, 3.5g.","6/14, 3.7g.","6/20, 3.7g.","6/26, 3.4g.",,,,,,,,,,,,,,
5000-11540,06/04/03,MCGC,BTLH,M,AHY,2003,"6/12, 3.1g.","6/13, 3.1g.","6/14, 3.1g","6/22, 3.1g.",,,,,,,,,,,,,,
5000-11541,06/04/03,MCGC,BTLH,F,AHY,2003,13-Jun,"6/14, 3.6g.","6/20,3.8g.","6/21, 3.7g.","6/22, 3.7g. (2)","6/29, 4.2g.","7/5, 3.6g.","7/11, 4.1g.","7/12, 4.0g.","7/14, 3.7g.","7/18,3.9g.","7/19, 3.8g.(2)","7/22, 4.2g.","7/26, 3.5g.","7/27, 3.8g.","8/16, 3.8g.","8/22, 3.8g.",
5000-11543,06/04/03,MCGC,BTLH,F,AHY,2003,"6/5, 3.8g.","6/12, 3.3g.","7/10, 3.8g.",,,,,,,,,,,,,,,
5000-11544,06/04/03,MCGC,BTLH,F,AHY,2003,"6/13, 3.5g.",,,,,,,,,,,,,,,,,
5000-11546,06/05/03,MCGC,BTLH,F,AHY,2003,"6/27, 3.6g.",,,,,,,,,,,,,,,,,
