Band Number,Original Date,Original Site,Species,Original Sex,Original Age,Recapture Year,Recapture 1,Recapture 2,Recapture 3,Recapture 4,Recapture 5,Recapture 6,Recapture 7,Recapture 8,Recapture 9,Recapture 10,Recapture 11,Recapture 12,Recapture 13,Recapture 14,Recapture 15,Recapture 16,Recapture 17,Comments
5000-11526,06/01/03,MCGC,BTLH,F,AHY,2004,8/23 3.7g,8/24 3.7g HTW,,,,,,,,,,,,,,,,
5000-11528,06/01/03,MCGC,BTLH,M,AHY,2004,7/11 3.5g,,,,,,,,,,,,,,,,,
5000-11529,06/01/03,MCGC,BTLH,M,AHY,2004,7/12 3.5g,,,,,,,,,,,,,,,,,
5000-11536,06/04/03,MCGC,BTLH,F,AHY,2004,5/7 3.9g E7,,,,,,,,,,,,,,,,,
5000-11538,06/04/03,MCGC,BTLH,F,AHY,2004,7/10 3.6g LTW,,,,,,,,,,,,,,,,,
5000-11541,06/04/03,MCGC,BTLH,F,AHY,2004,6/10 3.8g,6/11 3.8g 3x,6/12 3.8g,6/13 3.5g,6/14 3.7g,6/16 3.6g E7,6/17 3.9g E7,,,,,,,,,,,
5000-11543,06/04/03,MCGC,BTLH,F,AHY,2004,6/14 3.5g,7/19 3.6g,,,,,,,,,,,,,,,,
5000-11552,06/05/03,MCGC,BTLH,F,AHY,2004,6/14  3.4g,6/17 3.4g,,,,,,,,,,,,,,,,
5000-11553,06/05/03,MCGC,BTLH,M,AHY,2004,5/20 3.1g,5/27 3.2g,,,,,,,,,,,,,,,,
5000-11554,06/05/03,MCGC,BTLH,F,AHY,2004,6/11 3.6g,,,,,,,,,,,,,,,,,
5000-11558,06/12/03,MCGC,BTLH,F,AHY,2004,5/7 3.7g E7,,,,,,,,,,,,,,,,,
5000-11592,06/15/03,MCGC,BTLH,M,AHY,2004,7/24 3.7g,,,,,,,,,,,,,,,,,
5000-11593,06/15/03,MCGC,BTLH,F,AHY,2004,7/24 3.5g,8/8 3.5g,,,,,,,,,,,,,,,,
