Band Number,Original Date,Original Site,Species,Original Sex,Original Age,Recapture Year,Recapture 1,Recapture 2,Recapture 3,Recapture 4,Recapture 5,Recapture 6,Recapture 7,Recapture 8,Recapture 9,Recapture 10,Recapture 11,Recapture 12,Recapture 13,Recapture 14,Recapture 15,Recapture 16,Recapture 17,Comments
5000-11558,06/12/03,MCGC,BTLH,F,AHY,2006,6/2 3.9g E7,6/18 3.5g E6,6/23 3.7g E6,7/5 3.7g E6,7/26 3.4g,,,,,,,,,,,,,VHTW
5000-11566,06/13/03,MCGC,BTLH,F,AHY,2006,6/5 3.4g,6/21 3.5g,,,,,,,,,,,,,,,,
5000-11632,06/22/03,MCGC,BTLH,M,AHY,2006,5/29 3.2g,6/4 3.2g,,,,,,,,,,,,,,,,
5000-11639,06/22/03,MCGC,BTLH,M,AHY,2006,"5/26, 3.2 g.",6/2 3.1g 2x,6/4 3.1g,6/5 3.0g,6/9 3.0g,6/13 3.2g,6/25 3.0g,7/7 3.2g,,,,,,,,,,
5000-11657,06/28/03,MCGC,BTLH,F,AHY,2006,7/4 3.6g,7/7 3.4g,,,,,,,,,,,,,,,,NTW
5000-11693,07/06/03,MCGC,BTLH,M,AHY,2006,6/7 3.3g,,,,,,,,,,,,,,,,,
5000-11698,07/06/03,CC2,BTLH,F,AHY,2006,7/5 3.7g at MCGC,7/31 3.7g at CC2,,,,,,,,,,,,,,,,
5000-11723,07/10/03,MCGC,BTLH,F,AHY,2006,7/4 3.5g,,,,,,,,,,,,,,,,,
5000-11741,07/11/03,MCGC,BTLH,F,AHY,2006,6/13 3.9g E6,,,,,,,,,,,,,,,,,
5000-11757,07/12/03,MCGC,BTLH,F,AHY,2006,6/2 3.4g,6/8 3.5g E6,6/18 3.4g,7/4 3.5g,,,,,,,,,,,,,,
5000-11763*,07/12/03,MCGC,BTLH,F,AHY,2006,7/27 3.6g,7/31 3.9g,8/16 3.6g,,,,,,,,,,,,,,,*NEW: E12256
5000-11788,07/18/03,MCGC,BTLH,F,AHY,2006,7/21 4.2g,,,,,,,,,,,,,,,,,HTW
5000-29217,07/20/03,MCGC,BTLH,F,AHY,2006,6/5 3.6g,6/25 3.4g,7/7 3.8g,7/13 4.9g,,,,,,,,,,,,,,HTW
5000-29218,07/20/03,MCGC,BTLH,F,AHY,2006,6/22 3.8g,,,,,,,,,,,,,,,,,
5000-29290,07/28/03,MP1,BTLH,F,AHY,2006,"5/20, 3.4g.",6/13 3.7g,6/23 3.6g E6-,,,,,,,,,,,,,,,
5000-29292,07/28/03,MP1,BTLH,F,AHY,2006,6/9 3.5g,,,,,,,,,,,,,,,,,
5000-29317,08/02/03,MCGC,BTLH,F,AHY,2006,7/4 3.5g,,,,,,,,,,,,,,,,,HTW
5000-29396,08/11/03,MCGC,BTLH,M,AHY,2006,6/5 3.2g,6/9 3.3g,6/16 3.3g,7/6 3.0g,7/7 3.4g,,,,,,,,,,,,,
5000-29449,08/16/03,MCGC,BTLH,M,AHY,2006,6/13 3.2g,,,,,,,,,,,,,,,,,
4000-47664,08/17/03,MP1,BTLH,F,AHY,2006,9/7 4.6g,,,,,,,,,,,,,,,,,HTW
4000-47686*,08/18/03,MP1,BTLH,F,AHY,2006,"5/13, 3.6 g.",7/15 3.4g,,,,,,,,,,,,,,,,*NEW: E12075
