Band Number,Original Date,Original Site,Species,Original Sex,Original Age,Recapture Year,Recapture 1,Recapture 2,Recapture 3,Recapture 4,Recapture 5,Recapture 6,Recapture 7,Recapture 8,Recapture 9,Recapture 10,Recapture 11,Recapture 12,Recapture 13,Recapture 14,Recapture 15,Recapture 16,Recapture 17,Comments
5000-29401,08/11/03,MCGC,BTLH,M,AHY,2005,5/14 3.4g 2x,5/15 3.3g 3x,5/16 3.4g 3x,5/17 3.4g,5/18 3.5g,,,,,,,,,,,,,
5000-29407,08/11/03,MP1,BTLH,F,AHY,2005,5/26 4.5g E8,6/2 3.5g,6/5 3.4g,,,,,,,,,,,,,,,
5000-29419,08/11/03,MP1,BTLH,F,AHY,2005,6/12 3.9g E6,,,,,,,,,,,,,,,,,
5000-29421,08/12/03,MCGC,BTLH,F,AHY,2005,,,,,,,,,,,,,,,,,,"Betts' residence, Devils Gulch Rd, found dead on 4 Aug 05"
4000-47660,08/17/03,MP1,BTLH,F,AHY,2005,5/25 4.0g E6,6/1 3.6g,6/4 3.8g E6,6/5 3.4g,,,,,,,,,,,,,,
4000-47664,08/17/03,MP1,BTLH,F,AHY,2005,5/24 3.4g,6/2 3.3g,,,,,,,,,,,,,,,,
4000-47673,08/18/03,MCGC,BTLH,M,HY,2005,5/14 3.2g,,,,,,,,,,,,,,,,,
4000-47686,08/18/03,MP1,BTLH,F,AHY,2005,5/24 3.2g,6/29 3.4g,,,,,,,,,,,,,,,,
4000-47688,08/18/03,MP1,BTLH,F,AHY,2005,6/11 3.7g E7,6/13 3.6g,,,,,,,,,,,,,,,,
4000-47693,08/18/03,MP1,BTLH,F,HY,2005,6/12 3.9g E6,,,,,,,,,,,,,,,,,
4000-47761,05/09/04,MCGC,BTLH,M,AHY,2005,7/21 3.7g,,,,,,,,,,,,,,,,,
4000-47771,05/10/04,MCGC,BTLH,M,AHY,2005,5/17 3.8g,,,,,,,,,,,,,,,,,
4000-47788,06/10/04,MCGC,BTLH,F,AHY,2005,6/19 3.5g,6/21 3.6g,,,,,,,,,,,,,,,,
4000-47789,06/10/04,MCGC,BTLH,F,AHY,2005,7/27 3.9g,,,,,,,,,,,,,,,,,
4000-47790,06/10/04,MCGC,BTLH,F,AHY,2005,7/10 3.5g,7/11 3.5g,,,,,,,,,,,,,,,,
4000-47792,06/11/04,MCGC,BTLH,F,AHY,2005,5/14 3.4g,,,,,,,,,,,,,,,,,
4000-47798,06/12/04,MCGC,BTLH,M,AHY,2005,5/14 3.3g,,,,,,,,,,,,,,,,,
5000-29451,06/14/04,MCGC,BTLH,F,AHY,2005,6/12 3.2g,6/13 3.5g,,,,,,,,,,,,,,,,
5000-29455,06/14/04,MCGC,BTLH,M,AHY,2005,5/15 3.3g 2x,5/16 3.0g,,,,,,,,,,,,,,,,
5000-29456,06/14/04,MCGC,BTLH,F,AHY,2005,6/12 3.7g,,,,,,,,,,,,,,,,,
5000-29471,06/16/04,MCGC,BTLH,M,AHY,2005,5/16 3.1g,,,,,,,,,,,,,,,,,
5000-29473,06/16/04,MCGC,BTLH,M,AHY,2005,5/14 3.2g,5/15 3.2g 3x,5/16 3.1g 2x,5/17 3.3g 2x,5/18 3.3g 2x,5/19 3.2g 3x,6/13 3.3g,,,,,,,,,,,
5000-29475,06/16/04,MCGC,BTLH,F,AHY,2005,6/13 3.4g,6/18 3.2g,6/19 3.1g,6/21 3.1g,7/18 3.5g,,,,,,,,,,,,,"Jul, NTW"
5000-29476,06/16/04,MCGC,BTLH,F,AHY,2005,5/18 3.5g,,,,,,,,,,,,,,,,,
5000-29478,06/16/04,MCGC,BTLH,F,AHY,2005,8/13 3.8g,,,,,,,,,,,,,,,,,"Aug, HTW"
5000-29482,06/18/04,MCGC,BTLH,F,AHY,2005,5/17 3.6g,5/18 3.3g,6/13 3.8g,6/19 3.2g,,,,,,,,,,,,,,
5000-29483,06/18/04,MCGC,BTLH,F,AHY,2005,5/17 3.3g,,,,,,,,,,,,,,,,,
5000-29486,06/18/04,MCGC,BTLH,F,AHY,2005,5/13 3.5g,5/16 3.6g E6,6/05 3.6g,6-12 3.6g,6/18 3.5g,,,,,,,,,,,,,
5000-29496,06/25/04,KV1,BTLH,F,AHY,2005,6/27 3.5g,,,,,,,,,,,,,,,,,
5000-29497,06/25/04,KV1,BTLH,M,AHY,2005,6/27 3.5g,,,,,,,,,,,,,,,,,
5000-29523,06/25/04,GNMTN,BTLH,F,AHY,2005,7/1 3.7g,,,,,,,,,,,,,,,,,
5000-29526,06/26/04,MCGC,BTLH,F,AHY,2005,6/18 3.4g,6/27 3.4g,,,,,,,,,,,,,,,,
5000-29529,06/27/04,MCGC,BTLH,M,AHY,2005,5/13 3.2g,5/14 3.2g,5/15 3.1g,5/16 3.1g,5/17 3.0g,,,,,,,,,,,,,
5000-29532,06/30/04,MCGC,BTLH,F,AHY,2005,6/10 3.9g,6/13 3.4g,6/21 3.6g,7/12 3.5g,7/26 3.7g,8/2 3.3g,8/9 3.4g,,,,,,,,,,,"Aug, HTW"
5000-29546,07/06/04,GNMTN,BTLH,F,AHY,2005,7/28 n.w.,,,,,,,,,,,,,,,,,
5000-29551,07/06/04,GNMTN,BTLH,F,AHY,2005,7/9 3.7g E7,,,,,,,,,,,,,,,,,
5000-29552,07/06/04,GNMTN,BTLH,F,AHY,2005,7/1 3.3g,7/9 3.2g,,,,,,,,,,,,,,,,
5000-29561,07/06/04,KV1,BTLH,F,AHY,2005,7/1 3.5g,,,,,,,,,,,,,,,,,
5000-29568,07/09/04,MCGC,BTLH,F,AHY,2005,5/16 3.6 E6-,7/14 3.9,,,,,,,,,,,,,,,,"Jul, HTW"
5000-29574,07/09/04,MCGC,BTLH,M,AHY,2005,5/23 3.4g at CC3,5/26 3.3g at CC3,,,,,,,,,,,,,,,,
5000-29575,07/10/04,MCGC,BTLH,M,AHY,2005,5/13 3.3g,5/15 3.2g,5/16 3.1g,,,,,,,,,,,,,,,
5000-29593,07/12/04,MCGC,BTLH,F,AHY,2005,5/16 3.7 E7,,,,,,,,,,,,,,,,,
5000-29594,07/12/04,CC2,BTLH,F,AHY,2005,6/19 3.6g,,,,,,,,,,,,,,,,,
5000-29606,07/13/04,KV1,BTLH,F,AHY,2005,6/27 3.5g,,,,,,,,,,,,,,,,,
5000-29609,07/13/04,GNMTN,BTLH,F,AHY,2005,6/27 3.4g,,,,,,,,,,,,,,,,,
5000-29616,07/13/04,MCGC,BTLH,M,AHY,2005,6/12 3.7g,6/13 3.3g,7/9 3.5g,,,,,,,,,,,,,,,
5000-29619,07/14/04,MCGC,BTLH,F,AHY,2005,6/10 3.6g 2x,6/11 3.2g,6/12 3.3g 2x,6/13 3.2g,6/14 3.3g,6/29 3.5g,,,,,,,,,,,,
5000-29622,07/14/04,MCGC,BTLH,F,AHY,2005,6/27 3.3g,,,,,,,,,,,,,,,,,
5000-29635,07/15/04,MCGC,BTLH,M,AHY,2005,5/18 3.4g,6/13 3.4g,7/14 3.6g,,,,,,,,,,,,,,,
5000-29641,07/15/04,MCGC,BTLH,F,AHY,2005,6/29 3.4g,6/30 3.2g,7/7 3.4g 2x,7/8 3.1g,7/10 3.1 4x,7/11 3.2 3x,7/12 3.1g,7/13 2.9g,7/14 3.5g,,,,,,,,,
5000-29643,07/15/04,MCGC,BTLH,F,AHY,2005,6/05 3.6g E6,6/6 3.0g,6/10 3.0g 2x,6/19 4.0g E8,,,,,,,,,,,,,,
5000-29645,07/16/04,MCGC,BTLH,M,AHY,2005,5/14 3.1g,,,,,,,,,,,,,,,,,
5000-29660,07/19/04,MCGC,BTLH,M,AHY,2005,5/15 3.3g,,,,,,,,,,,,,,,,,
5000-29675,07/18/04,GNMTN,BTLH,F,AHY,2005,7/28 3.9g,,,,,,,,,,,,,,,,,
5000-29676,07/18/04,GNMTN,BTLH,F,AHY,2005,7/20 4.0g,,,,,,,,,,,,,,,,,"Jul, r3 LtTW"
5000-29678,07/19/04,MCGC,BTLH,F,AHY,2005,7/3 3.3,,,,,,,,,,,,,,,,,
5000-29681,07/19/04,MCGC,BTLH,F,AHY,2005,7/21 3.4g,,,,,,,,,,,,,,,,,
5000-96628,07/22/04,KV1,BTLH,F,AHY,2005,7/9 3.5g,,,,,,,,,,,,,,,,,"Jul, NTW"
5000-96640,07/24/04,MCGC,BTLH,F,AHY,2005,5/16 3.6g E6,6/10 3.4g,6/11 3.4g,,,,,,,,,,,,,,,
5000-96645,07/25/04,CC2,BTLH,F,AHY,2005,8/19 3.6g at MCGC,,,,,,,,,,,,,,,,,
5000-96648,07/25/04,MCGC,BTLH,F,AHY,2005,7/9 3.6g,7/14 3.9g,,,,,,,,,,,,,,,,"Jul, NTW"
5000-96650,07/25/04,MCGC,BTLH,F,AHY,2005,6/13 3.6g E6,7/10 3.4g,7/31 3.8g,8/1 3.4g,,,,,,,,,,,,,,"Jul, HTW"
5000-96661,07/26/04,MCGC,BTLH,F,AHY,2005,6/13 3.3g,,,,,,,,,,,,,,,,,
5000-96664,07/26/04,MCGC,BTLH,F,AHY,2005,7/18 3.8g,7/25 3.6g,7/27 3.2g,,,,,,,,,,,,,,,"Jul, HTW"
5000-96671,07/26/04,MP1,BTLH,F,AHY,2005,6/13 3.6 E6,,,,,,,,,,,,,,,,,
5000-96672,07/26/04,MP1,BTLH,F,AHY,2005,6/2 3.5g,6/3 3.2g,8/18 3.3g,,,,,,,,,,,,,,,
5000-96673,07/26/04,MP1,BTLH,F,AHY,2005,5/31 3.3g,6/2 3.3g,6/5 3.2g,,,,,,,,,,,,,,,
5000-96674,07/26/04,MP1,BTLH,M,AHY,2005,6/25 3.3g,,,,,,,,,,,,,,,,,
5000-96675,07/26/04,MP1,BTLH,F,AHY,2005,6/1 3.8g,,,,,,,,,,,,,,,,,
5000-96676,07/26/04,MP1,BTLH,F,AHY,2005,5/18 3.6g,6/02 3.2g,6/5 3.8g E6,,,,,,,,,,,,,,,
5000-96678,07/26/04,MP1,BTLH,F,AHY,2005,6/2 3.8g E8,,,,,,,,,,,,,,,,,
5000-96679,07/26/04,MP1,BTLH,F,AHY,2005,6/11 3.7g,,,,,,,,,,,,,,,,,
5000-96680,07/26/04,MP1,BTLH,F,AHY,2005,5/25 4.0g E7,6/13 3.7g,6/18 3.6g,,,,,,,,,,,,,,,
5000-96683,07/26/04,MP1,BTLH,F,AHY,2005,6/5 4.6g E9,7/7 3.9g E7,,,,,,,,,,,,,,,,
5000-96684,07/26/04,MP1,BTLH,F,AHY,2005,6/5 3.5g,8/25 3.6g,,,,,,,,,,,,,,,,"Aug, LtTW"
5000-96685,07/26/04,MP1,BTLH,F,AHY,2005,6/25 3.7g,,,,,,,,,,,,,,,,,
5000-96694,07/27/04,MCGC,BTLH,F,HY,2005,5/23 3.3g,,,,,,,,,,,,,,,,,
5000-96731,08/06/04,MP1,BTLH,F,AHY,2005,5/25 3.9g E8,6/2 3.4g,6/3 3.2g,8/25 3.5g,,,,,,,,,,,,,,"Aug, LtTW"
5000-96732,08/06/04,MP1,BTLH,F,AHY,2005,5/31 3.5g E6,6/05 3.4 2x,6/11 3.2g 2x,,,,,,,,,,,,,,,
5000-96737,08/06/04,MP1,BTLH,F,AHY,2005,5/31 3.5g,6/01 3.3g,6/3 3.5g,6/5 3.5g E6 2x,6/13 3.4g,8/29 3.7g,,,,,,,,,,,,
5000-96743,08/06/04,MP1,BTLH,F,AHY,2005,7/11 3.5g,,,,,,,,,,,,,,,,,
5000-96745,08/06/04,MP1,BTLH,F,AHY,2005,8/19 3.6g,,,,,,,,,,,,,,,,,"Aug, LtTW"
5000-96752,08/07/04,MCGC,BTLH,F,HY,2005,5/15 3.7g,7/18 3.7g,7/25 3.4g,7/27 3.2g,8/6 n.w.,,,,,,,,,,,,,
5000-96760,08/07/04,MP1,BTLH,F,AHY,2005,6/11 4.2g E6,,,,,,,,,,,,,,,,,
5000-96768,08/07/04,MP1,BTLH,F,AHY,2005,5/24 3.9g E8,,,,,,,,,,,,,,,,,
5000-96772,08/07/04,MP1,BTLH,F,AHY,2005,6/11 3.6g E6,6/12 3.5g,,,,,,,,,,,,,,,,
5000-96786,08/09/04,MCGC,BTLH,F,HY,2005,7/12 3.4g,,,,,,,,,,,,,,,,,
5000-96790,08/10/04,MCGC,BTLH,M,HY,2005,5/13 3.9g,,,,,,,,,,,,,,,,,
5000-96800,08/13/04,MP1,BTLH,F,AHY,2005,6/12 3.5g,,,,,,,,,,,,,,,,,
5000-96806,08/11/04,MP1,BTLH,F,AHY,2005,5/31 3.6g E6,6/5 3.6g,,,,,,,,,,,,,,,,
5000-96808,08/11/04,MP1,BTLH,F,AHY,2005,5/31 3.5g,,,,,,,,,,,,,,,,,
5000-96811,08/11/04,MP1,BTLH,F,AHY,2005,7/7 4.3g E8,,,,,,,,,,,,,,,,,
5000-96812,08/11/04,MP1,BTLH,M,HY,2005,6/2 3.1g,,,,,,,,,,,,,,,,,
5000-96819,08/11/04,MP1,BTLH,F,AHY,2005,6/29 3.3g,,,,,,,,,,,,,,,,,
5000-96821,08/11/04,MP1,BTLH,F,AHY,2005,6/5 3.4g E6,,,,,,,,,,,,,,,,,
5000-96822,08/11/04,MP1,BTLH,F,AHY,2005,5/24 3.4g,6/3 3.5g,6/5 3.5g,,,,,,,,,,,,,,,
5000-96824,08/12/04,GNMTN,BTLH,F,AHY,2005,7/9 3.7g,,,,,,,,,,,,,,,,,
5000-96831,08/13/04,MCGC,BTLH,M,HY,2005,5/14 3.5g,5/15 3.3g 4x,5/16 3.3g 5x,5/17 3.3g 2x,5/18 3.2g,5/19 3.2g 3x,6/10 3.2g,6/13 3.3g,,,,,,,,,,
5000-96832,08/13/04,MCGC,BTLH,F,HY,2005,7/22 4.0g,7/26 3.6g,,,,,,,,,,,,,,,,
5000-96834,08/13/04,MCGC,BTLH,F,AHY,2005,6/13 3.7g E6,,,,,,,,,,,,,,,,,
5000-96835,08/13/04,MCGC,BTLH,F,AHY,2005,7/10 3.4g,,,,,,,,,,,,,,,,,"Jul, HTW"
5000-96845,08/13/04,MP1,BTLH,F,AHY,2005,6/25 3.4g,,,,,,,,,,,,,,,,,
5000-96847,08/13/04,MP1,BTLH,F,AHY,2005,5/23 3.6g,5/31 3.3g,6/5 3.5g E6,,,,,,,,,,,,,,,
5000-96848,08/13/04,MP1,BTLH,F,AHY,2005,7/11 3.5g,,,,,,,,,,,,,,,,,
5000-96850,08/13/04,MP1,BTLH,F,AHY,2005,6/3 3.5g,6/5 3.9g E6,,,,,,,,,,,,,,,,
5000-96851,08/14/04,MCGC,BTLH,F,AHY,2005,7/12 3.6g,,,,,,,,,,,,,,,,,
5000-96852,08/14/04,MCGC,BTLH,M,HY,2005,7/7 3.2g,7/10 3.2g,,,,,,,,,,,,,,,,
5000-96861,08/14/04,MP1,BTLH,F,AHY,2005,7/7 3.6g,,,,,,,,,,,,,,,,,
5000-96863,08/14/04,MP1,BTLH,F,AHY,2005,7/27 3.2g,,,,,,,,,,,,,,,,,
5000-96872,08/14/04,MP1,BTLH,F,AHY,2005,7/7 3.5g,,,,,,,,,,,,,,,,,
5000-96873,08/14/04,MP1,BTLH,F,AHY,2005,8/8 3.8g,8/26 3.4g,,,,,,,,,,,,,,,,
5000-96877,08/14/04,MP1,BTLH,F,AHY,2005,6/4 3.1g,,,,,,,,,,,,,,,,,
5000-96912,08/20/04,MP1,BTLH,F,AHY,2005,6/25 3.8g E8,6/29 3.9g E8,,,,,,,,,,,,,,,,
5000-96917,08/20/04,MP1,BTLH,F,AHY,2005,6/19 3.5g,,,,,,,,,,,,,,,,,was band lost
5000-96919,08/20/04,MP1,BTLH,F,AHY,2005,6/12 3.2g 2x,6/25 3.4g,,,,,,,,,,,,,,,,
5000-96922,08/20/04,MP1,BTLH,F,AHY,2005,6/5 3.4g E6,,,,,,,,,,,,,,,,,
5000-96930,08/21/04,MP1,BTLH,F,AHY,2005,5/25 3.4g,6/2 3.1g E6-,,,,,,,,,,,,,,,,
5000-96940,08/21/04,MP1,BTLH,F,AHY,2005,5/18 3.6g,5/31 3.4g,6/3 3.3g,6/5 3.3g,6/12 3.4g,,,,,,,,,,,,,
5000-96942,08/21/04,MP1,BTLH,F,AHY,2005,5/24 3.5g,5/31 3.3g,6/4 3.4g,,,,,,,,,,,,,,,
5000-96946,08/21/04,MP1,BTLH,F,HY,2005,6/5 3.4g E8,6/12 3.7g E6,6/18 3.2g,6/25 3.2g,,,,,,,,,,,,,,
5000-96947,08/21/04,MP1,BTLH,F,AHY,2005,5/25 4.4g E8,,,,,,,,,,,,,,,,,
5000-96948,08/21/04,MP1,BTLH,F,AHY,2005,7/7 3.6g E7,,,,,,,,,,,,,,,,,
5000-96951,08/21/04,MP1,BTLH,F,AHY,2005,8/17 3.9g,,,,,,,,,,,,,,,,,"Aug, LtTW"
5000-96961,08/22/04,MCGC,BTLH,M,HY,2005,6/10 3.4g 2x,6/12 3.3g,,,,,,,,,,,,,,,,
5000-96966,08/22/04,GNMTN,BTLH,M,AHY,2005,7/1 3.1g,,,,,,,,,,,,,,,,,
5000-96968,08/23/04,MCGC,BTLH,M,HY,2005,6/6 3.1g 2x,,,,,,,,,,,,,,,,,
5000-96977,08/24/04,MP1,BTLH,F,AHY,2005,5/31 3.5g E7,,,,,,,,,,,,,,,,,
5000-96980,08/24/04,MP1,BTLH,F,AHY,2005,6/12 3.7g,,,,,,,,,,,,,,,,,
5000-96986,08/25/04,MP1,BTLH,F,HY,2005,6/11 3.7g,8/6 4.0g,,,,,,,,,,,,,,,,"Aug, HTW"
5000-96989,08/25/04,MP1,BTLH,F,AHY,2005,6/2 3.7g E6,,,,,,,,,,,,,,,,,
5000-96997,08/29/04,MP1,BTLH,F,AHY,2005,6/2 3.6g,,,,,,,,,,,,,,,,,
5000-97012,08/31/04,MP1,BTLH,F,HY,2005,6/5 3.7g E7+,,,,,,,,,,,,,,,,,
5000-97024,09/03/04,MP1,BTLH,F,HY,2005,6/11 3.8g,,,,,,,,,,,,,,,,,
5000-97036,09/06/04,MP1,BTLH,F,HY,2005,8/13 3.7g,,,,,,,,,,,,,,,,,
4000-01786,07/11/05,MP1,BTLH,F,AHY,2005,"4.0g, LtTW r5r",,,,,,,,,,,,,,,,,
