Band Number,Original Date,Original Site,Species,Original Sex,Original Age,Recapture Year,Recapture 1,Recapture 2,Recapture 3,Recapture 4,Recapture 5,Recapture 6,Recapture 7,Recapture 8,Recapture 9,Recapture 10,Recapture 11,Recapture 12,Recapture 13,Recapture 14,Recapture 15,Recapture 16,Recapture 17,Comments
5000-11757,7/12/2003,MCGC,BTLH,F,AHY,2011,"6/27, 3.9g E6","7/10, 3.4g","7/23, 3.2 g","8/5, 3.6g",,,,,,,,,,,,,,New: L08484
5000-96868,8/14/2004,MP1,BTLH,F,AHY,2011,"6/18, 3.1 g at HPK2",,,,,,,,,,,,,,,,,
5000-96894,8/16/2004,MCGC,BTLH,F,AHY,2011,"6/24, 3.9 g E6",7/29 4.0 g ,8/1 3.7 g,,,,,,,,,,,,,,,
5000-97012,8/30/2004,MP1,BTLH,F,HY,2011,8/19 3.7 g,,,,,,,,,,,,,,,,,
6000-23664,7/1/2005,KV1,BTLH,F,AHY,2011,6/30 4.1 g E6+,7/9 3.4 g ,,,,,,,,,,,,,,,,
6000-23792,7/13/2005,MCGC,BTLH,F,AHY,2011,5/20 3.6 g,,,,,,,,,,,,,,,,,
6000-53837,8/17/2005,MP1,BTLH,F,AHY,2011,6/18 3.65 g ,7/14 3.65 g,,,,,,,,,,,,,,,,
6000-53887,8/19/2005,MP1,BTLH,F,AHY,2011,7/14 3.95 g,,,,,,,,,,,,,,,,,
6000-80917,5/21/2006,MP1,BTLH,F,AHY,2011,5/30 3.5 g ,6/2 3.3 g,,,,,,,,,,,,,,,,
6000-80951,6/3/2006,MP1,BTLH,F,AHY,2011,7/8 3.52 g,,,,,,,,,,,,,,,,,
6000-81022,6/12/2006,MP1,BTLH,F,AHY,2011,8/19 3.58 g,,,,,,,,,,,,,,,,,
9000-11842,6/23/2006,MCGC,BTLH,M,AHY,2011,5/28 3.2 g at CC3,,,,,,,,,,,,,,,,,
9000-12028,7/12/2006,MP1,BTLH,F,AHY,2011,8/13 nw,,,,,,,,,,,,,,,,,
9000-12128,7/19/2006,MP1,BTLH,F,AHY,2011,6/18 3.7 g,,,,,,,,,,,,,,,,,
9000-12157,7/27/2006,MCGC,BTLH,F,AHY,2011,7/30 4.0 g,,,,,,,,,,,,,,,,,
9000-12271,7/31/2006,MCGC,BTLH,F,AHY,2011,"6/16, 4.3 g",,,,,,,,,,,,,,,,,"band removed, not rebanded"
9000-12390,8/9/2006,GNMTN,BTLH,F,AHY,2011,7/17 4.24 g E6 2x,,,,,,,,,,,,,,,,,
9000-12410,8/10/2006,MCGC,BTLH,F,AHY,2011,6/27 3.7 g ,,,,,,,,,,,,,,,,,
9000-39020,5/13/2007,MP1,BTLH,M,AHY,2011,5/31 3.4 g,,,,,,,,,,,,,,,,,
9000-39028,5/17/2007,HPK1,BTLH,M,AHY,2011,6/10 3.2 g at HPK2 2x ,,,,,,,,,,,,,,,,,
9000-39084,6/18/2007,MCGC,BTLH,M,AHY,2011,6/24 3.3 g,,,,,,,,,,,,,,,,,
9000-39201,5/13/2007,MP1,BTLH,F,AHY,2011,8/13 3.49 g,,,,,,,,,,,,,,,,,
9000-39210,5/16/2007,MP1,BTLH,F,AHY,2011,7/14 3.3 g,,,,,,,,,,,,,,,,,
9000-39222,5/23/2007,HPK1,BTLH,F,AHY,2011,6/10 3.95 g E7,,,,,,,,,,,,,,,,,New L08571
9000-39227,5/21/2007,MP1,BTLH,F,AHY,2011,6/23 3.58 g,7/14 nw,,,,,,,,,,,,,,,,
9000-39246,6/4/2007,KV1,BTLH,F,AHY,2011,6/26 4.86 g E9,8/3 4.09 g,,,,,,,,,,,,,,,,
9000-39319,6/12/2007,MP1,BTLH,F,AHY,2011,6/18 3.6 g,,,,,,,,,,,,,,,,,
9000-39332,6/13/2007,KV1,BTLH,F,AHY,2011,6/30 3.63 E6,,,,,,,,,,,,,,,,,
9000-39369,6/17/2007,MP1,BTLH,F,AHY,2011,8/23 3.6 g,,,,,,,,,,,,,,,,,
9000-39371,6/17/2007,MP1,BTLH,F,AHY,2011,7/8 3.15 g,,,,,,,,,,,,,,,,,missing p4
9000-39401,6/19/2007,HPK1,BTLH,F,AHY,2011,5/30 4.1 g E7 at MP1,,,,,,,,,,,,,,,,,
9000-39415,6/20/2007,GNMTN,BTLH,F,AHY,2011,6/22 3.7 g,,,,,,,,,,,,,,,,,
9000-39479,6/29/2007,HOLZ,BTLH,F,AHY,2011,"8/25, nw",,,,,,,,,,,,,,,,,
9000-39491,6/29/2007,HOLZ,BTLH,F,AHY,2011,"6/22, 3.38g",,,,,,,,,,,,,,,,,new: E40106
9000-39493,6/29/2007,HOLZ,BTLH,F,AHY,2011,"6/22, 3.8g E6",,,,,,,,,,,,,,,,,
9000-39541,7/7/2007,MCGC,BTLH,F,AHY,2011,"6/23, 3.5g",,,,,,,,,,,,,,,,,
9000-39560,7/9/2007,MCGC,BTLH,F,AHY,2011,"6/24, 3.9g at CC3",,,,,,,,,,,,,,,,,
9000-39573,7/9/2007,HPK1,BTLH,F,AHY,2011,"6/9, 3.4g at HPK2","7/13, 3.7g E7 at HPK2",,,,,,,,,,,,,,,,
9000-39579,7/10/2007,MCGC,BTLH,F,AHY,2011,"6/24, 3.6g",,,,,,,,,,,,,,,,,
9000-39582,7/14/2007,WC1,BTLH,F,AHY,2011,"6/18, 4.3g E6 at MCGC",,,,,,,,,,,,,,,,,"cactus thorn in crown, removed"
9000-39890,7/24/2007,GNMTN,BTLH,F,AHY,2011,"7/9, 4.14g E9","8/17, 3.78g at HOLZ","8/25, 3.9g 3X at HOLZ","8/31, 3.3g at HOLZ",,,,,,,,,,,,,,
9000-39897,7/24/2007,GNMTN,BTLH,F,AHY,2011,"6/22, 3.2g",,,,,,,,,,,,,,,,,
9000-39930,7/31/2007,MP1,BTLH,F,AHY,2011,"7/14, 3.87g",,,,,,,,,,,,,,,,,
9000-39970,8/3/2007,MCGC,BTLH,F,AHY,2011,"6/27, 3.7g","7/15, 3.8g E9","7/30, 4.2g","8/12, 4.0g 2X","8/15, 3.4g","8/20, 3.4g","8/27, 3.3g",,,,,,,,,,,
9000-39976,8/8/2007,MP1,BTLH,F,AHY,2011,"7/8, 3.45g",,,,,,,,,,,,,,,,,
9000-39980,8/8/2007,MP1,BTLH,F,AHY,2011,"7/14, 3.75g",,,,,,,,,,,,,,,,,
9000-39990,8/12/2007,MCGC,BTLH,F,HY,2011,"6/16, 3.4g","6/20, 4.1g","7/23, 3.4g","8/12, 3.4g",,,,,,,,,,,,,,
9000-40091,8/15/2007,MCGC,BTLH,F,AHY,2011,"7/3, 3.95g",,,,,,,,,,,,,,,,,
9000-40108,8/14/2007,HOLZ,BTLH,F,AHY,2011,"6/22, 3.54g 2X","8/3, 3.5g","8/10, 4.0g","8/17, 3.60g",,,,,,,,,,,,,,
9000-40135,8/23/2007,MCGC,BTLH,F,HY,2011,"6/19, 3.4g",,,,,,,,,,,,,,,,,
9000-89901,6/6/2008,HPK1,BTLH,M,AHY,2011,4/16 and 5/1 at ARIZONA,,,,,,,,,,,,,,,,,
9000-89948,6/21/2008,GNMTN,BTLH,M,AHY,2011,"6/22, 3.2g","6/26, 3.14g 2X",,"7/9, 3.2g",,,,,,,,,,,,,,
9000-90126,6/2/2008,MP1,BTLH,F,AHY,2011,"7/8, 4.14 E8",,,,,,,,,,,,,,,,,
9000-90129,6/7/2008,GNMTN,BTLH,F,AHY,2011,"6/26, 3.37g",,,,,,,,,,,,,,,,,new p9
