Band Number,Date,Time,Site,Bander,Species,Sex,Age,Mass,Wing Chord,Culmen,r1 Length,r5 Width,r1-5 Wear,Gorget,Throat,Grooves,Comments
9000-90204,06/28/2009,18:54,HOLZ,FCE,RUHU,M,AHY,3.6,40.5,17.0,27.6,,,,,,
9000-90205,07/05/2009,15:57,KV1,FCE,RUHU,M,AHY,3.5,39.9,17.1,28.0,,,,,,
9000-90206,07/06/2009,13:50,MP1,FCE,RUHU,M,AHY,3.3,40.6,16.0,29.0,,,,,,
9000-90207,07/10/2009,6:28,MCGC,FCE,RUHU,M,AHY,3.7,40.9,16.3,29.0,,,,,,
9000-90208,07/10/2009,7:25,MCGC,FCE,RUHU,M,AHY,3.9,39.2,15.6,27.0,,,,,,
9000-90778,07/10/2009,15:30,MP1,TBE,RUHU,M,AHY,3.9,38.2,15.9,28.0,,,,,,
9000-90779,07/11/2009,6:10,MCGC,FCE,RUHU,M,AHY,3.5,39.9,17.1,27.2,,,,,,
9000-90827,07/06/2009,14:37,MP1,FCE,CAHU,F,AHY,3.3,42.0,16.0,20.0,,,1 vsm ,L,,
9000-90828,07/21/2009,8:15,MCGC,FCE,CAHU,M,AHY,2.9,38.4,14.8,18.4,,,,,,
9000-90829,08/15/2009,16:15,HPK1,FCE,CAHU,M,HY,2.9,41.4,14.9,20.2,,,2c,H,80,
9000-90830,08/16/2009,12:30,MP1,TBE,CAHU,M,HY,3.2,39.9,13.8,20.0,,,1c,H,70,
9000-91293,07/19/2009,14:25,KV1,FCE,CAHU,M,AHY,2.8,38.2,14.9,16.6,,,,,,
9000-91294,07/05/2009,15:57,KV1,FCE,CAHU,M,AHY,3.0,39.7,14.8,19.0,,,,,,
9000-91295,07/12/2009,12:55,MCGC,FCE,CAHU,M,AHY,2.8,37.9,15.0,18.0,,,,,,
3100-41519,05/11/2009,11:25,MP1,FCE,BTLH,F,AHY,3.5,49.8,16.9,31.2,,N,,H,,E6-
3100-41520,05/11/2009,11:30,MP1,TBE,BTLH,F,AHY,3.6,51.4,17.8,32.0,,N,,,,
3100-41536,05/11/2009,12:20,MP1,FCE,BTLH,F,AHY,3.5,,,,,,,L,,early release- stress
3100-41537,05/11/2009,12:33,MP1,FCE,BTLH,F,AHY,3.5,50.4,18.2,29.0,,M,1 sm c,L,,skel r1
3100-41538,05/11/2009,12:38,MP1,FCE,BTLH,F,AHY,3.7,49.7,18.9,28.4,,N,,L,,
