Band Number,Date,Time,Site,Bander,Species,Sex,Age,Mass,Wing Chord,Culmen,r1 Length ,r5 Width,r1-5 Wear,Gorget,Throat,Grooves,Comments
5000-29312,8/2/2003,630,MCGC,FE,BTLH,F,AHY,3.6,51.6,19.2,31,5.5,"M, r3-4",,M,,
5000-29313,8/2/2003,633,MCGC,FE,RUHU,F,AHY,4.5,44.4,18.8,26,3,"L, r1-3",4 C,,,
5000-29314,8/2/2003,1910,MCGC,TE,RUHU,M,HY,3.5,42.6,16.2,25,3,,1,H,70%,
5000-29315,8/2/2003,658,MCGC,FE,BTLH,F,AHY,3.5,49.2,18.5,27,5.2,"L, r3",,,,brown tinge on tips of r3-5
5000-29316,8/2/2003,721,MCGC,FE,BTLH,F,AHY,3.4,52.1,19.5,30.5,5.8,"L, r3-4",,,,
5000-29317,8/2/2003,731,MCGC,FE,BTLH,F,AHY,4.2,51.5,18.8,29,5.5,"L, r3-4",,,,
5000-29318,8/2/2003,734,MCGC,TE,RUHU,F,AHY,3.8,43.4,17.4,25,3.5,H,20,,,
5000-29319,8/2/2003,746,MCGC,FE,BTLH,M,AHY,3.5,50.3,17.5,30,5.5,,,,,
5000-29320,8/2/2003,755,MCGC,TE,BTLH,F,AHY,3.5,50.5,17.9,30,6,"H, r1",,,,
5000-29321,8/2/2003,759,MCGC,TE,BTLH,M,AHY,3.7,50.1,17.5,31,5,,,,,"1 gorget feather, rear of eye"
5000-29322,8/2/2003,1835,MCGC,TE,RUHU,M,HY,3.5,44.2,16.1,27,3,,4 C,H,80%,
5000-29323,8/2/2003,1835,MCGC,FE,BTLH,M,HY,3.7,48.5,17,29.9,5.3,,,H,95%,pointed r2-5
5000-29324,8/2/2003,1850,MCGC,TE,BTLH,F,HY,3.9,50.6,18,32,6,,,M,70%,
5000-29325,8/2/2003,1855,MCGC,FE,BTLH,M,HY,3.7,50,17,28.8,6,,1 L,H,90%,"r2-5 rounded, but gorget feather is male type"
5000-29326,8/2/2003,1942,MCGC,TE,RUHU,F,AHY,3.5,43.7,17.6,27,4,,12 C,,,
5000-29327,8/2/2003,1920,MCGC,TE,BTLH,M,HY,3.7,48.9,17,31,5,,,M,95%,
5000-29328,8/2/2003,1940,MCGC,FE,BTLH,F,HY,4.1,51.1,17.8,28.5,6,,,M,95%,r1-5 rounded at tips 
5000-29329,8/2/2003,1945,MCGC,FE,BTLH,M,HY,3.7,48.2,19.5,27.5,5.5,,,M,95%,"r2 stripe, docile"
5000-29330,8/3/2003,641,MCGC,FE,RUHU,M,AHY,3.4,41.9,16.8,27.4,2.2,,,,,
5000-29332,8/3/2003,610,MCGC,FE,BTLH,F,AHY,3.3,50.3,19.1,28.5,5.9,"L, r3",,,,rt p10 missing tip
5000-29333,8/3/2003,610,MCGC,FE,RUHU,F,HY,3.7,45.2,17.5,26.2,4,,,L,80%,
5000-29334,8/3/2003,700,MCGC,FE,RUHU,M,HY,3.6,43.5,16,26,3,,3 L of C,m,85%,
5000-29335,8/3/2003,700,MCGC,TE,BTLH,F,AHY,3.3,49.9,18.5,29,6,M,,,,
