Band Number,Date,Time,Site,Bander,Species,Sex,Age,Mass,Wing Chord,Culmen,r1 Length,r5 Width,r1-5 Wear,Gorget,Throat,Grooves,Comments,Replaced Band Number
9000-90188,6/14/2008,17:30,HOLZ,TBE,BTLH,F,AHY,4.1,48.9,18,29.5,,VL,L,,,E6,
9000-90189,6/14/2008,17:35,HOLZ,TBE,BTLH,F,AHY,3.2,49.2,17.2,30.5,,N,M,,,E6,
9000-90190,6/14/2008,17:53,HOLZ,TBE,BTLH,F,AHY,3.5,48.6,17.5,30.5,,N,VL,,,,
9000-90191,6/14/2008,18:00,HOLZ,TBE,BTLH,F,AHY,3.9,50.3,18,31,,VH,H,,,E8,
9000-90192,6/14/2008,18:44,HOLZ,TBE,BTLH,F,AHY,4.1,50.3,18.2,31,,N,H,,,E7,
9000-90193,6/14/2008,18:50,HOLZ,TBE,BTLH,F,AHY,3.9,47.9,18,29.5,,N,L,,,E6,
9000-90194,6/14/2008,18:52,HOLZ,TBE,BTLH,F,AHY,3.8,51.6,17.9,31,,N,M,,,,
9000-90195,6/16/2008,6:58,MCGC,FCE,BTLH,F,AHY,3.7,50.1,18.4,29.7,,L-H,M,6c,,,
9000-90196,6/16/2008,7:30,MCGC,FCE,BTLH,F,AHY,3.6,49.4,18.3,29.9,,N,M,,,E7,
9000-90197,6/16/2008,11:10,MP1,TBE,BTLH,F,AHY,3.7,49.3,17.9,28.5,,H,VL,8c,,E7,
9000-90198,6/16/2008,11:20,MP1,TBE,BTLH,F,AHY,3.3,48.7,18.4,28,,N,N,8,,,
9000-90199,6/16/2008,11:20,MP1,TBE,BTLH,F,AHY,3.9,50.7,19,31,,N,VL,,,,
9000-90200,6/16/2008,11:32,MP1,TBE,BTLH,F,AHY,3.4,50.3,18.5,29.5,,N,M,,,E6,
9000-90209,8/30/2008,12:00,MP1,FCE,RUHU,M,HY,3.3,42.7,16.5,26.8,,,H,1c,80%,,
9000-90210,8/30/2008,12:40,MP1,FCE,RUHU,M,HY,3.3,43.6,16.5,27.1,,,H,3c,,,
9000-90211,6/11/2008,12:10,MP1,FCE,BTLH,F,AHY,3.8,52.3,19.4,30.9,,N,L,,,,
9000-90212,6/11/2008,12:40,MP1,FCE,BTLH,F,AHY,3.8,51.6,18.6,30,,L-M,L,,,E7,
9000-90213,6/16/2008,7:30,MCGC,FCE,BTLH,F,AHY,3.6,50,19.1,30.1,,M,H,,,,
9000-90214,6/16/2008,7:56,MCGC,FCE,BTLH,F,AHY,3.5,50.7,19,29.3,,N,M,2c vsm,,,
9000-90215,6/16/2008,8:26,MCGC,FCE,BTLH,F,AHY,3.5,49.7,18.5,29.5,,N,L,,,,
9000-90217,6/16/2008,11:32,MP1,TBE,BTLH,F,AHY,4.7,50.1,18.5,31,,VL,L,,,r! stress bar,
9000-90218,6/16/2008,11:32,MP1,FCE,BTLH,F,AHY,3.4,49.4,18,29.8,,L,L,,,,
9000-90219,6/16/2008,11:32,MP1,TBE,BTLH,F,AHY,3.2,50,19,30.5,,N,L,,,,
9000-90220,6/16/2008,11:48,MP1,TBE,BTLH,F,AHY,3.9,50,18.5,31,,N,L,,,E8,
9000-90221,6/16/2008,11:57,MP1,TBE,BTLH,F,AHY,3.8,49.1,18.5,31,,M,H,,,E9,
9000-90222,6/16/2008,12:05,MP1,TBE,BTLH,F,AHY,3.5,50.2,19.1,30,,N,M,,,,
9000-90223,6/16/2008,12:17,MP1,TBE,BTLH,F,AHY,3.7,50.1,18,29,,H,M,,,,
9000-90224,6/16/2008,12:25,MP1,TBE,BTLH,F,AHY,3.4,49.4,18.2,29.5,,H,L,,,E9,
9000-90225,6/16/2008,12:33,MP1,FCE,BTLH,F,AHY,3.6,51.7,17.7,31.3,,N,L,,,,
9000-90226,6/16/2008,12:44,MP1,TBE,BTLH,F,AHY,3.5,48.7,19,29,,N,L,6c,,,
9000-90227,6/16/2008,12:44,MP1,TBE,BTLH,F,AHY,3.9,50.3,18,30,,L,L,,,,
9000-90228,6/16/2008,13:28,MP1,TBE,BTLH,F,AHY,,,,,,H,M,,,Escaped,
9000-90229,6/16/2008,13:39,MP1,TBE,BTLH,F,AHY,3.7,47.8,18,30,,N,M,,,,
9000-90230,6/16/2008,13:47,MP1,FCE,BTLH,F,AHY,3.9,51,19.3,30,,L,L-M,3 vsm,,,
9000-90231,6/16/2008,13:54,MP1,TBE,BTLH,F,AHY,3.8,48.1,17.5,30,,N,L,,,,
9000-90232,6/16/2008,14:04,MP1,TBE,BTLH,F,AHY,4,51.3,17.9,31,,N,L-M,,,,
9000-90233,6/17/2008,10:53,HPK1,TBE,BTLH,F,AHY,3.5,50.9,18,31,,H,L-M,,,,
9000-90234,6/17/2008,10:53,HPK1,TBE,BTLH,F,AHY,3.6,49.4,19.2,30.5,,N,M-H,,,,
9000-90235,6/17/2008,10:53,HPK1,TBE,BTLH,F,AHY,3.5,49.2,18.3,28,,L,L,,,E6,
9000-90236,6/17/2008,11:06,HPK1,TBE,BTLH,F,AHY,4.3,49,18.1,31,,M,L,,,E9+,
9000-90237,6/17/2008,11:10,HPK1,TBE,BTLH,F,AHY,3.7,49.7,17.9,31,,L,L,,,E7,
9000-90238,6/17/2008,11:16,HPK1,TBE,BTLH,F,AHY,4.1,48.3,18.5,31,,M,H,3 vsm,,E7,
9000-90239,6/17/2008,11:27,HPK1,TBE,BTLH,F,AHY,3.5,49.1,18.3,30,,H,M,,,,
9000-90240,6/17/2008,11:39,HPK1,TBE,BTLH,F,AHY,3.7,50.9,19.1,28,,M,L,,,E7,
9000-90241,6/17/2008,12:10,HPK1,TBE,BTLH,F,AHY,4.1,47.9,18.4,30,,H,L,,,,
9000-90242,6/17/2008,12:10,HPK1,TBE,BTLH,F,AHY,3.6,48.7,18,29,,M,M,,,E6,
9000-90243,6/17/2008,12:26,HPK1,FCE,BTLH,F,AHY,3.5,48.7,18,30,,N,L,,,,
9000-90244,6/17/2008,12:35,HPK1,FCE,BTLH,F,AHY,3.4,48.9,18.8,29.7,,N,L,,,p9 4.2 mm<p10,
9000-90245,6/17/2008,12:45,HPK1,FCE,BTLH,F,AHY,3.3,48.8,18.1,29.8,,L,H,,,,
9000-90246,6/17/2008,13:00,HPK1,TBE,BTLH,F,AHY,3.6,51.2,18.3,30,,H,H,,,,
9000-90247,6/17/2008,15:02,MP1,TBE,BTLH,F,AHY,4.3,49.3,17.2,30,,N,L,4c vsm,,E9,
9000-90248,6/17/2008,15:02,MP1,TBE,BTLH,F,AHY,4.6,49,18.4,29,,M,M,,,E9,
9000-90249,6/17/2008,15:16,MP1,TBE,BTLH,F,AHY,4.1,49.3,19,30,,L,H,,,E8,
9000-90250,6/17/2008,15:23,MP1,TBE,BTLH,F,AHY,3.5,48.5,18.1,32,,N,H,,,,
9000-90251,6/17/2008,15:49,MP1,TBE,BTLH,F,AHY,3.9,47.5,18.5,30,,N,L,,,E6,
9000-90252,6/17/2008,15:49,MP1,FCE,BTLH,F,AHY,4,48.4,18.4,29.2,,L,L,,,E7,
9000-90253,6/17/2008,16:00,MP1,FCE,BTLH,F,AHY,3.5,50.5,18.2,30.8,,L,,,,,
9000-90254,6/17/2008,18:55,MCGC,FCE,BTLH,F,AHY,3.4,48.5,18.9,29,,N,L-M,,,,
9000-90255,6/17/2008,19:21,MCGC,FCE,BTLH,F,AHY,3.6,51.3,18.5,31.5,,,L,,,,
9000-90256,6/18/2008,6:49,MCGC,FCE,BTLH,F,AHY,3.6,50.2,18.9,28.6,,L,L,,,,
9000-90257,6/18/2008,6:56,MCGC,FCE,BTLH,F,AHY,3.9,51.2,18,29.1,,M,L-M,,,,
9000-90258,6/18/2008,11:13,CC3,FCE,BTLH,F,AHY,3.5,50.5,18,30,,N,L,,,,
9000-90259,6/18/2008,11:20,CC3,FCE,BTLH,F,AHY,3.8,50.6,18.2,28.8,,M,L-M,,,,
9000-90260,6/18/2008,11:35,CC3,FCE,BTLH,F,AHY,3.6,49.6,18.4,30,,N,M,,,E6,
9000-90261,6/18/2008,11:48,CC3,FCE,BTLH,F,AHY,3.6,49.4,17.5,30,,H,M,,,,
9000-90262,6/18/2008,11:55,CC3,FCE,BTLH,F,AHY,3.8,50.4,19,30.8,,N,M,11c,,,
9000-90263,6/18/2008,12:08,CC3,FCE,BTLH,F,AHY,3.8,50.4,18,30.2,,H,L-M,4c vsm,,E6+,
9000-90264,6/18/2008,12:17,CC3,FCE,BTLH,F,AHY,3.5,49.3,19,29.6,,M,L,,,,
9000-90265,6/18/2008,12:27,CC3,FCE,BTLH,F,AHY,3.6,48.6,18.5,28.5,,H,L,5 vsm,,,
9000-90266,6/19/2008,6:13,MCGC,FCE,BTLH,F,AHY,3.9,49.5,18.2,31.2,,L,VL,,,,
9000-90267,6/19/2008,6:13,MCGC,FCE,BTLH,F,AHY,3.4,48.7,18.5,30.2,,L,L,,,,
9000-90268,6/19/2008,6:20,MCGC,FCE,BTLH,F,AHY,3.6,49.4,19.5,28.8,,N,M,8c,,E6,
9000-90269,6/19/2008,6:43,MCGC,TBE,BTLH,F,AHY,3.7,48,18.7,30.5,,N,L,,,E8,
9000-90270,6/19/2008,6:50,MCGC,FCE,BTLH,F,AHY,4.3,50.3,18.3,30.4,,N,H,,,E7,
9000-90271,6/19/2008,7:10,MCGC,TBE,BTLH,F,AHY,4.2,49.8,17.7,29,,H,L,,,E9+,
9000-90272,6/19/2008,7:16,MCGC,TBE,BTLH,F,AHY,4.2,48.6,17.6,31,,M,M,,,E8,
9000-90274,6/21/2008,9:37,KV1,TBE,BTLH,F,AHY,3.7,51.6,19.1,31,,N,L,,,,
9000-90275,6/21/2008,9:41,KV1,TBE,BTLH,F,AHY,3.6,49,17.9,30,,N,L,,,,
9000-90276,6/21/2008,9:51,KV1,TBE,BTLH,F,AHY,3.5,50.4,18.9,29,,N,M,10c,,,
9000-90277,6/21/2008,10:00,KV1,TBE,BTLH,F,AHY,3.5,48.8,17.9,30,,L,M-H,,,,
9000-90278,6/21/2008,10:01,KV1,TBE,BTLH,F,AHY,3.7,50.5,18,30.5,,L,M,,,,
9000-90279,6/21/2008,10:06,KV1,TBE,BTLH,F,AHY,4.2,49.2,18.2,31,,N,M,2 vsm,,E9,
9000-90280,6/21/2008,10:09,KV1,TBE,BTLH,F,AHY,3.4,48.8,18.3,31,,L,L,14c,,,
9000-90281,6/21/2008,10:09,KV1,TBE,BTLH,F,AHY,3.6,51.4,18.7,31,,N,L-M,,,E6,
9000-90282,6/21/2008,10:20,KV1,TBE,BTLH,F,AHY,3.6,49.2,17.5,29.5,,L,L,8c,,,
9000-90283,6/21/2008,10:20,KV1,TBE,BTLH,F,AHY,3.5,51.1,17,31,,N,VL,,,,
9000-90284,6/21/2008,10:25,KV1,TBE,BTLH,F,AHY,3.6,50.1,18.5,31,,H,L,,,E6,
9000-90285,6/21/2008,10:29,KV1,TBE,BTLH,F,AHY,4,49.2,17.8,30,,L,L,,,,
9000-90286,6/21/2008,11:52,GNMTN,TBE,BTLH,F,AHY,3.6,50.7,18.8,30.8,,N,L,,,,
9000-90287,6/21/2008,12:09,GNMTN,FCE,BTLH,F,AHY,5,51.6,19,31,,H,L,,,E9+,
9000-90288,6/21/2008,12:19,GNMTN,TBE,BTLH,F,AHY,3.8,48.9,18.9,31,,L,L,,,,
9000-90289,6/21/2008,12:30,GNMTN,FCE,BTLH,F,AHY,4.4,49,18.2,30.4,,N,L,,,E7+,
9000-90290,6/21/2008,14:13,GNMTN,TBE,BTLH,F,AHY,3.2,48.9,17.6,30,,H,VL,1c,,,
9000-90291,6/21/2008,14:20,GNMTN,TBE,BTLH,F,AHY,4.3,50.4,18.7,30,,H,L-M,,,,
9000-90292,6/21/2008,14:35,GNMTN,FCE,BTLH,F,AHY,4,51.6,18.5,31.2,,M,L,,,E6,
9000-90293,6/21/2008,14:40,GNMTN,FCE,BTLH,F,AHY,4,49.5,18,30.5,,N,M,,,E7,
9000-90294,6/21/2008,14:44,GNMTN,FCE,BTLH,F,AHY,3.9,49.3,18.5,28.6,,H,L,,,E7,
9000-90295,6/21/2008,14:48,GNMTN,FCE,BTLH,F,AHY,3.4,49.5,18,29.8,,H,M,,,,
9000-90296,6/21/2008,15:05,GNMTN,FCE,BTLH,F,AHY,3.5,49.4,18,29.6,,H,H,,,,
9000-90297,6/21/2008,15:10,GNMTN,FCE,BTLH,F,AHY,3.7,51.3,18.5,30,,L,L,,,E6-,
9000-90298,6/21/2008,15:13,GNMTN,FCE,BTLH,F,AHY,3.9,51,19,31,,N,H,,,,
9000-90299,6/21/2008,16:35,HOLZ,FCE,BTLH,F,AHY,4.1,52,19,31.5,,N,L,,,E7,
9000-90300,6/21/2008,16:50,HOLZ,FCE,BTLH,F,AHY,3.5,50.7,18.2,31.2,,N,M,,,,
9000-90301,6/17/2008,19:30,MCGC,TBE,BTLH,F,AHY,3.8,49.3,18.1,29,,H,VL,,,,
9000-90302,6/21/2008,16:55,HOLZ,FCE,BTLH,F,AHY,3.6,49.3,17.6,30,,M,L,,,E6,
9000-90303,6/21/2008,16:58,HOLZ,FCE,BTLH,F,AHY,4.4,48.5,18.6,30,,N,M,,,E9,
9000-90304,6/21/2008,17:05,HOLZ,TBE,BTLH,F,AHY,3.8,50.1,17.4,28.5,,N,H,,,E8,
9000-90305,6/21/2008,17:26,HOLZ,FCE,BTLH,F,AHY,4.2,48.6,18,31,,H,L,,,E9,
9000-90306,6/21/2008,17:38,HOLZ,FCE,BTLH,F,AHY,3.8,47,17.9,29.5,,L,L,,,E7,
9000-90307,6/21/2008,17:47,HOLZ,TBE,BTLH,F,AHY,4.3,48.6,17.5,,,N,L,1c,,E9,
9000-90308,6/23/2008,5:55,MCGC,FCE,BTLH,F,AHY,3.3,50.5,18,29.6,,N,L-M,,,,
9000-90309,6/23/2008,6:21,MCGC,FCE,BTLH,F,AHY,3.4,49.8,18,30,,N,,,,,
9000-90310,6/23/2008,6:41,MCGC,FCE,BTLH,F,AHY,4,49.4,18.5,29.2,,N,L,,,E6,
9000-90311,6/23/2008,6:41,MCGC,FCE,BTLH,F,AHY,3.7,49.1,18.8,30.2,,N,M,,,,
9000-90312,6/23/2008,6:58,MCGC,FCE,BTLH,F,AHY,3.7,51.5,19,30,,N,M-H,,,E6,
9000-90313,6/23/2008,6:58,MCGC,FCE,BTLH,F,AHY,3.8,49.2,18.8,29.4,,N,M,,,E7,
9000-90314,6/23/2008,7:25,MCGC,FCE,BTLH,F,AHY,3.2,49.5,18,30.8,,N,H,,,,
9000-90315,6/23/2008,7:25,MCGC,FCE,BTLH,F,AHY,3.5,50.4,19,30,,L-M,L,,,,
9000-90317,6/23/2008,17:43,MCGC,TBE,BTLH,F,AHY,3.7,49.1,19,31.5,,N,M,3,,,
9000-90318,6/23/2008,18:09,MCGC,TBE,BTLH,F,AHY,3.7,49,19.5,30,,N,M-H,,,,
9000-90319,6/23/2008,18:15,MCGC,TBE,BTLH,F,AHY,3.7,50.8,19.3,30,,H,M,,,,
9000-90320,6/23/2008,18:35,MCGC,TBE,BTLH,F,AHY,3.8,49.5,19.1,29,,L,VL,,,E9,
9000-90321,6/23/2008,18:35,MCGC,TBE,BTLH,F,AHY,3.6,51,19.1,30,,M,L,,,,
9000-90322,6/24/2008,6:10,MCGC,FCE,BTLH,F,AHY,3.8,49.9,18,31.2,,N,L,,,E7,
9000-90323,6/24/2008,6:22,MCGC,FCE,BTLH,F,AHY,3.4,50.3,19.2,31,,N,L,1c,,,
9000-90324,6/23/2008,6:22,MCGC,TBE,BTLH,F,AHY,2.9,49.5,17.2,,,,L,,,no rectrices,
9000-90325,6/24/2008,6:45,MCGC,FCE,BTLH,F,AHY,3.8,48.7,18,30,,N,L,,,E6,
9000-90326,6/24/2008,7:08,MCGC,FCE,BTLH,F,AHY,3.6,49.6,18,31.2,,N,L,,,,
9000-90327,6/24/2008,7:08,MCGC,FCE,BTLH,F,AHY,3.7,50.3,17.8,30.2,,L,L,,,E6,
9000-90328,6/24/2008,11:05,MP1,FCE,BTLH,F,AHY,3.8,51.2,19,30.2,,H,M,,,,
9000-90329,6/24/2008,11:08,MP1,FCE,BTLH,F,AHY,4,49.3,18.7,30,,M,M,1sm,,,
9000-90330,6/24/2008,11:05,MP1,FCE,BTLH,F,AHY,3.4,49.8,18,29,,H,,5c vsm,,E6-,
9000-90331,6/24/2008,11:33,MP1,FCE,BTLH,F,AHY,3.7,50.3,18,30.5,,,L,,,E6-,
9000-90332,6/24/2008,11:33,MP1,FCE,BTLH,F,AHY,3.3,51.3,18.1,30.8,,N,L-M,,,,
9000-90333,6/24/2008,11:51,MP1,TBE,BTLH,F,AHY,3.8,49.1,18.9,30,,N,L,1c,,E6,
9000-90334,6/24/2008,12:18,MP1,FCE,BTLH,F,AHY,3.6,50.1,19.9,30.8,,N,L-M,,,,
9000-90335,6/24/2008,12:33,MP1,FCE,BTLH,F,AHY,3.7,49.5,17.5,29.8,,N,H,,,,
9000-90336,6/28/2008,9:31,MCGC,TBE,BTLH,F,AHY,3.8,48.8,19.6,29.5,,L,L,,,E7,
9000-90337,6/28/2008,9:31,MCGC,TBE,BTLH,F,AHY,3.6,48.6,18.5,30,,N,L,,,E6,
9000-90338,6/28/2008,9:46,MCGC,TBE,BTLH,F,AHY,4.1,49.9,18.8,31,,N,L,,,E7,
9000-90339,6/28/2008,10:53,MCGC,TBE,BTLH,F,AHY,3.8,49.8,18.1,30,,L,L,,,,
9000-90340,6/28/2008,10:53,MCGC,TBE,BTLH,F,AHY,3.3,48.9,18,30,,N,M,,,,
9000-90341,6/28/2008,11:36,MCGC,TBE,BTLH,F,AHY,3.6,49.9,16.6,29,,L,M,,,,
9000-90342,6/28/2008,11:36,MCGC,TBE,BTLH,F,AHY,3.7,49.7,18,31,,H,L,,,,
9000-90343,6/28/2008,11:36,MCGC,TBE,BTLH,F,AHY,3.2,49.4,19.8,29.5,,M,M,,,,
9000-90344,6/28/2008,11:56,MCGC,TBE,BTLH,F,AHY,3.4,48.8,17.9,29.5,,N,L,6c,,E6,
9000-90345,6/28/2008,11:56,MCGC,TBE,BTLH,F,AHY,3.3,49.2,17.5,30.5,,N,H,6c,,E6,
9000-90346,6/29/2008,6:28,MCGC,FCE,BTLH,F,AHY,3.3,50.9,18,30.5,,N,M,,,,
9000-90347,6/29/2008,6:28,MCGC,FCE,BTLH,F,AHY,3.2,50,18.1,30.5,,L,L,,,,
9000-90348,7/1/2008,5:50,MCGC,FCE,BTLH,F,AHY,3.4,50.5,18.8,30,,N,M,,,,
9000-90349,7/1/2008,5:50,MCGC,FCE,BTLH,F,AHY,4,50.7,18.5,30.9,,N,L,,,,
9000-90350,7/1/2008,5:50,MCGC,FCE,BTLH,F,AHY,3.5,49.2,19.1,28.8,,L,M,,,,
9000-90351,6/26/2008,7:45,NFPC,TBE,BTLH,F,AHY,3.5,50.1,19,33,,M,VL,,,,
9000-90352,6/26/2008,7:04,NFPC,FCE,BTLH,F,AHY,3.4,50.3,18.2,30.4,,N,L,,,,
9000-90353,6/26/2008,7:30,NFPC,FCE,BTLH,F,AHY,3.1,49.3,18,28.2,,N,L-M,,,,
9000-90354,6/26/2008,8:02,NFPC,FCE,BTLH,F,AHY,3.7,49.7,19,30.2,,N,L,,,E6-,
9000-90355,6/26/2008,8:20,NFPC,FCE,BTLH,F,AHY,3.4,50.1,18.2,31,,N,M,,,E6-,
9000-90356,6/26/2008,8:30,NFPC,FCE,BTLH,F,AHY,3.5,50.4,18.3,30.1,,L,L,,,,
9000-90357,6/26/2008,18:54,NFPC,FCE,BTLH,F,AHY,3.4,50.2,18.8,30.1,,N,M,,,"E7, NFPC Falls area",
9000-90358,6/26/2008,19:08,NFPC,FCE,BTLH,F,AHY,3.4,49.9,18.7,30.1,,N,L,5c vsm,,NFPC Falls area,
9000-90359,6/27/2008,8:02,NFPC,TBE,BTLH,F,AHY,3.7,50.7,19.2,29,,N,VL,,,E6+,
9000-90360,6/27/2008,8:35,NFPC,TBE,BTLH,F,AHY,3.6,50.3,18.1,30,,L,VL,,,,
9000-90361,6/28/2008,11:15,HOLZ,FCE,BTLH,F,AHY,3.8,51.1,19.2,30,,H,L,,,E7,
9000-90362,6/28/2008,11:19,HOLZ,FCE,BTLH,F,AHY,3.6,50.5,17.7,31,,L,H,,,,
9000-90363,6/28/2008,11:54,HOLZ,FCE,BTLH,F,AHY,3.7,51.8,18.2,31,,N,M,,,E6,
9000-90364,6/28/2008,12:20,HOLZ,FCE,BTLH,F,AHY,3.8,49.7,18.6,30.4,,N,L,,,E8,
9000-90365,6/28/2008,12:33,HOLZ,FCE,BTLH,F,AHY,4.1,49.3,18,30.3,,L,L,,,E6-,
9000-90366,6/28/2008,12:47,HOLZ,FCE,BTLH,F,AHY,3.7,50.9,18.2,31.7,,N,L-M,,,,
9000-90367,6/28/2008,12:50,HOLZ,FCE,BTLH,F,AHY,3.6,51.7,18.3,31.5,,L,,8c,,E6,
9000-90368,6/28/2008,15:09,GNMTN,FCE,BTLH,F,AHY,3.7,50.7,18.1,31,,N,L,,,,
9000-90369,6/28/2008,15:43,GNMTN,FCE,BTLH,F,AHY,3.7,51.4,19.2,30.2,,L,H,,,,
9000-90370,6/28/2008,16:50,KV1,FCE,BTLH,F,AHY,4.2,50.7,19,29.4,,M,M-H,,,E7,
9000-90371,6/28/2008,16:56,KV1,FCE,BTLH,F,AHY,3.4,49.3,18.9,30.3,,L,M,,,,
9000-90372,6/28/2008,17:04,KV1,FCE,BTLH,F,AHY,4,49.9,19.2,30.2,,H,L,,,E8+,
9000-90373,6/28/2008,17:12,KV1,FCE,BTLH,F,AHY,3.4,51.1,18.5,30.1,,L,L,,,"E6-, p10 3.5 mm<p9, p9 growing in",
9000-90374,6/28/2008,17:22,KV1,FCE,BTLH,F,AHY,3.1,50,19.5,30.8,,N,,,,,
9000-90375,6/29/2008,6:59,MCGC,FCE,BTLH,F,AHY,3.4,50.2,18.3,30.6,,L,L,,,,
9000-90376,6/29/2008,6:59,MCGC,FCE,BTLH,F,AHY,3.8,51.4,18.9,30,,L,L-M,,,,
9000-90378,7/1/2008,5:50,MCGC,FCE,BTLH,F,AHY,3.9,50,18.9,30,,,L-M,,,,
9000-90379,7/1/2008,6:25,MCGC,FCE,BTLH,F,AHY,3.8,51,19.1,30,,N,L,,,,
9000-90380,7/1/2008,6:52,MCGC,FCE,BTLH,F,AHY,3.7,49,19.1,31.1,,N,L-M,,,,
9000-90381,7/1/2008,7:17,MCGC,FCE,BTLH,F,AHY,3.6,47.7,19,,,H,L,,,missing all but r4L,
9000-90382,7/1/2008,7:25,MCGC,FCE,BTLH,F,AHY,4.2,48.5,19.1,30.2,,N,M,,,E8,
9000-90383,7/2/2008,6:28,MCGC,FCE,BTLH,F,AHY,3.6,50.2,19.8,31,,H,L,4sm,,,
9000-90384,7/2/2008,6:36,MCGC,FCE,BTLH,F,AHY,4.3,49.7,18.8,28,,H,M,5c vsm,,E6,
9000-90385,7/2/2008,6:45,MCGC,FCE,BTLH,F,AHY,3.7,49.5,18.1,29,,M-H,VL,,,,
9000-90386,7/2/2008,6:52,MCGC,FCE,BTLH,F,AHY,3.8,49.7,18.8,30,,N,L,,,,
9000-90388,7/2/2008,10:15,MP1,FCE,BTLH,F,AHY,3.3,50.4,18,29.5,,L,M-H,,,,
9000-90389,7/2/2008,10:15,MP1,FCE,BTLH,F,AHY,3.7,50.6,18,30.2,,L-M,L,,,,
9000-90390,7/2/2008,10:34,MP1,TBE,BTLH,F,AHY,3.5,49.8,18.2,30.5,,H,M,,,,
9000-90391,7/2/2008,10:41,MP1,TBE,BTLH,F,AHY,3.8,48.8,18.1,29,,H,M,,,,
9000-90392,7/2/2008,10:41,MP1,FCE,BTLH,F,AHY,3.3,49.9,19.1,29,,M,L-M,,,,
9000-90393,7/2/2008,10:41,MP1,TBE,BTLH,F,AHY,4,49.7,18,29.8,,N,M,1c,,,
9000-90394,7/2/2008,10:41,MP1,FCE,BTLH,F,AHY,3.7,49.1,17,29.5,,L,M,,,,
9000-90395,7/2/2008,11:02,MP1,TBE,BTLH,F,AHY,3.6,48.2,18,30,,M,M,,,,
9000-90396,7/2/2008,11:15,MP1,TBE,BTLH,F,AHY,3.8,49.5,18.1,30,,M,M,,,,
9000-90397,7/2/2008,11:15,MP1,TBE,BTLH,F,AHY,3.7,49.9,19,31,,M,M,1c,,E7,
9000-90398,7/2/2008,11:15,MP1,FCE,BTLH,F,AHY,3.9,48.6,19.1,28.5,,N,M,5c vsm,,E7,
9000-90399,7/2/2008,11:28,MP1,TBE,BTLH,F,AHY,3.3,49.2,18,30,,M,M,,,,
9000-90400,7/2/2008,11:32,MP1,TBE,BTLH,F,AHY,4.1,52,18.5,30,,H,M,4c,,E8,
9000-90401,7/2/2008,11:40,MP1,TBE,BTLH,F,AHY,3.6,48.7,18.6,30,,N,M,4 vsm,,E6,
9000-90402,7/2/2008,12:14,MP1,TBE,BTLH,F,AHY,3.7,48.6,18,29,,H,M,3c,,,
9000-90403,7/2/2008,12:15,MP1,TBE,BTLH,F,AHY,3.6,49.3,19,31,,H,M,8c,,,
9000-90404,7/3/2008,5:50,MCGC,FCE,BTLH,F,AHY,3.4,50.1,18.2,30,,N,L-M,5c vsm,,,
9000-90405,7/3/2008,5:58,MCGC,FCE,BTLH,F,AHY,3.7,49.7,18.1,30,,N,M,6c,,,
9000-90406,7/3/2008,6:22,MCGC,FCE,BTLH,F,AHY,3.8,49.2,18.3,30.1,,VL,L-M,,,,
9000-90407,7/3/2008,6:49,MCGC,FCE,BTLH,F,AHY,3.8,49.9,17.6,29.8,,N,L,,,,
9000-90408,7/3/2008,10:07,CC3,FCE,BTLH,F,AHY,3.3,50.5,19.1,29.3,,L-M,M,,,E6,
9000-90409,7/3/2008,10:14,CC3,FCE,BTLH,F,AHY,3.3,51.5,17.3,31.7,,N,H,5c ,,,
9000-90410,7/3/2008,10:49,CC3,TBE,BTLH,F,AHY,3.6,50.3,17.4,30,,N,L,,,,
9000-90411,7/3/2008,11:25,CC2,TBE,BTLH,F,AHY,3.4,50.7,17.5,30,,N,L,,,,
9000-90412,7/3/2008,11:40,CC2,FCE,BTLH,F,AHY,3.5,49.7,18.8,29.1,,N,M,,,,
9000-90413,7/3/2008,11:50,CC2,FCE,BTLH,F,AHY,3.4,48.5,18.8,29,,N,M-H,3c gn,,,
9000-90415,7/4/2008,12:18,HPK1,FCE,BTLH,F,AHY,3.6,49.6,19,30.7,,L-M,M,,,,
9000-90416,7/4/2008,12:47,HPK1,FCE,BTLH,F,AHY,3.6,49.5,18.3,30.6,,N,L,,,,
9000-90417,7/4/2008,12:57,HPK1,TBE,BTLH,F,AHY,3.9,47.8,17.9,30,,L,H,,,,
9000-90418,7/4/2008,13:08,HPK1,TBE,BTLH,F,AHY,3.7,49.4,17.3,30.5,,N,VL,,,,
9000-90419,7/4/2008,13:34,HPK1,TBE,BTLH,F,AHY,3.7,48.9,17.9,30,,VH,L,,,,
9000-90420,7/4/2008,13:34,HPK1,TBE,BTLH,F,AHY,3.7,49.2,18.1,31,,N,L,,,E7,
9000-90421,7/4/2008,14:45,HPK1,FCE,BTLH,F,AHY,3.6,50.2,19.9,30.4,,N,L,1c,,,
9000-90422,7/4/2008,14:55,HPK1,FCE,BTLH,F,AHY,3.6,50,18,30.8,,H,M,,,E6,
9000-90423,7/4/2008,17:40,MCGC,FCE,BTLH,F,AHY,3.3,49.3,19.5,29,,L,L,,,,
9000-90424,7/4/2008,17:53,MCGC,FCE,BTLH,F,AHY,3.9,49,19,29,,M,L,9c,,,
9000-90425,7/5/2008,11:20,KV1,FCE,BTLH,F,AHY,3.5,51,18.3,30.6,,L,L,2c,,,
