Band Number,Date,Time,Site,Bander,Species,Sex,Age,Mass,Wing Chord,Culmen,r1 Length,r5 Width,r1-5 Wear,Gorget,Throat,Grooves,Comments,
9000-39034,05/21/2007,11:05,CC3,FCE,BTLH,M,AHY,3.4,50.4,17.9,30.5,4.8,N,,,,,
9000-39035,05/22/2007,13:00,MP1,FCE,BTLH,M,AHY,3.0,51.5,17.1,30.8,4.1,N,,,,r5 white in/outer web at tip,
9000-39036,05/22/2007,14:50,MP1,FCE,BTLH,M,AHY,3.2,50.2,17.0,30.6,4.3,N,,,,"r4,5 white inner web",
9000-39037,05/23/2007,14:35,HPK1,FCE,BTLH,M,AHY,3.1,49.4,17.9,30.0,5.2,N,,,,r5 tip v. faint bn spot inner web at tip,
9000-39038,07/10/2007,7:15,MCGC,FCE,RUHU,M,AHY,3.4,40.1,15.4,27.9,2.3,N,,,,,
9000-39039,05/23/2007,15:17,HPK1,FCE,BTLH,M,AHY,3.5,49.7,17.8,32.1,4.0,N,,,,,
9000-39040,06/04/2007,16:43,KV1,FCE,BTLH,M,AHY,3.3,49.5,18.0,28.0,4.8,N,,,,r5 tip faint buff edge inner web,
9000-39041,06/05/2007,7:00,MCGC,FCE,BTLH,M,AHY,3.2,49.8,17.2,30.5,4.5,N,,,,r5 v sm white edge at tip,
9000-39042,06/05/2007,15:35,HPK1,FCE,BTLH,M,AHY,3.7,48.7,18.8,30.4,4.9,N,,,,,
9000-39043,06/05/2007,15:40,HPK1,FCE,BTLH,M,AHY,3.9,49.5,18.5,31.7,5.0,N,,,,r5 in/out web at tip white areas,
9000-39044,06/05/2007,15:48,HPK1,FCE,BTLH,M,AHY,3.2,49.9,17.9,31.3,4.5,N,,,,"r5 in/out web at tip white areas, r4 faded white spot at tip",
9000-39045,06/05/2007,16:00,HPK1,FCE,BTLH,M,AHY,3.2,48.9,18.0,30.0,5.0,N,,,,,
9000-39046,06/06/2007,17:36,MCGC,FCE,BTLH,M,AHY,3.5,50.0,18.1,31.0,4.5,N,,,,r4 v sm white tip,
9000-39047,06/06/2007,17:45,MCGC,FCE,BTLH,M,AHY,3.4,48.9,18.0,31.2,5.0,N,,,,r5 white in/outer web at tip,
9000-39048,06/07/2007,14:14,MCGC,FCE,BTLH,M,AHY,3.6,50.0,17.7,31.8,4.5,N,,,,"r5 white at tip edge, r4 faint white inner edge at tip",
9000-39049,06/08/2007,8:33,MCGC,FCE,BTLH,M,AHY,3.4,50.2,17.2,31.7,4.5,N,,,,r5 sm white area at tip,
9000-39050,06/08/2007,16:53,MP1,TBE,BTLH,M,AHY,3.6,48.9,17.8,31.5,6.0,N,,,,"r4,5 white smudges in/outer web at tip",
9000-39051,06/08/2007,17:40,MP1,TBE,BTLH,M,AHY,3.9,49.1,18.0,30.0,5.0,N,,,,,
9000-39052,06/08/2007,18:45,MP1,FCE,BTLH,M,AHY,3.2,49.4,16.8,32.0,4.2,N,,,,,
9000-39053,06/09/2007,7:30,MCGC,FCE,BTLH,M,AHY,3.5,49.7,17.6,32.0,5.0,N,,,,"r5 tip, white spots, in/outer web",
9000-39054,06/09/2007,7:37,MCGC,FCE,BTLH,M,AHY,3.2,49.4,17.1,31.5,4.6,N,,,,similar,
9000-39055,06/09/2007,8:10,MCGC,FCE,BTLH,M,AHY,3.4,49.3,18.1,32.0,4.5,N,,,,"r5 tip, white spot",
