Band Number,Date,Time,Site,Bander,Species,Sex,Age,Mass,Wing Chord,Culmen,r1 Length,r5 Width,r1-5 Wear,Gorget,Throat,Grooves,Comments
4000-01786,7/11/2005,1740,MP1,FCE,BTLH,F,AHY,4,,,,,r3R Lt,,,,"foreign, L leg band, band ups"
5000-02820,6/1/2005,1520,MP1,FCE,BTLH,F,AHY,3.8,,,,,,,,,"foreign, cp, no egg"
5000-97058,5/13/2005,1545,MCGC,FCE,BTLH,M,AHY,3.6,50.4,17,31,,N,,,,r5 lt bn inner web at tip
5000-97059,5/14/2005,852,MCGC,TBE,BTLH,F,AHY,3.7,50.9,17.6,32,,N,,,,not gravid
5000-97060,5/14/2005,855,MCGC,FCE,BTLH,F,AHY,3.3,50.4,18,29.8,5.8,N,,,,"not gravid, NTW"
5000-97061,5/14/2005,903,MCGC,TBE,BTLH,F,AHY,3.5,48.5,18.9,30.1,,N,,,,
5000-97062,5/14/2005,935,MCGC,FCE,BTLH,F,AHY,3.7,50.5,18.5,30.4,6,N,,,,cp
5000-97063,5/14/2005,1020,MCGC,FCE,BTLH,M,AHY,3.4,50.6,17.2,32,4.9,N,,,,"bn line inner web r5 (4mm L,"
5000-97064,5/14/2005,1730,MCGC,FCE,BTLH,F,AHY,3.4,50.7,18.5,28.8,6,N,,,,"not gravid, cp, pin feathers ba"
5000-97065,5/14/2005,1734,MCGC,TBE,BTLH,M,AHY,3.5,48.9,18.2,30,5,N,,,,
5000-97066,5/14/2005,1810,MCGC,FCE,BTLH,M,AHY,3.5,49.7,17.5,31.2,5,N,,,,
5000-97067,5/14/2005,1822,MCGC,FCE,BTLH,M,AHY,3.4,50.1,17,31.9,4.2,N,,,,
5000-97068,5/14/2005,1824,MCGC,TBE,BTLH,M,AHY,3.8,50.9,18,32,5,N,,,,"r4 faint white tip, r5 sm white"
5000-97069,5/15/2005,1816,MCGC,FCE,BTLH,M,AHY,3.3,50.8,17,31.2,4.6,N,,,,
5000-97070,5/15/2005,828,MCGC,FCE,BTLH,M,AHY,3.4,48.9,17,30,4.5,N,,,,r3-5 white areas at tips
5000-97071,5/15/2005,907,MCGC,FCE,BTLH,F,AHY,3.5,51.8,19.3,29.9,5.5,N,,,,not gravid
5000-97072,5/15/2005,930,MCGC,FCE,BTLH,M,AHY,3.2,50.5,17.2,31.8,4.5,N,,,,
5000-97073,5/15/2005,1745,MCGC,FCE,BTLH,M,AHY,4,50,16.8,30,5.2,N,,,,
5000-97074,5/16/2005,755,MCGC,FCE,BTLH,M,AHY,3.5,50.6,18,30.8,4.5,N,,,,"r5 white inner edge (3mm L,"
5000-97075,5/16/2005,807,MCGC,FCE,BTLH,M,AHY,3.2,51.1,17.5,31.8,5.1,N,,,,
5000-97076,5/16/2005,905,MCGC,FCE,BTLH,M,AHY,3.5,50,16.8,29.8,5.1,N,,,,
5000-97077,5/16/2005,936,MCGC,FCE,BTLH,M,AHY,3.4,51.1,17.9,29.9,4.5,N,,,,"r5 white edges, inside and ou"
5000-97078,5/16/2005,1113,MCGC,FCE,BTLH,M,AHY,3.4,48.2,18.1,29.5,4.1,N,,,,
5000-97079,5/16/2005,1223,MCGC,FCE,BTLH,M,AHY,3,49,17.5,31.8,4.8,N,,,,
5000-97080,5/16/2005,1052,MCGC,TBE,BTLH,M,AHY,3.5,47.8,17.8,30,5,N,,,,
5000-97081,5/16/2005,1258,MCGC,FCE,BTLH,F,AHY,3.3,50.6,18.7,27.5,5.8,N,,,,"not gravid, cp"
5000-97082,5/17/2005,631,MCGC,FCE,BTLH,M,AHY,3.2,51,15.9,31.1,4.8,N,,,,r5 inner web white on edge
5000-97083,5/17/2005,642,MCGC,TBE,BTLH,M,AHY,3.3,48.1,16.4,30,5.2,N,,,,
5000-97084,5/17/2005,645,MCGC,FCE,BTLH,M,AHY,3.6,49.7,17,30.3,4.8,N,,,,
5000-97085,5/17/2005,659,MCGC,TBE,BTLH,F,AHY,3.8,49.9,17.1,32,5.1,,,,,E6
5000-97086,5/17/2005,804,MCGC,FCE,BTLH,M,AHY,3.7,49.9,17.8,29.8,4.8,N,,,,
5000-97087,5/17/2005,1912,MCGC,FCE,BTLH,M,AHY,4,48.9,17.5,29.2,5.2,N,,,,"r4,5 white tips"
5000-97088,5/18/2005,1455,MP1,FCE,BTLH,F,AHY,4,51,18.2,30,5.5,r3-5 mod,,,,"r1 VHTW (""skeleton"")"
5000-97089,5/18/2005,1458,MP1,FCE,BTLH,F,AHY,4.2,49.3,18,29.5,6.1,r3-5L mod,,,,r5r HTW   E8
5000-97090,5/18/2005,1510,MP1,FCE,BTLH,F,AHY,3.7,49.1,19.1,29.8,6.5,,,,,not gravid
5000-97091,5/18/2005,1519,MP1,TBE,BTLH,F,AHY,4.1,51.1,19.5,32,4.6,,,,,E6
5000-97092,5/18/2005,1520,MP1,FCE,BTLH,M,AHY,3.2,48.7,17.1,30.5,5,N,,,,"r5 inner web, sm white tip"
5000-97093,5/18/2005,1530,MP1,FCE,BTLH,F,AHY,4.2,49.2,20,30,5.5,N,,H,,"E6, r2 bn tip, pin feathers on"
5000-97094,5/18/2005,1535,MP1,FCE,BTLH,F,AHY,3.6,49.8,18.3,30,5.8,N,,L,,E6
5000-97095,5/18/2005,11544,MP1,FCE,BTLH,F,AHY,4.4,50.6,18.5,30.3,5.7,,,,,E7
5000-97096,5/18/2005,1600,MP1,FCE,BTLH,F,AHY,3.5,49.8,19,30.1,5.5,N,,M,,cp
5000-97097,5/18/2005,1610,MP1,FCE,BTLH,F,AHY,3.6,51.2,18,30.8,5.5,N,10,,,not gravid
5000-97098,5/18/2005,1613,MP1,FCE,BTLH,F,AHY,3.5,50.8,19.1,29.9,5.8,N,,,,cp
5000-97099,5/18/2005,1616,MP1,FCE,BTLH,F,AHY,3.7,51,18.9,30,5.8,r4 Lt,,H,,cp
5000-97100,5/18/2005,1640,MP1,FCE,BTLH,F,AHY,3.7,51.5,19,31,5.5,,,,,"E7, pin feathers on forehead"
6000-23401,5/18/2005,1648,MP1,FCE,BTLH,M,AHY,3.5,49.8,17.9,31.2,4.8,,,,,"r4,5 white inner web at tip"
6000-23402,5/18/2005,1650,MP1,FCE,BTLH,F,AHY,3.9,51.3,19,31,5.2,"r5 Lt, r4 M",,,,E7
6000-23403,5/19/2005,654,MCGC,FCE,BTLH,M,AHY,3.2,48.6,17.3,30.3,5,,,,,
6000-23404,5/19/2005,707,MCGC,FCE,BTLH,M,AHY,3.3,49.7,17,29,4.6,,,,,
6000-23405,5/19/2005,730,MCGC,FCE,BTLH,M,AHY,3.2,51,17.4,30.2,4.5,,,,,"r5 white tip, r4 white inner we"
6000-23406,5/19/2005,838,MCGC,FCE,BTLH,M,AHY,3.4,50,16.4,30.2,,,,,,
6000-23407,5/19/2005,845,MCGC,FCE,BTLH,M,AHY,3.5,49.8,17,29.1,5,,,,,
6000-23408,5/24/2005,1552,MP1,FCE,BTLH,F,AHY,4.3,51.6,18.8,29.5,6,r3-5r H,,,,E7
6000-23409,5/24/2005,1600,MP1,FCE,BTLH,F,AHY,3.7,51.2,19.6,28.8,5.3,,3c,H,,E7+
6000-23410,5/24/2005,1609,MP1,FCE,BTLH,F,AHY,3.8,50.1,18.6,27.5,5.5,,,,,"not gravid, cp"
6000-23411,5/24/2005,1615,MP1,FCE,BTLH,F,AHY,5,50.5,,,,,,,,E9+ early release! 'puff legs'
6000-23412,5/24/2005,1618,MP1,FCE,BTLH,F,AHY,3.2,50.5,19.2,30.8,5.5,,,,,cp
6000-23413,5/24/2005,1645,MP1,FCE,BTLH,F,AHY,3.3,49,18,30,5.2,,6c,,,"r5long white tip, cp"
6000-23414,5/24/2005,1655,MP1,FCE,BTLH,F,AHY,4,50,18.5,29.2,5.5,LTW,,,,E8
6000-23415,5/24/2005,1658,MP1,FCE,BTLH,F,AHY,4.1,50.8,18.2,30.5,5.5,,8c,,,"E8, 2 pin feathers on crown"
6000-23416,5/24/2005,1715,MP1,FCE,BTLH,F,AHY,3.7,51.5,18.3,30.1,5.5,,,,,"1 rufous feather in crown, cp"
6000-23417,5/24/2005,1730,MP1,FCE,BTLH,F,AHY,4,49.7,17.8,30,5.2,,,,,E8
6000-23418,5/25/2005,1643,MP1,FCE,BTLH,F,AHY,4.3,50.5,18.9,29.3,5.5,r3-5 H,4c,,,E7
6000-23419,5/25/2005,1647,MP1,FCE,BTLH,F,AHY,4,52,19.1,31.1,6,,,,,"E9, 'puff legs'"
6000-23420,5/25/2005,1657,MP1,FCE,BTLH,F,AHY,3.4,50.1,18.2,30,4.6,,,,,cp
6000-23421,5/19/2005,1245,MCGC,FCE,BTLH,M,AHY,3.8,48.8,17.4,30.8,4.8,,,,,
6000-23422,6/11/2005,718,MCGC,FCE,BTLH,M,AHY,3.2,49.3,18.1,29.8,5,,,,,r5 white inner web
6000-23423,5/23/2005,847,MCGC,FCE,BTLH,M,AHY,3.4,49.6,17.2,28.5,4.7,,,,,
6000-23424,5/23/2005,1532,MP1,FCE,BTLH,M,AHY,3.4,49.5,17.5,30.9,4.5,,,,,"r4,5, sm white area at tip"
6000-23425,5/24/2005,602,MCGC,FCE,BTLH,M,AHY,3.5,49.2,17.5,31.7,4.7,,,,,
6000-23426,5/24/2005,1607,MP1,FCE,BTLH,M,AHY,3.5,50.2,18,30,4.9,,,,,"r3-5, white tip"
6000-23427,5/24/2005,1629,MP1,FCE,BTLH,M,AHY,3.1,49.4,17.6,33.6,4.5,,,,,
6000-23428,5/26/2005,1455,MP1,FCE,BTLH,M,AHY,3.6,49.5,18.5,30.8,4,,,,,r5 v. small white area at tip
6000-23429,5/26/2005,1525,MP1,TBE,BTLH,M,AHY,3.6,48.5,16.6,30,5.5,,,,,band upside down
6000-23430,5/26/2005,1535,MP1,TBE,BTLH,M,AHY,3.2,50.1,17.8,32,5,,,,,
6000-23431,5/25/2005,1710,MP1,FCE,BTLH,F,AHY,4.3,50.8,19.6,31.2,6,"r3,4 Lt",,,,E7
6000-23432,5/25/2005,1715,MP1,FCE,BTLH,F,AHY,3.9,51.2,18.9,30.6,5.2,,,,,cp
6000-23433,5/25/2005,1740,MP1,FCE,BTLH,F,AHY,3.7,51,18,29,6,r3-5r M,,,,"r3-5L LTW, pin feathers on c"
6000-23434,5/25/2005,1745,MP1,FCE,BTLH,F,AHY,3.6,50.9,19.1,30,5.5,,,,,cp
6000-23435,5/25/2005,1755,MP1,FCE,BTLH,F,AHY,3.1,50.9,18.8,28.8,5.3,,,,,not gravid
6000-23436,5/31/2005,650,MCGC,FCE,BTLH,M,AHY,3.3,49.3,17.5,30.8,5,,,,,r5 v. sm. White edges outer w
6000-23437,6/1/2005,1534,MP1,FCE,BTLH,M,AHY,3.2,48.4,17,30.8,4.5,,,,,
6000-23438,6/2/2005,1351,MP1,TBE,BTLH,M,AHY,3.4,48.3,13,30,4.5,,,,,
6000-23439,6/2/2005,1442,MP1,FCE,BTLH,M,AHY,3.1,48.7,17.6,30.6,4.5,,,,,
6000-23440,6/3/2005,635,MCGC,FCE,BTLH,M,AHY,3.3,50.2,17.2,30.2,5,,,,,
6000-23441,5/25/2005,1755,MP1,FCE,BTLH,F,AHY,3.5,50.1,19,27.8,5.9,,,,,cp
6000-23442,5/26/2005,1119,CC3,FCE,BTLH,F,AHY,3.5,51.2,19.5,30.5,5.5,r4-5 M,,M,,E6
6000-23443,5/26/2005,1445,MP1,FCE,BTLH,F,AHY,3.8,51.4,18.8,31.1,5.8,,,,,"cp, not gravid"
6000-23444,5/26/2005,1505,MP1,TBE,BTLH,F,AHY,3.8,49.6,18.7,*,4.5,,,,,"E6, *""skeleton"" r1s"
6000-23445,5/26/2005,1506,MP1,TBE,BTLH,F,AHY,4.2,50.1,18.4,29.5,5.1,,,,,"E6, buff-edged back feathers"
6000-23446,5/26/2005,1519,MP1,TBE,BTLH,F,AHY,3.8,50.6,18.3,29.5,5.5,,11c,,,E6
6000-23447,5/26/2005,1508,MP1,FCE,BTLH,F,AHY,4.4,52.2,18.1,30.5,5.5,"r4 M, r5 Lt",,,,
6000-23448,5/26/2005,1515,MP1,FCE,BTLH,F,AHY,3.4,49.1,18.8,28.8,5.2,r4 Lt,,,,"not gravid, cp"
6000-23449,5/26/2005,1530,MP1,FCE,BTLH,F,AHY,3.5,50.3,19,30.2,5.8,,,,,E6
6000-23450,5/31/2005,705,MCGC,FCE,BTLH,F,AHY,3.8,49.9,19,30.3,5.2,N,,,,E7
6000-23451,6/4/2005,1402,MP1,FCE,BTLH,M,AHY,3.5,49.2,17.5,30.1,4.5,,,,,r5 white spot inner web
6000-23452,6/4/2005,1837,MCGC,FCE,BTLH,M,AHY,3.2,48.5,17,28.8,4.9,,,,,
6000-23453,6/4/2005,1857,MCGC,FCE,BTLH,M,AHY,3.1,49.6,16.9,31,5,,,,,"r5, white inner and outer web"
6000-23454,6/5/2005,1035,MP1,TBE,BTLH,M,AHY,3.2,48.4,17.5,30,5,,,,,
6000-23455,6/5/2005,1126,MP1,TBE,BTLH,M,AHY,3.2,48.5,18,29,5,,,,,
6000-23456,6/10/2005,705,MCGC,FCE,BTLH,M,AHY,3.5,49.5,16.5,31.5,5,,,,,
6000-23457,6/11/2005,1346,MP1,FCE,BTLH,M,AHY,3.1,49.9,18.1,31,4.8,,,,,r5 white inner web
6000-23458,6/12/2005,1505,MCGC,FCE,BTLH,M,AHY,3.3,49.5,18,31.3,4.5,,,,,r5 faint white spot inner web
6000-23459,6/12/2005,1652,MCGC,FCE,BTLH,M,AHY,3.5,49,18.8,30.2,4.5,,,,,
6000-23460,6/12/2005,1659,MCGC,TBE,BTLH,M,AHY,3.1,49.2,17.5,30,5,,,,,pristine plumage
6000-23461,5/31/2005,1008,MP1,FCE,BTLH,F,AHY,3.6,51.5,20,31,5,N,,,,"not gravid, cp"
6000-23462,5/31/2005,1015,MP1,FCE,BTLH,F,AHY,3.5,50.2,18.7,30.8,5.7,,4c,,,"E6, r3-5 bn tip, 6 pin feathers"
6000-23463,5/31/2005,1040,MP1,FCE,BTLH,F,AHY,3.1,48.1,18.7,30.2,5.6,N,7c,,,
6000-23464,5/31/2005,1043,MP1,TBE,BTLH,F,AHY,3.7,50,18,31,6,,,H,,cp
6000-23465,5/31/2005,1049,MP1,FCE,BTLH,F,AHY,3.2,51.4,18.5,31.2,5.5,,,,,"not gravid, cp"
6000-23466,5/31/2005,1053,MP1,TBE,BTLH,F,AHY,3.6,52.3,19,31.5,6,,,,,cp
6000-23467,5/31/2005,1111,MP1,TBE,BTLH,F,AHY,3.6,49.8,18.5,29,5.5,,,,,cp
6000-23468,5/31/2005,1120,MP1,FCE,BTLH,F,AHY,3.2,50.3,19.2,29.5,5.8,,,,,back feathers w/buff edges
