Band Number,Date,Time,Site,Bander,Species,Sex,Age,Mass,Wing Chord,Culmen,r1 Length,r5 Width,r1-5 Wear,Gorget,Throat,Grooves,Comments
5000-29466,6/15/04,1555,MCGC,TBE,BTLH,M,AHY,3.1,48.4,19,27,4,N,,,,
5000-29467,6/15/04,1615,MCGC,FCE,BTLH,F,AHY,3.3,49.5,19,30.1,6,N,,,,E7
5000-29468,6/15/04,1632,MCGC,FCE,BTLH,F,AHY,3.6,50.5,18.7,30.2,5.3,N,1L,,,
5000-29469,6/15/04,1641,MCGC,FCE,BTLH,F,AHY,4.2,51.8,18,28.9,5.5,N,6C,,,
5000-29470,6/15/04,1648,MCGC,TBE,BTLH,M,AHY,3.5,49.8,18,30.5,5,N,,,,
5000-29471,6/16/04,0723,MCGC,FCE,BTLH,M,AHY,3.3,48.7,16.8,29.1,4.8,N,,,,
5000-29472,6/16/04,0745,MCGC,TBE,BTLH,F,AHY,3.3,50.7,19.9,31,6,N,,,,
5000-29473,6/16/04,0750,MCGC,FCE,BTLH,M,AHY,3.1,49.9,18,29.5,4.8,N,,,,
5000-29474,6/16/04,1255,MCGC,FCE,BTLH,F,AHY,3.3,50.4,19.2,30.8,5.8,N,,,,"<E7, slightly swollen abd."
5000-29475,6/16/04,0612,MCGC,FCE,BTLH,F,AHY,3.3,49.7,18.5,30.8,5.5,N,,,,
5000-29476,6/16/04,1326,MCGC,FCE,BTLH,F,AHY,4,50.8,18,31.2,5.5,N,,,,"2 diff. R1 length, other29.2"
5000-29477,6/16/04,1345,MCGC,FCE,BTLH,F,AHY,3.9,51.2,18.1,29.9,6,L,,,,lt. Wear r5
5000-29478,6/16/04,1500,MCGC,TBE,BTLH,F,AHY,3.8,49,19,30,5,N,,,,
5000-29479,6/16/04,1514,MCGC,FCE,BTLH,F,AHY,3.5,50.6,18.2,30.1,5.5,L,3C,,,r5r stress wear
5000-29480,6/17/04,0633,MCGC,FCE,BTLH,M,AHY,3.7,50.1,17,29.5,4.8,N,,,,r5l white tip at edge
5000-29481,6/17/04,0644,MCGC,FCE,BTLH,F,AHY,3.4,51.1,18.8,30,5,L-M,,,,"E7,r3-4 mod, r5 lt.Narrow r1"
5000-29482,6/18/04,0645,MCGC,FCE,BTLH,F,AHY,3.4,49.6,18.2,30.8,5.2,N,,,,
5000-29483,6/18/04,1637,MCGC,FCE,BTLH,F,AHY,4.1,49,19,28.9,5.5,N,7C,,,E8
5000-29484,6/18/04,1700,MCGC,TBE,BTLH,F,AHY,4.3,49.6,18,29,5,M,,,,banded on l. leg
5000-29485,6/18/04,1715,MCGC,TBE,BTLH,F,AHY,3.4,49.9,18.2,31,6,N,,,,
5000-29486,6/18/04,1729,MCGC,FCE,BTLH,F,AHY,3.5,50.5,19,28.1,5.5,N,,H,,2 ru feathers in crown
