Band Number,Date,Time,Site,Bander,Species,Sex,Age,Mass,Wing Chord,Culmen,r1 Length,r5 Width,r1-5 Wear,Gorget,Throat,Grooves,Comments
5000-22231,7/12/2006,1025,MP1,FCE,BTLH,M,AHY,3.1,50.3,,,,,,,,Foreign: band replaced with E11887
6000-53934,6/30/2006,2008,MCGC,FCE,RUHU,M,AHY,3.5,41.5,16.0,27.5,2.7,,,,,
6000-53935,7/4/2006,1718,MCGC,FCE,RUHU,M,AHY,3.4,41.1,16.7,28.8,2.5,,,,,
6000-53960,5/12/2006,1525,MCGC,FCE,BTLH,M,AHY,3.6,49.9,17.2,30.0,4.8,,,,,
6000-53990,7/5/2006,1859,MCGC,FCE,RUHU,M,AHY,3.5,41.9,16.8,28.3,2.2,,,,,A few gn. feathers on back
6000-53992,5/13/2006,1430,MP1,TBE,BTLH,M,AHY,3.6,48.7,17.3,31.0,4.5,,,,,
6000-53993,5/14/2006,1301,MP1,FCE,BTLH,M,AHY,3.3,49.3,17.9,28.8,4.8,,,,,
6000-53994,5/14/2006,1313,MP1,FCE,BTLH,M,AHY,3.2,49.3,17.2,31.1,4.8,,,,,r3-5 white tips
6000-53995,5/14/2006,1338,MP1,TBE,BTLH,M,AHY,3.3,48.3,17.2,30.0,4.9,,,,,
6000-80907,5/9/2006,0813,MCGC,FCE,BTLH,F,AHY,3.4,50.6,18.2,29.6,5.3,N, ,M,,y-gn spangled gorget
6000-80908,5/13/2006,1350,MP1,FCE,BTLH,F,AHY,3.5,51.5,18.8,30.2,5.2,,,M,,almost no rufous in basal portions of r3-5
6000-80909,5/13/2006,1425,MP1,TBE,BTLH,F,AHY,3.6,48.7,18.1,30.0,5.0,,,M,,not gravid
6000-80910,5/18/2006,1455,MP1,TBE,BTLH,F,AHY,3.5,50.3,,30.0,5.5,,,,,not gravid
6000-80911,5/20/2006,0934,MP1,TBE,BTLH,F,AHY,3.4,51.2,18.3,30.2,5.5,,,L,,c.p.
6000-80912,5/20/2006,0950,MP1,TBE,BTLH,F,AHY,3.3,50.3,19.0,28.0,5.1,N,,H,,c.p.
6000-80913,5/20/2006,1029,MP1,TBE,BTLH,F,AHY,3.5,50.1,17.6,30.0,5.5,N,,M,,"c.p., almost no rufous in rectrices"
6000-80914,5/22/2006,1118,MP1,TBE,BTLH,F,AHY,3.5,51.1,18.5,29.5,5.1,"H, r3-5",,M,,c.p.
6000-80915,5/20/2006,1234,MP1,TBE,BTLH,F,AHY,3.7,50.3,18.1,31.0,5.5,,,,,E8
6000-80916,5/21/2006,1159,MP1,TBE,BTLH,F,AHY,3.7,49.1,18.0,29.0,5.0,H,,M,,c.p.
6000-80917,5/21/2006,1206,MP1,TBE,BTLH,F,AHY,3.2,48.7,18.6,29.0,5.0,N,,L,,c.p.
6000-80918,5/21/2006,1302,MP1,FCE,BTLH,F,AHY,3.6,51.0,19.4,31.0,5.6,,,L,,"lt. bn. tips, r3-5"
6000-80919,5/21/2006,1310,MP1,FCE,BTLH,F,AHY,3.6,50.0,18.0,30.1,5.8,N,,M-H,,c.p.
6000-80920,5/25/2006,0915,CC3,FCE,BTLH,F,AHY,3.5,50.5,18.9,30.6,5.6,N,6^,H,,"E8, spider web on rt foot, red urine"
6000-80921,5/25/2006,0935,CC3,TBE,BTLH,F,AHY,3.7,49.2,18.3,30.0,5.0,"H, r3-5",,L,,"E7, old r1s"
6000-80922,5/27/2006,0913,CC3,FCE,BTLH,F,AHY,3.3,49.2,18.2,29.5,5.3,,,,,"c.p., p9 2.5 mm shorter than p10"
6000-80923,5/27/2006,0940,CC3,FCE,BTLH,F,AHY,3.7,48.2,17.6,28.6,5.3,"H, r2-4",,M,,"E8, spider web on wing tip"
6000-80924,5/27/2006,0945,CC3,FCE,BTLH,F,AHY,3.6,47.4,19.0,31.0,5.5,,,L,,"E8, new rectrices, spider web on wing tip"
6000-80925,5/27/2006,1020,CC3,FCE,BTLH,F,AHY,3.3,50.9,18.8,30.7,5.5,,,M,,"new rectrices, no egg"
6000-80926,5/27/2006,1111,CC3,FCE,BTLH,F,AHY,3.7,50.3,18.5,29.5,5.0,"H, r3-5 ",,L,,"E6, skeleton r1s"
6000-80927,5/27/2006,1510,MCGC,FCE,BTLH,F,AHY,3.7,49.2,18.3,29.2,5.8,H,1 gn. C,,,"E6, old r2-5, skeleton r1s"
6000-80928,5/28/2006,0745,CC3,TBE,BTLH,F,AHY,3.7,51.6,19.0,31.0,5.5,"M, r4r",,VL,,c.p.
6000-80929,5/28/2006,0750,CC3,TBE,BTLH,F,AHY,3.5,49.1,18.6,29.0,5.0,"M, r1",,L,,Old r1s w/stress bar
6000-80930,5/28/2006,0758,CC3,FCE,BTLH,F,AHY,3.4,50.6,18.0,30.0,5.0,M-H,,L,,"c.p., r1 HTW, r3 MTW"
6000-80931,5/28/2006,0805,CC3,FCE,BTLH,F,AHY,3.4,49.9,17.9,29.4,5.0,"M, r5",,,,"p9 is 9mm<p10, c.p."
6000-80932,5/28/2006,1330,MP1,FCE,BTLH,F,AHY,3.5,50.3,17.8,29.8,5.6,,,VL,,"c.p., spider web on wing"
6000-80933,5/29/2006,0632,MCGC,FCE,BTLH,F,AHY,3.7,49.9,18.0,29.0,5.5,N,,M,,E7
6000-80934,5/29/2006,0646,MCGC,FCE,BTLH,F,AHY,3.6,48.4,17.5,29.9,5.5,"L, r3-5",1c,,,"E6, p9 is 2mm shorter than p10"
6000-80935,5/29/2006,0932,MCGC,FCE,BTLH,F,AHY,3.9,49.5,19.0,29.0,5.2,"H, r1",,,,"E8, r1 skeleton"
6000-80936,5/29/2006,0943,MCGC,FCE,BTLH,F,AHY,3.6,48.8,18.1,30.0,5.2,,,L,,"E6, feisty"
6000-80938,6/2/2006,0726,MCGC,FCE,BTLH,F,AHY,4.0,51.1,18.8,29.0,5.5,"M-H, r3-5",,M,,E7
6000-80939,6/2/2006,0739,MCGC,FCE,BTLH,F,AHY,3.7,47.1,18.0,30.0,5.2,N,,L-M,,banded on left leg. Not gravid 
6000-80940,6/2/2006,0830,MCGC,TBE,BTLH,F,AHY,3.4,48.7,18.5,30.0,5.0,H,,L,,E6
6000-80941,6/2/2006,0835,MCGC,TBE,BTLH,F,AHY,3.0,49.2,17.9,30.0,5.0,,,VL,,c.p.
6000-80942,6/2/2006,0846,MCGC,FCE,BTLH,F,AHY,3.3,49.1,17.9,29.0,5.2,"M, r3-5",,,,"E6, skeleton r1s"
6000-80943,6/3/2006,0658,MCGC,FCE,BTLH,F,AHY,3.2,49.8,18.0,30.4,5.2,,,L,,c.p.
6000-80944,6/3/2006,0848,MCGC,FCE,BTLH,F,AHY,3.6,49.3,18.8,29.9,5.2,"L, r3,5",5c,,,"E6, g.f. in vert. Line"
6000-80945,6/3/2006,1020,CC3,FCE,BTLH,F,AHY,3.6,51.3,18.5,30.1,5.0,,,M,,c.p.
6000-80946,6/3/2006,1036,CC3,FCE,BTLH,F,AHY,3.5,49.1,18.0,30.1,5.5,N,5+,H,,c.p.
6000-80947,6/3/2006,1045,CC3,FCE,BTLH,F,AHY,4.2,49.2,18.8,30.3,5.2,,,M,,E7
6000-80948,6/3/2006,1537,MCGC,FCE,BTLH,F,AHY,3.8,51.1,19.2,31.2,5.6,,,H,,"E7, missing throat and forehead feathers"
6000-80949,6/3/2006,1545,MCGC,FCE,BTLH,F,AHY,3.4,48.8,19.0,29.8,5.2,,,M,,c.p.
6000-80950,6/3/2006,1929,MP1,TBE,BTLH,F,AHY,3.5,48.9,17.6,30.1,5.0,H,,L,,E7
6000-80951,6/3/2006,1942,MP1,TBE,BTLH,F,AHY,3.5,51.0,18.3,30.0,5.0,L,,,,c.p.
6000-80952,6/3/2006,1950,MP1,TBE,BTLH,F,AHY,3.9,50.3,17.5,30.5,,H,3,,,"E9, skeleton r1 (collected)"
6000-80953,6/3/2006,1959,MP1,TBE,BTLH,F,AHY,3.7,50.5,18.2,30.0,5.1,H,,L,,c.p.
6000-80954,6/4/2006,0649,MCGC,FCE,BTLH,F,AHY,3.3,48.7,18.1,28.6,5.8,"L, r3-5",,VL,,
6000-80955,6/4/2006,0704,MCGC,FCE,BTLH,F,AHY,3.8,50.6,18.8,28.0,5.0,"H, r4,5",,,,"old r1s, c.p."
6000-80956,6/4/2006,0745,MCGC,FCE,BTLH,F,AHY,3.3,49.1,18.5,30.0,5.3,"L, r3,4L","1 lg, 1 sm, c",,,c.p.
6000-80957,6/4/2006,0750,MCGC,TBE,BTLH,F,AHY,3.3,49.8,17.8,30.0,5.0,N,,H,,c.p.
6000-80958,6/4/2006,0810,MCGC,TBE,BTLH,F,AHY,3.5,49.4,17.9,29.5,5.0,,,,,c.p.
6000-80959,6/4/2006,1815,MP1,TBE,BTLH,F,AHY,4.0,50.7,17.9,30.0,5.5,,,M,,c.p.
6000-80960,6/4/2006,1820,MP1,FCE,BTLH,F,AHY,3.6,50.2,18.1,30.3,5.5,N,,L,,c.p.
6000-80961,6/4/2006,1825,MP1,TBE,BTLH,F,AHY,4.1,50.5,18.2,30.0,5.0,N,,M,,c.p.
