Band Number,Date,Time,Site,Bander,Species,Sex,Age,Mass,Wing Chord,Culmen,r1 Length,r5 Width,r1-5 Wear,Gorget,Throat,Grooves,Comments
6000-80962,6/4/2006,1835,MP1,FCE,BTLH,F,AHY,,50.3,19.1,29.1,*,"H, r3-5",15 sm c,,,"* r5 too worn to measure, E8, old r1"
6000-80963,6/4/2006,1850,MP1,TBE,BTLH,F,AHY,3.6,50.2,18.7,*,5.0,H,,H,,"*skeleton r1s, E9"
6000-80964,6/4/2006,1850,MP1,FCE,BTLH,F,AHY,3.5,51.3,18.5,31.1,5.5,N,,L-M,,E6
6000-80965,6/4/2006,1915,MP1,TBE,BTLH,F,AHY,3.4,50.8,19.0,30.0,5.5,N,,H,,c.p.
6000-80966,6/4/2006,1940,MP1,TBE,BTLH,F,AHY,4.0,51.6,18.9,30.0,5.0,"H, r1",4,VH,,E7
6000-80967,6/5/2006,0645,MCGC,FCE,BTLH,F,AHY,3.9,49.7,18.9,29.0,5.0,,,VL,,
6000-80969,6/5/2006,0712,MCGC,FCE,BTLH,F,AHY,3.4,50.8,18.8,30.6,5.4,,,M-H,,"r1 stress bar, c.p."
6000-80970,6/5/2006,0717,MCGC,TBE,BTLH,F,AHY,3.5,49.3,18.1,30.0,5.0,,,,,
6000-80971,6/5/2006,0802,MCGC,FCE,BTLH,F,AHY,3.7,50.9,18.9,29.3,5.1,,,H,,"E6, spider web on r1"
6000-80972,6/5/2006,0829,MCGC,TBE,BTLH,F,AHY,3.4,49.8,18.0,29.5,5.5,,,,,
6000-80973,6/5/2006,1309,MCGC,FCE,BTLH,F,AHY,4.1,50.1,19.5,29.9,5.9,,,M,,c.p.
6000-80974,6/5/2006,1310,MCGC,FCE,BTLH,F,AHY,3.7,48.1,18.5,29.2,5.5,"L, r4,5L",,M,,"c.p., spider web rt foot"
6000-80975,6/5/2006,1332,MCGC,FCE,BTLH,F,AHY,3.4,49.3,19.2,29.8,5.4,,,,,"c.p., pine fragrance"
6000-80976,6/6/2006,0835,CC3,FCE,BTLH,F,AHY,3.6,48.5,18.0,31.0,6.0,H,,,,"E6, old r1s"
6000-80977,6/6/2006,1520,MCGC,FCE,BTLH,F,AHY,3.4,48.4,18.5,29.4,5.6,,,,,"E6, p9 is 3mm<p10"
6000-80978,6/6/2006,1540,MCGC,FCE,BTLH,F,AHY,3.4,49.4,17.9,28.0,5.5,,,M,,"E6, p9 is 6mm<p10"
6000-80979,6/6/2006,1555,MCGC,FCE,BTLH,F,AHY,3.4,49.4,18.0,30.8,6.5,,1 sm c,M,,E6
6000-80980,6/6/2006,1818,MCGC,FCE,BTLH,F,AHY,3.6,49.2,17.9,30.2,5.1,N,,,,"c.p., pristine plumage, captured w/C23694"
6000-80981,6/6/2006,1745,MCGC,FCE,BTLH,F,AHY,4.5,51.3,18.6,29.5,5.5,"H, r1",,M,,"c.p., old r1s, lost r5s (saved)"
6000-80982,6/7/2006,1031,MP1,TBE,BTLH,F,AHY,3.1,48.9,17.5,30.0,5.0,"H, r1s",,H,,"c.p., skeleton r1s"
6000-80983,6/7/2006,1036,MP1,TBE,BTLH,F,AHY,3.5,49.9,18.5,30.0,5.5,,,H,,"c.p., many pin feathers on forehead"
6000-80984,6/7/2006,1053,MP1,TBE,BTLH,F,AHY,3.5,49.2,19.2,29.0,5.5,L,,L,,"c.p., old r1s"
6000-80985,6/7/2006,1106,MP1,FCE,BTLH,F,AHY,3.7,48.9,19.2,29.9,5.4,N,,L-M,,"E6, p9 is 1.2 mm<p10"
6000-80986,6/7/2006,1114,MP1,FCE,BTLH,F,AHY,3.9,49.2,20.0,29.0,5.1,"L, r1",4c,H,,1 white ffeather on center of back
6000-80987,6/7/2006,1123,MP1,TBE,BTLH,F,AHY,3.9,49.4,17.9,31.0,6.0,,4,H,,E6
6000-80988,6/7/2006,1127,MP1,TBE,BTLH,F,AHY,3.3,49.6,18.2,31.0,5.5,H,6,H,,"E6, skeleton r1s"
6000-80989,6/7/2006,1139,MP1,TBE,BTLH,F,AHY,3.0,49.2,18.6,29.0,6.0,H,,L,,
6000-80990,6/7/2006,1349,MP1,FCE,BTLH,F,AHY,3.4,50.4,19.1,30.2,5.5,N,,M,,c.p.
6000-80991,6/7/2006,1206,MP1,TBE,BTLH,F,AHY,3.5,50.9,18.7,31.0,6.0,N,,L,,
6000-80992,6/7/2006,1211,MP1,FCE,BTLH,F,AHY,3.6,50.0,17.9,30.0,5.5,N,7,,,
6000-80993,6/7/2006,1217,MP1,TBE,BTLH,F,AHY,3.2,49.4,17.7,30.0,5.0,"H, r4,5r",,L,,"E6, band upside down"
6000-80994,6/7/2006,1303,MP1,TBE,BTLH,F,AHY,3.5,49.9,17.9,29.5,4.5,,3,M,,
6000-80995,6/7/2006,1316,MP1,FCE,BTLH,F,AHY,4.0,48.9,19.0,30.0,5.0,N,7,H,,E7
6000-80996,6/7/2006,1320,MP1,TBE,BTLH,F,AHY,3.4,51.4,,30.0,6.0,,,,,lost r4r
6000-80997,6/7/2006,1337,MP1,FCE,BTLH,F,AHY,4.0,50.4,18.3,29.4,5.7,N,,L-M,,E6
6000-80998,6/7/2006,1348,MP1,FCE,BTLH,F,AHY,4.0,51.4,18.5,31.1,4.5,"L, r4",,M,,E6
6000-80999,6/7/2006,1413,MP1,FCE,BTLH,F,AHY,3.6,50.2,19.2,29.6,5.5,"H, r3",,M,,c.p.
6000-81000,6/7/2006,1413,MP1,FCE,BTLH,F,AHY,3.5,51.8,17.6,30.0,5.8,N,,H,,c.p.
6000-81001,6/8/2006,0648,MCGC,FCE,BTLH,F,AHY,4.1,51.6,19.2,31.0,5.2,N,,L,,"E6, new rectrices"
6000-81002,6/8/2006,1634,KV1,TBE,BTLH,F,AHY,3.8,49.7,17.5,30.0,,,,L,,"c.p., missing r3-5r"
6000-81003,6/8/2006,1642,KV1,TBE,BTLH,F,AHY,3.3,51.0,20.0,29.0,,,,L,,c.p.
6000-81004,6/8/2006,1649,KV1,TBE,BTLH,F,AHY,3.6,49.9,18.5,29.0,,,,H,,E8
6000-81005,6/9/2006,0716,MCGC,TBE,BTLH,F,AHY,3.3,50.4,18.2,30.0,5.1,N,6,H,,c.p.
6000-81006,6/9/2006,0737,MCGC,FCE,BTLH,F,AHY,3.7,50.6,18.3,29.8,5.4,N,,L,,"E6, new rectrices, or. pollen on bill"
6000-81007,6/9/2006,0745,MCGC,FCE,BTLH,F,AHY,3.5,50.4,18.8,29.3,5.3,"M, r3-5r,r5l",,,,E7
6000-81008,6/9/2006,1135,MP1,FCE,BTLH,F,AHY,3.5,50.5,18.5,30.2,5.8,N,,L,,"E6, p9 is 4mm<p10"
6000-81009,6/9/2006,1149,MP1,FCE,BTLH,F,AHY,3.5,50.7,18.3,31.0,5.8,N,,M,,"E8, 1 new, 1 skeleton r1, new r3-5s"
6000-81010,6/9/2006,1149,MP1,FCE,BTLH,F,AHY,3.5,51.4,17.3,30.3,5.6,"M, r3",,M,,c.p.
6000-81011,6/9/2006,1208,MP1,FCE,BTLH,F,AHY,3.7,50.8,20.0,29.2,5.4,N,,L,,c.p.
6000-81012,6/9/2006,1220,MP1,FCE,BTLH,F,AHY,3.5,51.7,18.9,30.0,5.2,M,8c,,,"c.p., MTW r3-5r, r5"
6000-81013,6/9/2006,1238,MP1,FCE,BTLH,F,AHY,3.6,49.2,18.8,31.0,5.8,M,,L-M,,"c.p., p9 is 18mm<p8, p10 is 10mm<p8"
6000-81014,6/9/2006,1253,MP1,FCE,BTLH,F,AHY,4.3,50.2,18.5,29.9,5.4,,,L,,E9
6000-81015,6/9/2006,1306,MP1,FCE,BTLH,F,AHY,3.5,50.2,18.0,29.9,5.2,N,8c,H,,c.p.
6000-81016,6/9/2006,1311,MP1,FCE,BTLH,F,AHY,3.7,50.6,17.8,30.0,5.4,N,,M,,E6
6000-81017,6/9/2006,1311,MP1,FCE,BTLH,F,AHY,3.9,49.0,19.0,30.5,5.8,N,,L,,c.p.
6000-81018,6/9/2006,1325,MP1,FCE,BTLH,F,AHY,3.2,51.9,17.8,29.4,5.2,"M, r3-5",,L,,c.p.
6000-81019,6/9/2006,1326,MP1,FCE,BTLH,F,AHY,3.7,50.6,19.2,30.0,5.3,N,,H,,sm. black dot at tip of r5
6000-81020,6/12/2006,1403,MP1,TBE,BTLH,F,AHY,3.9,49.2,18.9,30.5,5.0,N,,M,,E9+
6000-81021,6/12/2006,1443,MP1,TBE,BTLH,F,AHY,3.7,48.6,19.0,30.1,5.5,"M, r3-5",,M,,"c.p., poss. blood in urine"
6000-81022,6/12/2006,1500,MP1,TBE,BTLH,F,AHY,3.5,50.1,18.2,30.0,5.2,N,,M,,c.p.
6000-81023,6/12/2006,1525,MP1,TBE,BTLH,F,AHY,4.4,48.8,18.1,31.0,5.0,L,,H,,E9
6000-81024,6/12/2006,1547,MP1,TBE,BTLH,F,AHY,3.4,,19.0,31.0,5.0,M,,M,,
6000-81025,6/12/2006,0728,MCGC,FCE,BTLH,F,AHY,3.4,49.2,19.5,29.8,5.5,N,,M,,"c.p., new rectrices"
6000-81026,6/7/2006,0729,MCGC,FCE,BTLH,F,AHY,3.5,51.2,18.9,30.0,5.2,N,5c,,,c.p.
6000-81027,6/13/2006,1408,MCGC,FCE,BTLH,F,AHY,4.1,50.2,18.8,29.0,5.4,"M-H, r3-5",,M,,E6
6000-81028,6/13/2006,1710,MP1,TBE,BTLH,F,AHY,3.5,50.5,19.5,30.0,5.3,H,,M,,E6
6000-81029,6/13/2006,1715,MP1,TBE,BTLH,F,AHY,4.2,50.3,19.5,29.0,5.0,H,,M,,E8
6000-81030,6/13/2006,1733,MP1,TBE,BTLH,F,AHY,4.2,49.1,18.1,30.5,6.0,N,,L,,"E6, poss. blood in urine"
6000-81031,6/13/2006,1746,MP1,TBE,BTLH,F,AHY,4.2,48.9,19.0,31.0,5.5,N,,L,,
6000-81032,6/13/2006,1753,MP1,TBE,BTLH,F,AHY,3.5,49.4,19.0,27.0,5.2,H,,M,,white feathers on crown
6000-81033,6/13/2006,1807,MP1,TBE,BTLH,F,AHY,3.6,48.0,18.7,,5.5,H,,M,,"E6, skeleton r1s"
6000-81034,6/13/2006,1821,MP1,TBE,BTLH,F,AHY,3.6,49.8,19.0,30.5,5.0,N,8c,H,,E6
6000-81035,6/13/2006,1823,MP1,TBE,BTLH,F,AHY,4.1,50.0,19.1,30.2,5.0,N,,L,,"E7, small scar at base of bill"
6000-81036,6/13/2006,1831,MP1,TBE,BTLH,F,AHY,3.5,49.0,19.4,30.0,5.0,N,,L,,c.p.
6000-81037,6/13/2006,1840,MP1,TBE,BTLH,F,AHY,3.6,50.0,,30.5,5.5,N,,H,,"E6, escaped"
6000-81038,6/13/2006,1851,MP1,TBE,BTLH,F,AHY,3.5,48.8,19.0,29.5,5.5,N,6c,H,,c.p.
6000-81039,6/13/2006,1851,MP1,TBE,BTLH,F,AHY,3.5,50.0,19.3,30.9,5.1,N,,H,,c.p.
6000-81040,6/13/2006,1908,MP1,FCE,BTLH,F,AHY,4.1,50.9,18.2,29.8,6.0,"M, r5",,M,,c.p.
6000-81041,6/13/2006,1921,MP1,TBE,BTLH,F,AHY,3.4,50.2,19.2,30.0,5.0,N,,L,,E6
6000-81042,6/13/2006,1928,MP1,TBE,BTLH,F,AHY,3.7,49.8,19.2,29.0,5.0,L,3c,L,,c.p.
6000-81043,6/13/2006,1929,MP1,TBE,BTLH,F,AHY,2.8,,18.3,29.0,5.5,N,,L,,"p10s growing in, p9 tips missing"
6000-81044,6/14/2006,0650,MCGC,FCE,BTLH,F,AHY,3.6,49.8,19.3,30.2,5.2,"M, r4",,M-H,,"c.p., white pollen on bill"
6000-81045,6/14/2006,0700,MCGC,FCE,BTLH,F,AHY,3.3,50.7,18.2,29.8,4.8,N,,M,,c.p.
6000-81046,6/14/2006,0721,MCGC,FCE,BTLH,F,AHY,3.4,51.3,18.4,29.8,5.5,"H, r3-5",,M,,"c.p., old r1s"
6000-81047,6/14/2006,0730,MCGC,FCE,BTLH,F,AHY,4.0,51.1,18.6,30.5,5.2,N,,M,,"c.p., new plumage"
6000-81048,6/14/2006,0730,MCGC,FCE,BTLH,F,AHY,3.5,50.1,18.0,30.7,5.3,"L, r3-5",,L,,"c.p., old r1s"
6000-81049,6/15/2006,1755,MCGC,FCE,BTLH,F,AHY,3.6,49.5,18.0,30.8,5.5,N,11c,M,,"E6, p10 is 11 mm<p9"
6000-81050,6/15/2006,1755,MCGC,FCE,BTLH,F,AHY,3.7,49.1,19.1,27.5,5.2,,,M,,E7
6000-81051,6/15/2006,1827,MCGC,TBE,BTLH,F,AHY,3.3,49.2,18.0,30.0,5.5,N,,L,,c.p.
6000-81052,6/15/2006,1827,MCGC,FCE,BTLH,F,AHY,3.7,50.2,19.2,29.9,5.8,N,,L,,c.p.
6000-81053,6/15/2006,1835,MCGC,FCE,BTLH,F,AHY,3.5,50.0,19.2,29.5,5.5,N,,M,,c.p.
6000-81054,6/15/2006,1842,MCGC,FCE,BTLH,F,AHY,4.5,49.8,18.5,31.2,4.8,,,M,,E9
6000-81055,6/15/2006,1853,MCGC,FCE,BTLH,F,AHY,3.4,50.0,19.0,31.1,5.2,,,M,,"E7, old r1s"
6000-81056,6/15/2006,1923,MCGC,FCE,BTLH,F,AHY,3.6,51.7,,29.5,5.0,H,,M,,"skeleton r1s, feisty"
6000-81057,6/16/2006,1750,MCGC,FCE,BTLH,F,AHY,3.6,51.0,19.3,31.0,5.0,H*,,M-H,,"E6, *1 skeleton r1"
6000-81058,6/16/2006,1759,MCGC,FCE,BTLH,F,AHY,3.6,50.0,18.8,29.8,6.0,N,5c,M,,E6
6000-81059,6/16/2006,1810,MCGC,FCE,BTLH,F,AHY,3.8,50.8,18.1,29.0,5.2,N,1 v sm c,L,,c.p.
6000-81060,6/16/2006,1812,MCGC,FCE,BTLH,F,AHY,3.6,50.1,18.0,30.8,4.9,N,2 sm c,L-M,,E6
6000-81061,6/16/2006,1812,MCGC,FCE,BTLH,F,AHY,3.5,50.8,18.2,30.6,5.2,N,,M,,E7
6000-81062,6/17/2006,1000,HOLZ,FCE,BTLH,F,AHY,4.4,51.0,20.0,30.0,5.5,N,,L,,E6
6000-81063,6/17/2006,1041,HOLZ,FCE,BTLH,F,AHY,3.9,51.6,18.0,30.5,5.0,"L, r3R",,H,,"E7, orange pollen on bill"
6000-81064,6/17/2006,1111,HOLZ,FCE,BTLH,F,AHY,3.5,50.2,18.0,30.5,5.1,N,,M,,c.p.
6000-81065,6/17/2006,1245,GNMTN,TBE,BTLH,F,AHY,3.5,51.2,18.6,29.5,5.5,N,,H,,
6000-81066,6/17/2006,1257,GNMTN,TBE,BTLH,F,AHY,3.6,50.3,19.2,30.0,5.2,N,,L,,E6
6000-81067,6/17/2006,1310,GNMTN,TBE,BTLH,F,AHY,3.3,49.7,19.0,30.0,5.5,"L, r4",,M,,"old tail coverts, pin feathers on crown"
6000-81068,6/17/2006,1402,GNMTN,TBE,BTLH,F,AHY,3.5,50.9,17.5,29.0,5.5,"M, r4R",12 c,H,,E6
6000-81069,6/17/2006,1411,GNMTN,TBE,BTLH,F,AHY,3.9,51.4,18.5,31.0,6.0,N,,M,,E8
6000-81070,6/17/2006,1518,KV1,TBE,BTLH,F,AHY,4.2,49.2,18.0,29.0,5.6,N,,L,,E9+
6000-81071,6/17/2006,1524,KV1,TBE,BTLH,F,AHY,3.5,50.0,18.8,30.7,5.5,N,7 c,H,,c.p.
6000-81072,6/17/2006,1528,KV1,TBE,BTLH,F,AHY,3.6,48.8,17.6,30.5,5.5,H,,M,,"cactus spine 11 mm long, 6.5 mm under skin on top of skull - removed"
6000-81073,6/17/2006,1540,KV1,TBE,BTLH,F,AHY,3.7,50.9,18.6,30.0,5.0,N,,M,,"E7, lost r5 (saved)"
6000-81074,6/17/2006,1540,KV1,TBE,BTLH,F,AHY,3.7,50.3,19.9,31.0,5.5,N,,L,,E7 
6000-81075,6/17/2006,1554,KV1,TBE,BTLH,F,AHY,4.3,51.0,18.1,*,5.0,"H, r3-5",6 c,H,,"E8, *skeleton r1"
6000-81076,6/17/2006,1558,KV1,FCE,BTLH,F,AHY,3.4,49.8,18.9,31.0,5.5,N,,L,,r5 black spot at tip
6000-81077,6/17/2006,1601,KV1,TBE,BTLH,F,AHY,4.2,49.1,18.0,30.5,5.0,H,,H,,old r1
6000-81078,6/17/2006,1605,KV1,FCE,BTLH,F,AHY,3.8,50.4,19.2,30.3,5.4,"M, r3-5",,L,,"E6, yellow pollen on bill"
6000-81079,6/17/2006,1612,KV1,FCE,BTLH,F,AHY,3.7,50.6,19.4,31.0,5.5,N,,M,,E7
6000-81080,6/17/2006,1635,KV1,TBE,BTLH,F,AHY,4.2,48.8,18.3,29.0,5.0,"L, r3-5",1 c,H,,"E6, old r1"
6000-81081,6/17/2006,1644,KV1,TBE,BTLH,F,AHY,4.8,49.8,18.1,29.9,6.0,N,,L,,E9+
6000-81082,6/17/2006,1706,KV1,TBE,BTLH,F,AHY,3.5,48.7,18.2,29.0,5.0,N,,L,,"E8, new r1s (short)"
6000-81083,6/17/2006,1706,KV1,FCE,BTLH,F,AHY,4.2,49.7,18.4,29.8,5.0,N,,M,,"E9+, new r1s"
6000-81084,6/17/2006,1909,HPE,FCE,BTLH,F,AHY,3.4,51.2,18.0,30.0,4.8,N,,M,,c.p.
6000-81085,6/17/2006,1915,HPE,FCE,BTLH,F,AHY,3.5,50.0,18.3,30.0,5.8,"L, r4",8 c,M,,
6000-81086,6/17/2006,1920,HPE,FCE,BTLH,F,AHY,3.8,50.7,18.5,30.5,5.3,N,,M,,E6
6000-81087,6/18/2006,0647,MCGC,FCE,BTLH,F,AHY,3.7,50.1,18.1,30.1,5.0,"L, r4L,r5R",,VL,,c.p.
6000-81088,6/18/2006,0715,MCGC,FCE,BTLH,F,AHY,3.8,50.5,18.1,31.0,5.2,N,,M,,E7
6000-81089,6/18/2006,0800,MCGC,FCE,BTLH,F,AHY,3.6,50.0,17.5,29.8,5.8,N,,M,,"c.p., yellow pollen on crown"
6000-81090,6/18/2006,1509,MCGC,FCE,BTLH,F,AHY,3.7,49.0,18.9,29.3,5.2,N,,M,,E6
6000-81091,5/18/2006,1730,MP1,TBE,BTLH,M,AHY,3.4,49.1,17.3,30.1,,,,,,
6000-81092,6/22/2006,1539,MCGC,FCE,BTLH,F,AHY,4.1,49.6,18.9,30.1,5.1,N,,VL,,"c.p., new plumage"
6000-81093,6/22/2006,1549,MCGC,FCE,BTLH,F,AHY,3.5,49.9,19.0,29.0,5.5,N,,M-H,,c.p.
6000-81094,6/22/2006,1628,MCGC,FCE,BTLH,F,AHY,3.8,49.0,17.8,30.0,5.1,N,,L-M,,E6
