Band Number, Date,Time,Site,Bander,Species,Sex,Age,Mass,Wing Chord,Culmen,r1 Length,r1 Width,r1-5 Wear,Gorget,Throat,Grooves,Comments
4100-59034,06/08/2011,6:21,MCGC,FCE,BTLH,F,AHY,3.6,,,,,,,,,former E90323; band to left leg
4100-59035,06/08/2011,7:31,MCGC,FCE,BTLH,F,AHY,3.5,50.1,18.2,30.0,,,,,,
4100-59036,06/08/2011,15:25,MP1,FCE,BTLH,F,AHY,4,,,,,,,,,stress- early release
4100-59037,06/08/2011,16:08,MP1,FCE,BTLH,F,AHY,3.65,51.4,19.8,29.8,,,,,,
4100-59038,06/08/2011,16:22,MP1,FCE,BTLH,F,AHY,3.4,51.0,18.3,30.2,,,,,,
4100-59039,06/08/2011,16:24,MP1,FCE,BTLH,F,AHY,3.35,50.5,18.2,30.8,,,,,,
4100-59040,06/08/2011,16:38,MP1,FCE,BTLH,F,AHY,3.8,50.8,19.2,30.4,,,,,,
4100-59041,06/08/2011,16:39,MP1,FCE,BTLH,F,AHY,4.4,50.1,18.2,28.5,,,,,,E9
4100-59042,06/08/2011,17:10,MP1,FCE,BTLH,F,AHY,3.6,51.3,18.9,29.5,,,,,,
4100-59043,06/09/2011,10:20,HPK2,FCE,BTLH,F,AHY,3.3,49.8,19.1,29.0,,,,,,
4100-59044,06/09/2011,10:20,HPK2,FCE,BTLH,F,AHY,3.5,49.9,18.2,,,,,,,missing all 10 rectrices
4100-59045,06/09/2011,10:46,HPK2,FCE,BTLH,F,AHY,3.4,50.2,19.0,30.0,,,,,,
4100-59046,06/09/2011,12:10,HPK2,FCE,BTLH,F,AHY,3.3,51.0,18.4,30.2,,,,,,
4100-59047,06/09/2011,12:22,HPK2,FCE,BTLH,F,AHY,4.1,50.7,18.2,30.0,,,,,,E8
4100-59048,06/09/2011,12:52,HPK2,FCE,BTLH,F,AHY,3.45,51.4,18.9,30.0,,,,,,
4100-59049,06/09/2011,12:55,HPK2,FCE,BTLH,F,AHY,3.3,50.4,18.7,30.1,,,,,,p9 and p10 growing in
4100-59050,06/09/2011,12:55,hpk2,FCE,BTLH,F,AHY,3.7,50.5,17.5,29.5,,,,,,E7
4100-59051,06/18/2011,9:43,HPK2,FCE,BTLH,M,AHY,3.2,49.1,17.8,31.5,,,,,,
4100-59052,07/01/2011,7:28,MCGC,FCE,RUHU,M,AHY,3.4,42.1,16.2,29.1,,,,,,
4100-59053,07/08/2011,11:58,MP1,FCE,RUHU,M,AHY,3.21,40.3,16.1,27.1,,,,,,
4100-59054,07/12/2011,6:20,MCGC,FCE,RUHU,M,AHY,3.4,40.8,16.5,27.1,,,,,,
4100-59055,08/15/2011,8:50,MCGC,FCE,RUHU,M,AHY,3.4,40.3,16.8,27.8,,,,,,
4100-59056,07/03/2011,7:30,MCGC,FCE,CAHU,M,AHY,2.7,38.9,14.1,19.0,,,,,,
4100-59057,07/22/2011,14:00,MCGC,TBE,CAHU,M,AHY,2.9,38.3,13.8,18.1,,,,,,
4100-59058,07/17/2011,11:12,GNMTN,FCE,CAHU,M,AHY,3.1,39.5,14.1,18.1,,,,,,
4100-59059,07/16/2011,16:40,MCGC,TBE,CAHU,M,AHY,2.6,38.3,14.7,18.0,,,,,,
4100-59060,07/09/2011,15:25,KV1,FCE,CAHU,M,AHY,2.7,39.4,15.0,18.8,,,,,,
