Band Number,Date,Time,Site,Bander,Species,Age,Sex,Mass,Wing Chord,Culmen,r1 Length,r5 Width,r1-5 Wear,Gorget,Throat,Grooves,Comments,Old Band Number
4100-08148,05/25/2010,15:50,MP1,FCE,BTLH,AHY,F,3.7,51.7,18.8,32.0,,,,,,,
4100-08149,05/25/2010,16:10,MP1,FCE,BTLH,AHY,F,3.6,50.8,18.9,31.5,,,,,,,
4100-08150,05/26/2010,7:05,MCGC,TBE,BTLH,AHY,F,3.5,50.0,18.1,31.5,,,,,,,
4100-08151,06/03/2010,12:03,KV1,FCE,BTLH,AHY,F,3.9,51.6,18.2,30.1,,,,,,debris/pine pitch,900039900
4100-08152,06/03/2010,12:29,KV1,FCE,BTLH,AHY,F,3.1,49.1,18.8,30.8,,,,,,,
4100-08153,06/03/2010,12:49,KV1,FCE,BTLH,AHY,F,4.3,50.1,19.9,29.2,,,,,,,
4100-08154,06/03/2010,12:56,KV1,FCE,BTLH,AHY,F,3.5,51.1,19.1,31.1,,,,,,,
4100-08155,06/03/2010,13:01,KV1,FCE,BTLH,AHY,F,4.1,51.3,20.0,31.4,,,,,,,
4100-08156,06/03/2010,13:07,KV1,FCE,BTLH,AHY,F,4.1,51.2,18.6,31.4,,,,,,,
4100-08157,06/03/2010,13:20,KV1,FCE,BTLH,AHY,F,3.9,50.7,18.2,31.0,,,,,,,
4100-08158,06/03/2010,13:21,KV1,FCE,BTLH,AHY,F,4.1,51.8,19.7,31.2,,,,,,,
4100-08159,06/03/2010,13:36,KV1,FCE,BTLH,AHY,F,3.7,50.5,19.1,30.7,,,,,,,
4100-08160,06/03/2010,13:55,KV1,FCE,BTLH,AHY,F,4,51.3,17.2,30.0,,,,,,,
4100-08161,06/03/2010,14:00,KV1,FCE,BTLH,AHY,F,3.4,50.5,18.1,30.7,,,,,,,
4100-08162,06/03/2010,14:06,KV1,FCE,BTLH,AHY,F,3.6,50.4,19.4,28.0,,,,,,,
4100-08163,06/03/2010,14:07,KV1,FCE,BTLH,AHY,F,3.5,51.4,18.2,31.8,,,,,,,
4100-08164,06/03/2010,14:07,KV1,FCE,BTLH,AHY,F,3.1,49.6,18.0,29.2,,,,,,,
4100-08165,06/05/2010,9:26,MP1,FCE,BTLH,AHY,F,3.4,49.0,18.0,29.4,,,,,,,
4100-08166,06/05/2010,9:26,MP1,FCE,BTLH,AHY,F,3.1,50.4,19.1,29.8,,,,,,,
4100-08167,06/05/2010,9:26,MP1,FCE,BTLH,AHY,F,3.5,51.5,18.2,31.0,,,,,,,
4100-08168,06/05/2010,9:50,MP1,FCE,BTLH,AHY,F,3.9,50.2,19.2,29.8,,,,,,,
4100-08169,06/05/2010,9:55,MP1,FCE,BTLH,AHY,F,3.6,50.4,18.1,30.1,,,,,,,
4100-08170,06/05/2010,9:58,MP1,FCE,BTLH,AHY,F,3.8,51.3,19.0,30.0,,,,,,,
4100-08171,06/05/2010,10:05,MP1,FCE,BTLH,AHY,F,3.3,50.3,18.5,30.0,,,,,,,
4100-08172,06/05/2010,10:11,MP1,FCE,BTLH,AHY,F,3.5,49.9,18.8,30.0,,,,,,,
4100-08173,06/05/2010,10:12,MP1,FCE,BTLH,AHY,F,4.1,50.6,19.4,29.0,,,,,,,
4100-08174,06/05/2010,10:22,MP1,FCE,BTLH,AHY,F,3.5,49.7,18.8,30.1,,,,,,,
4100-08175,06/05/2010,10:23,MP1,FCE,BTLH,AHY,F,3.4,49.3,19.2,31.2,,,,,,,
4100-08176,06/02/2010,10:36,HPK2,FCE,BTLH,AHY,F,3.8,51.9,18.8,31.0,,,,,,,
4100-08177,06/02/2010,11:15,HPK2,FCE,BTLH,AHY,F,3.3,50.8,19.2,29.1,,,,,,,
4100-08178,06/02/2010,11:37,HPK2,FCE,BTLH,AHY,F,3.9,51.5,19.2,29.5,,,,,,,
4100-08179,06/02/2010,12:07,HPK2,FCE,BTLH,AHY,F,3.5,49.6,19.2,31.0,,,,,,,
4100-08180,06/02/2010,12:07,HPK2,FCE,BTLH,AHY,F,3.8,51.4,18.7,32.3,,,,,,,
4100-08181,06/02/2010,12:25,HPK2,FCE,BTLH,AHY,F,3.7,51.3,18.4,31.5,,,,,,,
4100-08182,06/02/2010,12:25,HPK2,FCE,BTLH,AHY,F,4,50.8,19.5,28.6,,,,,,,
4100-08183,06/02/2010,13:55,MP1,FCE,BTLH,AHY,F,4.1,49.6,19.1,30.2,,,,,,,
4100-08184,06/02/2010,14:38,MP1,FCE,BTLH,AHY,F,3.4,50.4,18.2,30.4,,,,,,,
4100-08185,06/02/2010,14:58,MP1,FCE,BTLH,AHY,F,3.9,50.6,19.8,32.1,,,,,,,
4100-08186,06/02/2010,15:04,MP1,FCE,BTLH,AHY,F,3.7,49.7,18.1,30.5,,,,,,,
4100-08187,06/02/2010,15:16,MP1,FCE,BTLH,AHY,F,3.6,50.2,18.6,30.0,,,,,,,
4100-08188,06/05/2010,10:39,MP1,FCE,BTLH,AHY,F,3.9,50.1,18.7,31.0,,,,,,,
4100-08189,06/05/2010,10:45,MP1,FCE,BTLH,AHY,F,4,50.3,18.1,29.0,,,,,,,
4100-08190,06/05/2010,10:45,MP1,FCE,BTLH,AHY,F,3.6,50.4,19.7,31.2,,,,,,,
4100-08191,06/05/2010,11:10,MP1,FCE,BTLH,AHY,F,3.2,49.4,19.0,30.2,,,,,,,
4100-08192,05/21/2010,7:44,MCGC,FCE,BTLH,AHY,M,3.3,48.6,16.5,30.4,,,,,,,
4100-08193,06/05/2010,11:18,MP1,FCE,BTLH,AHY,F,3.7,49.4,18.5,31.1,,,,,,,
4100-08194,06/05/2010,11:23,MP1,FCE,BTLH,AHY,F,3.8,51.9,18.8,31.2,,,,,,,
4100-08195,06/05/2010,13:15,HPK2,FCE,BTLH,AHY,F,3.7,49.3,19.0,30.0,,,,,,,
4100-08196,06/05/2010,10:40,HPK2,FCE,BTLH,AHY,F,3.9,50.2,17.9,29.5,,,,,,,
4100-08197,06/05/2010,14:12,HPK2,FCE,BTLH,AHY,F,3.5,49.9,18.6,30.5,,,,,,,
4100-08198,06/06/2010,9:18,CC3,TBE,BTLH,AHY,F,3.6,48.7,18.6,30.0,,,,,,,
4100-08199,06/06/2010,9:42,CC3,TBE,BTLH,AHY,F,3.3,50.9,17.0,31.5,,,,,,,
4100-08200,06/06/2010,10:05,CC3,FCE,BTLH,AHY,F,3.8,50.8,17.8,31.3,,,,,,,
4100-08201,05/25/2010,10:27,MCGC,TBE,BTLH,AHY,F,3.3,48.1,18.4,29.5,,,,,,,
4100-08202,05/25/2010,11:03,MCGC,TBE,BTLH,AHY,F,3.7,,,,,,,,,,
4100-08203,05/28/2010,12:45,MP1,FCE,BTLH,AHY,F,3.6,50.1,18.5,30.5,,,,,,,
4100-08204,05/28/2010,12:45,MP1,FCE,BTLH,AHY,F,3.9,49.6,19.2,28.6,,,,,,,
4100-08205,05/28/2010,12:45,MP1,FCE,BTLH,AHY,F,3.6,49.5,17.3,,,,,,,,
4100-08206,05/28/2010,13:25,MP1,FCE,BTLH,AHY,F,3.6,49.6,19.0,30.2,,,,,,,
4100-08207,05/28/2010,13:25,MP1,FCE,BTLH,AHY,F,4,49.3,18.6,28.0,,,,,,,
4100-08208,05/28/2010,13:37,MP1,FCE,BTLH,AHY,F,4.1,50.7,18.4,30.7,,,,,,,
4100-08209,06/06/2010,14:47,MP1,FCE,BTLH,AHY,F,3.7,49.0,18.7,30.0,,,,,,,
4100-08210,06/06/2010,14:56,MP1,FCE,BTLH,AHY,F,4,50.3,18.2,31.5,,,,,,,
4100-08211,06/06/2010,15:03,MP1,FCE,BTLH,AHY,F,3.4,51.0,20.0,30.0,,,,,,,
4100-08212,06/06/2010,15:17,MP1,FCE,BTLH,AHY,F,4,49.6,19.5,30.7,,,,,,,
4100-08213,06/06/2010,15:26,MP1,FCE,BTLH,AHY,F,3.5,49.9,19.2,30.0,,,,,,,
4100-08214,06/06/2010,15:27,MP1,FCE,BTLH,AHY,F,4.1,50.7,18.0,29.4,,,,,,,
4100-08215,06/06/2010,15:40,MP1,FCE,BTLH,AHY,F,3.6,48.6,18.1,29.6,,,,,,,
4100-08216,06/06/2010,15:44,MP1,FCE,BTLH,AHY,F,3.7,51.3,20.1,30.2,,,,,,,
4100-08217,06/08/2010,10:40,MP1,FCE,BTLH,AHY,F,4.2,50.7,19.1,32.0,,,,,,,
4100-08218,06/08/2010,10:52,MP1,FCE,BTLH,AHY,F,3.4,51.3,18.7,31.0,,,,,,,
4100-08219,06/08/2010,10:52,MP1,FCE,BTLH,AHY,F,3.6,50.1,18.9,29.9,,,,,,,
4100-08220,06/08/2010,11:10,MP1,FCE,BTLH,AHY,F,3.5,49.4,19.0,30.6,,,,,,,
4100-08221,06/08/2010,11:32,MP1,FCE,BTLH,AHY,F,4.1,51.0,18.0,31.3,,,,,,,
4100-08222,06/08/2010,11:48,MP1,FCE,BTLH,AHY,F,3.5,48.2,18.0,30.0,,,,,,,
4100-08223,06/08/2010,17:29,HPK2,FCE,BTLH,AHY,F,3.56,49.6,19.8,31.0,,,,,,,
4100-08224,06/08/2010,16:40,HPK2,FCE,BTLH,AHY,F,3.7,49.4,18.5,29.6,,,,,,,
4100-08225,06/08/2010,17:00,HPK2,FCE,BTLH,AHY,F,3.4,,,,,,,,,,
4100-08226,05/29/2010,7:30,MCGC,TBE,BTLH,AHY,F,3.7,50.0,19.0,31.0,,,,,,,
4100-08227,05/29/2010,7:30,MCGC,FCE,BTLH,AHY,F,3.6,50.7,19.1,29.5,,,,,,,
4100-08228,05/29/2010,7:35,MCGC,FCE,BTLH,AHY,F,3.4,49.9,17.0,29.2,,,,,,,
4100-08229,05/29/2010,7:40,MCGC,FCE,BTLH,AHY,F,3.5,49.2,17.8,29.0,,,,,,,
4100-08230,06/01/2010,6:20,MCGC,FCE,BTLH,AHY,F,4.1,50.6,19.0,30.1,,,,,,,
4100-08231,06/01/2010,6:26,MCGC,FCE,BTLH,AHY,F,3.4,49.7,18.4,29.0,,,,,,,
4100-08232,06/01/2010,6:55,MCGC,FCE,BTLH,AHY,F,3.8,50.6,19.1,31.2,,,,,,,
4100-08233,06/01/2010,6:59,MCGC,FCE,BTLH,AHY,F,3.8,49.2,18.3,30.2,,,,,,,
4100-08234,06/01/2010,7:10,MCGC,FCE,BTLH,AHY,F,3.3,50.2,18.2,28.2,,,,,,,
4100-08235,06/01/2010,7:36,MCGC,FCE,BTLH,AHY,F,3.3,50.2,19.1,30.0,,,,,,,
4100-08236,06/01/2010,7:40,MCGC,FCE,BTLH,AHY,F,4,51.3,19.3,30.0,,,,,,,
4100-08237,06/01/2010,8:00,MCGC,FCE,BTLH,AHY,F,4,50.8,18.0,31.8,,,,,,,
4100-08238,06/01/2010,8:16,MCGC,FCE,BTLH,AHY,F,4,49.0,19.0,30.1,,,,,,,
4100-08239,06/09/2010,15:18,CC3,TBE,BTLH,AHY,F,3.9,49.1,18.0,29.5,,,,,,,
4100-08240,06/09/2010,15:30,CC3,FCE,BTLH,AHY,F,3.64,50.0,18.5,30.1,,,,,,,
4100-08241,06/09/2010,15:42,CC3,FCE,BTLH,AHY,F,3.55,50.6,17.5,28.0,,,,,,,
4100-08242,06/09/2010,15:49,CC3,FCE,BTLH,AHY,F,3.37,50.2,18.1,29.1,,,,,,,
4100-08243,05/21/2010,7:28,MCGC,FCE,BTLH,AHY,M,3.8,50.7,17.9,30.9,,,,,,,
4100-08244,06/09/2010,16:05,CC3,FCE,BTLH,AHY,F,3.72,51.1,19.2,29.8,,,,,,,
4100-08245,06/09/2010,16:12,CC3,FCE,BTLH,AHY,F,3.56,50.3,18.8,29.6,,,,,,,
4100-08246,06/09/2010,16:28,CC3,FCE,BTLH,AHY,F,3.9,50.7,19.2,30.5,,,,,,,
4100-08247,06/09/2010,16:49,CC3,FCE,BTLH,AHY,F,3.76,50.3,18.0,30.1,,,,,,,
4100-08248,06/09/2010,17:07,CC3,FCE,BTLH,AHY,F,3.35,49.6,19.2,32.0,,,,,,,
4100-08249,06/09/2010,17:07,CC3,FCE,BTLH,AHY,F,4.23,50.8,18.2,32.0,,,,,,,
4100-08250,06/09/2010,17:17,CC3,FCE,BTLH,AHY,F,3.7,49.7,19.3,30.8,,,,,,,
4100-08251,05/21/2010,8:05,MCGC,FCE,BTLH,AHY,M,3.7,49.8,18.1,30.0,,,,,,,
4100-08252,05/21/2010,9:15,MCGC,FCE,BTLH,AHY,M,3.5,50.2,18.7,33.5,,,,,,,
4100-08253,05/21/2010,9:45,MCGC,FCE,BTLH,AHY,M,3.5,49.9,17.1,31.0,,,,,,,
4100-08254,05/21/2010,18:59,MCGC,FCE,BTLH,AHY,M,3.4,49.6,16.3,30.2,,,,,,,
4100-08255,05/21/2010,19:50,MCGC,FCE,BTLH,AHY,M,3.5,48.8,17.8,32.0,,,,,,,
4100-08256,05/22/2010,10:51,MP1,FCE,BTLH,AHY,M,3.6,49.2,16.6,31.2,,,,,,,
4100-08257,05/22/2010,11:00,MP1,FCE,BTLH,AHY,M,3.5,49.2,17.6,30.2,,,,,,,
4100-08258,05/22/2010,11:27,MP1,FCE,BTLH,AHY,M,3.8,50.8,17.3,30.0,,,,,,,
4100-08259,05/22/2010,11:27,MP1,FCE,BTLH,AHY,M,3.4,49.0,17.0,31.2,,,,,,,
4100-08260,05/22/2010,11:32,MP1,FCE,BTLH,AHY,M,3.2,48.7,16.1,27.8,,,,,,,
4100-08261,05/22/2010,11:32,MP1,FCE,BTLH,AHY,M,3.6,50.1,19.0,30.5,,,,,,,
4100-08262,05/22/2010,11:42,MP1,FCE,BTLH,AHY,M,3.4,50.6,18.7,32.0,,,,,,,
4100-08263,05/22/2010,11:55,MP1,FCE,BTLH,AHY,M,3.6,50.7,18.0,30.8,,,,,,,
4100-08264,05/22/2010,12:06,MP1,FCE,BTLH,AHY,M,3.9,50.6,17.1,32.0,,,,,,,
4100-08265,05/22/2010,12:20,MP1,FCE,BTLH,AHY,M,3.4,50.1,16.8,30.2,,,,,,,
4100-08266,05/22/2010,12:25,MP1,FCE,BTLH,AHY,M,4,50.6,18.1,31.0,,,,,,,
4100-08267,05/22/2010,12:34,MP1,FCE,BTLH,AHY,M,3.2,49.6,18.6,30.0,,,,,,,
4100-08268,05/23/2010,7:30,MCGC,TBE,BTLH,AHY,M,3.5,48.7,17.8,30.0,,,,,,,
4100-08269,05/23/2010,7:10,MCGC,FCE,BTLH,AHY,M,3.2,48.9,17.2,31.0,,,,,,,
4100-08270,05/23/2010,8:12,MCGC,TBE,BTLH,AHY,M,3.4,49.3,17.3,31.0,,,,,,,
4100-08271,05/23/2010,8:10,MCGC,TBE,BTLH,AHY,M,3.1,49.4,17.7,30.5,,,,,,,
4100-08272,05/23/2010,8:32,MCGC,TBE,BTLH,AHY,M,3.2,50.0,18.0,30.0,,,,,,,
4100-08273,05/23/2010,9:13,MCGC,TBE,BTLH,AHY,M,3.1,49.9,17.8,31.0,,,,,,,
4100-08274,05/23/2010,17:43,MCGC,TBE,BTLH,AHY,M,3,48.4,17.2,31.5,,,,,,,
4100-08275,05/23/2010,17:51,MCGC,TBE,BTLH,AHY,M,3.7,49.5,17.2,31.0,,,,,,,
4100-08276,05/23/2010,18:06,MCGC,TBE,BTLH,AHY,M,3.4,48.2,18.0,31.0,,,,,,,
4100-08277,05/23/2010,18:18,MCGC,TBE,BTLH,AHY,M,3.3,47.9,17.6,31.0,,,,,,,
4100-08278,05/23/2010,18:25,MCGC,TBE,BTLH,AHY,M,3.2,47.6,16.9,29.0,,,,,,,
4100-08279,05/23/2010,18:48,MCGC,TBE,BTLH,AHY,M,3.7,47.9,17.0,31.5,,,,,,,
4100-08280,05/24/2010,10:44,CC3,FCE,BTLH,AHY,M,,50.6,17.9,32.3,,,,,,,
4100-08281,05/24/2010,10:56,CC3,FCE,BTLH,AHY,M,,49.8,16.0,30.0,,,,,,,
4100-08282,05/24/2010,11:04,CC3,FCE,BTLH,AHY,M,,49.0,17.5,32.0,,,,,,,
4100-08283,05/25/2010,6:37,MCGC,FCE,BTLH,AHY,M,3.6,50.0,18.2,30.2,,,,,,,
4100-08284,05/25/2010,6:45,MCGC,FCE,BTLH,AHY,M,3.6,59.2,18.0,29.0,,,,,,,
4100-08285,05/25/2010,10:27,MCGC,TBE,BTLH,AHY,M,3.3,47.3,16.9,29.0,,,,,,,
4100-08286,05/25/2010,10:27,MCGC,TBE,BTLH,AHY,M,3.3,48.0,17.0,32.0,,,,,,,
4100-08287,05/25/2010,11:03,MCGC,TBE,BTLH,AHY,M,3.2,47.9,16.9,31.0,,,,,,,
4100-08288,05/25/2010,11:40,MCGC,TBE,BTLH,AHY,M,3.5,48.9,17.2,31.5,,,,,,,
4100-08289,05/25/2010,11:47,MCGC,TBE,BTLH,AHY,M,3.4,48.0,16.9,31.0,,,,,,,
4100-08290,06/22/2010,14:06,MP1,FCE,BTLH,AHY,M,3.22,49.1,16.8,30.8,,,,,,,
4100-08291,06/23/2010,12:07,HOLZ,FCE,BTLH,AHY,M,3.22,50.9,19.0,31.5,,,,,,,
4100-08292,06/23/2010,12:35,HOLZ,FCE,BTLH,AHY,M,3.5,49.0,17.8,31.0,,,,,,,
4100-08293,06/23/2010,12:40,HOLZ,FCE,BTLH,AHY,M,3.14,49.5,18.0,32.0,,,,,,,
4100-08294,06/23/2010,13:02,HOLZ,FCE,BTLH,AHY,M,3.14,49.8,18.3,29.8,,,,,,,
4100-08295,06/23/2010,13:20,HOLZ,FCE,BTLH,AHY,M,3.52,49.3,17.2,31.0,,,,,,,
4100-08296,06/23/2010,17:24,KV1,FCE,BTLH,AHY,M,3.11,50.0,18.3,29.0,,,,,,,
4100-08297,06/23/2010,18:53,GNMTN,FCE,BTLH,AHY,M,3.23,49.7,17.5,31.0,,,,,,,
4100-08298,06/23/2010,20:04,GNMTN,FCE,BTLH,AHY,M,3.67,50.0,17.0,32.0,,,,,,,
4100-08299,06/24/2010,7:35,MCGC,FCE,BTLH,AHY,M,3,48.3,16.9,30.2,,,,,,,
4100-08300,06/24/2010,8:05,MCGC,FCE,BTLH,AHY,M,3.1,49.8,18.0,31.2,,,,,,,
4100-08301,06/10/2010,7:32,MCGC,FCE,BTLH,AHY,F,3.4,49.4,18.5,30.5,,,,,,,
4100-08302,06/10/2010,7:46,MCGC,FCE,BTLH,AHY,F,3.3,48.5,18.1,30.2,,,,,,,
4100-08303,06/10/2010,8:08,MCGC,FCE,BTLH,AHY,F,3.3,49.4,18.0,29.6,,,,,,,
4100-08304,06/10/2010,8:14,MCGC,FCE,BTLH,AHY,F,3.4,48.6,18.0,31.5,,,,,,,
4100-08305,06/10/2010,14:06,MP1,FCE,BTLH,AHY,F,3.67,50.1,18.4,29.7,,,,,,,
4100-08306,06/10/2010,14:06,MP1,FCE,BTLH,AHY,F,3.73,49.1,18.8,30.0,,,,,,,
4100-08307,06/10/2010,14:20,MP1,FCE,BTLH,AHY,F,3.63,50.8,17.6,32.0,,,,,,,
4100-08308,06/10/2010,14:25,MP1,FCE,BTLH,AHY,F,3.98,52.3,19.0,,,,,,,missing r1s,
4100-08309,06/10/2010,14:25,MP1,FCE,BTLH,AHY,F,3.67,50.3,19.1,31.2,,,,,,,
4100-08310,06/10/2010,14:38,MP1,FCE,BTLH,AHY,F,3.7,50.3,18.8,30.5,,,,,,,
4100-08311,06/10/2010,14:44,MP1,FCE,BTLH,AHY,F,3.7,50.0,20.1,30.2,,,,,,,
4100-08312,06/10/2010,15:02,MP1,FCE,BTLH,AHY,F,3.12,50.1,18.3,31.1,,,,,,,
4100-08313,06/10/2010,15:08,MP1,FCE,BTLH,AHY,F,3.18,50.6,18.4,30.0,,,,,,,
4100-08314,06/10/2010,15:08,MP1,FCE,BTLH,AHY,F,3.3,48.9,18.7,29.7,,,,,,,
4100-08315,06/10/2010,15:45,MP1,FCE,BTLH,AHY,F,3.53,50.1,18.4,30.0,,,,,,,
4100-08316,06/12/2010,13:50,MCGC,FCE,BTLH,AHY,F,3.8,51.0,17.0,31.0,,,,,,,
4100-08317,06/12/2010,14:25,MCGC,FCE,BTLH,AHY,F,4.4,50.7,19.2,29.2,,,,,,,
4100-08318,06/12/2010,15:11,MCGC,FCE,BTLH,AHY,F,4.2,49.9,19.2,29.0,,,,,,,
4100-08319,06/12/2010,16:00,MCGC,FCE,BTLH,AHY,F,4.1,50.7,19.3,33.0,,,,,,,
4100-08320,06/12/2010,16:20,MCGC,FCE,BTLH,AHY,F,3.99,50.4,19.1,31.0,,,,,,,
4100-08321,06/12/2010,17:57,MCGC,FCE,BTLH,AHY,F,3.8,49.0,18.2,31.0,,,,,,,
4100-08322,06/13/2010,16:10,MP1,FCE,BTLH,AHY,F,3.41,49.9,18.6,31.0,,,,,,,
4100-08323,06/13/2010,16:20,MP1,FCE,BTLH,AHY,F,3.73,50.5,18.2,29.2,,,,,,,
4100-08324,06/13/2010,18:10,MCGC,FCE,BTLH,AHY,F,4.11,48.9,19.0,48.9,,,,,,,
4100-08325,06/13/2010,18:35,MCGC,FCE,BTLH,AHY,F,4.14,50.0,18.0,32.0,,,,,,,
4100-08326,06/17/2010,7:25,MCGC,FCE,BTLH,AHY,F,3.4,49.7,17.8,29.0,,,,,,,
4100-08327,06/17/2010,7:25,MCGC,FCE,BTLH,AHY,F,3.4,50.7,17.8,29.0,,,,,,,
4100-08328,06/17/2010,7:40,MCGC,FCE,BTLH,AHY,F,4.2,50.8,19.0,31.2,,,,,,,
4100-08329,06/17/2010,8:05,MCGC,FCE,BTLH,AHY,F,3.5,50.0,18.9,28.9,,,,,,,
4100-08330,06/17/2010,8:05,MCGC,FCE,BTLH,AHY,F,4.1,50.2,19.3,30.0,,,,,,,
4100-08331,06/18/2010,14:10,HOLZ,FCE,BTLH,AHY,F,4,51.1,18.2,29.8,,,,,,,
4100-08332,06/18/2010,17:50,KV1,FCE,BTLH,AHY,F,3.56,51.2,18.3,29.5,,,,,,,
4100-08333,06/18/2010,18:10,KV1,FCE,BTLH,AHY,F,4.26,50.8,17.8,30.1,,,,,,E6,
4100-08334,06/18/2010,18:19,KV1,FCE,BTLH,AHY,F,3.65,51.6,18.2,31.1,,,,,,,
4100-08335,06/18/2010,18:27,KV1,FCE,BTLH,AHY,F,3.73,50.6,19.0,28.5,,,,,,,
4100-08336,06/18/2010,18:32,KV1,FCE,BTLH,AHY,F,3.7,49.6,17.5,30.8,,,,,,,
4100-08337,06/18/2010,18:38,KV1,FCE,BTLH,AHY,F,4.19,49.9,19.1,31.3,,,,,,E8,
4100-08338,06/18/2010,18:44,KV1,FCE,BTLH,AHY,F,3.79,51.2,18.1,31.0,,,,,,E7,
4100-08339,06/18/2010,18:51,KV1,FCE,BTLH,AHY,F,3.63,50.5,19.0,30.8,,,,,,,
4100-08340,06/18/2010,19:05,KV1,FCE,BTLH,AHY,F,3.32,49.6,18.0,31.0,,,,,,,
4100-08341,06/13/2010,18:30,MCGC,FCE,BTLH,AHY,F,3.91,50.1,19.9,30.5,,,,,,,
4100-08342,06/18/2010,14:03,MCGC,TBE,BTLH,AHY,F,4.3,48.9,18.2,29.0,,,,,,E8,
4100-08343,06/18/2010,14:10,MCGC,TBE,BTLH,AHY,F,3.5,49.2,18.5,30.0,,,,,,,
4100-08344,06/18/2010,14:20,MCGC,TBE,BTLH,AHY,F,3.5,50.0,18.6,30.0,,,,,,,
4100-08345,06/18/2010,14:30,MCGC,TBE,BTLH,AHY,F,3.6,49.5,18.0,31.0,,,,,,E7,
4100-08346,06/18/2010,15:00,MCGC,TBE,BTLH,AHY,F,3.6,49.1,18.2,31.0,,,,,,,
4100-08347,06/18/2010,15:00,MCGC,TBE,BTLH,AHY,F,4.3,49.4,18.5,32.0,,,,,,E9+,
4100-08348,06/19/2010,10:00,MCGC,TBE,BTLH,AHY,F,3.5,49.6,19.2,28.3,,,,,,,
4100-08349,06/19/2010,10:00,MCGC,TBE,BTLH,AHY,F,3.4,49.8,19.0,30.0,,,,,,,
4100-08350,06/19/2010,10:15,MCGC,TBE,BTLH,AHY,F,3.5,48.9,18.9,31.0,,,,,,,
4100-08351,06/19/2010,10:47,MCGC,TBE,BTLH,AHY,F,3.5,49.0,18.5,31.2,,,,,,,
4100-08352,06/19/2010,11:22,MCGC,TBE,BTLH,AHY,F,3.4,48.6,18.2,31.0,,,,,,,
4100-08353,07/09/2010,13:29,HPK2,TBE,BTLH,AHY,F,3.43,50.6,18.7,30.0,,,,,,,
4100-08354,06/19/2010,11:37,MCGC,TBE,BTLH,AHY,F,3.6,49.0,19.2,32.0,,,,,,E6,
4100-08356,06/21/2010,7:05,MCGC,FCE,BTLH,AHY,F,3.6,49.4,18.0,30.0,,,,,,,
4100-08357,06/21/2010,7:25,MCGC,FCE,BTLH,AHY,F,4,49.5,18.2,30.3,,,,,,E6,
4100-08358,06/21/2010,7:40,MCGC,FCE,BTLH,AHY,F,3.8,48.9,18.6,30.2,,,,,,,
4100-08359,06/21/2010,7:50,MCGC,FCE,BTLH,AHY,F,3.9,51.0,19.6,30.3,,,,,,E6,
4100-08360,06/24/2010,7:05,MCGC,FCE,BTLH,AHY,F,3.9,52.0,19.0,31.2,,,,,,,
4100-08361,06/24/2010,7:35,MCGC,FCE,BTLH,AHY,F,3.8,51.5,20.1,32.2,,,,,,E6+,
4100-08362,06/24/2010,7:35,MCGC,FCE,BTLH,AHY,F,3.3,49.1,18.0,30.8,,,,,,,
4100-08363,06/24/2010,7:55,MCGC,FCE,BTLH,AHY,F,3.5,50.1,18.5,31.0,,,,,,,
4100-08364,06/24/2010,8:05,MCGC,FCE,BTLH,AHY,F,3.2,48.9,18.2,30.0,,,,,,,
4100-08365,06/24/2010,8:05,MCGC,FCE,BTLH,AHY,F,4,51.7,19.0,31.0,,,,,,E7,
4100-08366,06/20/2010,13:05,HPK2,FCE,BTLH,AHY,F,3.21,49.1,18.8,30.2,,,,,,,
4100-08367,06/24/2010,17:34,MCGC,FCE,BTLH,AHY,F,3.6,50.2,18.0,31.5,,,,,,"spider web, debris",600080944
4100-08368,07/19/2010,18:40,GNMTN,FCE,BTLH,AHY,F,3.63,48.8,19.1,29.0,,,,,,,
4100-08369,07/01/2010,14:35,GNMTN,FCE,BTLH,AHY,F,3.92,48.7,20.2,29.1,,,,,,,
4100-08370,06/24/2010,8:20,MCGC,FCE,BTLH,AHY,F,3.2,,,,,,,,,,
4100-08371,06/18/2010,19:05,KV1,FCE,BTLH,AHY,F,3.88,49.6,18.9,29.8,,,,,,,
4100-08372,06/19/2010,10:56,MP1,FCE,BTLH,AHY,F,3.76,51.7,19.1,29.0,,,,,,,
4100-08373,06/19/2010,10:56,MP1,FCE,BTLH,AHY,F,3.36,51.3,18.0,31.2,,,,,,,
4100-08374,06/19/2010,10:56,MP1,FCE,BTLH,AHY,F,3.31,51.8,19.2,30.2,,,,,,,
4100-08375,06/19/2010,11:23,MP1,FCE,BTLH,AHY,F,3.66,50.3,19.0,30.0,,,,,,,
4100-08376,06/19/2010,11:25,MP1,FCE,BTLH,AHY,F,3.88,50.6,18.8,30.1,,,,,,E6-,
4100-08377,06/19/2010,11:35,MP1,FCE,BTLH,AHY,F,3.55,50.4,19.0,29.9,,,,,,,
4100-08378,06/19/2010,11:53,MP1,FCE,BTLH,AHY,F,3.68,50.4,18.7,30.0,,,,,,,
4100-08379,06/19/2010,12:01,MP1,FCE,BTLH,AHY,F,4.14,51.3,18.4,30.2,,,,,,E6,
4100-08380,06/19/2010,12:11,MP1,FCE,BTLH,AHY,F,4.06,50.5,19.0,30.2,,,,,,,
4100-08381,06/19/2010,12:24,MP1,FCE,BTLH,AHY,F,3.7,50.8,18.0,30.0,,,,,,E6-,
