Band Number,Date,Time,Site,Bander,Species,Age,Sex,Mass,Wing Chord,Culmen,r1 Length,r5 Width,r1-5 Wear,Gorget,Throat,Grooves,Comments,Old Band Number
4100-07932,06/09/2010,16:17,CC3,FCE,BTLH,AHY,M,3.3,49.1,17.2,32.3,,,,,,,
4100-07933,06/10/2010,14:25,MP1,FCE,BTLH,AHY,M,2.98,50.7,17.0,31.0,,,,,,,
4100-07934,06/10/2010,14:44,MP1,FCE,BTLH,AHY,M,3.29,50.3,17.1,31.0,,,,,,,
4100-07935,06/12/2010,14:10,MCGC,FCE,BTLH,AHY,M,3.3,49.6,16.8,31.2,,,,,,,
4100-07936,06/12/2010,16:00,MCGC,FCE,BTLH,AHY,M,3.6,50.3,18.2,31.0,,,,,,,
4100-07937,06/19/2010,11:38,MP1,FCE,BTLH,AHY,M,3.29,50.0,18.1,29.5,,,,,,,
4100-07938,06/19/2010,12:11,MP1,FCE,BTLH,AHY,M,3.56,50.6,17.8,31.0,,,,,,,
4100-07939,06/19/2010,12:24,MP1,FCE,BTLH,AHY,M,3.5,48.7,18.0,30.1,,,,,,,
4100-07940,06/19/2010,13:10,MP1,FCE,BTLH,AHY,M,3,49.1,17.3,30.5,,,,,,,
4100-07941,06/20/2010,13:30,HPK2,FCE,BTLH,AHY,M,3,50.6,17.9,31.9,,,,,,,
4100-07942,06/20/2010,13:39,HPK2,FCE,BTLH,AHY,M,3.7,49.9,18.2,30.4,,,,,,,
4100-07943,06/20/2010,13:39,HPK2,FCE,BTLH,AHY,M,3.2,50.2,17.5,31.2,,,,,,,
4100-07944,06/20/2010,13:55,HPK2,FCE,BTLH,AHY,M,3.16,50.1,18.0,30.5,,,,,,,
4100-07945,06/21/2010,7:40,MCGC,FCE,BTLH,AHY,M,3.3,50.7,17.2,32.0,,,,,,,
4100-07946,06/21/2010,7:50,MCGC,FCE,BTLH,AHY,M,3.3,49.8,18.2,31.8,,,,,,,
4100-07947,06/22/2010,12:20,MP1,TBE,BTLH,AHY,M,3.04,47.4,18.2,33.0,,,,,,,
4100-07948,06/22/2010,13:12,MP1,TBE,BTLH,AHY,M,3.1,47.8,16.6,31.5,,,,,,,
4100-07949,06/22/2010,13:12,MP1,FCE,BTLH,AHY,M,3.6,51.0,18.8,32.1,,,,,,,
4100-07950,06/22/2010,13:12,MP1,TBE,BTLH,AHY,M,2.95,47.5,18.0,31.0,,,,,,,
4100-07951,06/02/2010,11:09,HPK2,FCE,BTLH,AHY,M,3,50.4,18.3,30.7,,,,,,,
4100-07952,06/02/2010,11:28,HPK2,FCE,BTLH,AHY,M,3.5,50.8,17.4,31.0,,,,,,,
4100-07953,06/02/2010,11:36,HPK2,FCE,BTLH,AHY,M,3.2,49.8,17.4,32.0,,,,,,,
4100-07954,06/02/2010,12:25,HPK2,FCE,BTLH,AHY,M,3.2,49.4,17.9,31.2,,,,,,,
4100-07955,06/02/2010,14:50,MP1,FCE,BTLH,AHY,M,3.2,50.3,18.8,30.0,,,,,,,
4100-07956,06/03/2010,19:25,MCGC,TBE,BTLH,AHY,M,3.4,49.5,17.9,31.5,,,,,,,
4100-07957,06/13/2010,18:10,MCGC,TBE,BTLH,AHY,M,3.2,50.2,16.3,31.0,,,,,,,
4100-07958,06/18/2010,14:14,MCGC,TBE,BTLH,AHY,M,3.2,49.5,17.9,32.0,,,,,,,
4100-07959,06/18/2010,14:54,MCGC,TBE,BTLH,AHY,M,3.2,49.8,17.9,32.0,,,,,,,
4100-07960,06/18/2010,19:30,MCGC,TBE,BTLH,AHY,M,3.3,48.4,17.9,32.0,,,,,,,
4100-07961,06/19/2010,11:15,MCGC,TBE,BTLH,AHY,M,3.3,48.5,17.9,32.0,,,,,,,
4100-07962,06/19/2010,11:37,MCGC,TBE,BTLH,AHY,M,3.2,48.4,18.4,32.5,,,,,,,
4100-07963,06/24/2010,15:30,HPK2,FCE,BTLH,AHY,M,3.51,51.1,17.6,33.5,,,,,,,
4100-07964,06/27/2010,11:23,HPK2,TBE,BTLH,AHY,M,3.1,48.8,18.0,31.5,,,,,,,
4100-07965,06/28/2010,10:06,MP1,FCE,BTLH,AHY,M,3.25,49.9,17.0,33.0,,,,,,,
4100-07966,06/28/2010,10:18,MP1,FCE,BTLH,AHY,M,3.28,50.8,17.2,31.0,,,,,,,
4100-07967,06/28/2010,10:23,MP1,FCE,BTLH,AHY,M,3.34,49.2,17.5,31.0,,,,,,,
4100-07968,06/28/2010,10:30,MP1,FCE,BTLH,AHY,M,3.24,49.5,17.4,32.0,,,,,,,
4100-07969,06/28/2010,10:41,MP1,FCE,BTLH,AHY,M,3.19,49.8,18.0,32.8,,,,,,,
4100-07970,06/28/2010,10:53,MP1,FCE,BTLH,AHY,M,3.11,49.8,16.5,31.2,,,,,,,
4100-07971,06/28/2010,11:24,MP1,FCE,BTLH,AHY,M,3.21,49.3,16.8,30.4,,,,,,,
4100-07972,06/28/2010,11:36,MP1,FCE,BTLH,AHY,M,3.5,51.0,17.6,32.1,,,,,,,
4100-07973,06/28/2010,11:43,MP1,FCE,BTLH,AHY,M,3.14,50.1,18.0,32.0,,,,,,,
4100-07974,06/29/2010,14:32,HPK2,FCE,BTLH,AHY,M,3.41,50.0,17.8,31.7,,,,,,,
4100-07975,06/30/2010,14:57,MP1,FCE,BTLH,AHY,M,3.01,49.4,17.0,30.1,,,,,,,
4100-07976,07/01/2010,13:22:00 PM,GNMTN,FCE,BTLH,AHY,M,3.14,49.1,16.6,30.0,,,,,,,
4100-07977,07/01/2010,14:06,GNMTN,FCE,BTLH,AHY,M,3.57,50.1,18.1,31.1,,,,,,,
4100-07978,07/01/2010,14:35,GNMTN,FCE,BTLH,AHY,M,3.31,49.7,18.1,31.0,,,,,,,
4100-07979,07/01/2010,17:36,HOLZ,FCE,BTLH,AHY,M,3.09,51.0,18.0,33.0,,,,,,,
4100-07980,07/01/2010,18:07,HOLZ,FCE,BTLH,AHY,M,3.17,48.9,18.0,31.3,,,,,,,
4100-07981,05/25/2010,13:35,HPK2,FCE,BTLH,AHY,M,3.3,50.5,17.8,31.2,,,,,,,
4100-07982,05/25/2010,13:42,HPK2,FCE,BTLH,AHY,M,3.4,50.4,18.2,32.5,,,,,,,
4100-07983,05/25/2010,13:59,HPK2,FCE,BTLH,AHY,M,3.5,50.3,17.2,31.1,,,,,,,
4100-07984,05/25/2010,15:23,MP1,FCE,BTLH,AHY,M,3.3,50.6,18.3,32.0,,,,,,,
4100-07985,05/25/2010,15:50,MP1,FCE,BTLH,AHY,M,3.4,49.4,17.7,32.0,,,,,,,
4100-07986,05/25/2010,16:05,MP1,FCE,BTLH,AHY,M,3.3,49.6,17.1,32.0,,,,,,,
4100-07987,05/25/2010,16:10,MP1,FCE,BTLH,AHY,M,3.3,49.6,17.0,31.2,,,,,,,
4100-07988,05/25/2010,16:25,MP1,FCE,BTLH,AHY,M,3.4,49.8,17.1,31.8,,,,,,,
4100-07989,05/25/2010,16:25,MP1,FCE,BTLH,AHY,M,3.3,49.3,18.0,31.2,,,,,,,
4100-07990,05/25/2010,16:48,MP1,FCE,BTLH,AHY,M,3.1,49.9,17.1,32.0,,,,,,,
4100-07991,05/25/2010,16:49,MP1,FCE,BTLH,AHY,M,3.3,48.8,16.3,31.1,,,,,,,
4100-07992,05/26/2010,6:35,MCGC,FCE,BTLH,AHY,M,3.3,50.2,18.2,31.0,,,,,,,
4100-07993,05/26/2010,6:42,MCGC,TBE,BTLH,AHY,M,2.6,48.9,16.8,33.0,,,,,,,
4100-07994,05/26/2010,10:40,CC3,FCE,BTLH,AHY,M,3.2,50.0,18.0,32.5,,,,,,,
4100-07995,05/26/2010,10:48,CC3,FCE,BTLH,AHY,M,3.4,51.1,17.9,33.0,,,,,,,
4100-07996,05/26/2010,11:45,CC3,FCE,BTLH,AHY,M,3.8,50.9,18.0,31.0,,,,,,,
4100-07997,05/28/2010,6:30,MCGC,FCE,BTLH,AHY,M,3.3,49.8,17.2,31.6,,,,,,,
4100-07998,05/28/2010,6:56,MCGC,FCE,BTLH,AHY,M,3.5,49.8,16.2,31.0,,,,,,,
4100-07999,05/28/2010,7:10,MCGC,FCE,BTLH,AHY,M,3.4,48.4,17.8,29.8,,,,,,,
4100-08000,05/28/2010,7:10,MCGC,FCE,BTLH,AHY,M,3.4,49.1,17.2,32.1,,,,,,,
4100-08001,05/26/2010,7:23,MCGC,FCE,BTLH,AHY,F,3.4,49.3,18.2,30.0,,,,,,,
4100-08002,05/26/2010,10:14,CC3,FCE,BTLH,AHY,F,3.4,52.0,19.8,31.5,,,,,,,
4100-08003,05/26/2010,10:22,CC3,FCE,BTLH,AHY,F,3.6,52.5,18.8,30.0,,,,,,,
4100-08004,05/26/2010,10:22,CC3,FCE,BTLH,AHY,F,3.9,50.3,18.2,30.0,,,,,,,
4100-08005,05/26/2010,10:40,CC3,FCE,BTLH,AHY,F,3.3,49.2,18.0,29.4,,,,,,,
4100-08006,05/26/2010,10:55,CC3,FCE,BTLH,AHY,F,4.2,51.0,19.0,31.2,,,,,,,
4100-08007,05/26/2010,11:06,CC3,FCE,BTLH,AHY,F,3.5,51.4,18.2,30.7,,,,,,,
4100-08008,05/26/2010,11:06,CC3,FCE,BTLH,AHY,F,3.7,50.7,20.2,30.2,,,,,,,
4100-08009,05/26/2010,11:15,CC3,FCE,BTLH,AHY,F,3.5,49.2,19.0,31.2,,,,,,,
4100-08010,05/26/2010,11:35,CC3,FCE,BTLH,AHY,F,3.5,50.9,19.0,31.2,,,,,,,
4100-08011,05/26/2010,11:45,CC3,FCE,BTLH,AHY,F,3.8,50.7,17.9,31.0,,,,,,,
4100-08012,05/28/2010,6:20,MCGC,FCE,BTLH,AHY,F,3.6,50.3,18.9,29.0,,,,,,,
4100-08013,05/28/2010,6:35,MCGC,FCE,BTLH,AHY,F,3.4,50.0,19.0,30.6,,,,,,,
