"","site_name","calendar_date","ndvi"
"169","ws51","2008-04-22",0.6059
"170","ws51","2008-05-08",0.6969
"171","ws51","2008-05-24",0.7513
"172","ws51","2008-06-09",0.7479
"173","ws51","2008-06-25",0.0959
"174","ws51","2008-07-11",0.759
"175","ws51","2008-07-27",0.7493
"176","ws51","2008-08-12",0.8033
"177","ws51","2008-08-28",0.7547
"178","ws51","2008-09-13",0.8016
"179","ws51","2008-09-29",0.7766
"180","ws51","2008-10-15",0.8265
"181","ws51","2008-10-31",0.7874
"182","ws51","2008-11-16",0.7941
"183","ws51","2008-12-02",0.7245
"184","ws51","2008-12-18",0.7483
"185","ws51","2009-01-01",0.7405
"186","ws51","2009-01-17",0.6807
"187","ws51","2009-02-02",0.7323
"188","ws51","2009-02-18",0.6803
"189","ws51","2009-03-06",0.6403
"190","ws51","2009-03-22",0.7062
"191","ws51","2009-04-07",0.7448
"192","ws51","2009-04-23",0.6499
"193","ws51","2009-05-09",0.7296
"194","ws51","2009-05-25",0.726
"195","ws51","2009-06-10",0.7873
"196","ws51","2009-06-26",0.8251
"197","ws51","2009-07-12",0.8104
"198","ws51","2009-07-28",0.7847
"199","ws51","2009-08-13",0.796
"200","ws51","2009-08-29",0.8112
"201","ws51","2009-09-14",0.8815
"202","ws51","2009-09-30",0.8413
"203","ws51","2009-10-16",0.8368
"204","ws51","2009-11-01",0.829
"205","ws51","2009-11-17",0.8386
"206","ws51","2009-12-03",0.7886
"207","ws51","2009-12-19",0.7508
"208","ws51","2010-01-01",0.7605
"209","ws51","2010-01-17",0.6843
"210","ws51","2010-02-02",0.7369
"211","ws51","2010-02-18",0.7061
"212","ws51","2010-03-06",0.7255
"213","ws51","2010-03-22",0.7592
"214","ws51","2010-04-07",0.7746
"215","ws51","2010-04-23",0.7694
"216","ws51","2010-05-09",0.7913
"217","ws51","2010-05-25",0.7641
"218","ws51","2010-06-10",0.8051
"219","ws51","2010-06-26",0.8181
"220","ws51","2010-07-12",0.7644
"221","ws51","2010-07-28",0.848
"222","ws51","2010-08-13",0.617
"223","ws51","2010-08-29",0.8721
"224","ws51","2010-09-14",0.8183
"225","ws51","2010-09-30",0.8476
"226","ws51","2010-10-16",0.8063
"227","ws51","2010-11-01",0.8426
"228","ws51","2010-11-17",0.8496
"229","ws51","2010-12-03",0.7903
"230","ws51","2010-12-19",0.6874
"231","ws51","2011-01-01",0.7466
"232","ws51","2011-01-17",0.7424
"233","ws51","2011-02-02",0.733
"234","ws51","2011-02-18",0.6574
"235","ws51","2011-03-06",0.8052
"236","ws51","2011-03-22",0.6915
"237","ws51","2011-04-07",0.7072
"238","ws51","2011-04-23",0.7145
"239","ws51","2011-05-09",0.7738
"240","ws51","2011-05-25",0.6916
"241","ws51","2011-06-10",0.7435
"242","ws51","2011-06-26",0.4198
"243","ws51","2011-07-12",0.8125
"244","ws51","2011-07-28",0.856
"245","ws51","2011-08-13",0.8338
"246","ws51","2011-08-29",0.7927
"247","ws51","2011-09-14",0.8253
"248","ws51","2011-09-30",0.5331
"249","ws51","2011-10-16",0.845
"250","ws51","2011-11-01",0.8073
"251","ws51","2011-11-17",0.8454
"252","ws51","2011-12-03",0.8263
"253","ws51","2011-12-19",0.8022
"254","ws51","2012-01-01",0.726
"255","ws51","2012-01-17",0.7756
"256","ws51","2012-02-02",0.8046
"257","ws51","2012-02-18",0.8091
"258","ws51","2012-03-05",0.7221
"259","ws51","2012-03-21",0.7763
"260","ws51","2012-04-06",0.7847
"261","ws51","2012-04-22",0.7862
"262","ws51","2012-05-08",0.7231
"263","ws51","2012-05-24",0.8196
"264","ws51","2012-06-09",0.4673
"265","ws51","2012-06-25",0.7781
"266","ws51","2012-07-11",0.8103
"267","ws51","2012-07-27",0.8474
"268","ws51","2012-08-12",0.8077
"269","ws51","2012-08-28",0.921
"270","ws51","2012-09-13",0.7937
"271","ws51","2012-09-29",0.8415
"272","ws51","2012-10-15",0.8507
"273","ws51","2012-10-31",0.8122
"274","ws51","2012-11-16",0.8075
"275","ws51","2012-12-02",0.8158
"276","ws51","2012-12-18",0.7726
"277","ws52","2001-01-01",0.7518
"278","ws52","2001-01-17",0.7454
"279","ws52","2001-02-02",0.5793
"280","ws52","2001-02-18",0.6106
"281","ws52","2001-03-06",0.5765
"282","ws52","2001-03-22",0.5374
"283","ws52","2001-04-07",0.5245
"284","ws52","2001-04-23",0.4552
"285","ws52","2001-05-09",0.4154
"286","ws52","2001-05-25",0.4819
"287","ws52","2001-06-10",0.2439
"288","ws52","2001-06-26",0.7897
"289","ws52","2001-07-12",0.8197
"290","ws52","2001-07-28",0.8947
"291","ws52","2001-08-13",0.8205
"292","ws52","2001-08-29",0.5646
"293","ws52","2001-09-14",0.3777
"294","ws52","2001-09-30",0.8807
"295","ws52","2001-10-16",0.87
"296","ws52","2001-11-01",0.844
"297","ws52","2001-11-17",0.8198
"298","ws52","2001-12-03",0.7944
"299","ws52","2001-12-19",0.7822
"300","ws52","2002-01-01",0.7822
"301","ws52","2002-01-17",0.7409
"302","ws52","2002-02-02",0.644
"303","ws52","2002-02-18",0.6981
"304","ws52","2002-03-06",0.632
"305","ws52","2002-03-22",0.5672
"306","ws52","2002-04-07",0.5018
"307","ws52","2002-04-23",0.4653
"308","ws52","2002-05-09",0.4591
"309","ws52","2002-05-25",0.4953
"310","ws52","2002-06-10",0.617
"311","ws52","2002-06-26",0.8809
"312","ws52","2002-07-12",0.9185
"313","ws52","2002-07-28",0.8629
"314","ws52","2002-08-13",0.8606
"315","ws52","2002-08-29",0.7997
"316","ws52","2002-09-14",0.3954
"317","ws52","2002-09-30",0.8877
"318","ws52","2002-10-16",0.7446
"319","ws52","2002-11-01",0.8839
"320","ws52","2002-11-17",0.8621
"321","ws52","2002-12-03",0.835
"322","ws52","2002-12-19",0.808
"323","ws52","2003-01-01",0.7782
"324","ws52","2003-01-17",0.779
"325","ws52","2003-02-02",0.7332
"326","ws52","2003-02-18",0.6985
"327","ws52","2003-03-06",0.643
"328","ws52","2003-03-22",0.5837
"329","ws52","2003-04-07",0.5277
"330","ws52","2003-04-23",0.5444
"331","ws52","2003-05-09",0.5156
"332","ws52","2003-05-25",0.4887
"333","ws52","2003-06-10",0.4924
"334","ws52","2003-06-26",0.7868
"335","ws52","2003-07-12",0.9163
"336","ws52","2003-07-28",0.5417
"337","ws52","2003-08-13",0.3436
"338","ws52","2003-08-29",0.8854
"339","ws52","2003-09-14",0.9531
"340","ws52","2003-09-30",0.8852
"341","ws52","2003-10-16",0.8873
"342","ws52","2003-11-01",0.8761
"343","ws52","2003-11-17",0.8304
"344","ws52","2003-12-03",0.8179
"345","ws52","2003-12-19",0.8164
"346","ws52","2004-01-01",0.7456
"347","ws52","2004-01-17",0.8225
"348","ws52","2004-02-02",0.7982
"349","ws52","2004-02-18",0.7358
"350","ws52","2004-03-05",0.682
"351","ws52","2004-03-21",0.6425
"352","ws52","2004-04-06",0.6402
"353","ws52","2004-04-22",0.5503
"354","ws52","2004-05-08",0.5014
"355","ws52","2004-05-24",0.1622
"356","ws52","2004-06-09",0.6788
"357","ws52","2004-06-25",0.8303
"358","ws52","2004-07-11",0.7862
"359","ws52","2004-07-27",0.6305
"360","ws52","2004-08-12",0.576
"361","ws52","2004-08-28",0.8717
"362","ws52","2004-09-13",0.3359
"363","ws52","2004-09-29",0.7988
"364","ws52","2004-10-15",0.6592
"365","ws52","2004-10-31",0.8624
"366","ws52","2004-11-16",0.8451
"367","ws52","2004-12-02",0.8087
"368","ws52","2004-12-18",0.8079
"369","ws52","2005-01-01",0.744
"370","ws52","2005-01-17",0.7659
"371","ws52","2005-02-02",0.7262
"372","ws52","2005-02-18",0.7016
"373","ws52","2005-03-06",0.7237
"374","ws52","2005-03-22",0.593
"375","ws52","2005-04-07",0.5671
"376","ws52","2005-04-23",0.5742
"377","ws52","2005-05-09",0.5008
"378","ws52","2005-05-25",0.529
"379","ws52","2005-06-10",0.5252
"380","ws52","2005-06-26",0.0521
"381","ws52","2005-07-12",0.4844
"382","ws52","2005-07-28",0.8332
"383","ws52","2005-08-13",0.8256
"384","ws52","2005-08-29",0.4604
"385","ws52","2005-09-14",0.8768
"386","ws52","2005-09-30",0.8999
"387","ws52","2005-10-16",0.9053
"388","ws52","2005-11-01",0.8763
"389","ws52","2005-11-17",0.8606
"390","ws52","2005-12-03",0.84
"391","ws52","2005-12-19",0.8038
"392","ws52","2006-01-01",0.7519
"393","ws52","2006-01-17",0.7217
"394","ws52","2006-02-02",0.6662
"395","ws52","2006-02-18",0.5768
"396","ws52","2006-03-06",0.471
"397","ws52","2006-03-22",0.4448
"398","ws52","2006-04-07",0.4796
"399","ws52","2006-04-23",0.444
"400","ws52","2006-05-09",0.4409
"401","ws52","2006-05-25",0.5085
"402","ws52","2006-06-10",0.4879
"403","ws52","2006-06-26",0.7088
"404","ws52","2006-07-12",0.595
"405","ws52","2006-07-28",0.8151
"406","ws52","2006-08-13",0.7163
"407","ws52","2006-08-29",0.8545
"408","ws52","2006-09-14",0.6221
"409","ws52","2006-09-30",0.8663
"410","ws52","2006-10-16",0.4414
"411","ws52","2006-11-01",0.8735
"412","ws52","2006-11-17",0.8551
"413","ws52","2006-12-03",0.8203
"414","ws52","2006-12-19",0.8077
"415","ws52","2007-01-01",0.7842
"416","ws52","2007-01-17",0.7444
"417","ws52","2007-02-02",0.7999
"418","ws52","2007-02-18",0.7194
"419","ws52","2007-03-06",0.6843
"420","ws52","2007-03-22",0.5721
"421","ws52","2007-04-07",0.5395
"422","ws52","2007-04-23",0.534
"423","ws52","2007-05-09",0.4982
"424","ws52","2007-05-25",0.5195
"425","ws52","2007-06-10",0.1191
"426","ws52","2007-06-26",0.8608
"427","ws52","2007-07-12",0.7827
"428","ws52","2007-07-28",0.8299
"429","ws52","2007-08-13",0.7985
"430","ws52","2007-08-29",0.5785
"431","ws52","2007-09-14",0.8874
"432","ws52","2007-09-30",0.8691
"433","ws52","2007-10-16",0.8716
"434","ws52","2007-11-01",0.8431
"435","ws52","2007-11-17",0.829
"436","ws52","2007-12-03",0.8312
"437","ws52","2007-12-19",0.7921
"438","ws52","2008-01-01",0.7798
"439","ws52","2008-01-17",0.7637
"440","ws52","2008-02-02",0.7246
"441","ws52","2008-02-18",0.6878
"442","ws52","2008-03-05",0.5694
"443","ws52","2008-03-21",0.606
"444","ws52","2008-04-06",0.4972
"445","ws52","2008-04-22",0.4992
"446","ws52","2008-05-08",0.432
"447","ws52","2008-05-24",0.4886
"448","ws52","2008-06-09",0.556
"449","ws52","2008-06-25",0.6812
"450","ws52","2008-07-11",0.9156
"451","ws52","2008-07-27",0.8387
"452","ws52","2008-08-12",0.3744
"453","ws52","2008-08-28",0.5357
"454","ws52","2008-09-13",0.8727
"455","ws52","2008-09-29",0.9604
"456","ws52","2008-10-15",0.7902
"457","ws52","2008-10-31",0.8839
"458","ws52","2008-11-16",0.837
"459","ws52","2008-12-02",0.8181
"460","ws52","2008-12-18",0.8124
"461","ws52","2009-01-01",0.7772
"462","ws52","2009-01-17",0.7498
"463","ws52","2009-02-02",0.7142
"464","ws52","2009-02-18",0.6595
"465","ws52","2009-03-06",0.5958
"466","ws52","2009-03-22",0.6309
"467","ws52","2009-04-07",0.547
"468","ws52","2009-04-23",0.493
"469","ws52","2009-05-09",0.5027
"470","ws52","2009-05-25",0.4757
"471","ws52","2009-06-10",0.5833
"472","ws52","2009-06-26",0.7654
"473","ws52","2009-07-12",0.8144
"474","ws52","2009-07-28",0.8992
"475","ws52","2009-08-13",0.9066
"476","ws52","2009-08-29",0.3258
"477","ws52","2009-09-14",0.9029
"478","ws52","2009-09-30",0.8555
"479","ws52","2009-10-16",0.8952
"480","ws52","2009-11-01",0.8813
"481","ws52","2009-11-17",0.8694
"482","ws52","2009-12-03",0.8053
"483","ws52","2009-12-19",0.8298
"484","ws52","2010-01-01",0.7931
"485","ws52","2010-01-17",0.8179
"486","ws52","2010-02-02",0.7093
"487","ws52","2010-02-18",0.7867
"488","ws52","2010-03-06",0.7902
"489","ws52","2010-03-22",0.7295
"490","ws52","2010-04-07",0.6973
"491","ws52","2010-04-23",0.6467
"492","ws52","2010-05-09",0.5917
"493","ws52","2010-05-25",0.6228
"494","ws52","2010-06-10",0.6251
"495","ws52","2010-06-26",0.1049
"496","ws52","2010-07-12",0.4753
"497","ws52","2010-07-28",0.7895
"498","ws52","2010-08-13",0.7789
"499","ws52","2010-08-29",0.3342
"500","ws52","2010-09-14",0.6362
"501","ws52","2010-09-30",0.8662
"502","ws52","2010-10-16",0.8485
"503","ws52","2010-11-01",0.8618
"504","ws52","2010-11-17",0.7938
"505","ws52","2010-12-03",0.7954
"506","ws52","2010-12-19",0.7875
"507","ws52","2011-01-01",0.7831
"508","ws52","2011-01-17",0.7105
"509","ws52","2011-02-02",0.6719
"510","ws52","2011-02-18",0.6391
"511","ws52","2011-03-06",0.5836
"512","ws52","2011-03-22",0.5621
"513","ws52","2011-04-07",0.5263
"514","ws52","2011-04-23",0.5103
"515","ws52","2011-05-09",0.4591
"516","ws52","2011-05-25",0.5315
"517","ws52","2011-06-10",0.3291
"518","ws52","2011-06-26",0.2708
"519","ws52","2011-07-12",0.6143
"520","ws52","2011-07-28",0.9334
"521","ws52","2011-08-13",0.7693
"522","ws52","2011-08-29",0.933
"523","ws52","2011-09-14",0.9092
"524","ws52","2011-09-30",0.7075
"525","ws52","2011-10-16",0.8671
"526","ws52","2011-11-01",0.8355
"527","ws52","2011-11-17",0.8042
"528","ws52","2011-12-03",0.8232
"529","ws52","2011-12-19",0.7636
"530","ws52","2012-01-01",0.7487
"531","ws52","2012-01-17",0.7072
"532","ws52","2012-02-02",0.7101
"533","ws52","2012-02-18",0.744
"534","ws52","2012-03-05",0.7092
"535","ws52","2012-03-21",0.6901
"536","ws52","2012-04-06",0.7001
"537","ws52","2012-04-22",0.6369
"538","ws52","2012-05-08",0.6141
"539","ws52","2012-05-24",0.6499
"540","ws52","2012-06-09",0.6853
"541","ws52","2012-06-25",0.8939
"542","ws52","2012-07-11",0.7778
"543","ws52","2012-07-27",0.5146
"544","ws52","2012-08-12",0.6887
"545","ws52","2012-08-28",0.8862
"546","ws52","2012-09-13",0.1751
"547","ws52","2012-09-29",0.8491
"548","ws52","2012-10-15",0.7032
"549","ws52","2012-10-31",0.856
"550","ws52","2012-11-16",0.8454
"551","ws52","2012-12-02",0.8354
"552","ws52","2012-12-18",0.8324
"553","ws53","2001-01-01",0.6031
"554","ws53","2001-01-17",0.5106
"555","ws53","2001-02-02",0.4787
"556","ws53","2001-02-18",0.5126
"557","ws53","2001-03-06",0.5189
"558","ws53","2001-03-22",0.4271
"559","ws53","2001-04-07",0.4288
"560","ws53","2001-04-23",0.4588
"561","ws53","2001-05-09",0.1113
"562","ws53","2001-05-25",0.6784
"563","ws53","2001-06-10",0.7078
"564","ws53","2001-06-26",0.7713
"565","ws53","2001-07-12",0.73
"566","ws53","2001-07-28",0.7891
"567","ws53","2001-08-13",0.7145
"568","ws53","2001-08-29",0.5651
"569","ws53","2001-09-14",0.8031
"570","ws53","2001-09-30",0.7492
"571","ws53","2001-10-16",0.6982
"572","ws53","2001-11-01",0.7433
"573","ws53","2001-11-17",0.6961
"574","ws53","2001-12-03",0.6021
"575","ws53","2001-12-19",0.5592
"576","ws53","2002-01-01",0.4926
"577","ws53","2002-01-17",0.5026
"578","ws53","2002-02-02",0.4753
"579","ws53","2002-02-18",0.4384
"580","ws53","2002-03-06",0.4937
"581","ws53","2002-03-22",0.4592
"582","ws53","2002-04-07",0.4094
"583","ws53","2002-04-23",0.511
"584","ws53","2002-05-09",0.425
"585","ws53","2002-05-25",0.1218
"586","ws53","2002-06-10",0.7
"587","ws53","2002-06-26",0.7329
"588","ws53","2002-07-12",0.7907
"589","ws53","2002-07-28",0.8192
"590","ws53","2002-08-13",0.768
"591","ws53","2002-08-29",0.625
"592","ws53","2002-09-14",0.305
"593","ws53","2002-09-30",0.8747
"594","ws53","2002-10-16",0.8474
"595","ws53","2002-11-01",0.8166
"596","ws53","2002-11-17",0.7192
"597","ws53","2002-12-03",0.6223
"598","ws53","2002-12-19",0.6419
"599","ws53","2003-01-01",0.6092
"600","ws53","2003-01-17",0.5094
"601","ws53","2003-02-02",0.4848
"602","ws53","2003-02-18",0.4406
"603","ws53","2003-03-06",0.4221
"604","ws53","2003-03-22",0.3943
"605","ws53","2003-04-07",0.4248
"606","ws53","2003-04-23",0.5085
"607","ws53","2003-05-09",0.5524
"608","ws53","2003-05-25",0.4746
"609","ws53","2003-06-10",0.4201
"610","ws53","2003-06-26",0.8011
"611","ws53","2003-07-12",0.7582
"612","ws53","2003-07-28",0.7311
"613","ws53","2003-08-13",0.8053
"614","ws53","2003-08-29",0.8452
"615","ws53","2003-09-14",0.1677
"616","ws53","2003-09-30",0.7757
"617","ws53","2003-10-16",0.7469
"618","ws53","2003-11-01",0.7732
"619","ws53","2003-11-17",0.747
"620","ws53","2003-12-03",0.7431
"621","ws53","2003-12-19",0.5956
"622","ws53","2004-01-01",0.587
"623","ws53","2004-01-17",0.5435
"624","ws53","2004-02-02",0.4952
"625","ws53","2004-02-18",0.5143
"626","ws53","2004-03-05",0.4924
"627","ws53","2004-03-21",0.5228
"628","ws53","2004-04-06",0.5539
"629","ws53","2004-04-22",0.6443
"630","ws53","2004-05-08",0.6545
"631","ws53","2004-05-24",0.7379
"632","ws53","2004-06-09",0.7765
"633","ws53","2004-06-25",0.84
"634","ws53","2004-07-11",0.7606
"635","ws53","2004-07-27",0.7908
"636","ws53","2004-08-12",0.7677
"637","ws53","2004-08-28",0.8357
"638","ws53","2004-09-13",0.3738
"639","ws53","2004-09-29",0.862
"640","ws53","2004-10-15",0.8229
"641","ws53","2004-10-31",0.8031
"642","ws53","2004-11-16",0.7013
"643","ws53","2004-12-02",0.6869
"644","ws53","2004-12-18",0.6025
"645","ws53","2005-01-01",0.5408
"646","ws53","2005-01-17",0.5205
"647","ws53","2005-02-02",0.5098
"648","ws53","2005-02-18",0.4955
"649","ws53","2005-03-06",0.4378
"650","ws53","2005-03-22",0.4427
"651","ws53","2005-04-07",0.4595
"652","ws53","2005-04-23",0.5283
"653","ws53","2005-05-09",0.6224
"654","ws53","2005-05-25",0.7757
"655","ws53","2005-06-10",0.7779
