Initials-Bdr,Location,year,mo,day,time,Band Status,Band Number,Tarsus / Condition,Band Size,Species,Sex,Age,Removed band num,GorColor,GorCount (%),Head GCnt (%),Grooves,Buffy,PriWidth / P10 Shape,Wng-TailTrait,TailCent,TailMid,TailOut,TailMeas (#),WingCd,Culmen,Pollen– Color,Fat,CPBreed,Gorget/head molt,Body Molt,Primary Molt,Secondary Molt,Tail Molt,Weight,Feather collected,Photo(s) taken,Sample Collected,Day Recap #,recap time 1,recap time 2,recap time 3,recap time 4,Comment
GS,HC,2021,7,10,7:16,R,U07526,1,,ANHU,F,1,,R,25,,,,E,E,,,N,,0,18.6,N,1,2,1,1,0,2,1,3.71,,,,,,,,,WING CHORD SKIPPED DUE TO MOLT
SMW,HC,2021,6,26,8:29,1,U07527,E,F,BCHU,F,1,,MS,,,,,U,E,,,P,,46,23.2,N,1,2,L,L,L,L,L,3.74,,,,,,,,,NC
SMW,HC,2021,6,26,9:30,1,U07528,E,F,BBLH,F,1,,,,,,,,,,,,,51,22.3,N,0,2,1,1,5,L,M,3.03,,,,,,,,,
SMW,HC,2021,6,26,9:37,1,U07529,E,F,BBLH,M,1,,B,99,,,,,,,,,,50,21.1,N,0,,1,1,L,L,L,3.09,,,,,,,,,
SMW,HC,2021,6,26,10:10,1,U07530,E,F,BCHU,F,1,,NS,,,,,U,E,,,P,,45,20.4,N,P,5,1,1,L,F,M,3.36,,,,,,,,,
SMW,HC,2021,6,26,10:20,1,U07531,F,F,BBLH,F,1,,,,,,,,,,,,,50.5,21.8,N,P,2,1,1,6,F,L,3.35,,,,,,,,,
SMW,HC,2021,6,26,10:33,1,U07532,E,F,BBLH,F,1,,,,,,,,,,,,,49.5,24.5,N,1,2,2,2,5,L,M,3.7,,,,,,,,,
SMW,HC,2021,9,21,10:42,R,U07532,1,,BBLH,F,1,,NS,,,0,N,,,,,,,50,24.6,N,1,2,1,L,7,L,R,3.69,,,,,,,,,
GS,HC,2021,7,10,7:10,1,U07533,E,F,BCHU,F,2,,LS,,,3,Y,U,R,,4X3,R,5,48,20.5,N,0,2,1,1,F,F,L,3.27,,,,,,,,,
GS,HC,2021,7,10,7:48,1,U07534,E,F,BCHU,F,1,,NS,,,,,U,E,,,P,,45,19.7,N,1,8,1,1,L,F,L,3.88,,,,,,,,,
GS,HC,2021,7,10,8:05,1,U07535,E,F,BCHU,F,1,,NS,,,,,U,E,,,P,,48,20,N,0,9,1,1,L,F,L,3.02,,,,,,,,,
GS,HC,2021,7,10,8:14,1,U07536,E,F,BCHU,F,1,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,ESCAPED
GS,HC,2021,7,10,8:25,1,U07537,F,F,BBLH,M,1,,B,80,,,,,,,,,,50,21,N,0,,1,1,6,L,M,3.12,,,,,,,,,
GS,HC,2021,7,10,8:31,1,U07538,F,F,BBLH,F,2,,,,,2,Y,,,,,,,48,20.4,N,0,2,1,1,L,L,F,3.27,,,,,,,,,
GS,HC,2021,7,10,8:45,1,U07539,E,F,BBLH,F,2,,,,,2,Y,,,,,,,50,19.5,N,0,2,1,1,F,F,L,2.98,,,,,,,,,
GS,HC,2021,7,10,8:57,1,U07540,E,F,BBLH,F,2,,,,,2,Y,,,,,,,49,20.5,N,0,2,F,F,F,L,F,3.14,,,,,,,,,
GS,HC,2021,7,10,9:01,1,U07541,E,F,BCHU,F,1,,NS,,,,,U,E,,,P,,46,21.1,N,0,2,1,1,M,F,M,3.29,,,,,,,,,
GS,HC,2021,7,10,9:51,1,U07542,E,F,BCHU,F,2,,,,,3,Y,U,R,,,R,,47,20.8,N,0,2,L,L,F,F,F,3.12,,,,,,,,,
GS,HC,2021,7,10,10:13,1,U07543,E,F,BBLH,F,1,,,,,,,,,,,,,50,20.7,N,0,2,1,1,7,F,M,3.02,,,,,,,,,
GS,HC,2021,7,10,10:26,1,U07544,E,F,BBLH,F,1,,,,,,,,,,,,,49,21.7,N,0,2,1,1,5,F,L,3.29,,,,,,,,,
SMW,HC,2021,9,21,7:24,R,U07544,1,,BBLH,F,1,,NS,,,0,N,,,,,,,50,23.5,N,0,2,L,L,8,1,M,2.93,,,,1,10:11,,,,
SMW,HC,2021,8,21,6:27,1,U07545,F,F,BCHU,F,1,,LS,,,,,U,E,,,P,,45,19.9,WH,0,2,1,L,L,F,L,3.26,,,,,,,,,MISSING 6 TAIL FEATHERS.
SMW,HC,2021,8,21,10:55,1,U07546,F,F,BCHU,F,1,,HS,,,0,N,U,E,,,P,,44,19.4,N,0,2,F,F,L,F,L,3.28,,,,,,,,,
SMW,HC,2021,9,4,6:40,1,U07547,E,F,BCHU,F,2,,LS,,,3,Y,U,R,,4X6,R,,47.5,22.5,N,P,2,2,1,F,F,L,3.2,,,,,,,,,
SMW,HC,2021,9,4,7:43,1,U07548,F,F,BBLH,M,2,,B,80,,2,N,,,,,,,50,20.9,N,0,,1,2,6,L,L,3.54,,,,,,,,,WING COVERT MOLT
SMW,HC,2021,9,4,7:53,1,U07549,E,F,BCHU,F,2,,MS,,,2,S,U,R,,4X5,R,,46.5,20,N,0,2,1,1,F,F,L,3.16,,,,,,,,,
SMW,HC,2021,9,4,8:08,1,U07550,E,F,ANHU,F,1,,R,25,,0,,E,E,,,R,,49.5,19,WUH,P,2,2,2,F,F,F,3.83,,,,,,,,,
SMW,SWRS1,2021,6,28,5:46,1,U07551,D,D,BCHU,M,1,,V,99,,,,,,,,,,42,19.4,N,0,,F,F,L,F,L,2.86,,,,,,,,,
SMW,SWRS1,2021,6,28,10:08,1,U07552,D,D,BCHU,M,1,,V,99,,,,,,,,,,41,21.3,N,0,,F,F,L,L,L,2.72,,,,,,,,,
SMW,SWRS1,2021,6,28,5:39,1,U07605,G,G,BCHU,F,1,,LS,,,,,,U,E,,,P,46.5,20.9,N,P,2,1,L,L,F,L,3.23,,,,,,,,,NECTAR IN CROP
SMW,SWRS1,2021,6,28,5:50,1,U07606,G,G,BCHU,F,1,,LS,,,,,,U,E,,,P,46.5,20.3,N,0,9,F,F,F,F,L,3.79,,,,,,,,,
SMW,SWRS1,2021,6,28,5:54,1,U07607,G,G,BCHU,F,1,,NS,,,,,,U,E,,,P,47.5,20.7,N,0,2,F,F,F,F,L,3.17,,,,,,,,,
SMW,SWRS1,2021,6,28,6:05,1,U07608,G,G,BCHU,F,1,,NS,,,,,,U,E,,,P,46.5,21.4,N,0,8,F,F,F,F,L,3.65,,,,,,,,,
SMW,SWRS1,2021,6,28,6:20,1,U07609,G,G,BCHU,F,1,,NS,,,,,,U,E,,,P,46,20.9,N,0,7,L,F,F,F,L,3.61,,,,,,,,,
SMW,SWRS1,2021,6,28,6:29,1,U07610,G,G,BCHU,F,2,,NS,,,3,Y,,U,E,,3X3,R,46,22.2,N,P,2,F,1,F,F,L,3.14,,,,,,,,,
SMW,SWRS1,2021,6,28,10:30,4,U07611,,,BADE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMW,SWRS1,2021,6,28,6:39,1,U07612,G,G,BCHU,F,1,,NS,,,,,,U,E,,,P,46,22.7,N,1,7,L,F,L,L,L,3.52,,,,,,,,,
SMW,SWRS1,2021,6,28,7:45,1,U07613,G,G,BCHU,F,1,,NS,,,,,,U,E,,,P,46,21.8,N,0,5,M,F,F,F,L,3.47,,,,,,,,,TWO DARK FEATHERS ON THROAT
SMW,SWRS1,2021,6,28,7:49,1,U07614,G,G,BCHU,F,1,,LS,,,,,,U,E,,,P,46,21.3,N,1,5,L,F,F,F,L,3.5,,,,,,,,,
SMW,SWRS1,2021,6,28,9:11,1,U07615,G,G,BCHU,F,1,,NS,,,,,,U,E,,,P,46.5,21.1,N,P,7,1,F,F,F,L,4.17,,,,,,,,,"WEIGHT DOUBLE CHECKED, SURPRISINGLY HEAVY"
ML,SWRS1,2021,5,31,9:53,1,U07651,K,N,BTMG,M,1,,B,99,,,,,,,,,,74.5,24.1,N,0,,1,F,F,F,F,,,,,,,,,,ESCAPED
SMW,SWRS1,2021,6,28,6:00,1,U07671,J,N,RIHU,F,1,,,,,,,,,,G,,,67,30.2,N,0,5,F,F,3,F,M,7.24,,,,,,,,,SPIDER WEBBING ON BEAK
SMW,SWRS1,2021,6,28,5:43,1,U07701,F,F,BCHU,F,1,,NS,,,,,,U,E,,,P,46.5,21.9,N,0,2,1,F,F,F,L,3.3,,,,,,,,,
SMW,SWRS1,2021,6,28,6:09,1,U07702,F,F,BCHU,F,1,,NS,,,,,,U,E,,,P,45.5,21.4,N,0,8,L,F,F,F,M,3.74,,,,,,,,,
SMW,SWRS1,2021,6,28,6:12,1,U07703,F,F,BCHU,F,1,,LS,,,,,,U,E,,,P,45,22,N,0,7,1,F,F,F,L,3.3,,,,,,,,,
SMW,SWRS1,2021,6,28,6:16,1,U07704,F,F,BCHU,F,1,,NS,,,,,,U,E,,,P,46,21.5,N,P,8,1,1,F,F,L,3.87,,,,1,6:52,,,,
SMW,SWRS1,2021,6,28,6:23,1,U07705,F,F,BCHU,F,1,,LS,,,,,,U,E,,,P,45.5,22.6,N,0,2,2,2,F,F,L,3.31,,,,,,,,,BUMP ON BEAK 10MM FROM BASE
SMW,SWRS1,2021,6,28,7:09,1,U07706,F,F,BCHU,F,1,,NS,,,,,,U,E,,,P,46,21.8,N,0,5,1,L,F,F,L,3.35,,,,,,,,,
SMW,SWRS1,2021,6,28,8:05,1,U07707,F,F,BCHU,F,1,,MS,,,,,,U,E,,,P,46.5,23.4,N,T,5,F,1,F,F,L,3.34,,,,,,,,,SPIDER WEB ON WING. MULTIPLE BUMPS ON BEAK. NECTAR IN CROP. BEAK LESION HAS A SMALL OPENING ON LUMP.
