gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
2787629348	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS824832622	Animalia	Chordata	Aves	Apodiformes	Trochilidae	Selasphorus	Selasphorus platycercus		SPECIES	Selasphorus platycercus (Swainson, 1827)	Selasphorus platycercus		MX	PN Volcán Nevado de Colima--Carretera Volcán de Fuego	Jalisco	PRESENT	3	e2e717bf-551a-4917-bdc9-4fa0f342c530	19.53381	-103.54038							2019-11-05T00:00:00	5	11	2019	2476844	2476844	HUMAN_OBSERVATION	CLO	EBIRD	OBS824832622				CC_BY_4_0		obsr22684			2023-01-24T15:19:14.592Z		CONTINENT_DERIVED_FROM_COORDINATES
2786958395	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS831937353	Animalia	Chordata	Aves	Apodiformes	Trochilidae	Selasphorus	Selasphorus platycercus		SPECIES	Selasphorus platycercus (Swainson, 1827)	Selasphorus platycercus		MX	Parque Ecoturistico El Tecolote	Jalisco	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	19.916037	-102.993515							2019-11-22T00:00:00	22	11	2019	2476844	2476844	HUMAN_OBSERVATION	CLO	EBIRD	OBS831937353				CC_BY_4_0		obsr1308747			2023-01-24T15:18:08.649Z		CONTINENT_DERIVED_FROM_COORDINATES
2786677624	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS914519085	Animalia	Chordata	Aves	Apodiformes	Trochilidae	Selasphorus	Selasphorus platycercus		SPECIES	Selasphorus platycercus (Swainson, 1827)	Selasphorus platycercus		MX	Reserva de La Chara Pinta (Tufted Jay Preserve)	Sinaloa	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	23.58985	-105.869644							2005-01-05T00:00:00	5	1	2005	2476844	2476844	HUMAN_OBSERVATION	CLO	EBIRD	OBS914519085				CC_BY_4_0		obsr110126			2023-01-24T15:28:16.969Z		CONTINENT_DERIVED_FROM_COORDINATES
2785756500	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS934472679	Animalia	Chordata	Aves	Apodiformes	Trochilidae	Selasphorus	Selasphorus platycercus		SPECIES	Selasphorus platycercus (Swainson, 1827)	Selasphorus platycercus		MX	Floripondio road, Volcan de Nieve, Jalisco	Jalisco	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	19.6	-103.7							2002-03-25T00:00:00	25	3	2002	2476844	2476844	HUMAN_OBSERVATION	CLO	EBIRD	OBS934472679				CC_BY_4_0		obsr429294			2023-01-24T15:04:31.676Z		CONTINENT_DERIVED_FROM_COORDINATES
2785495060	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS857035086	Animalia	Chordata	Aves	Apodiformes	Trochilidae	Selasphorus	Selasphorus platycercus		SPECIES	Selasphorus platycercus (Swainson, 1827)	Selasphorus platycercus		MX	MX-OAX-Cerro San Felipe--Cabeza de Vaca	Oaxaca	PRESENT	3	e2e717bf-551a-4917-bdc9-4fa0f342c530	17.19049	-96.61957							2019-12-23T00:00:00	23	12	2019	2476844	2476844	HUMAN_OBSERVATION	CLO	EBIRD	OBS857035086				CC_BY_4_0		obsr156053			2023-01-24T15:26:13.009Z		CONTINENT_DERIVED_FROM_COORDINATES
2785183084	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS842581384	Animalia	Chordata	Aves	Apodiformes	Trochilidae	Selasphorus	Selasphorus platycercus		SPECIES	Selasphorus platycercus (Swainson, 1827)	Selasphorus platycercus		MX	Camino Ejido Triquillo a Pino Real	Michoacán	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	19.6379	-101.01094							2019-12-26T00:00:00	26	12	2019	2476844	2476844	HUMAN_OBSERVATION	CLO	EBIRD	OBS842581384				CC_BY_4_0		obsr206492			2023-01-24T15:26:14.708Z		CONTINENT_DERIVED_FROM_COORDINATES
2784142097	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS829169933	Animalia	Chordata	Aves	Apodiformes	Trochilidae	Selasphorus	Selasphorus platycercus		SPECIES	Selasphorus platycercus (Swainson, 1827)	Selasphorus platycercus		MX	Antigua Vía del Tren (Coajomulco - San Juan Tlacotenco), Morelos, MX (19.032, -99.186)	Morelos	PRESENT	3	e2e717bf-551a-4917-bdc9-4fa0f342c530	19.03179	-99.18601							2019-11-17T00:00:00	17	11	2019	2476844	2476844	HUMAN_OBSERVATION	CLO	EBIRD	OBS829169933				CC_BY_4_0		obsr446177			2023-01-24T15:25:47.835Z		CONTINENT_DERIVED_FROM_COORDINATES
2783682937	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS726278468	Animalia	Chordata	Aves	Apodiformes	Trochilidae	Selasphorus	Selasphorus platycercus		SPECIES	Selasphorus platycercus (Swainson, 1827)	Selasphorus platycercus		MX	Las Maravillas	Ciudad de México	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	19.1484	-99.166534							2019-03-18T00:00:00	18	3	2019	2476844	2476844	HUMAN_OBSERVATION	CLO	EBIRD	OBS726278468				CC_BY_4_0		obsr1177922			2023-01-24T15:23:53.815Z		CONTINENT_DERIVED_FROM_COORDINATES
2783621453	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS830558053	Animalia	Chordata	Aves	Apodiformes	Trochilidae	Selasphorus	Selasphorus platycercus		SPECIES	Selasphorus platycercus (Swainson, 1827)	Selasphorus platycercus		MX	Parque Ecológico de la Ciudad de México (A), MX (19.262, -99.203)	Ciudad de México	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	19.262226	-99.20285							2019-11-22T00:00:00	22	11	2019	2476844	2476844	HUMAN_OBSERVATION	CLO	EBIRD	OBS830558053				CC_BY_4_0		obsr331950			2023-01-24T15:08:51.748Z		CONTINENT_DERIVED_FROM_COORDINATES
2783265345	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS837413805	Animalia	Chordata	Aves	Apodiformes	Trochilidae	Selasphorus	Selasphorus platycercus		SPECIES	Selasphorus platycercus (Swainson, 1827)	Selasphorus platycercus		MX	Camino Coajomulco-San Juan Tlacotenco - mor	Morelos	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	19.023428	-99.14803							2019-11-26T00:00:00	26	11	2019	2476844	2476844	HUMAN_OBSERVATION	CLO	EBIRD	OBS837413805				CC_BY_4_0		obsr102247			2023-01-24T15:24:45.023Z		CONTINENT_DERIVED_FROM_COORDINATES
