Initials.Bdr,latitude,longitude,elevation,region,Location,session,week,DATE,year,mo,day,time,Band.Status,BAND,0,0,TArsus.LEG,Size.Material,Species,SEX,AGE,Old band number,GPORCOlOR,GorCount (%),Head GCnt (%),Grooves,Buffy,PriWidth,Wng-TailTrait,TailCent,TailMid,TailOut,TailMeas (#),WingCd,Culmen,Pollen– Color,Fat fie1d data,CPBreed,Gorget/head molt,Body Molt,PriMary Molt,Secondary Molt,Tail Molt,Weight,Pollen Collected,Color Mark,Feather collected,Day Recap #,recap time 1,recap time 2,recap time 3,recap time 4,Comment
FTE,,,,CO,RMNP,6,21,5/14/2009,2009,5,14,,1,3100-41581,0,0,,,BTLH,M,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FTE,,,,CO,RMNP,6,21,5/15/2009,2009,5,15,,R,3100-41581,1,1,,,BTLH,M,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FTE,,,,CO,RMNP,6,21,5/15/2009,2009,5,15,,R,3100-41581,1,1,,,BTLH,M,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FTE,,,,CO,RMNP,6,21,5/14/2009,2009,5,14,,1,3100-41582,0,0,,,BTLH,M,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FTE,,,,CO,RMNP,8,25,6/10/2010,2010,6,10,,R,3100-41582,1,1,,,BTLH,M,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FTE,,,,CO,RMNP,6,21,5/14/2009,2009,5,14,,1,3100-41583,0,0,,,BTLH,M,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FTE,,,,CO,RMNP,6,21,5/14/2009,2009,5,14,,R,3100-41583,1,1,,,BTLH,M,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FTE,,,,CO,RMNP,6,21,5/17/2009,2009,5,17,,R,3100-41583,1,1,,,BTLH,M,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FTE,,,,CO,RMNP,6,21,5/14/2009,2009,5,14,,1,3100-41584,0,0,,,BTLH,M,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FTE,,,,CO,RMNP,6,21,5/15/2009,2009,5,15,,R,3100-41584,1,1,,,BTLH,M,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FTE,,,,CO,RMNP,6,21,5/16/2010,2010,5,16,,R,3100-41584,1,1,,,BTLH,M,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FTE,,,,CO,RMNP,6,21,5/17/2010,2010,5,17,,R,3100-41584,1,1,,,BTLH,M,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FTE,,,,CO,RMNP,6,21,5/21/2010,2010,5,21,,R,3100-41584,1,1,,,BTLH,M,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FTE,,,,CO,RMNP,7,23,5/23/2010,2010,5,23,,R,3100-41584,1,1,,,BTLH,M,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FTE,,,,CO,RMNP,7,23,5/23/2010,2010,5,23,,R,3100-41584,1,1,,,BTLH,M,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FTE,,,,CO,RMNP,8,25,6/17/2010,2010,6,17,,R,3100-41584,1,1,,,BTLH,M,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FTE,,,,CO,RMNP,6,21,5/14/2009,2009,5,14,,1,3100-41585,0,0,,,BTLH,M,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FTE,,,,CO,RMNP,6,21,5/17/2009,2009,5,17,,R,3100-41585,1,1,,,BTLH,M,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FTE,,,,CO,RMNP,9,27,6/26/2009,2009,6,26,,R,3100-41585,1,1,,,BTLH,M,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FTE,,,,CO,RMNP,6,21,5/15/2009,2009,5,15,,1,3100-41586,0,0,,,BTLH,M,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FTE,,,,CO,RMNP,6,21,5/15/2009,2009,5,15,,R,3100-41586,1,1,,,BTLH,M,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FTE,,,,CO,RMNP,6,21,5/17/2009,2009,5,17,,R,3100-41586,1,1,,,BTLH,M,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
