band,original_band,other_bands,event_type,event_date,event_day,event_month,event_year,iso_country,iso_subdivision,lat_dd,lon_dd,coordinates_precision_code,band_type_code,species_name,species_id,bird_status,extra_info_code,age_code,sex_code,permit,band_status_code,how_obtained_code,who_obtained_code,reporting_method,present_condition,min_age_at_enc,record_source,record_id,species_scientific_name
B30933122433,B93933418578,B93933418578; ,B,06/12/2007,12,06,2007,US,US-CO,40.35083,-105.58861,0,11,Broad-tailed Hummingbird,4320,3,00,1,5,P2722447,1,,,,,,B,-36980395,Selasphorus platycercus
B93933418578,B93933418578,B30933122433; ,E,06/12/2007,12,06,2007,US,US-CO,40.35833,-105.59167,1,11,,4320,,,,,,,66,23,14,08,3.00,E,-12423993,Selasphorus platycercus
B93933440954,B93933440954,B10933123561; ,B,06/06/2006,06,06,2006,US,US-CO,40.41667,-105.58333,10,11,Broad-tailed Hummingbird,4320,3,00,1,5,P3723353,0,,,,,,B,-36983102,Selasphorus platycercus
B93933440954,B93933440954,B10933123561; ,E,05/16/2007,16,05,2007,US,US-CO,40.35833,-105.59167,1,11,,4320,,,,,,,66,23,14,08,1.92,E,-12423994,Selasphorus platycercus
B10933123561,B93933440954,B93933440954; ,B,05/16/2007,16,05,2007,US,US-CO,40.35083,-105.58861,0,11,Broad-tailed Hummingbird,4320,3,00,1,5,P2722447,1,,,,,,B,-63385776,Selasphorus platycercus
B94833292454,B94833292454,,B,08/08/2014,08,08,2014,US,US-CO,38.95500,-106.98694,0,11,Broad-tailed Hummingbird,4320,3,00,1,4,P3735013,0,,,,,0.00,B,-14643127,Selasphorus platycercus
B94833292454,B94833292454,,E,06/07/2016,07,06,2016,US,US-CO,38.95500,-106.98694,0,11,Broad-tailed Hummingbird,4320,3,75,1,4,P3735013,,97,23,14,07,3.00,R,-31813211,Selasphorus platycercus
B94833292454,B94833292454,,E,06/26/2016,26,06,2016,US,US-CO,38.95500,-106.98694,0,11,Broad-tailed Hummingbird,4320,3,00,1,4,P3735013,,97,23,14,07,3.00,R,-31832969,Selasphorus platycercus
B94833292693,B94833292693,,B,06/06/2016,06,06,2016,US,US-CO,38.95500,-106.98694,0,11,Broad-tailed Hummingbird,4320,3,00,1,4,P3735013,0,,,,,0.00,B,-17914606,Selasphorus platycercus
B94833292693,B94833292693,,E,07/22/2016,22,07,2016,US,US-CO,38.95500,-106.98694,0,11,Broad-tailed Hummingbird,4320,3,18,1,4,P3735013,,97,23,14,07,1.08,R,-31967386,Selasphorus platycercus
