"band","band_status","year","sex","recap_num","obsdate","site","band_year","band_age","band_site","breeding","month","day","location"
"5000-96915","1",2004,"F","r00",2004-08-20,"MP1",2004,"AHY","MP1",NA,8,20,"east"
"5000-96916","1",2004,"F","r00",2004-08-20,"MP1",2004,"AHY","MP1",NA,8,20,"east"
"5000-96918","1",2004,"F","r00",2004-08-20,"MP1",2004,"AHY","MP1",NA,8,20,"east"
"5000-96920","1",2004,"M","r00",2004-08-20,"MP1",2004,"HY","MP1",NA,8,20,"east"
"5000-96921","1",2004,"F","r00",2004-08-20,"MP1",2004,"HY","MP1",NA,8,20,"east"
"5000-96922","1",2004,"F","r00",2004-08-20,"MP1",2004,"AHY","MP1",NA,8,20,"east"
"5000-96922","R",2005,"F","r01",2005-06-05,"MP1",2004,"AHY","MP1","E6",6,5,"east"
"5000-96922","R",2008,"F","r01",2008-08-02,"HPK1",2004,"AHY","MP1",NA,8,2,"east"
"5000-96923","1",2004,"M","r00",2004-08-20,"MP1",2004,"HY","MP1",NA,8,20,"east"
"5000-96924","1",2004,"F","r00",2004-08-21,"MCGC",2004,"HY","MCGC",NA,8,21,"east"
"5000-96925","1",2004,"F","r00",2004-08-21,"MCGC",2004,"AHY","MCGC",NA,8,21,"east"
"5000-96926","1",2004,"M","r00",2004-08-21,"MCGC",2004,"HY","MCGC",NA,8,21,"east"
"5000-96927","1",2004,"F","r00",2004-08-21,"MCGC",2004,"HY","MCGC",NA,8,21,"east"
"5000-96928","1",2004,"F","r00",2004-08-21,"MCGC",2004,"HY","MCGC",NA,8,21,"east"
"5000-96929","1",2004,"M","r00",2004-08-21,"MP1",2004,"HY","MP1",NA,8,21,"east"
"5000-96930","1",2004,"F","r00",2004-08-21,"MP1",2004,"AHY","MP1",NA,8,21,"east"
"5000-96930","R",2005,"F","r01",2005-05-25,"MP1",2004,"AHY","MP1",NA,5,25,"east"
"5000-96930","R",2005,"F","r02",2005-06-02,"MP1",2004,"AHY","MP1","E6",6,2,"east"
"5000-96932","1",2004,"F","r00",2004-08-21,"MP1",2004,"AHY","MP1",NA,8,21,"east"
"5000-96933","1",2004,"M","r00",2004-08-21,"MP1",2004,"HY","MP1",NA,8,21,"east"
"5000-96934","1",2004,"M","r00",2004-08-21,"MP1",2004,"HY","MP1",NA,8,21,"east"
"5000-96935","1",2004,"F","r00",2004-08-21,"MP1",2004,"AHY","MP1",NA,8,21,"east"
"5000-96936","1",2004,"F","r00",2004-08-21,"MP1",2004,"HY","MP1",NA,8,21,"east"
