"","Protocol","CMR","Bander","Location","Date","Year","Month","Day","Time","Old.Band.Status","Band.Status","Band.Number","Leg.Condition","Tarsus.Measurement","Band.Size","Species","Sex","Age","Replaced.Band.Number","Gorget.Color","Gorget.Count","Head.Count","Grooves","Buffy","Bill.Trait","Green.on.back","Primary.Width.P.10.Shape","Wing.Tail.Trait","Tail.Center","Tail.Middle","Tail.Outer","Tail.Measurement","Wing.Chord","Culmen","Tail","Pollen.Color..Location","Fat","CP.Breed","Head.Gorget","Body","Primaries","Secondaries","Tail.1","Weight","Photo.Taken","Sample.Type","Day.Recaptures","Recapture.Time.1","Recapture.Time.2","Recapture.Time.3","Recapture.Time.4","Comment"
"17","HMN","Y","ML","SWRS",2022-04-23,2022,4,23,"7:16","1","1","U07794",NA,"F","G","BCHU","F","1",NA,"NS",NA,NA,NA,NA,NA,NA,"U","E",NA,NA,"P",NA,"47.5","20.4",NA,"PH","0","2","F","F","F","FALSE","F","3.3",NA,NA,NA,NA,NA,NA,NA,NA
"18","HMN","Y","ML","SWRS",2022-04-23,2022,4,23,"7:18","1","1","U09082",NA,"D","D","BCHU","M","1",NA,"V","99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"41","19.2",NA,"PH","0",NA,"F","F","F","FALSE","F","2.86",NA,NA,NA,NA,NA,NA,NA,NA
"19","HMN","Y","ML","SWRS",2022-04-23,2022,4,23,"7:21","R","R","K39236","1",NA,NA,"BCHU","F","1",NA,"HS",NA,NA,NA,NA,NA,NA,"U","E",NA,NA,"P",NA,"45.5","20.1",NA,"N","T","5","F","F","F","FALSE","F","4.08",NA,NA,NA,NA,NA,NA,NA,NA
"20","HMN","Y","ML","SWRS",2022-04-23,2022,4,23,"7:27","1","1","U09083",NA,"D","D","BCHU","M","1",NA,"V","99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"42.5","20.3",NA,"YU","0",NA,"F","F","F","FALSE","F","3.03",NA,NA,NA,NA,NA,NA,NA,NA
"21","HMN","Y","ML","SWRS",2022-04-23,2022,4,23,"7:31","1","1","U06240",NA,"D","E","BBLH","M","1",NA,"B","99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"49","20.1",NA,"PH","0",NA,"F","F","F","FALSE","F","3.03",NA,NA,NA,NA,NA,NA,NA,NA
"22","HMN","Y","ML","SWRS",2022-04-23,2022,4,23,"7:35","1","1","U09084",NA,"D","D","BCHU","M","1",NA,"V","99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"41.5","17.8",NA,"WN","0",NA,"F","F","F","FALSE","F","2.91",NA,NA,NA,NA,NA,NA,NA,NA
"23","HMN","Y","ML","SWRS",2022-04-23,2022,4,23,"7:38","1","1","U09085",NA,"D","D","BCHU","M","1",NA,"V","99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"42","19",NA,"N","0",NA,"F","F","F","FALSE","F","2.76",NA,NA,NA,NA,NA,NA,NA,"SCABBY SKIN ON LEG BUT OK"
"24","HMN","Y","ML","SWRS",2022-04-23,2022,4,23,"7:41","1","1","U07795",NA,"F","G","BCHU","F","1",NA,"HS",NA,NA,NA,NA,NA,NA,"U","E",NA,NA,"P",NA,"46","21.4",NA,"N","T","5","1","1","F","FALSE","F","3.41",NA,NA,NA,NA,NA,NA,NA,NA
"25","HMN","Y","ML","SWRS",2022-04-23,2022,4,23,"7:44","1","1","U07738",NA,"E","F","BCHU","F","1",NA,"NS",NA,NA,NA,NA,NA,NA,"U","E",NA,NA,"P",NA,"46.5","20.7",NA,"N","T","7","L","F","F","FALSE","F","3.46",NA,NA,NA,NA,NA,NA,NA,NA
"26","HMN","Y","ML","SWRS",2022-04-23,2022,4,23,"7:47","1","1","U07796",NA,"F","G","BCHU","F","1",NA,"LS",NA,NA,NA,NA,NA,NA,"U","E",NA,NA,"P",NA,"47","21.2",NA,"N","T","2","L","F","F","FALSE","F","3.5","N",NA,"1","9:12",NA,NA,NA,NA
