"","gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","latitude","longitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue","elevation_geonames"
"1",986118215,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD_CAN:OBS139406532","Animalia","Chordata","Aves","Apodiformes","Trochilidae","Selasphorus","Selasphorus platycercus","","SPECIES","Selasphorus platycercus (Swainson, 1827)","Selasphorus platycercus","","MX","Reserva de la Biosfera Mariposa Monaraca (México)","Estado de México","PRESENT",2,"e2e717bf-551a-4917-bdc9-4fa0f342c530",19.572666,-100.21385,NA,NA,NA,NA,NA,NA,"2/15/2012",15,2,2012,2476844,2476844,"HUMAN_OBSERVATION","CLO","EBIRD_CAN","OBS139406532","","",NA,"CC_BY_4_0","","obsr135493",NA,"","05:47.8","","CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED",3308
"2",984125640,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS86833586","Animalia","Chordata","Aves","Apodiformes","Trochilidae","Selasphorus","Selasphorus platycercus","","SPECIES","Selasphorus platycercus (Swainson, 1827)","Selasphorus platycercus","","MX","Chapala","Jalisco","PRESENT",NA,"e2e717bf-551a-4917-bdc9-4fa0f342c530",20.29,-103.18917,NA,NA,NA,NA,NA,NA,"3/3/2010",3,3,2010,2476844,2476844,"HUMAN_OBSERVATION","CLO","EBIRD","OBS86833586","","",NA,"CC_BY_4_0","","obsr206753",NA,"","44:29.3","","CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED",1532
"3",983124034,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS66762927","Animalia","Chordata","Aves","Apodiformes","Trochilidae","Selasphorus","Selasphorus platycercus","","SPECIES","Selasphorus platycercus (Swainson, 1827)","Selasphorus platycercus","","MX","Reserva de la Biosfera Sierra de Manantlán (Área General)","Jalisco","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",19.5321,-104.1414,NA,NA,NA,NA,NA,NA,"2/8/2009",8,2,2009,2476844,2476844,"HUMAN_OBSERVATION","CLO","EBIRD","OBS66762927","","",NA,"CC_BY_4_0","","obsr51707",NA,"","44:08.3","","CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED",2016
"4",980598276,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS249490099","Animalia","Chordata","Aves","Apodiformes","Trochilidae","Selasphorus","Selasphorus platycercus","","SPECIES","Selasphorus platycercus (Swainson, 1827)","Selasphorus platycercus","","MX","Camino El Polvorín","Estado de México","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",19.065613,-99.9829,NA,NA,NA,NA,NA,NA,"12/30/2003",30,12,2003,2476844,2476844,"HUMAN_OBSERVATION","CLO","EBIRD","OBS249490099","","",NA,"CC_BY_4_0","","obsr123284",NA,"","05:28.4","","CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED",2111
"5",980585237,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS249490256","Animalia","Chordata","Aves","Apodiformes","Trochilidae","Selasphorus","Selasphorus platycercus","","SPECIES","Selasphorus platycercus (Swainson, 1827)","Selasphorus platycercus","","MX","Carretera Ciudad de México-Cuernavaca--La Cima I","Ciudad de México","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",19.111717,-99.194824,NA,NA,NA,NA,NA,NA,"12/28/2003",28,12,2003,2476844,2476844,"HUMAN_OBSERVATION","CLO","EBIRD","OBS249490256","","",NA,"CC_BY_4_0","","obsr123284",NA,"","25:31.0","","CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED",3130
"6",980561623,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS249046164","Animalia","Chordata","Aves","Apodiformes","Trochilidae","Selasphorus","Selasphorus platycercus","","SPECIES","Selasphorus platycercus (Swainson, 1827)","Selasphorus platycercus","","MX","PN Volcán Nevado de Colima (Jalisco)","Jalisco","PRESENT",NA,"e2e717bf-551a-4917-bdc9-4fa0f342c530",19.53804,-103.60478,NA,NA,NA,NA,NA,NA,"1/23/1994",23,1,1994,2476844,2476844,"HUMAN_OBSERVATION","CLO","EBIRD","OBS249046164","","",NA,"CC_BY_4_0","","obsr242215",NA,"","26:14.3","","CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED",3283
"7",979870808,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS241317767","Animalia","Chordata","Aves","Apodiformes","Trochilidae","Selasphorus","Selasphorus platycercus","","SPECIES","Selasphorus platycercus (Swainson, 1827)","Selasphorus platycercus","","MX","Camino La Cumbre--Este","Oaxaca","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",17.163157,-96.594894,NA,NA,NA,NA,NA,NA,"12/25/1993",25,12,1993,2476844,2476844,"HUMAN_OBSERVATION","CLO","EBIRD","OBS241317767","","",NA,"CC_BY_4_0","","obsr161964",NA,"","51:05.3","","CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED",2749
"8",978654877,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS235362676","Animalia","Chordata","Aves","Apodiformes","Trochilidae","Selasphorus","Selasphorus platycercus","","SPECIES","Selasphorus platycercus (Swainson, 1827)","Selasphorus platycercus","","MX","PN Volcán Nevado de Colima--Entre los Volcanes","Jalisco","PRESENT",7,"e2e717bf-551a-4917-bdc9-4fa0f342c530",19.531136,-103.6109,NA,NA,NA,NA,NA,NA,"1/26/2011",26,1,2011,2476844,2476844,"HUMAN_OBSERVATION","CLO","EBIRD","OBS235362676","","",NA,"CC_BY_4_0","","obsr101928",NA,"","46:09.9","","CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED",3252
"9",977735569,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS227404206","Animalia","Chordata","Aves","Apodiformes","Trochilidae","Selasphorus","Selasphorus platycercus","","SPECIES","Selasphorus platycercus (Swainson, 1827)","Selasphorus platycercus","","MX","MX - Michoacan - Cerro Burro","Michoacán","PRESENT",NA,"e2e717bf-551a-4917-bdc9-4fa0f342c530",19.435963,-101.511444,NA,NA,NA,NA,NA,NA,"3/12/2007",12,3,2007,2476844,2476844,"HUMAN_OBSERVATION","CLO","EBIRD","OBS227404206","","",NA,"CC_BY_4_0","","obsr138377",NA,"","45:17.2","","CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED",3246
"10",977727485,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS227399487","Animalia","Chordata","Aves","Apodiformes","Trochilidae","Selasphorus","Selasphorus platycercus","","SPECIES","Selasphorus platycercus (Swainson, 1827)","Selasphorus platycercus","","MX","MX - MOR - Parque Nacional Tepozteco - cerros de Sto. Domingo de Ocotitlan","Morelos","PRESENT",NA,"e2e717bf-551a-4917-bdc9-4fa0f342c530",18.992157,-99.07053,NA,NA,NA,NA,NA,NA,"3/2/2007",2,3,2007,2476844,2476844,"HUMAN_OBSERVATION","CLO","EBIRD","OBS227399487","","",NA,"CC_BY_4_0","","obsr138377",NA,"","45:35.0","","CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED",1979
