"","Protocol","CMR","Bander","Location","Date","Year","Month","Day","Time","Old.Band.Status","Band.Status","Band.Number","Leg.Condition","Tarsus.Measurement","Band.Size","Species","Sex","Age","Replaced.Band.Number","Gorget.Color","Gorget.Count","Head.Count","Grooves","Buffy","Bill.Trait","Green.on.back","Primary.Width.P.10.Shape","Wing.Tail.Trait","Tail.Center","Tail.Middle","Tail.Outer","Tail.Measurement","Wing.Chord","Culmen","Tail","Pollen.Color..Location","Fat","CP.Breed","Head.Gorget","Body","Primaries","Secondaries","Tail.1","Weight","Photo.Taken","Sample.Type","Day.Recaptures","Recapture.Time.1","Recapture.Time.2","Recapture.Time.3","Recapture.Time.4","Comment"
"72","HMN","Y","SMW","HC",NA,NA,NA,NA,NA,"1","1","U09149",NA,NA,"D","BCHU","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MISSING DATA DUE TO GABY DELETING IT FROM KOBO SERVER"
"73","HMN","Y","SMW","HC",NA,NA,NA,NA,"9:07","1","1","U09150",NA,"D","D","BCHU","M","1",NA,"V","99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"42","19.7",NA,"N","0",NA,"F","F","F","FALSE","F","2.92",NA,NA,NA,NA,NA,NA,NA,NA
"74","HMN","Y","SMW","HC",NA,NA,NA,NA,"9:19","1","1","U09151",NA,"C","D","BCHU","M","1",NA,"V","99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"42.5","18.5",NA,"N","P",NA,"F","F","F","FALSE","F","2.83",NA,NA,NA,NA,NA,NA,NA,NA
"75","HMN","Y","SMW","HC",NA,NA,NA,NA,"9:57","1","1","U09152",NA,"C","D","BCHU","M","1",NA,"V","99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"43","19.3",NA,"YU","0",NA,"1","F","F","FALSE","F","3.37",NA,NA,NA,NA,NA,NA,NA,NA
"76","HMN","Y","SMW","HC",NA,NA,NA,NA,"10:00","1","1","U09153",NA,"D","D","BCHU","M","1",NA,"V","99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"43","19.9",NA,"PH","T",NA,"1","F","F","FALSE","F","3.03",NA,NA,NA,NA,NA,NA,NA,NA
"77","HMN","Y","SMW","HC",NA,NA,NA,NA,"10:03","1","1","U09154",NA,"D","D","BCHU","M","1",NA,"V","99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"43","17.5",NA,"YNL","1",NA,"F","F","F","FALSE","F","3.24",NA,NA,NA,NA,NA,NA,NA,NA
"78","HMN","Y","SMW","HC",NA,NA,NA,NA,"7:32","R","R","U09242",NA,NA,NA,"BBLH","F","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","9:07",NA,NA,NA,NA
"79","HMN","Y","SMW","HC",NA,NA,NA,NA,"7:46","R","R","U09247",NA,NA,NA,"BBLH","F","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","7:59",NA,NA,NA,"NECTAR IN CROP"
"80","HMN","Y","SMW","HC",NA,NA,NA,NA,"7:02","1","1","U09248",NA,NA,"F","BBLH","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","8:01",NA,NA,NA,"SPIDER WEBBING ON WING"
"81","HMN","Y","SMW","HC",NA,NA,NA,NA,"6:44","1","1","U09271",NA,NA,"F","BBLH","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","7:21",NA,NA,NA,NA
"82","HMN","Y","SMW","HC",NA,NA,NA,NA,"7:04","1","1","U09272",NA,NA,"F","BBLH","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","7:42","8:59",NA,NA,NA
"83","HMN","Y","SMW","HC",NA,NA,NA,NA,"7:33","1","1","U09273",NA,NA,"F","ANHU","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PARTIAL WHITE WING FEATHER"
"84","HMN","Y","SMW","HC",NA,NA,NA,NA,"8:37","1","1","U09274",NA,"E","F","BBLH","F","1",NA,NA,NA,NA,NA,NA,"R",NA,NA,NA,NA,NA,NA,NA,"48.5","22.7",NA,"GX","0","5","1","F","F","FALSE","L","3.16",NA,NA,NA,NA,NA,NA,NA,NA
"85","HMN","Y","SMW","HC",NA,NA,NA,NA,"8:41","1","1","U09275",NA,"E","F","BCHU","F","1",NA,"LS",NA,NA,NA,NA,NA,NA,"U","E",NA,NA,"P",NA,"46","22.8",NA,"PH","0","8","F","F","F","FALSE","L","3.66",NA,NA,NA,NA,NA,NA,NA,NA
"86","HMN","Y","SMW","HC",NA,NA,NA,NA,"8:54","1","1","U09276",NA,"F","F","BCHU","F","1",NA,"LS",NA,NA,NA,NA,NA,NA,"U","E",NA,NA,"P",NA,"45.5","20.6",NA,"N","0","5","F","F","F","FALSE","L","3.36",NA,NA,NA,NA,NA,NA,NA,NA
"87","HMN","Y","SMW","HC",NA,NA,NA,NA,"9:38","1","1","U09277",NA,"F","F","ANHU","F","1",NA,"R","4",NA,NA,NA,NA,NA,"E","E",NA,NA,"R",NA,"48","18.8",NA,"N","1","2","F","F","F","FALSE","L","3.63",NA,NA,NA,NA,NA,NA,NA,NA
"88","HMN","Y","SMW","HC",NA,NA,NA,NA,"10:12","1","1","U09278",NA,"E","F","BBLH","M","1",NA,"B","99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"51.5","20.6",NA,"N","T",NA,"1","L","F","FALSE","L","3.27",NA,NA,NA,NA,NA,NA,NA,NA
"89","HMN","Y","SMW","HC",NA,NA,NA,NA,"10:27","1","1","U09279",NA,"F","F","BBLH","M","1",NA,"B","99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"50","21.1",NA,"N","0",NA,"1","L","L","FALSE","L","3.36",NA,NA,NA,NA,NA,NA,NA,NA
"90","HMN","Y","SMW","HC",NA,NA,NA,NA,"7:10","R","R","U09291",NA,NA,NA,"BBLH","M","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","HMN","Y","SMW","HC",NA,NA,NA,NA,"7:22","R","R","U09300",NA,NA,NA,"BBLH","M","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NECTAR IN CROP"
"92","HMN","Y","SMW","HC",NA,NA,NA,NA,"6:53",NA,NA,"XXXXXX",NA,NA,NA,"BBLH","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
