"","Protocol","CMR","Bander","Location","Date","Year","Month","Day","Time","Old.Band.Status","Band.Status","Band.Number","Leg.Condition","Tarsus.Measurement","Band.Size","Species","Sex","Age","Replaced.Band.Number","Gorget.Color","Gorget.Count","Head.Count","Grooves","Buffy","Bill.Trait","Green.on.back","Primary.Width.P.10.Shape","Wing.Tail.Trait","Tail.Center","Tail.Middle","Tail.Outer","Tail.Measurement","Wing.Chord","Culmen","Tail","Pollen.Color..Location","Fat","CP.Breed","Head.Gorget","Body","Primaries","Secondaries","Tail.1","Weight","Photo.Taken","Sample.Type","Day.Recaptures","Recapture.Time.1","Recapture.Time.2","Recapture.Time.3","Recapture.Time.4","Comment"
"18","HMN","Y","SMW","HC",NA,NA,NA,NA,"6:50","R","R","M66586",NA,NA,NA,"BBLH","M","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","10:24",NA,NA,NA,"DROPPED FIVE FEATHERS"
"19","HMN","Y","SMW","HC",NA,NA,NA,NA,"7:59","R","R","M66590",NA,NA,NA,"BBLH","M","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","HMN","Y","SMW","HC",NA,NA,NA,NA,"10:36","R","R","M66802","1",NA,NA,"BBLH","M","1",NA,"B","99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"51","21.4",NA,"N","0",NA,"F","F","F","FALSE","F","3.41",NA,NA,NA,NA,NA,NA,NA,NA
"21","HMN","Y","SMW","HC",NA,NA,NA,NA,"7:48","R","R","M66836",NA,NA,NA,"BBLH","M","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","HMN","Y","SMW","HC",NA,NA,NA,NA,"8:39","R","R","M66838","1",NA,NA,"BBLH","M","1",NA,"B","99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0",NA,"N","0",NA,"F","F","F","FALSE","F","3.44",NA,NA,NA,NA,NA,NA,NA,NA
"23","HMN","Y","SMW","HC",NA,NA,NA,NA,"7:18","R","R","M66848",NA,NA,NA,"BBLH","M","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","HMN","Y","SMW","HC",NA,NA,NA,NA,"8:07","R","R","M67055",NA,NA,NA,"BCHU","M","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"INSECT EGGS ON CHEST?"
"25","HMN","Y","SMW","HC",NA,NA,NA,NA,"9:13","R","R","M67236","1",NA,NA,"COHU","M","1",NA,"P","99","99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"44","17.4",NA,"WH","0",NA,"F","L","L","FALSE","F","2.83",NA,NA,NA,NA,NA,NA,NA,NA
"26","HMN","Y","SMW","HC",NA,NA,NA,NA,"6:37","R","R","M67552",NA,NA,NA,"BBLH","F","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","7:06",NA,NA,NA,NA
"27","HMN","Y","SMW","HC",NA,NA,NA,NA,"8:28","R","R","M67621","1",NA,NA,"BBLH","M","1",NA,"B","99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0",NA,"N","0",NA,"L","F","L","FALSE","L","3.2",NA,NA,NA,NA,NA,NA,NA,NA
