"","UBI_band","band_status","year","fixed_sex","site"
"609","6000-23814","R",2005,"F","MCGC"
"610","6000-23815","R",2005,"F","MCGC"
"611","6000-23821","R",2005,"F","MCGC"
"612","6000-23826","R",2005,"F","MCGC"
"613","6000-23827","R",2005,"F","MCGC"
"614","6000-23895","R",2005,"F","MCGC"
"615","6000-23897","R",2005,"F","MCGC"
"616","6000-23898","R",2005,"F","MCGC"
"617","6000-53504","R",2005,"F","MCGC"
"618","6000-53505","R",2005,"F","MCGC"
"619","6000-53506","R",2005,"F","MCGC"
"620","6000-53508","R",2005,"F","MCGC"
"621","6000-53509","R",2005,"F","MCGC"
"622","6000-53533","R",2005,"F","MCGC"
"623","6000-53537","R",2005,"F","MCGC"
"624","6000-53539","R",2005,"F","MCGC"
"625","6000-53545","R",2005,"F","MCGC"
"626","6000-53548","R",2005,"F","MCGC"
"627","6000-53567","R",2005,"M","MCGC"
"628","6000-53572","R",2005,"F","MCGC"
"629","6000-53574","R",2005,"F","MCGC"
"630","6000-53575","R",2005,"F","MCGC"
"631","6000-53578","R",2005,"F","MCGC"
"632","6000-53581","R",2005,"F","MCGC"
"633","6000-53582","R",2005,"F","MCGC"
"634","6000-53583","R",2005,"F","MCGC"
"635","6000-53585","R",2005,"F","MCGC"
"636","6000-53589","R",2005,"F","MCGC"
"637","6000-53602","R",2005,"F","MP1"
"638","6000-53632","R",2005,"F","MCGC"
"639","6000-53634","R",2005,"F","MCGC"
"640","6000-53645","R",2005,"F","MP1"
"641","6000-53661","R",2005,"F","MCGC"
"642","6000-53664","R",2005,"F","MCGC"
"643","6000-53666","R",2005,"F","MCGC"
"644","6000-53668","R",2005,"F","MCGC"
"645","6000-53678","R",2005,"M","MCGC"
"646","6000-53716","R",2005,"F","MCGC"
"647","6000-53777","R",2005,"F","MCGC"
"648","6000-53781","R",2005,"F","MCGC"
"649","6000-53901","R",2005,"F","MP1"
"650","6000-53925","R",2005,"M","MP1"
"651","6000-53938","R",2005,"M","GNMTN"
"652","6000-53955","R",2005,"M","GNMTN"
"653","5000-11558","R",2006,"F","MCGC"
"654","5000-11566","R",2006,"F","MCGC"
"655","5000-11632","R",2006,"M","MCGC"
"656","5000-11639","R",2006,"M","MCGC"
"657","5000-11657","R",2006,"F","MCGC"
"658","5000-11693","R",2006,"M","MCGC"
"659","5000-11698","R",2006,"F","CC2"
"660","5000-11723","R",2006,"F","MCGC"
"661","5000-11741","R",2006,"F","MCGC"
"662","5000-11757","R",2006,"F","MCGC"
"663","9000-12256","R",2006,"F","MCGC"
"664","5000-11788","R",2006,"F","MCGC"
"665","5000-29217","R",2006,"F","MCGC"
"666","5000-29218","R",2006,"F","MCGC"
"667","5000-29290","R",2006,"F","MP1"
"668","5000-29292","R",2006,"F","MP1"
"669","5000-29317","R",2006,"F","MCGC"
"670","5000-29396","R",2006,"M","MCGC"
"671","5000-29449","R",2006,"M","MCGC"
"672","4000-47664","R",2006,"F","MP1"
"673","9000-12075","R",2006,"F","MP1"
"674","4000-47780","R",2006,"F","MCGC"
"675","4000-47796","R",2006,"F","MCGC"
"676","5000-29451","R",2006,"F","MCGC"
"677","5000-29452","R",2006,"F","MCGC"
"678","5000-29473","R",2006,"M","MCGC"
"679","5000-29482","R",2006,"F","MCGC"
"680","5000-29484","R",2006,"F","MCGC"
"681","5000-29486","R",2006,"F","MCGC"
"682","5000-29497","R",2006,"M","KV1"
"683","5000-29498","R",2006,"F","KV1"
"684","5000-29500","R",2006,"F","KV1"
"685","5000-29523","R",2006,"F","GNMTN"
"686","5000-29526","R",2006,"F","MCGC"
"687","5000-29530","R",2006,"F","MCGC"
"688","5000-29531","R",2006,"M","MCGC"
"689","5000-29547","R",2006,"F","GNMTN"
"690","5000-29551","R",2006,"F","GNMTN"
"691","5000-29552","R",2006,"F","GNMTN"
"692","5000-29555","R",2006,"F","KV1"
"693","5000-29557","R",2006,"M","KV1"
"694","5000-29561","R",2006,"F","KV1"
"695","5000-29564","R",2006,"F","KV1"
"696","5000-29595","R",2006,"F","CC2"
"697","5000-29606","R",2006,"F","KV1"
"698","5000-29608","R",2006,"F","GNMTN"
"699","5000-29613","R",2006,"F","GNMTN"
"700","5000-29635","R",2006,"M","MCGC"
"701","5000-29660","R",2006,"M","MCGC"
"702","5000-29676","R",2006,"F","GNMTN"
"703","5000-29687","R",2006,"F","MCGC"
"704","5000-96616","R",2006,"F","KV1"
"705","5000-96639","R",2006,"F","MCGC"
"706","5000-96640","R",2006,"F","MCGC"
"707","5000-96650","R",2006,"F","MCGC"
"708","5000-96665","R",2006,"F","MCGC"
"709","5000-96678","R",2006,"F","MP1"
"710","5000-96679","R",2006,"F","MP1"
"711","5000-96683","R",2006,"F","MP1"
"712","5000-96693","R",2006,"F","MCGC"
"713","5000-96714","R",2006,"F","MCGC"
"714","5000-96722","R",2006,"F","GNMTN"
"715","5000-96732","R",2006,"F","MP1"
"716","5000-96734","R",2006,"F","MP1"
"717","5000-96737","R",2006,"F","MP1"
"718","5000-96754","R",2006,"F","MP1"
"719","5000-96762","R",2006,"F","MP1"
"720","5000-96770","R",2006,"F","MP1"
"721","5000-96783","R",2006,"F","MCGC"
"722","5000-96822","R",2006,"F","MP1"
"723","5000-96824","R",2006,"F","GNMTN"
"724","5000-96829","R",2006,"F","KV1"
"725","5000-96838","R",2006,"F","MP1"
"726","5000-96839","R",2006,"F","MP1"
"727","5000-96852","R",2006,"M","MCGC"
"728","5000-96858","R",2006,"F","MP1"
"729","5000-96861","R",2006,"F","MP1"
"730","5000-96868","R",2006,"F","MP1"
"731","5000-96872","R",2006,"F","MP1"
"732","5000-96892","R",2006,"F","MCGC"
"733","5000-96894","R",2006,"F","MCGC"
"734","5000-96940","R",2006,"F","MP1"
"735","5000-96942","R",2006,"F","MP1"
"736","5000-96951","R",2006,"F","MP1"
"737","5000-96954","R",2006,"F","MP1"
"738","5000-96955","R",2006,"F","MP1"
"739","5000-96960","R",2006,"F","MCGC"
"740","5000-96967","R",2006,"F","GNMTN"
"741","5000-96988","R",2006,"F","MP1"
"742","5000-96989","R",2006,"F","MP1"
"743","5000-97059","R",2006,"F","MCGC"
"744","5000-97062","R",2006,"F","MCGC"
"745","5000-97071","R",2006,"F","MCGC"
"746","5000-97074","R",2006,"M","MCGC"
"747","5000-97079","R",2006,"M","MCGC"
"748","5000-97095","R",2006,"F","MP1"
"749","5000-97098","R",2006,"F","MP1"
"750","5000-97099","R",2006,"F","MP1"
"751","6000-23402","R",2006,"F","MP1"
"752","6000-23412","R",2006,"F","MP1"
"753","6000-23432","R",2006,"F","MP1"
"754","6000-23441","R",2006,"F","MP1"
"755","6000-23446","R",2006,"F","MP1"
"756","6000-23447","R",2006,"F","MP1"
"757","6000-23448","R",2006,"F","MP1"
"758","6000-23452","R",2006,"M","MCGC"
"759","6000-23453","R",2006,"M","MCGC"
"760","6000-23459","R",2006,"M","MCGC"
"761","6000-23460","R",2006,"M","MCGC"
"762","6000-23464","R",2006,"F","MP1"
"763","6000-23467","R",2006,"F","MP1"
"764","6000-23468","R",2006,"F","MP1"
"765","6000-23481","R",2006,"F","MP1"
"766","6000-23482","R",2006,"F","MP1"
"767","6000-23489","R",2006,"F","MP1"
"768","6000-23497","R",2006,"F","MP1"
"769","6000-23505","R",2006,"F","MP1"
"770","6000-23507","R",2006,"F","MP1"
"771","6000-23513","R",2006,"F","MP1"
"772","6000-23518","R",2006,"F","MCGC"
"773","6000-23528","R",2006,"F","MP1"
"774","6000-23529","R",2006,"F","MP1"
"775","6000-23531","R",2006,"F","MP1"
"776","6000-23532","R",2006,"F","MP1"
"777","6000-23535","R",2006,"F","MP1"
"778","6000-23538","R",2006,"F","MCGC"
"779","6000-23540","R",2006,"F","MCGC"
"780","6000-23541","R",2006,"M","MCGC"
"781","6000-23542","R",2006,"M","MCGC"
"782","6000-23551","R",2006,"F","MCGC"
"783","6000-23561","R",2006,"F","MP1"
"784","6000-23574","R",2006,"F","MP1"
"785","6000-23577","R",2006,"F","MP1"
"786","6000-23582","R",2006,"F","MP1"
"787","6000-23594","R",2006,"F","MP1"
"788","6000-23599","R",2006,"F","MP1"
"789","6000-23604","R",2006,"M","GNMTN"
"790","6000-23608","R",2006,"M","MCGC"
"791","6000-23610","R",2006,"M","KV1"
"792","6000-23631","R",2006,"F","KV1"
"793","6000-23632","R",2006,"F","KV1"
"794","6000-23633","R",2006,"F","KV1"
"795","6000-23635","R",2006,"F","KV1"
"796","6000-23636","R",2006,"F","KV1"
"797","6000-23641","R",2006,"F","GNMTN"
"798","6000-23644","R",2006,"F","GNMTN"
"799","6000-23645","R",2006,"F","GNMTN"
"800","6000-23646","R",2006,"F","GNMTN"
"801","6000-23648","R",2006,"F","GNMTN"
"802","6000-23651","R",2006,"F","MCGC"
"803","6000-23653","R",2006,"F","MP1"
"804","6000-23663","R",2006,"F","KV1"
"805","6000-23665","R",2006,"F","KV1"
"806","6000-23666","R",2006,"F","KV1"
"807","6000-23667","R",2006,"F","KV1"
"808","6000-23671","R",2006,"F","KV1"
"809","6000-23675","R",2006,"F","GNMTN"
"810","6000-23679","R",2006,"F","MCGC"
"811","6000-23694","R",2006,"F","MCGC"
"812","6000-23699","R",2006,"F","KV1"
"813","6000-23700","R",2006,"F","KV1"
"814","6000-23714","R",2006,"M","MCGC"
"815","6000-23724","R",2006,"F","GNMTN"
"816","6000-23725","R",2006,"F","GNMTN"
"817","6000-23730","R",2006,"F","GNMTN"
"818","6000-23731","R",2006,"F","GNMTN"
"819","6000-23736","R",2006,"F","MCGC"
"820","6000-23738","R",2006,"F","MCGC"
"821","6000-23740","R",2006,"F","MCGC"
"822","6000-23742","R",2006,"F","MCGC"
"823","6000-23745","R",2006,"F","MCGC"
"824","6000-23755","R",2006,"F","MP1"
"825","6000-23757","R",2006,"F","MP1"
"826","6000-23761","R",2006,"F","MCGC"
"827","6000-23762","R",2006,"F","MCGC"
"828","6000-23764","R",2006,"F","MCGC"
"829","6000-23769","R",2006,"F","MCGC"
"830","6000-23770","R",2006,"F","MCGC"
"831","6000-23772","R",2006,"M","MCGC"
"832","6000-23780","R",2006,"M","MCGC"
"833","6000-23784","R",2006,"M","MCGC"
"834","6000-23792","R",2006,"F","MCGC"
"835","6000-23801","R",2006,"F","MCGC"
"836","6000-23804","R",2006,"F","MCGC"
"837","6000-23815","R",2006,"F","MCGC"
"838","6000-23817","R",2006,"F","MCGC"
"839","6000-23818","R",2006,"F","MCGC"
"840","6000-23820","R",2006,"F","MCGC"
"841","6000-23826","R",2006,"F","MCGC"
"842","6000-23827","R",2006,"F","MCGC"
"843","6000-23831","R",2006,"F","KV1"
"844","6000-23832","R",2006,"F","KV1"
"845","6000-23872","R",2006,"M","MCGC"
"846","6000-23892","R",2006,"F","KV1"
"847","6000-23896","R",2006,"F","MCGC"
"848","6000-23898","R",2006,"F","MCGC"
"849","6000-23900","R",2006,"F","MCGC"
"850","6000-53502","R",2006,"F","MCGC"
"851","6000-53505","R",2006,"F","MCGC"
"852","6000-53506","R",2006,"F","MCGC"
"853","6000-53508","R",2006,"F","MCGC"
"854","6000-53520","R",2006,"F","MP1"
"855","6000-53523","R",2006,"F","MP1"
"856","6000-53529","R",2006,"F","MP1"
"857","6000-53535","R",2006,"F","MCGC"
"858","9000-11925","R",2006,"F","MCGC"
"859","6000-53544","R",2006,"F","MCGC"
"860","6000-53545","R",2006,"F","MCGC"
"861","6000-53572","R",2006,"F","MCGC"
"862","9000-11915","R",2006,"F","MCGC"
"863","6000-53582","R",2006,"F","MCGC"
"864","6000-53584","R",2006,"F","MP1"
"865","6000-53585","R",2006,"F","MCGC"
"866","6000-53586","R",2006,"F","MCGC"
"867","6000-53587","R",2006,"F","MCGC"
"868","6000-53589","R",2006,"F","MCGC"
"869","6000-53596","R",2006,"F","MP1"
"870","6000-53599","R",2006,"F","MP1"
"871","6000-53603","R",2006,"F","MP1"
"872","6000-53615","R",2006,"F","GNMTN"
"873","6000-53618","R",2006,"F","GNMTN"
"874","6000-53620","R",2006,"F","GNMTN"
"875","6000-53624","R",2006,"F","GNMTN"
"876","6000-53631","R",2006,"F","MCGC"
"877","6000-53634","R",2006,"F","MCGC"
"878","6000-53637","R",2006,"F","MCGC"
"879","6000-53661","R",2006,"F","MCGC"
"880","6000-53666","R",2006,"F","MCGC"
"881","6000-53668","R",2006,"F","MCGC"
"882","6000-53714","R",2006,"F","MCGC"
"883","6000-53723","R",2006,"F","MP1"
"884","6000-53733","R",2006,"F","MP1"
"885","6000-53773","R",2006,"F","GNMTN"
"886","6000-53780","R",2006,"F","MCGC"
"887","6000-53782","R",2006,"F","MP1"
"888","6000-53783","R",2006,"F","MP1"
"889","6000-53806","R",2006,"F","MCGC"
"890","6000-53814","R",2006,"F","MP1"
"891","6000-53835","R",2006,"F","MP1"
"892","6000-53843","R",2006,"F","MP1"
"893","6000-53847","R",2006,"F","MP1"
"894","6000-53856","R",2006,"M","MP1"
"895","6000-53867","R",2006,"M","MCGC"
"896","6000-53878","R",2006,"F","MP1"
"897","6000-53890","R",2006,"F","MCGC"
"898","6000-53892","R",2006,"F","MCGC"
"899","6000-53897","R",2006,"F","MP1"
"900","6000-53899","R",2006,"F","MP1"
"901","6000-53901","R",2006,"F","MP1"
"902","6000-53902","R",2006,"F","MP1"
"903","6000-53918","R",2006,"F","MCGC"
"904","6000-53949","R",2006,"F","MCGC"
"905","6000-53957","R",2006,"F","MCGC"
"906","6000-53958","R",2006,"F","GNMTN"
"907","6000-53959","R",2006,"F","HOLZ"
"908","6000-53987","R",2006,"F","MP1"
"909","6000-80910","R",2006,"F","MP1"
"910","6000-80915","R",2006,"F","MP1"
"911","6000-80917","R",2006,"F","MP1"
"912","6000-80924","R",2006,"F","CC3"
"913","6000-80927","R",2006,"F","MCGC"
"914","6000-80928","R",2006,"F","CC3"
"915","6000-80932","R",2006,"F","MP1"
"916","6000-80935","R",2006,"F","MCGC"
"917","6000-80938","R",2006,"F","MCGC"
"918","6000-80939","R",2006,"F","MCGC"
"919","6000-80940","R",2006,"F","MCGC"
"920","6000-80944","R",2006,"F","MCGC"
"921","6000-80945","R",2006,"F","CC3"
"922","6000-80948","R",2006,"F","MCGC"
"923","6000-80949","R",2006,"F","MCGC"
"924","6000-80950","R",2006,"F","MP1"
"925","6000-80954","R",2006,"F","MCGC"
"926","6000-80955","R",2006,"F","MCGC"
"927","6000-80957","R",2006,"F","MCGC"
"928","6000-80959","R",2006,"F","MP1"
"929","6000-80967","R",2006,"F","MCGC"
"930","6000-80969","R",2006,"F","MCGC"
"931","6000-80974","R",2006,"F","MCGC"
"932","6000-80975","R",2006,"F","MCGC"
"933","6000-80976","R",2006,"F","CC3"
"934","6000-80977","R",2006,"F","MCGC"
"935","6000-80978","R",2006,"F","MCGC"
"936","6000-80980","R",2006,"F","MCGC"
"937","6000-80990","R",2006,"F","MP1"
"938","6000-80998","R",2006,"F","MP1"
"939","6000-81004","R",2006,"F","KV1"
"940","6000-81006","R",2006,"F","MCGC"
"941","6000-81011","R",2006,"F","MP1"
"942","6000-81044","R",2006,"F","MCGC"
"943","6000-81045","R",2006,"F","MCGC"
"944","6000-81047","R",2006,"F","MCGC"
"945","6000-81049","R",2006,"F","MCGC"
"946","6000-81051","R",2006,"F","MCGC"
"947","6000-81052","R",2006,"F","MCGC"
"948","6000-81054","R",2006,"F","MCGC"
"949","6000-81057","R",2006,"F","MCGC"
"950","6000-81062","R",2006,"F","HOLZ"
"951","6000-81063","R",2006,"F","HOLZ"
"952","6000-81065","R",2006,"F","GNMTN"
"953","6000-81066","R",2006,"F","GNMTN"
"954","6000-81069","R",2006,"F","GNMTN"
"955","6000-81070","R",2006,"F","KV1"
"956","6000-81074","R",2006,"F","KV1"
"957","6000-81075","R",2006,"F","KV1"
"958","6000-81078","R",2006,"F","KV1"
"959","6000-81080","R",2006,"F","KV1"
"960","6000-81088","R",2006,"F","MCGC"
"961","6000-81094","R",2006,"F","MCGC"
"962","6000-81095","R",2006,"F","MCGC"
"963","6000-81106","R",2006,"M","MCGC"
"964","6000-81116","R",2006,"M","CC3"
"965","6000-81130","R",2006,"M","MCGC"
"966","6000-81131","R",2006,"M","MCGC"
"967","6000-81132","R",2006,"M","MCGC"
"968","6000-81133","R",2006,"M","MCGC"
"969","6000-81139","R",2006,"M","CC3"
"970","6000-81142","R",2006,"M","MCGC"
"971","6000-81147","R",2006,"M","MCGC"
"972","6000-81149","R",2006,"M","MCGC"
"973","6000-81161","R",2006,"M","MCGC"
"974","6000-81167","R",2006,"M","CC3"
"975","6000-81169","R",2006,"M","MCGC"
"976","6000-81171","R",2006,"M","MCGC"
"977","6000-81187","R",2006,"M","MCGC"
"978","6000-81188","R",2006,"M","MCGC"
"979","9000-11806","R",2006,"F","HOLZ"
"980","9000-11807","R",2006,"F","HOLZ"
"981","9000-11808","R",2006,"F","HOLZ"
"982","9000-11809","R",2006,"F","HOLZ"
"983","9000-11812","R",2006,"M","MCGC"
"984","9000-11813","R",2006,"M","MCGC"
"985","9000-11821","R",2006,"M","MCGC"
"986","9000-11822","R",2006,"M","MCGC"
"987","9000-11824","R",2006,"M","MCGC"
"988","9000-11825","R",2006,"M","MCGC"
"989","9000-11830","R",2006,"M","GNMTN"
"990","9000-11831","R",2006,"M","KV1"
"991","9000-11836","R",2006,"M","MCGC"
"992","9000-11837","R",2006,"M","MCGC"
"993","9000-11839","R",2006,"M","MCGC"
"994","9000-11841","R",2006,"M","MCGC"
"995","9000-11842","R",2006,"M","MCGC"
"996","9000-11855","R",2006,"M","MCGC"
"997","9000-11857","R",2006,"M","MCGC"
"998","9000-11866","R",2006,"M","MCGC"
"999","9000-11870","R",2006,"M","MCGC"
"1000","9000-11881","R",2006,"M","MCGC"
"1001","9000-11886","R",2006,"M","MCGC"
"1002","9000-11908","R",2006,"F","KV1"
"1003","9000-11910","R",2006,"F","GNMTN"
"1004","9000-11912","R",2006,"F","GNMTN"
"1005","9000-11915","R",2006,"F","MCGC"
"1006","9000-11916","R",2006,"F","MCGC"
"1007","9000-11917","R",2006,"F","MCGC"
"1008","9000-11918","R",2006,"F","MCGC"
"1009","9000-11921","R",2006,"F","MCGC"
"1010","9000-11922","R",2006,"F","MCGC"
"1011","9000-11924","R",2006,"F","MCGC"
"1012","9000-11925","R",2006,"F","MCGC"
"1013","9000-11930","R",2006,"F","NFPC"
"1014","9000-11934","R",2006,"F","HOLZ"
"1015","9000-11935","R",2006,"F","HOLZ"
"1016","9000-11946","R",2006,"F","GNMTN"
"1017","9000-11947","R",2006,"F","GNMTN"
"1018","9000-11949","R",2006,"F","GNMTN"
"1019","9000-11983","R",2006,"F","MCGC"
"1020","9000-11984","R",2006,"F","MCGC"
"1021","9000-11985","R",2006,"F","MCGC"
"1022","9000-11987","R",2006,"F","MCGC"
"1023","9000-11988","R",2006,"F","MCGC"
"1024","9000-11991","R",2006,"F","MCGC"
"1025","9000-11994","R",2006,"F","MCGC"
"1026","9000-11995","R",2006,"F","MCGC"
"1027","9000-11996","R",2006,"F","MCGC"
"1028","9000-11998","R",2006,"F","MCGC"
"1029","9000-11999","R",2006,"F","MCGC"
"1030","9000-12000","R",2006,"F","MCGC"
"1031","9000-12010","R",2006,"F","MCGC"
"1032","9000-12011","R",2006,"F","MCGC"
"1033","9000-12013","R",2006,"F","MCGC"
"1034","9000-12015","R",2006,"F","MCGC"
"1035","9000-12018","R",2006,"F","MCGC"
"1036","9000-12019","R",2006,"F","MCGC"
"1037","9000-12040","R",2006,"F","MCGC"
"1038","9000-12042","R",2006,"F","HOLZ"
"1039","9000-12043","R",2006,"F","HOLZ"
"1040","9000-12045","R",2006,"F","HOLZ"
"1041","9000-12046","R",2006,"F","HOLZ"
"1042","9000-12051","R",2006,"F","GNMTN"
"1043","9000-12075","R",2006,"F","MP1"
"1044","9000-12078","R",2006,"M","MCGC"
"1045","9000-12080","R",2006,"F","MCGC"
"1046","9000-12081","R",2006,"F","MCGC"
"1047","9000-12083","R",2006,"F","MCGC"
"1048","9000-12084","R",2006,"F","MCGC"
"1049","9000-12085","R",2006,"F","MCGC"
"1050","9000-12087","R",2006,"F","MCGC"
"1051","9000-12088","R",2006,"F","MCGC"
"1052","9000-12089","R",2006,"F","MCGC"
"1053","9000-12093","R",2006,"F","MCGC"
"1054","9000-12112","R",2006,"F","MCGC"
"1055","9000-12113","R",2006,"F","MCGC"
"1056","9000-12145","R",2006,"F","CC2"
"1057","9000-12148","R",2006,"F","CC3"
"1058","9000-12150","R",2006,"F","MCGC"
"1059","9000-12152","R",2006,"F","MCGC"
"1060","9000-12153","R",2006,"F","MCGC"
"1061","9000-12155","R",2006,"F","MCGC"
"1062","9000-12160","R",2006,"F","GNMTN"
"1063","9000-12161","R",2006,"F","GNMTN"
"1064","9000-12162","R",2006,"F","GNMTN"
"1065","9000-12163","R",2006,"F","GNMTN"
"1066","9000-12166","R",2006,"F","HOLZ"
"1067","9000-12167","R",2006,"F","HOLZ"
"1068","9000-12168","R",2006,"F","HOLZ"
"1069","9000-12170","R",2006,"F","MCGC"
"1070","9000-12243","R",2006,"M","MCGC"
"1071","9000-12244","R",2006,"M","MCGC"
"1072","9000-12246","R",2006,"M","MCGC"
"1073","9000-12253","R",2006,"F","MCGC"
"1074","9000-12254","R",2006,"F","MCGC"
"1075","9000-12255","R",2006,"F","MCGC"
"1076","9000-12256","R",2006,"F","MCGC"
"1077","9000-12263","R",2006,"F","CC2"
"1078","9000-12266","R",2006,"F","CC2"
"1079","9000-12268","R",2006,"F","MCGC"
"1080","9000-12270","R",2006,"F","MCGC"
"1081","9000-12271","R",2006,"F","MCGC"
"1082","9000-12312","R",2006,"F","HOLZ"
"1083","9000-12313","R",2006,"F","HOLZ"
"1084","9000-12314","R",2006,"F","HOLZ"
"1085","9000-12315","R",2006,"F","HOLZ"
"1086","9000-12320","R",2006,"F","HOLZ"
"1087","9000-12322","R",2006,"F","GNMTN"
"1088","9000-12326","R",2006,"F","GNMTN"
"1089","9000-12330","R",2006,"F","GNMTN"
"1090","9000-12331","R",2006,"F","GNMTN"
"1091","9000-12354","R",2006,"F","MCGC"
"1092","9000-12364","R",2006,"M","MCGC"
"1093","9000-12370","R",2006,"M","MCGC"
"1094","9000-12385","R",2006,"F","MCGC"
"1095","9000-12388","R",2006,"F","GNMTN"
"1096","9000-12408","R",2006,"F","HOLZ"
"1097","9000-12426","R",2006,"F","MCGC"
"1098","9000-12436","R",2006,"F","MCGC"
"1099","9000-12441","R",2006,"F","MCGC"
"1100","9000-12449","R",2006,"F","MCGC"
"1101","9000-12480","R",2006,"F","MCGC"
"1102","9000-12557","R",2006,"M","MCGC"
"1103","9000-12558","R",2006,"M","MCGC"
"1104","9000-12572","R",2006,"M","MCGC"
"1105","9000-12573","R",2006,"M","MCGC"
"1106","9000-12582","R",2006,"M","MCGC"
"1107","9000-12589","R",2006,"M","CC2"
"1108","9000-12595","R",2006,"M","MP1"
"1109","9000-12608","R",2006,"F","MCGC"
"1110","9000-12622","R",2006,"F","MP1"
"1111","9000-12630","R",2006,"F","MCGC"
"1112","9000-12641","R",2006,"F","MCGC"
"1113","5000-11543","R",2007,"F","MCGC"
"1114","5000-11601","R",2007,"F","MCGC"
"1115","5000-11606","R",2007,"F","MCGC"
"1116","5000-11614","R",2007,"F","MCGC"
"1117","5000-11639","R",2007,"M","MCGC"
"1118","5000-11741","R",2007,"F","MCGC"
"1119","5000-11757","R",2007,"F","MCGC"
"1120","9000-12256","R",2007,"F","MCGC"
"1121","5000-29217","R",2007,"F","MCGC"
"1122","5000-29218","R",2007,"F","MCGC"
"1123","5000-29287","R",2007,"F","MCGC"
"1124","5000-29357","R",2007,"F","MP1"
"1125","5000-29407","R",2007,"F","MP1"
"1126","5000-29428","R",2007,"F","MCGC"
"1127","4000-47664","R",2007,"F","MP1"
"1128","9000-12075","R",2007,"F","MP1"
"1129","4000-47788","R",2007,"F","MCGC"
"1130","5000-29451","R",2007,"F","MCGC"
"1131","5000-29452","R",2007,"F","MCGC"
"1132","5000-29473","R",2007,"M","MCGC"
"1133","5000-29478","R",2007,"F","MCGC"
"1134","5000-29486","R",2007,"F","MCGC"
"1135","5000-29497","R",2007,"M","KV1"
"1136","5000-29523","R",2007,"F","GNMTN"
"1137","5000-29526","R",2007,"F","MCGC"
"1138","5000-29537","R",2007,"F","GNMTN"
"1139","5000-29547","R",2007,"F","GNMTN"
"1140","9000-39955","R",2007,"F","GNMTN"
"1141","5000-29592","R",2007,"F","MCGC"
"1142","5000-29595","R",2007,"F","CC2"
"1143","5000-29608","R",2007,"F","GNMTN"
"1144","5000-29613","R",2007,"F","GNMTN"
"1145","5000-29676","R",2007,"F","GNMTN"
"1146","5000-29687","R",2007,"F","MCGC"
"1147","5000-96612","R",2007,"F","KV1"
"1148","5000-96639","R",2007,"F","MCGC"
"1149","5000-96675","R",2007,"F","MP1"
"1150","5000-96676","R",2007,"F","MP1"
"1151","5000-96684","R",2007,"F","MP1"
"1152","5000-96714","R",2007,"F","MCGC"
"1153","5000-96732","R",2007,"F","MP1"
"1154","5000-96737","R",2007,"F","MP1"
"1155","5000-96740","R",2007,"F","MP1"
"1156","5000-96756","R",2007,"M","MP1"
"1157","5000-96762","R",2007,"F","MP1"
"1158","5000-96765","R",2007,"F","MP1"
"1159","5000-96820","R",2007,"F","MP1"
"1160","5000-96822","R",2007,"F","MP1"
"1161","5000-96838","R",2007,"F","MP1"
"1162","5000-96868","R",2007,"F","MP1"
"1163","5000-96888","R",2007,"F","MCGC"
"1164","5000-96894","R",2007,"F","MCGC"
"1165","5000-96912","R",2007,"F","MP1"
"1166","5000-96940","R",2007,"F","MP1"
"1167","5000-96942","R",2007,"F","MP1"
"1168","5000-96976","R",2007,"M","MP1"
"1169","5000-96989","R",2007,"F","MP1"
"1170","5000-96992","R",2007,"F","MP1"
"1171","5000-97059","R",2007,"F","MCGC"
"1172","5000-97094","R",2007,"F","MP1"
"1173","5000-97095","R",2007,"F","MP1"
"1174","5000-97097","R",2007,"F","MP1"
"1175","6000-23402","R",2007,"F","MP1"
"1176","6000-23412","R",2007,"F","MP1"
"1177","6000-23432","R",2007,"F","MP1"
"1178","6000-23446","R",2007,"F","MP1"
"1179","6000-23447","R",2007,"F","MP1"
"1180","6000-23448","R",2007,"F","MP1"
"1181","6000-23449","R",2007,"F","MP1"
"1182","6000-23464","R",2007,"F","MP1"
"1183","6000-23468","R",2007,"F","MP1"
"1184","6000-23470","R",2007,"F","MP1"
"1185","6000-23479","R",2007,"F","MP1"
"1186","6000-23482","R",2007,"F","MP1"
"1187","6000-23489","R",2007,"F","MP1"
"1188","6000-23494","R",2007,"F","MP1"
"1189","6000-23495","R",2007,"F","MP1"
"1190","6000-23504","R",2007,"F","MP1"
"1191","6000-23510","R",2007,"F","MP1"
"1192","6000-23513","R",2007,"F","MP1"
"1193","6000-23519","R",2007,"F","MCGC"
"1194","6000-23528","R",2007,"F","MP1"
"1195","6000-23535","R",2007,"F","MP1"
"1196","6000-23536","R",2007,"F","MP1"
"1197","6000-23560","R",2007,"F","MP1"
"1198","6000-23567","R",2007,"F","MP1"
"1199","6000-23586","R",2007,"F","MP1"
"1200","6000-23594","R",2007,"F","MP1"
"1201","6000-23631","R",2007,"F","KV1"
"1202","6000-23633","R",2007,"F","KV1"
"1203","6000-23641","R",2007,"F","GNMTN"
"1204","6000-23645","R",2007,"F","GNMTN"
"1205","6000-23648","R",2007,"F","GNMTN"
"1206","6000-23653","R",2007,"F","MP1"
"1207","6000-23661","R",2007,"F","KV1"
"1208","6000-23675","R",2007,"F","GNMTN"
"1209","6000-23679","R",2007,"F","MCGC"
"1210","6000-23682","R",2007,"F","MP1"
"1211","9000-39804","R",2007,"F","MP1"
