"","band","band_status","year","age","sex","site","site_recap","location"
"2587","4100-08454","1",2010,"AHY","F","MP1","MP1","east"
"2588","4100-08455","1",2010,"AHY","F","MP1","MP1","east"
"2589","4100-08456","1",2010,"AHY","F","MP1","MP1","east"
"2590","4100-08457","1",2010,"AHY","F","MP1","MP1","east"
"2591","4100-08457","R",2011,"AHY","F","MP1","HPK3","east"
"2592","4100-08457","R",2011,"AHY","F","MP1","HPK2","east"
"2593","4100-08458","1",2010,"AHY","F","MP1","MP1","east"
"2594","4100-08459","1",2010,"AHY","F","MP1","MP1","east"
"2595","4100-08460","1",2010,"AHY","F","MP1","MP1","east"
"2596","4100-08461","1",2010,"AHY","F","MCGC","MCGC","east"
"2597","4100-08462","1",2010,"AHY","F","MCGC","MCGC","east"
"2598","4100-08463","1",2010,"AHY","F","MCGC","MCGC","east"
"2599","4100-08464","1",2010,"AHY","F","MCGC","MCGC","east"
"2600","4100-08465","1",2010,"AHY","F","MCGC","MCGC","east"
"2601","4100-08466","1",2010,"AHY","F","MCGC","MCGC","east"
"2602","4100-08467","1",2010,"AHY","F","MCGC","MCGC","east"
"2603","4100-08468","1",2010,"AHY","F","MCGC","MCGC","east"
"2604","4100-08468","R",2011,"AHY","F","MCGC","MCGC","east"
"2605","4100-08469","1",2010,"AHY","F","MCGC","MCGC","east"
"2606","4100-08470","1",2010,"AHY","F","MCGC","MCGC","east"
"2607","4100-08470","R",2011,"AHY","F","MCGC","MCGC","east"
"2608","4100-08471","1",2010,"AHY","M","MP1","MP1","east"
"2609","4100-08472","1",2010,"AHY","M","MP1","MP1","east"
"2610","4100-08473","1",2010,"AHY","M","MP1","MP1","east"
"2611","4100-08475","1",2010,"AHY","M","HOLZ","HOLZ","west"
"2612","4100-08476","1",2010,"AHY","M","HOLZ","HOLZ","west"
"2613","4100-08478","1",2010,"AHY","M","HOLZ","HOLZ","west"
"2614","4100-08479","1",2010,"AHY","M","HOLZ","HOLZ","west"
"2615","4100-08480","1",2010,"AHY","M","KV1","KV1","west"
"2616","4100-08481","1",2010,"AHY","F","MP1","MP1","east"
"2617","4100-08482","1",2010,"AHY","F","MP1","MP1","east"
"2618","4100-08482","R",2011,"AHY","F","MP1","MP1","east"
"2619","4100-08483","1",2010,"AHY","F","MP1","MP1","east"
"2620","4100-08484","1",2003,"AHY","F","MCGC","MCGC","east"
"2621","4100-08484","R",2003,"AHY","F","MCGC","MCGC","east"
"2622","4100-08484","R",2004,"AHY","F","MCGC","MCGC","east"
"2623","4100-08484","R",2005,"AHY","F","MCGC","MCGC","east"
"2624","4100-08484","R",2006,"AHY","F","MCGC","MCGC","east"
"2625","4100-08484","R",2007,"AHY","F","MCGC","MCGC","east"
"2626","4100-08484","R",2009,"AHY","F","MCGC","MCGC","east"
"2627","4100-08484","R",2010,"AHY","F","MCGC","MCGC","east"
"2628","4100-08484","R",2011,"AHY","F","MCGC","MCGC","east"
"2629","4100-08485","1",2010,"AHY","F","MCGC","MCGC","east"
"2630","4100-08486","1",2010,"AHY","F","MP1","MP1","east"
"2631","4100-08487","1",2010,"AHY","F","MCGC","MCGC","east"
"2632","4100-08488","1",2010,"HY","F","MCGC","MCGC","east"
"2633","4100-08489","1",2009,"AHY","F","MP1","MP1","east"
"2634","4100-08489","R",2011,"AHY","F","MP1","MP1","east"
"2635","4100-08490","1",2011,"AHY","F","MP1","MP1","east"
"2636","4100-08491","1",2010,"AHY","F","MCGC","MCGC","east"
"2637","4100-08491","R",2011,"AHY","F","MCGC","MCGC","east"
"2638","4100-08492","1",2010,"AHY","F","MCGC","MCGC","east"
"2639","4100-08493","1",2010,"AHY","F","MCGC","MCGC","east"
"2640","4100-08494","1",2010,"AHY","F","MP1","MP1","east"
"2641","4100-08495","1",2010,"AHY","F","MP1","MP1","east"
"2642","4100-08496","1",2010,"AHY","F","MP1","MP1","east"
"2643","4100-08497","1",2010,"AHY","F","MP1","MP1","east"
"2644","4100-08498","1",2010,"AHY","F","MP1","MP1","east"
"2645","4100-08499","1",2010,"AHY","F","MP1","MP1","east"
"2646","4100-08500","1",2010,"AHY","F","HPK2","HPK2","east"
"2647","4100-08500","R",2011,"AHY","F","HPK2","HPK2","east"
"2648","4100-08501","1",2010,"AHY","M","MCGC","MCGC","east"
"2649","4100-08502","1",2010,"AHY","M","MCGC","MCGC","east"
"2650","4100-08503","1",2010,"AHY","M","MCGC","MCGC","east"
"2651","4100-08505","1",2010,"AHY","M","MCGC","MCGC","east"
"2652","4100-08506","1",2010,"AHY","M","MCGC","MCGC","east"
"2653","4100-08507","1",2010,"AHY","M","MCGC","MCGC","east"
"2654","4100-08508","1",2010,"AHY","M","MCGC","MCGC","east"
"2655","4100-08509","1",2010,"AHY","M","MCGC","MCGC","east"
"2656","4100-08512","1",2010,"AHY","M","MP1","MP1","east"
"2657","4100-08513","1",2010,"AHY","M","MP1","MP1","east"
"2658","4100-08514","1",2010,"AHY","M","MP1","MP1","east"
"2659","4100-08515","1",2009,"HY","M","MCGC","MCGC","east"
"2660","4100-08515","R",2009,"HY","M","MCGC","MCGC","east"
"2661","4100-08515","R",2010,"HY","M","MCGC","CC3","east"
"2662","4100-08515","R",2010,"HY","M","MCGC","MCGC","east"
"2663","4100-08516","1",2010,"AHY","M","MP1","MP1","east"
"2664","4100-08517","1",2010,"AHY","M","MP1","MP1","east"
"2665","4100-08518","1",2010,"AHY","M","MP1","MP1","east"
"2666","4100-08519","1",2010,"AHY","M","MP1","MP1","east"
"2667","4100-08520","1",2010,"AHY","M","MP1","MP1","east"
"2668","4100-08521","1",2010,"AHY","F","MCGC","MCGC","east"
