"","UBI_band","band_status","year","species","age","fixed_sex","site"
"2280","9000-11864","1",2006,"BTLH","AHY","M","GNMTN"
"2281","9000-11865","1",2006,"BTLH","AHY","M","GNMTN"
"2282","9000-11866","1",2006,"BTLH","AHY","M","MCGC"
"2283","9000-11870","1",2006,"BTLH","AHY","M","MCGC"
"2284","9000-11871","1",2006,"BTLH","AHY","M","MP1"
"2285","9000-11872","1",2006,"BTLH","AHY","M","MP1"
"2286","9000-11873","1",2006,"BTLH","AHY","M","MP1"
"2287","9000-11874","1",2006,"BTLH","AHY","M","MP1"
"2288","9000-11875","1",2006,"BTLH","AHY","M","MP1"
"2289","9000-11876","1",2006,"BTLH","AHY","M","MP1"
"2290","9000-11877","1",2006,"BTLH","AHY","M","MP1"
"2291","9000-11878","1",2006,"BTLH","AHY","M","MP1"
"2292","9000-11881","1",2006,"BTLH","AHY","M","MCGC"
"2293","9000-11883","1",2006,"BTLH","AHY","M","MCGC"
"2294","9000-11886","1",2006,"BTLH","AHY","M","MCGC"
"2295","9000-11888","1",2006,"BTLH","AHY","M","MP1"
"2296","9000-11889","1",2006,"BTLH","AHY","M","MP1"
"2297","9000-11890","1",2006,"BTLH","AHY","M","MP1"
"2298","9000-11891","1",2006,"BTLH","AHY","M","MP1"
"2299","9000-11897","1",2006,"BTLH","AHY","M","HOLZ"
"2300","9000-11898","1",2006,"BTLH","AHY","M","GNMTN"
"2301","9000-11899","1",2006,"BTLH","HY","M","KV1"
"2302","9000-11900","1",2006,"BTLH","AHY","M","MP1"
"2303","9000-11901","1",2006,"BTLH","AHY","F","KV1"
"2304","9000-11902","1",2006,"BTLH","AHY","F","KV1"
"2305","9000-11903","1",2006,"BTLH","AHY","F","KV1"
"2306","9000-11904","1",2006,"BTLH","AHY","F","KV1"
"2307","9000-11905","1",2006,"BTLH","AHY","F","KV1"
"2308","9000-11906","1",2006,"BTLH","AHY","F","KV1"
"2309","9000-11907","1",2006,"BTLH","AHY","F","KV1"
"2310","9000-11908","1",2006,"BTLH","AHY","F","KV1"
"2311","9000-11909","1",2006,"BTLH","AHY","F","KV1"
"2312","9000-11910","1",2006,"BTLH","AHY","F","GNMTN"
"2313","9000-11911","1",2006,"BTLH","AHY","F","GNMTN"
"2314","9000-11912","1",2006,"BTLH","AHY","F","GNMTN"
"2315","9000-11913","1",2006,"BTLH","AHY","F","GNMTN"
"2316","9000-11914","1",2006,"BTLH","AHY","F","GNMTN"
"2317","9000-11915","R",2006,"BTLH","AHY","F","MCGC"
"2318","9000-11916","1",2006,"BTLH","AHY","F","MCGC"
"2319","9000-91152","1",2006,"BTLH","AHY","F","MCGC"
"2320","9000-11918","1",2006,"BTLH","AHY","F","MCGC"
"2321","9000-11919","1",2006,"BTLH","AHY","F","MCGC"
