"","UBI_band","band_status","year","species","age","fixed_sex","site"
"1","5000-11523","1",2003,"BTLH","AHY","M","MCGC"
"2","5000-11524","1",2003,"BTLH","AHY","M","MCGC"
"3","5000-11525","1",2003,"BTLH","AHY","F","MCGC"
"4","5000-11526","1",2003,"BTLH","AHY","F","MCGC"
"5","5000-11527","1",2003,"BTLH","AHY","M","MCGC"
"6","5000-11528","1",2003,"BTLH","AHY","M","MCGC"
"7","5000-11529","1",2003,"BTLH","AHY","M","MCGC"
"8","5000-11530","1",2003,"BTLH","AHY","M","MCGC"
"9","5000-11531","1",2003,"BTLH","AHY","F","MCGC"
"10","5000-11532","1",2003,"BTLH","AHY","M","MCGC"
"11","5000-11533","1",2003,"BTLH","AHY","F","MCGC"
"12","5000-11534","1",2003,"BTLH","AHY","M","MCGC"
"13","5000-11535","1",2003,"BTLH","AHY","M","MCGC"
"14","5000-11536","1",2003,"BTLH","AHY","F","MCGC"
"15","5000-11537","1",2003,"BTLH","AHY","F","MCGC"
"16","5000-11538","1",2003,"BTLH","AHY","F","MCGC"
"17","5000-11539","1",2003,"BTLH","AHY","F","MCGC"
"18","5000-11540","1",2003,"BTLH","AHY","M","MCGC"
"19","5000-11541","1",2003,"BTLH","AHY","F","MCGC"
"20","5000-11542","1",2003,"BTLH","AHY","F","MCGC"
"21","5000-11543","1",2003,"BTLH","AHY","F","MCGC"
"22","5000-11544","1",2003,"BTLH","AHY","F","MCGC"
"23","5000-11545","1",2003,"BTLH","AHY","F","MCGC"
"24","5000-11546","1",2003,"BTLH","AHY","F","MCGC"
"25","5000-11547","1",2003,"BTLH","AHY","M","MCGC"
"26","5000-11548","1",2003,"BTLH","AHY","F","MCGC"
"27","5000-11549","1",2003,"BTLH","AHY","F","MCGC"
"28","5000-11550","1",2003,"BTLH","AHY","F","MCGC"
"29","5000-11551","1",2003,"BTLH","AHY","F","MCGC"
"30","5000-11552","1",2003,"BTLH","AHY","F","MCGC"
"31","5000-11553","1",2003,"BTLH","AHY","M","MCGC"
"32","5000-11554","1",2003,"BTLH","AHY","F","MCGC"
"33","5000-11555","1",2003,"BTLH","AHY","M","MCGC"
"34","5000-11556","1",2003,"BTLH","AHY","F","MCGC"
"35","5000-11557","1",2003,"BTLH","AHY","F","MCGC"
"36","5000-11558","1",2003,"BTLH","AHY","F","MCGC"
"37","5000-11559","1",2003,"BTLH","AHY","M","MCGC"
"38","5000-11560","1",2003,"BTLH","AHY","F","MCGC"
"39","5000-11561","1",2003,"BTLH","AHY","M","MCGC"
"40","5000-11562","1",2003,"BTLH","AHY","M","MCGC"
"41","5000-11563","1",2003,"BTLH","AHY","F","MCGC"
"42","5000-11564","1",2003,"BTLH","AHY","M","MCGC"
"43","5000-11565","1",2003,"BTLH","AHY","F","MCGC"
"44","5000-11566","1",2003,"BTLH","AHY","F","MCGC"
"45","5000-11567","1",2003,"BTLH","AHY","F","MCGC"
"46","5000-11568","1",2003,"BTLH","AHY","F","MCGC"
"47","5000-11569","1",2003,"BTLH","AHY","M","MCGC"
"48","5000-11570","1",2003,"BTLH","AHY","M","MCGC"
"49","5000-11571","1",2003,"BTLH","AHY","F","MCGC"
"50","5000-11572","1",2003,"BTLH","AHY","M","MCGC"
"51","5000-11573","1",2003,"BTLH","AHY","M","MCGC"
"52","5000-11575","1",2003,"BTLH","AHY","M","MCGC"
"53","5000-11576","1",2003,"BTLH","AHY","F","MCGC"
"54","5000-11577","1",2003,"BTLH","AHY","M","MCGC"
"55","5000-11578","1",2003,"BTLH","AHY","F","MCGC"
"56","5000-11579","1",2003,"BTLH","AHY","M","MCGC"
"57","5000-11580","1",2003,"BTLH","AHY","M","MCGC"
"58","5000-11581","1",2003,"BTLH","AHY","M","MCGC"
"59","5000-11582","1",2003,"BTLH","AHY","F","MCGC"
"60","5000-11583","1",2003,"BTLH","AHY","F","MCGC"
"61","5000-11584","1",2003,"BTLH","AHY","F","MCGC"
"62","5000-11585","1",2003,"BTLH","AHY","M","MCGC"
"63","5000-11586","1",2003,"BTLH","AHY","F","MCGC"
"64","5000-11587","1",2003,"BTLH","AHY","F","MCGC"
"65","5000-11588","1",2003,"BTLH","AHY","M","MCGC"
"66","5000-11589","1",2003,"BTLH","AHY","F","MCGC"
"67","5000-11590","1",2003,"BTLH","AHY","M","MCGC"
"68","5000-11591","1",2003,"BTLH","AHY","M","MCGC"
"69","5000-11592","1",2003,"BTLH","AHY","M","MCGC"
"70","5000-11593","1",2003,"BTLH","AHY","F","MCGC"
"71","5000-11594","1",2003,"BTLH","AHY","M","MCGC"
"72","5000-11595","1",2003,"BTLH","AHY","M","MCGC"
"73","5000-11596","1",2003,"BTLH","AHY","M","MCGC"
"74","5000-11597","1",2003,"BTLH","AHY","M","MCGC"
"75","5000-11598","1",2003,"BTLH","AHY","M","MCGC"
"76","5000-11599","1",2003,"BTLH","AHY","F","MCGC"
"77","5000-11600","1",2003,"BTLH","AHY","M","MCGC"
"78","5000-11601","1",2003,"BTLH","AHY","F","MCGC"
"79","5000-11602","1",2003,"BTLH","AHY","M","MCGC"
"80","5000-11603","1",2003,"BTLH","AHY","M","MCGC"
"81","5000-11604","1",2003,"BTLH","AHY","F","MCGC"
"82","5000-11605","1",2003,"BTLH","AHY","F","MCGC"
"83","5000-11606","1",2003,"BTLH","AHY","F","MCGC"
"84","5000-11607","1",2003,"BTLH","AHY","F","MCGC"
"85","5000-11608","1",2003,"BTLH","AHY","F","MCGC"
"86","5000-11609","1",2003,"BTLH","AHY","F","MCGC"
"87","5000-11610","1",2003,"BTLH","AHY","M","MCGC"
"88","5000-11611","1",2003,"BTLH","AHY","M","MCGC"
"89","5000-11612","1",2003,"BTLH","AHY","M","MCGC"
"90","5000-11613","1",2003,"BTLH","AHY","M","MCGC"
"91","5000-11614","1",2003,"BTLH","AHY","F","MCGC"
"92","5000-11615","1",2003,"BTLH","AHY","F","MCGC"
"93","5000-11616","1",2003,"BTLH","AHY","M","MCGC"
"94","5000-11617","1",2003,"BTLH","AHY","F","MCGC"
"95","5000-11618","1",2003,"BTLH","AHY","F","MCGC"
"96","5000-11619","1",2003,"BTLH","AHY","F","MCGC"
"97","5000-11620","1",2003,"BTLH","AHY","F","MCGC"
"98","5000-11621","1",2003,"BTLH","AHY","F","MCGC"
"99","5000-11622","1",2003,"BTLH","AHY","F","MCGC"
"100","5000-11623","1",2003,"BTLH","AHY","F","MCGC"
"101","5000-11624","1",2003,"BTLH","AHY","F","MCGC"
"102","5000-11625","1",2003,"BTLH","AHY","F","MCGC"
"103","5000-11626","1",2003,"BTLH","AHY","M","MCGC"
"104","5000-11627","1",2003,"BTLH","AHY","M","MCGC"
"105","5000-11628","1",2003,"BTLH","AHY","F","MCGC"
"106","5000-11629","1",2003,"BTLH","AHY","F","MCGC"
"107","5000-11630","1",2003,"BTLH","AHY","M","MCGC"
"108","5000-11631","1",2003,"BTLH","AHY","M","MCGC"
"109","5000-11632","1",2003,"BTLH","AHY","M","MCGC"
"110","5000-11633","1",2003,"BTLH","AHY","M","MCGC"
"111","5000-11634","1",2003,"BTLH","AHY","M","MCGC"
"112","5000-11635","1",2003,"BTLH","AHY","F","MCGC"
"113","5000-11636","1",2003,"BTLH","AHY","M","MCGC"
"114","5000-11637","1",2003,"BTLH","AHY","M","MCGC"
"115","5000-11638","1",2003,"BTLH","AHY","M","MCGC"
"116","5000-11639","1",2003,"BTLH","AHY","M","MCGC"
"117","5000-11640","1",2003,"BTLH","AHY","F","MCGC"
"118","5000-11641","1",2003,"BTLH","AHY","F","MCGC"
"119","5000-11642","1",2003,"BTLH","AHY","F","MCGC"
"120","5000-11643","1",2003,"BTLH","AHY","F","MCGC"
"121","5000-11644","1",2003,"BTLH","AHY","F","MCGC"
"122","5000-11645","1",2003,"BTLH","AHY","F","MCGC"
"123","5000-11646","1",2003,"BTLH","AHY","F","MCGC"
"124","5000-11647","1",2003,"BTLH","AHY","F","MCGC"
"125","5000-11648","1",2003,"BTLH","AHY","F","MCGC"
"126","5000-11649","1",2003,"BTLH","AHY","F","MCGC"
"127","5000-11650","1",2003,"BTLH","AHY","F","MCGC"
"128","5000-11651","1",2003,"BTLH","AHY","F","MCGC"
"129","5000-11652","1",2003,"BTLH","AHY","F","MCGC"
"130","5000-11653","1",2003,"BTLH","AHY","F","MCGC"
"131","5000-11654","1",2003,"BTLH","AHY","M","MCGC"
"132","5000-11655","1",2003,"BTLH","AHY","F","MCGC"
"133","5000-11656","1",2003,"BTLH","AHY","F","MCGC"
"134","5000-11657","1",2003,"BTLH","AHY","F","MCGC"
"135","5000-11658","1",2003,"BTLH","AHY","F","MCGC"
"136","5000-11659","1",2003,"BTLH","AHY","F","MCGC"
"137","5000-11660","1",2003,"BTLH","AHY","F","MCGC"
"138","5000-11661","1",2003,"BTLH","AHY","F","MCGC"
"139","5000-11662","1",2003,"BTLH","AHY","F","MCGC"
"140","5000-11664","1",2003,"BTLH","AHY","M","MCGC"
"141","5000-11665","1",2003,"BTLH","AHY","M","MCGC"
"142","5000-11666","1",2003,"BTLH","AHY","M","MCGC"
"143","5000-11667","1",2003,"BTLH","AHY","M","MCGC"
"144","5000-11663","1",2003,"BTLH","AHY","F","MCGC"
"145","5000-11669","1",2003,"BTLH","AHY","F","MCGC"
"146","5000-11674","1",2003,"BTLH","AHY","F","MCGC"
"147","5000-11676","1",2003,"BTLH","AHY","F","MCGC"
"148","5000-11679","1",2003,"BTLH","AHY","M","MCGC"
"149","5000-11680","1",2003,"BTLH","AHY","F","MCGC"
"150","5000-11682","1",2003,"BTLH","AHY","F","MCGC"
"151","5000-11683","1",2003,"BTLH","AHY","F","MCGC"
"152","5000-11684","1",2003,"BTLH","AHY","F","MCGC"
"153","5000-11690","1",2003,"BTLH","AHY","F","CC2"
"154","5000-11691","1",2003,"BTLH","AHY","F","CC2"
"155","5000-11692","1",2003,"BTLH","AHY","F","CC2"
"156","5000-11693","1",2003,"BTLH","AHY","M","MCGC"
"157","5000-11694","1",2003,"BTLH","AHY","M","MCGC"
"158","5000-11695","1",2003,"BTLH","AHY","F","MCGC"
"159","5000-11696","1",2003,"BTLH","AHY","M","MCGC"
"160","5000-11698","1",2003,"BTLH","AHY","F","CC2"
"161","5000-11699","1",2003,"BTLH","AHY","F","MCGC"
"162","5000-11702","1",2003,"BTLH","AHY","F","MCGC"
"163","5000-11706","1",2003,"BTLH","AHY","F","MCGC"
"164","5000-11707","1",2003,"BTLH","AHY","M","MCGC"
"165","5000-11709","1",2003,"BTLH","AHY","M","MCGC"
"166","5000-11710","1",2003,"BTLH","AHY","F","MCGC"
"167","5000-11711","1",2003,"BTLH","AHY","M","MCGC"
"168","5000-11716","1",2003,"BTLH","AHY","F","MCGC"
"169","5000-11717","1",2003,"BTLH","AHY","F","MCGC"
"170","5000-11718","1",2003,"BTLH","AHY","F","MCGC"
"171","5000-11719","1",2003,"BTLH","AHY","F","MCGC"
"172","5000-11723","1",2003,"BTLH","AHY","F","MCGC"
"173","5000-11725","1",2003,"BTLH","AHY","F","MCGC"
"174","5000-11727","1",2003,"BTLH","AHY","F","MCGC"
"175","5000-11728","1",2003,"BTLH","AHY","F","MCGC"
"176","5000-11729","1",2003,"BTLH","AHY","F","MCGC"
"177","5000-11731","1",2003,"BTLH","AHY","F","MCGC"
"178","5000-11774","1",2003,"BTLH","AHY","M","MCGC"
"179","5000-11732","1",2003,"BTLH","AHY","F","MCGC"
"180","5000-11734","1",2003,"BTLH","AHY","F","MCGC"
"181","5000-11735","1",2003,"BTLH","AHY","F","MCGC"
"182","5000-11737","1",2003,"BTLH","AHY","F","MCGC"
"183","5000-11738","1",2003,"BTLH","AHY","F","MCGC"
"184","5000-11739","1",2003,"BTLH","AHY","F","MCGC"
"185","5000-11740","1",2003,"BTLH","AHY","F","MCGC"
"186","5000-11741","1",2003,"BTLH","AHY","F","MCGC"
"187","5000-11742","1",2003,"BTLH","AHY","M","MCGC"
"188","5000-11743","1",2003,"BTLH","AHY","F","MCGC"
"189","5000-11744","1",2003,"BTLH","AHY","M","MCGC"
"190","5000-11745","1",2003,"BTLH","AHY","M","MCGC"
"191","5000-11746","1",2003,"BTLH","AHY","F","MCGC"
"192","5000-11747","1",2003,"BTLH","AHY","F","MCGC"
"193","5000-11748","1",2003,"BTLH","AHY","F","MCGC"
"194","5000-11749","1",2003,"BTLH","AHY","M","MCGC"
"195","5000-11750","1",2003,"BTLH","AHY","F","MCGC"
"196","5000-11751","1",2003,"BTLH","AHY","F","MCGC"
"197","5000-11754","1",2003,"BTLH","AHY","F","MCGC"
"198","5000-11756","1",2003,"BTLH","AHY","F","MCGC"
"199","4100-08484","1",2003,"BTLH","AHY","F","MCGC"
"200","5000-11759","1",2003,"BTLH","AHY","F","MCGC"
"201","5000-11760","1",2003,"BTLH","AHY","M","MCGC"
"202","5000-11761","1",2003,"BTLH","AHY","F","MCGC"
"203","5000-11763","1",2003,"BTLH","AHY","F","MCGC"
"204","5000-11764","1",2003,"BTLH","AHY","F","MCGC"
"205","5000-11766","1",2003,"BTLH","AHY","F","MCGC"
"206","9000-12256","1",2003,"BTLH","AHY","F","CC2"
"207","5000-11767","1",2003,"BTLH","AHY","F","MCGC"
"208","5000-11770","1",2003,"BTLH","AHY","F","CC2"
"209","5000-11771","1",2003,"BTLH","AHY","F","CC2"
"210","5000-11772","1",2003,"BTLH","AHY","M","CC2"
"211","5000-11773","1",2003,"BTLH","AHY","M","CC2"
"212","5000-11776","1",2003,"BTLH","AHY","F","MCGC"
"213","5000-11778","1",2003,"BTLH","AHY","F","MCGC"
"214","5000-11779","1",2003,"BTLH","AHY","F","MCGC"
"215","5000-11784","1",2003,"BTLH","AHY","F","MCGC"
"216","5000-11785","1",2003,"BTLH","AHY","F","MCGC"
"217","5000-11787","1",2003,"BTLH","AHY","F","MCGC"
"218","5000-11788","1",2003,"BTLH","AHY","F","MCGC"
"219","5000-11796","1",2003,"BTLH","AHY","F","MCGC"
"220","5000-11799","1",2003,"BTLH","AHY","F","MCGC"
"221","5000-11800","1",2003,"BTLH","AHY","F","MCGC"
"222","5000-29201","1",2003,"BTLH","AHY","F","MCGC"
"223","5000-29203","1",2003,"BTLH","AHY","F","MCGC"
"224","5000-29204","1",2003,"BTLH","AHY","M","MCGC"
"225","5000-29205","1",2003,"BTLH","AHY","F","MCGC"
"226","5000-29206","1",2003,"BTLH","AHY","F","MCGC"
"227","5000-29212","1",2003,"BTLH","AHY","F","MCGC"
"228","5000-29213","1",2003,"BTLH","AHY","F","MCGC"
"229","5000-29214","1",2003,"BTLH","AHY","F","MCGC"
"230","5000-29210","1",2003,"BTLH","AHY","F","MCGC"
"231","5000-29216","1",2003,"BTLH","AHY","F","MCGC"
"232","5000-29217","1",2003,"BTLH","AHY","F","MCGC"
"233","5000-29218","1",2003,"BTLH","AHY","F","MCGC"
"234","5000-29219","1",2003,"BTLH","AHY","M","MCGC"
"235","5000-29220","1",2003,"BTLH","AHY","F","MCGC"
"236","5000-29221","1",2003,"BTLH","AHY","F","MCGC"
"237","5000-29222","1",2003,"BTLH","AHY","F","MCGC"
"238","5000-29224","1",2003,"BTLH","AHY","F","MCGC"
"239","5000-29225","1",2003,"BTLH","AHY","F","MCGC"
"240","5000-29228","1",2003,"BTLH","HY","F","MCGC"
"241","5000-29229","1",2003,"BTLH","AHY","F","MCGC"
"242","5000-29230","1",2003,"BTLH","AHY","F","MCGC"
"243","5000-29232","1",2003,"BTLH","AHY","F","MCGC"
"244","5000-29233","1",2003,"BTLH","AHY","F","MCGC"
"245","5000-29234","1",2003,"BTLH","AHY","F","MCGC"
"246","5000-29239","1",2003,"BTLH","AHY","M","MCGC"
"247","5000-29244","1",2003,"BTLH","HY","M","MCGC"
"248","5000-29245","1",2003,"BTLH","AHY","F","MCGC"
"249","5000-29248","1",2003,"BTLH","AHY","M","MCGC"
"250","5000-29252","1",2003,"BTLH","AHY","F","MCGC"
"251","5000-29254","1",2003,"BTLH","AHY","M","MCGC"
"252","5000-29255","1",2003,"BTLH","AHY","F","MCGC"
"253","5000-29257","1",2003,"BTLH","AHY","F","MCGC"
"254","5000-29258","1",2003,"BTLH","AHY","F","MCGC"
"255","5000-29260","1",2003,"BTLH","AHY","M","MCGC"
"256","5000-29261","1",2003,"BTLH","AHY","F","MCGC"
"257","5000-29263","1",2003,"BTLH","AHY","F","MCGC"
"258","5000-29266","1",2003,"BTLH","AHY","F","MCGC"
"259","5000-29267","1",2003,"BTLH","AHY","M","MCGC"
"260","5000-29269","1",2003,"BTLH","AHY","F","MCGC"
"261","5000-29271","1",2003,"BTLH","AHY","F","MCGC"
"262","5000-29273","1",2003,"BTLH","AHY","F","MCGC"
"263","5000-29275","1",2003,"BTLH","HY","F","MCGC"
"264","5000-29276","1",2003,"BTLH","AHY","F","MCGC"
"265","5000-29277","1",2003,"BTLH","AHY","M","MCGC"
"266","5000-29279","1",2003,"BTLH","HY","M","MCGC"
"267","5000-29281","1",2003,"BTLH","AHY","F","MCGC"
"268","5000-29284","1",2003,"BTLH","AHY","F","MCGC"
"269","5000-29285","1",2003,"BTLH","AHY","F","MCGC"
"270","5000-29286","1",2003,"BTLH","AHY","F","MCGC"
"271","5000-29287","1",2003,"BTLH","AHY","F","MCGC"
"272","5000-29288","1",2003,"BTLH","AHY","M","MCGC"
"273","5000-29290","1",2003,"BTLH","AHY","F","MP1"
"274","5000-29291","1",2003,"BTLH","AHY","F","MP1"
"275","5000-29292","1",2003,"BTLH","AHY","F","MP1"
"276","5000-29293","1",2003,"BTLH","AHY","F","MP1"
"277","5000-29294","1",2003,"BTLH","AHY","F","MP1"
"278","5000-29295","1",2003,"BTLH","AHY","F","MP1"
"279","5000-29297","1",2003,"BTLH","AHY","F","MP1"
"280","5000-29298","1",2003,"BTLH","AHY","F","MP1"
"281","5000-29300","1",2003,"BTLH","AHY","F","MP1"
"282","5000-29302","1",2003,"BTLH","AHY","M","MP1"
"283","5000-29304","1",2003,"BTLH","AHY","F","MCGC"
"284","5000-29305","1",2003,"BTLH","AHY","M","MCGC"
"285","5000-29306","1",2003,"BTLH","AHY","F","MCGC"
"286","5000-29312","1",2003,"BTLH","AHY","F","MCGC"
"287","5000-29315","1",2003,"BTLH","AHY","F","MCGC"
"288","5000-29316","1",2003,"BTLH","AHY","F","MCGC"
"289","5000-29317","1",2003,"BTLH","AHY","F","MCGC"
"290","5000-29319","1",2003,"BTLH","AHY","M","MCGC"
"291","5000-29320","1",2003,"BTLH","AHY","F","MCGC"
"292","5000-29321","1",2003,"BTLH","AHY","M","MCGC"
"293","5000-29323","1",2003,"BTLH","HY","M","MCGC"
"294","5000-29324","1",2003,"BTLH","HY","F","MCGC"
"295","5000-29325","1",2003,"BTLH","HY","M","MCGC"
"296","5000-29327","1",2003,"BTLH","HY","M","MCGC"
"297","5000-29328","1",2003,"BTLH","HY","F","MCGC"
"298","5000-29329","1",2003,"BTLH","HY","M","MCGC"
"299","5000-29332","1",2003,"BTLH","AHY","F","MCGC"
"300","5000-29335","1",2003,"BTLH","AHY","F","MCGC"
"301","5000-29336","1",2003,"BTLH","AHY","F","MCGC"
"302","5000-29338","1",2003,"BTLH","HY","M","MCGC"
"303","5000-29339","1",2003,"BTLH","AHY","M","MCGC"
"304","5000-29340","1",2003,"BTLH","AHY","F","MCGC"
"305","5000-29342","1",2003,"BTLH","AHY","F","MCGC"
"306","5000-29346","1",2003,"BTLH","AHY","M","MP1"
"307","5000-29347","1",2003,"BTLH","AHY","F","MP1"
"308","5000-29348","1",2003,"BTLH","AHY","F","MP1"
"309","5000-29349","1",2003,"BTLH","AHY","F","MP1"
"310","5000-29350","1",2003,"BTLH","AHY","F","MP1"
"311","5000-29351","1",2003,"BTLH","AHY","F","MP1"
"312","5000-29352","1",2003,"BTLH","AHY","F","MP1"
"313","5000-29353","1",2003,"BTLH","AHY","F","MP1"
"314","5000-29354","1",2003,"BTLH","AHY","M","MP1"
"315","5000-29355","1",2003,"BTLH","AHY","F","MP1"
"316","5000-29356","1",2003,"BTLH","AHY","F","MP1"
"317","5000-29357","1",2003,"BTLH","AHY","F","MP1"
"318","5000-29358","1",2003,"BTLH","AHY","F","MP1"
"319","5000-29359","1",2003,"BTLH","AHY","F","MP1"
"320","5000-29360","1",2003,"BTLH","AHY","F","MP1"
"321","5000-29361","1",2003,"BTLH","HY","M","MP1"
"322","5000-29345","1",2003,"BTLH","AHY","F","MCGC"
"323","5000-29363","1",2003,"BTLH","HY","F","MCGC"
"324","5000-29365","1",2003,"BTLH","HY","M","MCGC"
"325","5000-29367","1",2003,"BTLH","HY","F","MCGC"
"326","5000-29369","1",2003,"BTLH","AHY","F","MCGC"
"327","5000-29371","1",2003,"BTLH","HY","F","MCGC"
"328","5000-29375","1",2003,"BTLH","AHY","F","MCGC"
"329","5000-29396","1",2003,"BTLH","AHY","M","MCGC"
"330","5000-29398","1",2003,"BTLH","HY","M","MCGC"
"331","5000-29400","1",2003,"BTLH","AHY","M","MCGC"
"332","5000-29401","1",2003,"BTLH","AHY","M","MCGC"
"333","5000-29402","1",2003,"BTLH","HY","M","MCGC"
"334","5000-29403","1",2003,"BTLH","AHY","F","MP1"
"335","5000-29404","1",2003,"BTLH","AHY","F","MP1"
"336","5000-29405","1",2003,"BTLH","HY","M","MP1"
"337","5000-29406","1",2003,"BTLH","AHY","F","MP1"
"338","5000-29407","1",2003,"BTLH","AHY","F","MP1"
"339","5000-29408","1",2003,"BTLH","HY","F","MP1"
"340","5000-29409","1",2003,"BTLH","HY","F","MP1"
"341","5000-29410","1",2003,"BTLH","HY","M","MP1"
"342","5000-29411","1",2003,"BTLH","HY","F","MP1"
"343","5000-29412","1",2003,"BTLH","HY","M","MP1"
"344","5000-29413","1",2003,"BTLH","HY","F","MP1"
"345","5000-29416","1",2003,"BTLH","AHY","F","MP1"
"346","5000-29417","1",2003,"BTLH","AHY","F","MP1"
"347","5000-29418","1",2003,"BTLH","AHY","F","MP1"
"348","5000-29419","1",2003,"BTLH","AHY","F","MP1"
"349","5000-29420","1",2003,"BTLH","AHY","F","MP1"
"350","5000-29421","1",2003,"BTLH","AHY","F","MCGC"
"351","5000-29423","1",2003,"BTLH","HY","F","MCGC"
"352","5000-29426","1",2003,"BTLH","HY","M","MCGC"
"353","5000-29427","1",2003,"BTLH","AHY","M","MCGC"
"354","5000-29428","1",2003,"BTLH","AHY","F","MCGC"
"355","5000-29442","1",2003,"BTLH","AHY","F","MCGC"
"356","5000-29443","1",2003,"BTLH","AHY","M","MCGC"
"357","5000-29444","1",2003,"BTLH","AHY","F","MCGC"
"358","4000-47651","1",2003,"BTLH","AHY","M","MCGC"
"359","4000-47652","1",2003,"BTLH","HY","M","MCGC"
"360","4000-47653","1",2003,"BTLH","HY","M","MCGC"
"361","5000-29448","1",2003,"BTLH","HY","F","MCGC"
"362","5000-29449","1",2003,"BTLH","AHY","M","MCGC"
"363","5000-29450","1",2003,"BTLH","AHY","F","MCGC"
"364","4000-47655","1",2003,"BTLH","AHY","M","MCGC"
"365","4000-47656","1",2003,"BTLH","AHY","F","MCGC"
"366","4000-47657","1",2003,"BTLH","HY","M","MCGC"
"367","4000-47658","1",2003,"BTLH","HY","M","MP1"
"368","4000-47659","1",2003,"BTLH","HY","M","MP1"
"369","4000-47660","1",2003,"BTLH","AHY","F","MP1"
"370","4000-47661","1",2003,"BTLH","AHY","F","MP1"
"371","4000-47662","1",2003,"BTLH","AHY","F","MP1"
"372","4000-47664","1",2003,"BTLH","AHY","F","MP1"
"373","4000-47666","1",2003,"BTLH","AHY","F","MP1"
"374","4000-47667","1",2003,"BTLH","AHY","F","MP1"
"375","4000-47668","1",2003,"BTLH","HY","M","MP1"
"376","4000-47669","1",2003,"BTLH","HY","F","MP1"
"377","4000-47670","1",2003,"BTLH","AHY","F","MCGC"
"378","4000-47671","1",2003,"BTLH","HY","F","MCGC"
"379","4000-47673","1",2003,"BTLH","HY","M","MCGC"
"380","4000-47674","1",2003,"BTLH","HY","M","MCGC"
"381","4000-47675","1",2003,"BTLH","HY","M","MCGC"
"382","4000-47676","1",2003,"BTLH","AHY","F","MCGC"
"383","4000-47677","1",2003,"BTLH","HY","M","MCGC"
"384","4000-47678","1",2003,"BTLH","AHY","F","MP1"
"385","4000-47679","1",2003,"BTLH","AHY","F","MP1"
"386","4000-47680","1",2003,"BTLH","HY","M","MP1"
"387","4000-47681","1",2003,"BTLH","AHY","F","MP1"
"388","4000-47683","1",2003,"BTLH","AHY","M","MP1"
"389","4000-47684","1",2003,"BTLH","AHY","F","MP1"
"390","4000-47685","1",2003,"BTLH","AHY","F","MP1"
"391","9000-12075","1",2003,"BTLH","AHY","F","MP1"
"392","4000-47687","1",2003,"BTLH","AHY","F","MP1"
"393","4000-47688","1",2003,"BTLH","AHY","F","MP1"
"394","4000-47689","1",2003,"BTLH","AHY","F","MP1"
"395","4000-47690","1",2003,"BTLH","HY","M","MP1"
"396","4000-47691","1",2003,"BTLH","AHY","F","MP1"
"397","4000-47692","1",2003,"BTLH","AHY","F","MP1"
"398","4000-47693","1",2003,"BTLH","HY","M","MP1"
"399","4000-47694","1",2003,"BTLH","AHY","F","MP1"
"400","4000-47695","1",2003,"BTLH","AHY","F","MP1"
"401","4000-47696","1",2003,"BTLH","AHY","F","MP1"
"402","4000-47699","1",2003,"BTLH","HY","M","MCGC"
"403","4000-47700","1",2003,"BTLH","HY","M","MCGC"
"404","4000-47702","1",2003,"BTLH","HY","M","MCGC"
"405","4000-47703","1",2003,"BTLH","AHY","F","MP1"
"406","4000-47704","1",2003,"BTLH","HY","M","MP1"
"407","4000-47705","1",2003,"BTLH","AHY","F","MP1"
"408","4000-47706","1",2003,"BTLH","AHY","F","MP1"
"409","4000-47707","1",2003,"BTLH","AHY","F","MP1"
"410","4000-47708","1",2003,"BTLH","AHY","F","MP1"
"411","4000-47709","1",2003,"BTLH","AHY","F","MP1"
"412","4000-47710","1",2003,"BTLH","HY","M","MCGC"
"413","4000-47711","1",2003,"BTLH","HY","M","MCGC"
"414","4000-47712","1",2003,"BTLH","AHY","M","MCGC"
"415","4000-47713","1",2003,"BTLH","HY","M","MCGC"
"416","4000-47715","1",2003,"BTLH","HY","M","MCGC"
"417","4000-47717","1",2003,"BTLH","HY","F","MCGC"
"418","4000-47718","1",2003,"BTLH","HY","M","MCGC"
"419","4000-47719","1",2003,"BTLH","HY","F","MCGC"
"420","4000-47720","1",2003,"BTLH","HY","F","MCGC"
"421","4000-47721","1",2003,"BTLH","HY","M","MCGC"
"422","4000-47722","1",2003,"BTLH","HY","M","MCGC"
"423","4000-47723","1",2003,"BTLH","HY","F","MCGC"
"424","4000-47724","1",2003,"BTLH","HY","M","MCGC"
"425","4000-47725","1",2003,"BTLH","HY","M","MCGC"
"426","4000-47731","1",2003,"BTLH","HY","F","MCGC"
"427","4000-47732","1",2003,"BTLH","HY","M","MCGC"
"428","4000-47733","1",2003,"BTLH","HY","F","MCGC"
"429","4000-47734","1",2003,"BTLH","HY","M","MCGC"
"430","4000-47735","1",2003,"BTLH","HY","F","MCGC"
"431","4000-47736","1",2003,"BTLH","HY","F","MCGC"
"432","4000-47737","1",2003,"BTLH","HY","M","MCGC"
"433","4000-47738","1",2003,"BTLH","AHY","F","MCGC"
"434","4000-47739","1",2003,"BTLH","HY","F","MCGC"
"435","4000-47740","1",2003,"BTLH","HY","M","MCGC"
"436","4000-47741","1",2003,"BTLH","HY","F","MCGC"
"437","4000-47742","1",2003,"BTLH","HY","M","MCGC"
"438","4000-47751","1",2003,"BTLH","HY","M","MCGC"
"439","4000-47752","1",2003,"BTLH","HY","M","MCGC"
"440","4000-47753","1",2003,"BTLH","HY","M","MCGC"
"441","4000-47761","1",2004,"BTLH","AHY","M","MCGC"
