"band","band_status","recap_yr","sex","site_orig","r01","r02","r03","r04","r05","r06","r07","r08","r09","r10","r11","r12","r13","r14","r15","r16","r17","comments"
"9000-93691","R",2012,"M","MP1","5/30, E8, 3.24","","","","","","","","","","","","","","","","",""
"9100-22706","R",2012,"M","MP1","5/30, E7+, 3.2","","","","","","","","","","","","","","","","",""
"4100-58524","R",2012,"F","MP1","5/30, 3.45","","","","","","","","","","","","","","","","",""
"4100-08791","R",2012,"F","MP1","5/30, 4.01","","","","","","","","","","","","","","","","",""
"4100-59142","R",2012,"F","MP1","5/30, 3.79","","","","","","","","","","","","","","","","",""
"4100-58618","R",2012,"F","MP1","5/30, 3.25","","","","","","","","","","","","","","","","",""
"9100-23050","R",2012,"M","MP1","5/30, 3.17","","","","","","","","","","","","","","","","",""
"9100-22954","R",2012,"M","MP1","5/30, 3.15","","","","","","","","","","","","","","","","",""
"4100-59102","R",2012,"F","MP1","5/30, 3.76","","","","","","","","","","","","","","","","",""
"4100-59222","R",2012,"M","MP1","5/30, 3.21","","","","","","","","","","","","","","","","",""
"4100-59478","R",2012,"F","MP1","5/30, 3.56","","","","","","","","","","","","","","","","",""
"4100-59778","R",2012,"M","MP1","5/30, 3.21","","","","","","","","","","","","","","","","",""
"4100-58993","R",2012,"M","MP1","5/30, 3.17","","","","","","","","","","","","","","","","",""
"9100-23082","R",2012,"M","MP1","5/30, ","","","","","","","","","","","","","","","",""," banded today"
"9100-23039","R",2012,"M","MP1","6/1, 3.3","","","","","","","","","","","","","","","","",""
"4100-59040","R",2012,"F","MP1","6/1, E9, 3.96","","","","","","","","","","","","","","","","",""
"9100-22935","R",2012,"F","MP1","6/1, 3.34","","","","","","","","","","","","","","","","",""
"4100-59345","R",2012,"F","MP1","6/1, E8, 3.67","","","","","","","","","","","","","","","","",""
"6000-53739","R",2012,"F","MP1","6/1, E8, 3.81","","","","","","","","","","","","","","","","",""
"9100-22943","R",2012,"F","MP1","6/1, E7, 4.43","","","","","","","","","","","","","","","","",""
"4100-59941","R",2012,"M","MP1","6/1, 2.94","","","","","","","","","","","","","","","","",""
"4100-58993","R",2012,"M","MP1","6/1, 3.25","","","","","","","","","","","","","","","","",""
"4100-59876","R",2012,"M","MP1","6/1, 3.17","","","","","","","","","","","","","","","","",""
"4100-08451","R",2012,"F","MP1","6/1, 3.57","","","","","","","","","","","","","","","","",""
"4100-58519","R",2012,"F","MP1","6/1, 3.82","","","","","","","","","","","","","","","","",""
"9100-22943","R",2012,"F","MP1","6/1, ","","","","","","","","","","","","","","","","",""
"4100-59821","R",2012,"F","MP1","6/1, 3.3","","","","","","","","","","","","","","","","",""
