"UBI_band","band_status","year","date","age","fixed_sex","site","comments"
"4100-59218","1",2011,2011-06-24,"AHY","M","CC3",""
"4100-59219","1",2011,2011-06-24,"AHY","M","CC3",""
"4100-59220","1",2011,2011-06-24,"AHY","M","HPK2",""
"4100-59221","1",2011,2011-06-24,"AHY","M","HPK2",""
"4100-59222","1",2011,2011-06-25,"AHY","M","MP1",""
"4100-59223","1",2011,2011-06-25,"AHY","M","MP1",""
"4100-59224","1",2011,2011-06-25,"AHY","M","MP1",""
"4100-59225","1",2011,2011-06-26,"AHY","M","MCGC",""
"4100-59226","1",2011,2011-06-26,"AHY","M","GNMTN",""
"4100-59227","1",2011,2011-06-26,"AHY","M","GNMTN",""
"4100-59228","1",2011,2011-06-26,"AHY","M","GNMTN",""
"4100-59229","1",2011,2011-06-26,"AHY","M","GNMTN",""
"4100-59230","1",2011,2011-06-26,"AHY","M","KV1",""
"4100-59231","1",2011,2011-06-12,"AHY","M","HPK2",""
"4100-59232","1",2011,2011-06-12,"AHY","M","HPK2",""
"4100-59233","1",2011,2011-06-12,"AHY","M","HPK2",""
"4100-59234","1",2011,2011-06-12,"AHY","M","HPK2",""
"4100-59235","1",2011,2011-06-13,"AHY","M","MCGC",""
"4100-59236","1",2011,2011-06-13,"AHY","M","MCGC",""
"4100-59237","1",2011,2011-06-13,"AHY","M","MCGC",""
"4100-59238","1",2011,2011-06-13,"AHY","M","MCGC",""
"4100-59239","1",2011,2011-06-13,"AHY","M","MCGC",""
"4100-59240","1",2011,2011-06-16,"AHY","M","MCGC",""
"4100-59241","1",2011,2011-06-16,"AHY","M","MCGC",""
"4100-59242","1",2011,2011-06-16,"AHY","M","MCGC",""
"4100-59243","1",2011,2011-06-16,"AHY","M","MCGC",""
"4100-59244","1",2011,2011-06-16,"AHY","M","MP1",""
"4100-59245","1",2011,2011-06-16,"AHY","M","MP1",""
"4100-59246","1",2011,2011-06-17,"AHY","M","MP1",""
"4100-59247","1",2011,2011-06-18,"AHY","M","HPK2",""
"4100-59248","1",2011,2011-06-18,"AHY","M","HPK2",""
"4100-59249","1",2011,2011-06-18,"AHY","M","MP1",""
"4100-59250","1",2011,2011-06-18,"AHY","M","MCGC",""
"4100-59251","1",2011,2011-06-27,"AHY","M","MCGC",""
"4100-59252","1",2011,2011-06-29,"AHY","M","MCGC",""
"4100-59253","1",2011,2011-06-29,"AHY","M","MCGC",""
"4100-59254","1",2011,2011-06-30,"AHY","M","KV1",""
"4100-59255","1",2011,2011-06-30,"AHY","M","GNMTN",""
"4100-59258","1",2011,2011-07-03,"AHY","M","MCGC",""
"9100-22805","1",2011,2011-07-03,"AHY","M","MCGC",""
"4100-59260","1",2011,2011-07-03,"AHY","M","MCGC",""
"4100-59261","1",2011,2011-07-04,"AHY","M","MCGC",""
"4100-59262","1",2011,2011-07-04,"AHY","M","CC3",""
"4100-59263","1",2011,2011-07-06,"AHY","M","MCGC",""
"4100-59264","1",2011,2011-07-06,"AHY","M","MCGC",""
"4100-59265","1",2011,2011-07-08,"AHY","M","MP1",""
"4100-59268","1",2011,2011-07-09,"AHY","M","GNMTN",""
"4100-59269","1",2011,2011-07-09,"AHY","M","GNMTN",""
"4100-59270","1",2011,2011-07-12,"AHY","M","MCGC",""
"4100-59272","1",2011,2011-07-13,"AHY","M","HPK2",""
"4100-59273","1",2011,2011-07-13,"AHY","M","HPK2",""
"4100-59274","1",2011,2011-07-13,"AHY","M","HPK2",""
"4100-59275","1",2011,2011-07-14,"AHY","M","MP1",""
"4100-59277","1",2011,2011-07-12,"AHY","F","CC3",""
"4100-59283","1",2011,2011-07-17,"AHY","M","GNMTN",""
"4100-59284","1",2011,2011-07-17,"AHY","M","GNMTN",""
"4100-59285","1",2011,2011-07-17,"AHY","M","GNMTN",""
"4100-59289","1",2011,2011-07-20,"AHY","M","MCGC",""
"4100-59294","1",2011,2011-07-22,"AHY","M","MP1",""
"4100-59295","1",2011,2011-07-22,"AHY","M","MP1",""
"4100-59296","1",2011,2011-07-22,"AHY","M","MP1",""
"4100-59297","1",2011,2011-07-22,"AHY","M","MP1",""
"4100-59301","1",2011,2011-06-19,"AHY","F","MCGC","E8"
"4100-59302","1",2011,2011-06-19,"AHY","F","MCGC",""
"4100-59303","1",2011,2011-06-19,"AHY","F","MCGC","E6"
"4100-59304","1",2011,2011-06-19,"AHY","F","MCGC",""
"4100-59305","1",2011,2011-06-19,"AHY","F","MCGC",""
"4100-59306","1",2011,2011-06-19,"AHY","F","MCGC",""
"4100-59307","1",2011,2011-06-20,"AHY","F","MCGC","E7"
"4100-59308","1",2011,2011-06-20,"AHY","F","MCGC",""
