"UBI_band","band_status","year","date","age","fixed_sex","site","comments"
"5000-11523","1",2003,2003-05-31,"AHY","M","MCGC",""
"5000-11524","1",2003,2003-05-31,"AHY","M","MCGC",""
"5000-11525","1",2003,2003-05-31,"AHY","F","MCGC",""
"5000-11526","1",2003,2003-06-01,"AHY","F","MCGC",""
"5000-11527","1",2003,2003-06-01,"AHY","M","MCGC",""
"5000-11528","1",2003,2003-06-01,"AHY","M","MCGC",""
"5000-11529","1",2003,2003-06-01,"AHY","M","MCGC",""
"5000-11530","1",2003,2003-06-01,"AHY","M","MCGC",""
"5000-11531","1",2003,2003-06-04,"AHY","F","MCGC",""
"5000-11532","1",2003,2003-06-04,"AHY","M","MCGC",""
"5000-11533","1",2003,2003-06-04,"AHY","F","MCGC","Early Release"
"5000-11534","1",2003,2003-06-04,"AHY","M","MCGC",""
"5000-11535","1",2003,2003-06-04,"AHY","M","MCGC",""
"5000-11536","1",2003,2003-06-04,"AHY","F","MCGC",""
"5000-11537","1",2003,2003-06-04,"AHY","F","MCGC",""
"5000-11538","1",2003,2003-06-04,"AHY","F","MCGC",""
"5000-11539","1",2003,2003-06-04,"AHY","F","MCGC",""
"5000-11540","1",2003,2003-06-04,"AHY","M","MCGC",""
"5000-11541","1",2003,2003-06-04,"AHY","F","MCGC",""
"5000-11542","1",2003,2003-06-04,"AHY","F","MCGC",""
"5000-11543","1",2003,2003-06-04,"AHY","F","MCGC",""
"5000-11544","1",2003,2003-06-04,"AHY","F","MCGC",""
"5000-11545","1",2003,2003-06-04,"AHY","F","MCGC",""
"5000-11546","1",2003,2003-06-05,"AHY","F","MCGC",""
"5000-11547","1",2003,2003-06-05,"AHY","M","MCGC",""
"5000-11548","1",2003,2003-06-05,"AHY","F","MCGC","Egg-8"
"5000-11549","1",2003,2003-06-05,"AHY","F","MCGC",""
"5000-11550","1",2003,2003-06-05,"AHY","F","MCGC",""
"5000-11551","1",2003,2003-06-05,"AHY","F","MCGC",""
"5000-11552","1",2003,2003-06-05,"AHY","F","MCGC",""
"5000-11553","1",2003,2003-06-05,"AHY","M","MCGC",""
"5000-11554","1",2003,2003-06-05,"AHY","F","MCGC",""
"5000-11555","1",2003,2003-06-05,"AHY","M","MCGC",""
"5000-11556","1",2003,2003-06-12,"AHY","F","MCGC","Egg-7"
"5000-11557","1",2003,2003-06-12,"AHY","F","MCGC",""
"5000-11558","1",2003,2003-06-12,"AHY","F","MCGC",""
"5000-11559","1",2003,2003-06-12,"AHY","M","MCGC",""
"5000-11560","1",2003,2003-06-12,"AHY","F","MCGC","Egg-8"
"5000-11561","1",2003,2003-06-12,"AHY","M","MCGC",""
"5000-11562","1",2003,2003-06-12,"AHY","M","MCGC",""
"5000-11563","1",2003,2003-06-12,"AHY","F","MCGC",""
"5000-11564","1",2003,2003-06-12,"AHY","M","MCGC","Molt r1-5 left"
"5000-11565","1",2003,2003-06-12,"AHY","F","MCGC",""
"5000-11566","1",2003,2003-06-13,"AHY","F","MCGC",""
"5000-11567","1",2003,2003-06-13,"AHY","F","MCGC",""
"5000-11568","1",2003,2003-06-13,"AHY","F","MCGC",""
"5000-11569","1",2003,2003-06-13,"AHY","M","MCGC",""
"5000-11570","1",2003,2003-06-13,"AHY","M","MCGC",""
"5000-11571","1",2003,2003-06-13,"AHY","F","MCGC","Egg-8"
"5000-11572","1",2003,2003-06-13,"AHY","M","MCGC",""
"5000-11573","1",2003,2003-06-13,"AHY","M","MCGC",""
"5000-11575","1",2003,2003-06-13,"AHY","M","MCGC",""
"5000-11576","1",2003,2003-06-13,"AHY","F","MCGC",""
"5000-11577","1",2003,2003-06-13,"AHY","M","MCGC",""
"5000-11578","1",2003,2003-06-14,"AHY","F","MCGC","Egg-8"
"5000-11579","1",2003,2003-06-14,"AHY","M","MCGC",""
"5000-11580","1",2003,2003-06-14,"AHY","M","MCGC",""
"5000-11581","1",2003,2003-06-14,"AHY","M","MCGC",""
"5000-11582","1",2003,2003-06-14,"AHY","F","MCGC","Egg-7 (possible)"
"5000-11583","1",2003,2003-06-14,"AHY","F","MCGC",""
"5000-11584","1",2003,2003-06-14,"AHY","F","MCGC",""
"5000-11585","1",2003,2003-06-14,"AHY","M","MCGC",""
"5000-11586","1",2003,2003-06-14,"AHY","F","MCGC",""
"5000-11587","1",2003,2003-06-14,"AHY","F","MCGC","Molt, r3, rt."
"5000-11588","1",2003,2003-06-14,"AHY","M","MCGC","Egg-7 (possible)"
"5000-11589","1",2003,2003-06-14,"AHY","F","MCGC",""
"5000-11590","1",2003,2003-06-14,"AHY","M","MCGC",""
"5000-11591","1",2003,2003-06-15,"AHY","M","MCGC",""
"5000-11592","1",2003,2003-06-15,"AHY","M","MCGC",""
"5000-11593","1",2003,2003-06-15,"AHY","F","MCGC",""
"5000-11594","1",2003,2003-06-15,"AHY","M","MCGC","r4-5, white tips"
"5000-11595","1",2003,2003-06-15,"AHY","M","MCGC",""
"5000-11596","1",2003,2003-06-15,"AHY","M","MCGC",""
"5000-11597","1",2003,2003-06-15,"AHY","M","MCGC",""
"5000-11598","1",2003,2003-06-15,"AHY","M","MCGC",""
"5000-11599","1",2003,2003-06-15,"AHY","F","MCGC",""
"5000-11600","1",2003,2003-06-15,"AHY","M","MCGC",""
"5000-11601","1",2003,2003-06-15,"AHY","F","MCGC","Egg-7"
"5000-11602","1",2003,2003-06-15,"AHY","M","MCGC",""
"5000-11603","1",2003,2003-06-15,"AHY","M","MCGC",""
"5000-11604","1",2003,2003-06-15,"AHY","F","MCGC",""
"5000-11605","1",2003,2003-06-15,"AHY","F","MCGC",""
"5000-11606","1",2003,2003-06-15,"AHY","F","MCGC",""
"5000-11607","1",2003,2003-06-15,"AHY","F","MCGC",""
"5000-11608","1",2003,2003-06-16,"AHY","F","MCGC","Egg-7"
"5000-11609","1",2003,2003-06-16,"AHY","F","MCGC",""
"5000-11610","1",2003,2003-06-16,"AHY","M","MCGC",""
"5000-11611","1",2003,2003-06-16,"AHY","M","MCGC",""
"5000-11612","1",2003,2003-06-16,"AHY","M","MCGC",""
"5000-11613","1",2003,2003-06-16,"AHY","M","MCGC",""
"5000-11614","1",2003,2003-06-16,"AHY","F","MCGC",""
"5000-11615","1",2003,2003-06-16,"AHY","F","MCGC","did not weigh"
"5000-11616","1",2003,2003-06-20,"AHY","M","MCGC",""
"5000-11617","1",2003,2003-06-20,"AHY","F","MCGC",""
"5000-11618","1",2003,2003-06-20,"AHY","F","MCGC",""
"5000-11619","1",2003,2003-06-20,"AHY","F","MCGC","Egg-7"
"5000-11620","1",2003,2003-06-20,"AHY","F","MCGC",""
"5000-11621","1",2003,2003-06-20,"AHY","F","MCGC",""
"5000-11622","1",2003,2003-06-20,"AHY","F","MCGC",""
"5000-11623","1",2003,2003-06-20,"AHY","F","MCGC",""
"5000-11624","1",2003,2003-06-20,"AHY","F","MCGC",""
"5000-11625","1",2003,2003-06-21,"AHY","F","MCGC",""
"5000-11626","1",2003,2003-06-21,"AHY","M","MCGC",""
"5000-11627","1",2003,2003-06-21,"AHY","M","MCGC",""
"5000-11628","1",2003,2003-06-21,"AHY","F","MCGC",""
"5000-11629","1",2003,2003-06-21,"AHY","F","MCGC",""
"5000-11630","1",2003,2003-06-21,"AHY","M","MCGC",""
"5000-11631","1",2003,2003-06-21,"AHY","M","MCGC",""
"5000-11632","1",2003,2003-06-22,"AHY","M","MCGC",""
"5000-11633","1",2003,2003-06-22,"AHY","M","MCGC",""
"5000-11634","1",2003,2003-06-22,"AHY","M","MCGC",""
"5000-11635","1",2003,2003-06-22,"AHY","F","MCGC",""
"5000-11636","1",2003,2003-06-22,"AHY","M","MCGC",""
"5000-11637","1",2003,2003-06-22,"AHY","M","MCGC",""
"5000-11638","1",2003,2003-06-22,"AHY","M","MCGC",""
"5000-11639","1",2003,2003-06-22,"AHY","M","MCGC",""
"5000-11640","1",2003,2003-06-26,"AHY","F","MCGC",""
"5000-11641","1",2003,2003-06-26,"AHY","F","MCGC",""
"5000-11642","1",2003,2003-06-26,"AHY","F","MCGC",""
"5000-11643","1",2003,2003-06-26,"AHY","F","MCGC","Egg-7 (possible)"
"5000-11644","1",2003,2003-06-27,"AHY","F","MCGC",""
"5000-11645","1",2003,2003-06-27,"AHY","F","MCGC",""
"5000-11646","1",2003,2003-06-27,"AHY","F","MCGC",""
"5000-11647","1",2003,2003-06-27,"AHY","F","MCGC",""
"5000-11648","1",2003,2003-06-27,"AHY","F","MCGC","L. side"
"5000-11649","1",2003,2003-06-28,"AHY","F","MCGC",""
"5000-11650","1",2003,2003-06-28,"AHY","F","MCGC",""
"5000-11651","1",2003,2003-06-28,"AHY","F","MCGC","Egg-7+"
"5000-11652","1",2003,2003-06-28,"AHY","F","MCGC",""
"5000-11653","1",2003,2003-06-28,"AHY","F","MCGC",""
"5000-11654","1",2003,2003-06-28,"AHY","M","MCGC",""
"5000-11655","1",2003,2003-06-28,"AHY","F","MCGC",""
"5000-11656","1",2003,2003-06-28,"AHY","F","MCGC","Egg-7"
"5000-11657","1",2003,2003-06-28,"AHY","F","MCGC",""
"5000-11658","1",2003,2003-06-28,"AHY","F","MCGC",""
"5000-11659","1",2003,2003-06-29,"AHY","F","MCGC",""
"5000-11660","1",2003,2003-06-29,"AHY","F","MCGC",""
"5000-11661","1",2003,2003-06-29,"AHY","F","MCGC","Egg-8"
"5000-11662","1",2003,2003-06-29,"AHY","F","MCGC","Egg-7 (possible)"
"5000-11664","1",2003,2003-07-03,"AHY","M","MCGC","White spots-r5 tip"
"5000-11665","1",2003,2003-07-03,"AHY","M","MCGC",""
"5000-11666","1",2003,2003-07-03,"AHY","M","MCGC",""
"5000-11667","1",2003,2003-07-03,"AHY","M","MCGC",""
"5000-11663","1",2003,2003-07-04,"AHY","F","MCGC","Pollen, base of bill"
"5000-11669","1",2003,2003-07-04,"AHY","F","MCGC","gaping/released OK"
"5000-11674","1",2003,2003-07-04,"AHY","F","MCGC",""
"5000-11676","1",2003,2003-07-04,"AHY","F","MCGC",""
"5000-11679","1",2003,2003-07-05,"AHY","M","MCGC",""
"5000-11680","1",2003,2003-07-05,"AHY","F","MCGC","escaped"
"5000-11682","1",2003,2003-07-05,"AHY","F","MCGC",""
"5000-11683","1",2003,2003-07-05,"AHY","F","MCGC",""
"5000-11684","1",2003,2003-07-05,"AHY","F","MCGC",""
"5000-11690","1",2003,2003-07-05,"AHY","F","CC2",""
"5000-11691","1",2003,2003-07-05,"AHY","F","CC2",""
"5000-11692","1",2003,2003-07-05,"AHY","F","CC2",""
"5000-11693","1",2003,2003-07-06,"AHY","M","MCGC",""
"5000-11694","1",2003,2003-07-06,"AHY","M","MCGC",""
"5000-11695","1",2003,2003-07-06,"AHY","F","MCGC","pollen on top of bill"
"5000-11696","1",2003,2003-07-06,"AHY","M","MCGC",""
"5000-11698","1",2003,2003-07-06,"AHY","F","CC2",""
"5000-11699","1",2003,2003-07-06,"AHY","F","MCGC",""
"5000-11702","1",2003,2003-07-07,"AHY","F","MCGC",""
"5000-11706","1",2003,2003-07-07,"AHY","F","MCGC","hvy. pollen on bill"
"5000-11707","1",2003,2003-07-07,"AHY","M","MCGC",""
"5000-11709","1",2003,2003-07-07,"AHY","M","MCGC",""
"5000-11710","1",2003,2003-07-07,"AHY","F","MCGC","pollen, broad base of bill. Prob AHY"
"5000-11711","1",2003,2003-07-07,"AHY","M","MCGC",""
"5000-11716","1",2003,2003-07-10,"AHY","F","MCGC",""
"5000-11717","1",2003,2003-07-10,"AHY","F","MCGC","bill W/broad base~2.9mm"
"5000-11718","1",2003,2003-07-10,"AHY","F","MCGC",""
"5000-11719","1",2003,2003-07-10,"AHY","F","MCGC",""
"5000-11723","1",2003,2003-07-10,"AHY","F","MCGC",""
"5000-11725","1",2003,2003-07-10,"AHY","F","MCGC","missing some throat feathers"
"5000-11727","1",2003,2003-07-10,"AHY","F","MCGC","Egg-8"
"5000-11728","1",2003,2003-07-10,"AHY","F","MCGC",""
"5000-11729","1",2003,2003-07-10,"AHY","F","MCGC",""
"5000-11731","1",2003,2003-07-10,"AHY","F","MCGC",""
"5000-11774","1",2003,2003-07-10,"AHY","M","MCGC",""
"5000-11732","1",2003,2003-07-11,"AHY","F","MCGC",""
"5000-11734","1",2003,2003-07-11,"AHY","F","MCGC",""
"5000-11735","1",2003,2003-07-11,"AHY","F","MCGC",""
"5000-11737","1",2003,2003-07-11,"AHY","F","MCGC",""
"5000-11738","1",2003,2003-07-11,"AHY","F","MCGC",""
"5000-11739","1",2003,2003-07-11,"AHY","F","MCGC",""
"5000-11740","1",2003,2003-07-11,"AHY","F","MCGC",""
"5000-11741","1",2003,2003-07-11,"AHY","F","MCGC",""
"5000-11742","1",2003,2003-07-11,"AHY","M","MCGC",""
"5000-11743","1",2003,2003-07-11,"AHY","F","MCGC","missing r3-5 right"
"5000-11744","1",2003,2003-07-11,"AHY","M","MCGC","pollen on bill"
"5000-11745","1",2003,2003-07-11,"AHY","M","MCGC",""
"5000-11746","1",2003,2003-07-11,"AHY","F","MCGC",""
"5000-11747","1",2003,2003-07-11,"AHY","F","MCGC",""
"5000-11748","1",2003,2003-07-11,"AHY","F","MCGC",""
"5000-11749","1",2003,2003-07-11,"AHY","M","MCGC",""
"5000-11750","1",2003,2003-07-11,"AHY","F","MCGC",""
"5000-11751","1",2003,2003-07-11,"AHY","F","MCGC",""
"5000-11754","1",2003,2003-07-12,"AHY","F","MCGC",""
"5000-11756","1",2003,2003-07-12,"AHY","F","MCGC",""
"4100-08484","1",2003,2003-07-12,"AHY","F","MCGC","pollen on base of bill"
"5000-11759","1",2003,2003-07-12,"AHY","F","MCGC",""
"5000-11760","1",2003,2003-07-12,"AHY","M","MCGC",""
"5000-11761","1",2003,2003-07-12,"AHY","F","MCGC",""
"5000-11764","1",2003,2003-07-12,"AHY","F","MCGC",""
"5000-11766","1",2003,2003-07-12,"AHY","F","MCGC",""
"9000-12256","1",2003,2003-07-13,"AHY","F","CC2","pollen on bill"
"5000-11767","1",2003,2003-07-12,"AHY","F","MCGC",""
"5000-11770","1",2003,2003-07-13,"AHY","F","CC2",""
"5000-11771","1",2003,2003-07-13,"AHY","F","CC2","1 lg., 6 sm gorget feathers "
"5000-11772","1",2003,2003-07-13,"AHY","M","CC2",""
"5000-11773","1",2003,2003-07-13,"AHY","M","CC2",""
"5000-11776","1",2003,2003-07-14,"AHY","F","MCGC",""
"5000-11778","1",2003,2003-07-14,"AHY","F","MCGC","pollen on bill"
"5000-11779","1",2003,2003-07-18,"AHY","F","MCGC",""
"5000-11784","1",2003,2003-07-18,"AHY","F","MCGC",""
"5000-11785","1",2003,2003-07-18,"AHY","F","MCGC",""
"5000-11787","1",2003,2003-07-18,"AHY","F","MCGC",""
"5000-11788","1",2003,2003-07-18,"AHY","F","MCGC",""
"5000-11796","1",2003,2003-07-18,"AHY","F","MCGC","much pollen on bill"
"5000-11799","1",2003,2003-07-18,"AHY","F","MCGC",""
"5000-11800","1",2003,2003-07-19,"AHY","F","MCGC",""
"5000-29201","1",2003,2003-07-19,"AHY","F","MCGC","sm. r1-3 rt. Pollen, crown and bill"
"5000-29203","1",2003,2003-07-19,"AHY","F","MCGC",""
"5000-29204","1",2003,2003-07-19,"AHY","M","MCGC",""
"5000-29205","1",2003,2003-07-19,"AHY","F","MCGC",""
"5000-29206","1",2003,2003-07-19,"AHY","F","MCGC",""
"5000-29212","1",2003,2003-07-19,"AHY","F","MCGC",""
"5000-29213","1",2003,2003-07-19,"AHY","F","MCGC",""
"5000-29214","1",2003,2003-07-19,"AHY","F","MCGC",""
"5000-29210","1",2003,2003-07-20,"AHY","F","MCGC","bill not completely filled in"
"5000-29216","1",2003,2003-07-20,"AHY","F","MCGC",""
"5000-29217","1",2003,2003-07-20,"AHY","F","MCGC",""
"5000-29218","1",2003,2003-07-20,"AHY","F","MCGC",""
"5000-29219","1",2003,2003-07-20,"AHY","M","MCGC",""
"5000-29220","1",2003,2003-07-20,"AHY","F","MCGC",""
"5000-29221","1",2003,2003-07-20,"AHY","F","MCGC",""
"5000-29222","1",2003,2003-07-20,"AHY","F","MCGC",""
"5000-29224","1",2003,2003-07-20,"AHY","F","MCGC","poss HY, v. subtle striations"
"5000-29225","1",2003,2003-07-22,"AHY","F","MCGC","bill not filled in, prob AHY"
"5000-29228","1",2003,2003-07-22,"HY","F","MCGC",""
"5000-29229","1",2003,2003-07-22,"AHY","F","MCGC",""
"5000-29230","1",2003,2003-07-22,"AHY","F","MCGC",""
"5000-29232","1",2003,2003-07-22,"AHY","F","MCGC",""
"5000-29233","1",2003,2003-07-22,"AHY","F","MCGC",""
"5000-29234","1",2003,2003-07-22,"AHY","F","MCGC",""
"5000-29239","1",2003,2003-07-22,"AHY","M","MCGC",""
"5000-29244","1",2003,2003-07-25,"HY","M","MCGC",""
"5000-29245","1",2003,2003-07-25,"AHY","F","MCGC",""
"5000-29248","1",2003,2003-07-25,"AHY","M","MCGC",""
"5000-29252","1",2003,2003-07-26,"AHY","F","MCGC",""
"5000-29254","1",2003,2003-07-26,"AHY","M","MCGC",""
"5000-29255","1",2003,2003-07-26,"AHY","F","MCGC",""
"5000-29257","1",2003,2003-07-26,"AHY","F","MCGC","L r1 shorter by 1.7mm"
"5000-29258","1",2003,2003-07-26,"AHY","F","MCGC",""
"5000-29260","1",2003,2003-07-26,"AHY","M","MCGC",""
"5000-29261","1",2003,2003-07-26,"AHY","F","MCGC",""
"5000-29263","1",2003,2003-07-26,"AHY","F","MCGC",""
"5000-29266","1",2003,2003-07-26,"AHY","F","MCGC",""
"5000-29267","1",2003,2003-07-26,"AHY","M","MCGC",""
"5000-29269","1",2003,2003-07-26,"AHY","F","MCGC","pollen on bill"
"5000-29271","1",2003,2003-07-26,"AHY","F","MCGC","stress marks r1, 4mm fm tip"
"5000-29273","1",2003,2003-07-26,"AHY","F","MCGC",""
"5000-29275","1",2003,2003-07-26,"HY","F","MCGC","r1-5 rounded tips"
"5000-29276","1",2003,2003-07-27,"AHY","F","MCGC",""
"5000-29277","1",2003,2003-07-27,"AHY","M","MCGC",""
"5000-29279","1",2003,2003-07-27,"HY","M","MCGC","r3,4 pointed"
"5000-29281","1",2003,2003-07-27,"AHY","F","MCGC",""
"5000-29284","1",2003,2003-07-28,"AHY","F","MCGC",""
"5000-29285","1",2003,2003-07-28,"AHY","F","MCGC",""
"5000-29286","1",2003,2003-07-28,"AHY","F","MCGC",""
"5000-29287","1",2003,2003-07-28,"AHY","F","MCGC",""
"5000-29288","1",2003,2003-07-28,"AHY","M","MCGC",""
"5000-29290","1",2003,2003-07-28,"AHY","F","MP1",""
"5000-29291","1",2003,2003-07-28,"AHY","F","MP1",""
"5000-29292","1",2003,2003-07-28,"AHY","F","MP1",""
"5000-29293","1",2003,2003-07-28,"AHY","F","MP1",""
"5000-29294","1",2003,2003-07-28,"AHY","F","MP1","pollen on bill and head"
"5000-29295","1",2003,2003-07-28,"AHY","F","MP1",""
"5000-29297","1",2003,2003-07-28,"AHY","F","MP1",""
"5000-29298","1",2003,2003-07-28,"AHY","F","MP1",""
"5000-29300","1",2003,2003-07-28,"AHY","F","MP1",""
"5000-29302","1",2003,2003-07-28,"AHY","M","MP1",""
"5000-29304","1",2003,2003-08-01,"AHY","F","MCGC",""
"5000-29305","1",2003,2003-08-01,"AHY","M","MCGC",""
"5000-29306","1",2003,2003-08-01,"AHY","F","MCGC",""
"5000-29312","1",2003,2003-08-02,"AHY","F","MCGC",""
"5000-29315","1",2003,2003-08-02,"AHY","F","MCGC","brown tinge on tips of r3-5"
"5000-29316","1",2003,2003-08-02,"AHY","F","MCGC",""
"5000-29317","1",2003,2003-08-02,"AHY","F","MCGC",""
"5000-29319","1",2003,2003-08-02,"AHY","M","MCGC",""
"5000-29320","1",2003,2003-08-02,"AHY","F","MCGC",""
"5000-29321","1",2003,2003-08-02,"AHY","M","MCGC","1 gorget feather, rear of eye"
"5000-29323","1",2003,2003-08-02,"HY","M","MCGC","pointed r2-5"
"5000-29324","1",2003,2003-08-02,"HY","F","MCGC",""
"5000-29325","1",2003,2003-08-02,"HY","M","MCGC","r2-5 rounded, but gorget feather is male type"
"5000-29327","1",2003,2003-08-02,"HY","M","MCGC",""
"5000-29328","1",2003,2003-08-02,"HY","F","MCGC","r1-5 rounded at tips"
"5000-29329","1",2003,2003-08-02,"HY","M","MCGC","r2 stripe, docile"
"5000-29332","1",2003,2003-08-03,"AHY","F","MCGC","rt p10 missing tip"
"5000-29335","1",2003,2003-08-03,"AHY","F","MCGC",""
"5000-29336","1",2003,2003-08-03,"AHY","F","MCGC",""
"5000-29338","1",2003,2003-08-03,"HY","M","MCGC",""
"5000-29339","1",2003,2003-08-03,"AHY","M","MCGC",""
"5000-29340","1",2003,2003-08-03,"AHY","F","MCGC",""
"5000-29342","1",2003,2003-08-03,"AHY","F","MCGC","tips of both r1s missing ` 7mm"
"5000-29346","1",2003,2003-08-04,"AHY","M","MP1",""
"5000-29347","1",2003,2003-08-04,"AHY","F","MP1",""
"5000-29348","1",2003,2003-08-04,"AHY","F","MP1","r1 hardly exists"
"5000-29349","1",2003,2003-08-04,"AHY","F","MP1","top of bill 1 mm longer than bottom"
"5000-29350","1",2003,2003-08-04,"AHY","F","MP1",""
"5000-29351","1",2003,2003-08-04,"AHY","F","MP1",""
"5000-29352","1",2003,2003-08-04,"AHY","F","MP1",""
"5000-29353","1",2003,2003-08-04,"AHY","F","MP1",""
"5000-29354","1",2003,2003-08-04,"AHY","M","MP1",""
"5000-29355","1",2003,2003-08-04,"AHY","F","MP1",""
"5000-29356","1",2003,2003-08-04,"AHY","F","MP1",""
"5000-29357","1",2003,2003-08-04,"AHY","F","MP1",""
"5000-29358","1",2003,2003-08-04,"AHY","F","MP1",""
"5000-29359","1",2003,2003-08-04,"AHY","F","MP1",""
"5000-29360","1",2003,2003-08-04,"AHY","F","MP1",""
"5000-29361","1",2003,2003-08-04,"HY","M","MP1","missing all rectrices"
"5000-29345","1",2003,2003-08-03,"AHY","F","MCGC",""
"5000-29363","1",2003,2003-08-04,"HY","F","MCGC","no r2 stripe"
"5000-29365","1",2003,2003-08-05,"HY","M","MCGC",""
"5000-29367","1",2003,2003-08-05,"HY","F","MCGC",""
"5000-29369","1",2003,2003-08-05,"AHY","F","MCGC",""
"5000-29371","1",2003,2003-08-06,"HY","F","MCGC",""
"5000-29375","1",2003,2003-08-06,"AHY","F","MCGC","old injury to l side of bill at base, 3.5 mm"
"5000-29396","1",2003,2003-08-11,"AHY","M","MCGC",""
"5000-29398","1",2003,2003-08-11,"HY","M","MCGC",""
"5000-29400","1",2003,2003-08-11,"AHY","M","MCGC",""
"5000-29401","1",2003,2003-08-11,"AHY","M","MCGC",""
"5000-29402","1",2003,2003-08-11,"HY","M","MCGC","pollen on bill"
"5000-29403","1",2003,2003-08-11,"AHY","F","MP1",""
"5000-29404","1",2003,2003-08-11,"AHY","F","MP1",""
"5000-29405","1",2003,2003-08-11,"HY","M","MP1",""
"5000-29406","1",2003,2003-08-11,"AHY","F","MP1",""
"5000-29407","1",2003,2003-08-11,"AHY","F","MP1",""
"5000-29408","1",2003,2003-08-11,"HY","F","MP1",""
"5000-29409","1",2003,2003-08-11,"HY","F","MP1",""
"5000-29410","1",2003,2003-08-11,"HY","M","MP1",""
"5000-29411","1",2003,2003-08-11,"HY","F","MP1",""
"5000-29412","1",2003,2003-08-11,"HY","M","MP1",""
"5000-29413","1",2003,2003-08-11,"HY","F","MP1",""
"5000-29416","1",2003,2003-08-11,"AHY","F","MP1",""
"5000-29417","1",2003,2003-08-11,"AHY","F","MP1","new r2-5"
"5000-29418","1",2003,2003-08-11,"AHY","F","MP1","adult"
"5000-29419","1",2003,2003-08-11,"AHY","F","MP1",""
"5000-29420","1",2003,2003-08-11,"AHY","F","MP1",""
"5000-29421","1",2003,2003-08-12,"AHY","F","MCGC",""
"5000-29423","1",2003,2003-08-12,"HY","F","MCGC",""
"5000-29426","1",2003,2003-08-12,"HY","M","MCGC","v dark r1-5, little ru at base"
"5000-29427","1",2003,2003-08-12,"AHY","M","MCGC","white tips r4-5"
"5000-29428","1",2003,2003-08-12,"AHY","F","MCGC","r5 rt missing tip"
"5000-29442","1",2003,2003-08-15,"AHY","F","MCGC","y. pollen, top of bill"
"5000-29443","1",2003,2003-08-15,"AHY","M","MCGC",""
"5000-29444","1",2003,2003-08-15,"AHY","F","MCGC",""
"4000-47651","1",2003,2003-08-16,"AHY","M","MCGC","r4-5 no white tip"
"4000-47652","1",2003,2003-08-16,"HY","M","MCGC","r1 shorter than r2-3. Y.pollen"
"4000-47653","1",2003,2003-08-16,"HY","M","MCGC","missing Lr1,2 and rt r1 "
"5000-29448","1",2003,2003-08-16,"HY","F","MCGC",""
"5000-29449","1",2003,2003-08-16,"AHY","M","MCGC",""
"5000-29450","1",2003,2003-08-16,"AHY","F","MCGC",""
"4000-47655","1",2003,2003-08-17,"AHY","M","MCGC","r4-5 no white tip"
"4000-47656","1",2003,2003-08-17,"AHY","F","MCGC","fat-4"
"4000-47657","1",2003,2003-08-17,"HY","M","MCGC",""
"4000-47658","1",2003,2003-08-17,"HY","M","MP1",""
"4000-47659","1",2003,2003-08-17,"HY","M","MP1",""
"4000-47660","1",2003,2003-08-17,"AHY","F","MP1",""
"4000-47661","1",2003,2003-08-17,"AHY","F","MP1",""
"4000-47662","1",2003,2003-08-17,"AHY","F","MP1",""
"4000-47664","1",2003,2003-08-17,"AHY","F","MP1",""
"4000-47666","1",2003,2003-08-17,"AHY","F","MP1",""
"4000-47667","1",2003,2003-08-17,"AHY","F","MP1",""
"4000-47668","1",2003,2003-08-17,"HY","M","MP1","HY r1-5, unusual bill "
"4000-47669","1",2003,2003-08-17,"HY","F","MP1",""
"4000-47670","1",2003,2003-08-18,"AHY","F","MCGC",""
"4000-47671","1",2003,2003-08-18,"HY","F","MCGC","pollen on top of bill"
"4000-47673","1",2003,2003-08-18,"HY","M","MCGC",""
"4000-47674","1",2003,2003-08-18,"HY","M","MCGC",""
"4000-47675","1",2003,2003-08-18,"HY","M","MCGC",""
"4000-47676","1",2003,2003-08-18,"AHY","F","MCGC","ru on r3-5 feather shafts only"
"4000-47677","1",2003,2003-08-18,"HY","M","MCGC","pollen on top of bill"
"4000-47678","1",2003,2003-08-18,"AHY","F","MP1",""
"4000-47679","1",2003,2003-08-18,"AHY","F","MP1","old injury to rt wing-p9 misshaped"
"4000-47680","1",2003,2003-08-18,"HY","M","MP1",""
"4000-47681","1",2003,2003-08-18,"AHY","F","MP1",""
"4000-47683","1",2003,2003-08-18,"AHY","M","MP1",""
"4000-47684","1",2003,2003-08-18,"AHY","F","MP1",""
"4000-47685","1",2003,2003-08-18,"AHY","F","MP1",""
"9000-12075","1",2003,2003-08-18,"AHY","F","MP1",""
"4000-47687","1",2003,2003-08-18,"AHY","F","MP1","1 white rump feather"
"4000-47688","1",2003,2003-08-18,"AHY","F","MP1",""
"4000-47689","1",2003,2003-08-18,"AHY","F","MP1",""
"4000-47690","1",2003,2003-08-18,"HY","M","MP1",""
"4000-47691","1",2003,2003-08-18,"AHY","F","MP1","rt r4 still in pin stage"
"4000-47692","1",2003,2003-08-18,"AHY","F","MP1",""
"4000-47693","1",2003,2003-08-18,"HY","M","MP1",""
"4000-47694","1",2003,2003-08-18,"AHY","F","MP1",""
"4000-47695","1",2003,2003-08-18,"AHY","F","MP1",""
"4000-47696","1",2003,2003-08-18,"AHY","F","MP1",""
"4000-47699","1",2003,2003-08-22,"HY","M","MCGC","pointed rectrices"
"4000-47700","1",2003,2003-08-22,"HY","M","MCGC","pointed rectrices"
"4000-47702","1",2003,2003-08-22,"HY","M","MCGC","similar to two previous"
"4000-47703","1",2003,2003-08-22,"AHY","F","MP1",""
