Year,Month,Site,Days,Active Days,Trap Hours
2011,5,MCGC,"13,17,18,19,20,21,22,25,27,28,29,30,31",13,29:33
2011,6,MCGC,"1,2,8,10,13,16,18,19,20,23,24,26,27,29",14,22:12
2011,7,MCGC,"1,3,4,5,6,8,10,12,14,15,16,20,21,22,23,25,26,29,30",19,28:52
2011,8,MCGC,"1,2,4,5,7,11,12,15,18,20,22,26,27,30",14,21:59
2011,9,MCGC,"2,3,4,7,9,10,13,15,17",9,17:15
2011,5,CC3,28,1,1:00
2011,6,CC3,"3,24",2,4:00
2011,8,CC3,"4,12,30",3,3:00
2011,8,CC3,"5,12,22",3,3:05
2011,9,CC3,10,1,1:00
2011,6,HPK2,"3,9,10,12,18,24,29",7,10:33
2011,7,HPK2,"3,13,27",3,5:05
2011,8,HPK2,"1,2,4,13,20,24",6,9:25
2011,9,HPK2,"1,5,9,12",4,4:55
2011,7,HPK3,"13,19",2,2:50
2011,5,MP1,"20,21,29,30,31",5,8:15
2011,6,MP1,"2,3,8,9,12,16,17,18,23,25",10,16:03
2011,7,MP1,"5,8,14,22,30",5,11:17
2011,8,MP1,"2,6,9,13,19,23,26,27,29",9,19:15
2011,9,MP1,"1,2,3,4,5,8,9,10,12,14,15,17,18,21,22",15,24:52:00
2011,6,GNMTN,"22,26,30",3,6:00
2011,7,GNMTN,"7,17,24",3,5:42
2011,8,GNMTN,"3,10,25,31",4,6:57
2011,9,GNMTN,"8,11",2,2:55
2011,6,HOLZ,22,1,2:00
2011,7,HOLZ,24,1,1:00
2011,8,HOLZ,"3,10,17,25,31",5,8:45
2011,9,HOLZ,"8,11",2,2:20
2011,6,KV1,"22,26,30",3,6:00
2011,7,KV1,"9,17,24",3,4:29
2011,8,KV1,"3,10,17,25,31",5,9:23
2011,9,KV1,"8,11",2,2:30
