Year,Month,Site,Days,Active Days,Trap Hours
2010,5,MCGC,"15,16,17,21,23,25,26,28,29",9,18:08
2010,6,MCGC,"1,3,5,7,10,12,13,17,18,19,21,24,26,27,29",15,23:28
2010,7,MCGC,"1,2,3,4,5,6,9,10,14,15,16,17,18,20,22,23,24,26,27,28,30,31",22,39:36
2010,8,MCGC,"3,4,6,8,9,10,12,13,14,16,19,20,22,25,26,28,29,31",18,27:28
2010,9,MCGC,"1,5,6,7,8,12,13,17",8,11:00
2010,5,CC3,"24,26",2,2:30
2010,6,CC3,"6,9",2,3:40
2010,7,CC3,"5,10,22,31",4,4:41
2010,8,CC3,19,1,0:37
2010,7,GC1,12,1,1:00
2010,8,GC1,"8,18,24",3,4:00
2010,5,HPK2,25,1,1:30
2010,6,HPK2,"2,5,8,20,24,27,29",7,11:30
2010,7,HPK2,"6,9,22,27,31",5,6:30
2010,8,HPK2,"7,14,16,29",4,4:33
2010,9,HPK2,"1,2,7,13,16",5,5:15
2010,5,MP1,"16,17,22,25,28",5,9:30
2010,6,MP1,"2,5,6,8,10,13,19,22,24,28,30",11,17:15
2010,7,MP1,"3,6,9,21,26,31",6,9:43
2010,8,MP1,"2,3,7,12,17,19,23,26,28,29,30",11,24:00:00
2010,9,MP1,"1,2,5,6,7,12,16,17,19,20",10,16:23
2010,6,GNMTN,23,1,1:30
2010,7,GNMTN,"1,11,19,25",4,6:30
2010,8,GNMTN,"1,13,15,25",4,6:00
2010,9,GNMTN,"4,12",2,2:00
2010,6,HOLZ,"3,18,23",3,4:00
2010,7,HOLZ,"1,11,25",3,4:57
2010,8,HOLZ,"13,25",2,4:00
2010,9,HOLZ,"4,12",2,2:30
2010,5,KV1,27,1,1:10
2010,6,KV1,"3,18,23",3,5:40
2010,7,KV1,"1,11,19,25",4,6:50
2010,8,KV1,"6,13,15,25",4,6:18
2010,9,KV1,"4,12",2,3:00
