Year,Month,Site,Days,Active Days,Trap Hours
2008,5,MCGC,"16,17,29,30,31",5,7:15
2008,6,MCGC,"2,4,8,9,10,11,16,17,18,19,22,23,24,28,29",15,19:38
2008,7,MCGC,"1,2,3,4,6,8,9,10,11,14,17,18,19,20,21,22,23,24,25,26,29,30",22,32:15
2008,8,MCGC,"1,2,3,4,7,10,11,12,13,14,16,17,19,20,22,23,24,25,26,27,28,30",22,29:27
2008,9,MCGC,"2,5,7,12",4,5:02
2008,7,CC2,"3,11,30",3,3:00
2008,8,CC2,"20,28,31",3,3:15
2008,9,CC2,"3,6",2,1:30
2008,6,CC3,"3,9,18",3,4:00
2008,7,CC3,"3,11,30",3,3:00
2008,8,CC3,"3,13,19",3,3:45
2008,9,CC3,6,1,1:00
2008,8,GC1,19,1,2:00
2008,6,NFCP,"26,27",2,7:00
2008,6,HPK1,"2,6,9,17",4,4:32
2008,7,HPK1,"4,9,21",3,6:04
2008,8,HPK1,"2,11,13,23,25,26,28,30",8,14:55
2008,9,HPK1,"2,3,5,6,7,13,14",7,5:50
2008,5,MP1,31,1,4:00
2008,6,MP1,"2,3,4,6,8,11,16,17,24",9,18:45
2008,7,MP1,"2,9,20,22,24,26,29",7,13:45
2008,8,MP1,"1,5,11,14,23,25,26,30",8,18:30
2008,9,MP1,"2,3,5,7,12,13,14",7,10:35
2008,6,GNMTN,"7,14,21,28",4,6:30
2008,7,GNMTN,"5,13,18,31",4,6:00
2008,8,GNMTN,"6,15,21,27",4,6:33
2008,9,GNMTN,4,1,1:30
2008,6,HOLZ,"1, 7,14,21,28",5,7:40
2008,7,HOLZ,"5,12,18,31",4,6:18
2008,8,HOLZ,"6,21,27",3,4:45
2008,9,HOLZ,4,1,1:30
2008,6,KV1,"7,14,21,28",4,5:00
2008,7,KV1,"5,13,23,31",4,5:42
2008,8,KV1,"6,15,21,27",4,6:30
2008,9,KV1,4,1,1:20
2008,7,BIGM,"18,23,31",3,4:00
