Year,Month,Site,Days,Active Days,Trap Hours
2012,5,MCGC,"4,10,11,12,14,20,22,26,29,31",10,25:00:00
2012,6,MCGC,"2,5,8,10,12,13,16,18,20,22,26",11,22:39
2012,7,MCGC,"3,4,5,7,11,12,14,15,18,21,22,24,26,28,29",15,28:20:00
2012,8,MCGC,"1,3,4,6,9,11,14,15,18,19,22,23,26,29,31",15,22:45
2012,9,MCGC,"2,4,7,8,9,15,16",7,11:00
2012,6,CC3,20,1,1:15
2012,7,CC3,"22,26",2,3:00
2012,8,CC3,"7,19",2,2:18
2012,9,CC3,4,1,1:30
2012,5,MP1,"4,10,13,15,20,22,26,28,30",9,21:25
2012,6,MP1,"1,5,9,11,18,19",6,16:40
2012,7,MP1,"8,14,19,25",4,8:00
2012,8,MP1,"4,5,7,15,18,19,22,23,25,30,31",11,22:11
2012,9,MP1,"2,3,4,6,7,9,14,15,16,17",10,16:51
2012,7,HPK2,"12,17,25",3,7:00
2012,8,HPK2,"1,5,22,30",4,7:53
2012,9,HPK2,3,1,1:00
2012,5,GNMTN,27,1,1:30
2012,6,GNMTN,"7,13,21",3,5:40
2012,7,GNMTN,"6,13,20,27",4,5:56
2012,8,GNMTN,"2,8,16,26",4,5:59
2012,9,GNMTN,"1,8",2,2:30
2012,5,HOLZ,"21,27",2,3:00
2012,6,HOLZ,"1,7,13,21",4,5:45
2012,7,HOLZ,"6,13,20,27",4,8:07
2012,8,HOLZ,"2,8,16,26",4,8:10
2012,9,HOLZ,"1,8",2,4:10
2012,5,KV1,27,1,1:39
2012,6,KV1,"1,21",2,3:00
2012,7,KV1,"13,20,27",3,4:37
2012,8,KV1,"2,8,16,26",4,6:05
2012,9,KV1,1,1,1:30
