Year,Month,Site,Days,Active Days,Trap Hours
2009,5,MCGC,"9,11,12,14,15,17,20,21,23,24,26,28,29,31",14,25:04:00
2009,6,MCGC,"3,7,8,9,10,12,13,16,17,19,20,23,24,25,26,27,29,30",18,21:41
2009,7,MCGC,"1,3,4,6,9,10,11,12,14,15,17,18,20,23,24,27,28",17,21:31
2009,8,MCGC,"2,4,5,6,9,10,11,13,14,15,16,17,18,22,23,24,25,27,29",19,18:57
2009,9,MCGC,"1,3,6,7,8,12,15,16,",8,9:57
2009,5,CC3,24,1,1:35
2009,6,CC3,27,1,1:00
2009,8,CC3,"18,23,27,29",4,6:25
2009,9,CC3,10,1,0:40
2009,7,WPK1,27,1,1:20
2009,8,WPK1,"5,11,17",3,3:35
2009,5,HPK1,"16,23,26,28",4,4:55
2009,6,HPK1,"5,10,12,17,27,30",6,9:18
2009,7,HPK1,"4,24",2,1:34
2009,8,HPK1,"4,10,15,24,28,30",6,9:05
2009,9,HPK1,"1,2,6,8,10,14,15",7,7:00
2009,7,WB1,"6,17",2,3:30
2009,8,WB2,"9,14",2,4:00
2009,5,MP1,"11,14,16,17,21,23,25,26,28",9,18:32
2009,6,MP1,"3,4,9,10,11,12,17,19,27,30",10,18:06
2009,7,MP1,"6,10,15,23",4,8:30
2009,8,MP1,"10,13,15,16,24,25,28,29",8,21:48
2009,9,MP1,"1,2,6,7,8,10,11,12,14,15,16,18,19,20",14,20:18
2009,5,GNMTN,30,1,2:30
2009,6,GNMTN,"6,21,28",3,4:35
2009,7,GNMTN,"11,19,26",3,4:20
2009,8,GNMTN,"5,12,19,26",4,8:20
2009,9,GNMTN,3,1,1:00
2009,5,HOLZ,30,1,0:20
2009,6,HOLZ,"6,21,28",3,4:47
2009,7,HOLZ,"11,16,26",3,5:20
2009,8,HOLZ,"5,12,17,26",4,6:55
2009,9,HOLZ,3,1,1:50
2009,5,KV1,"22,30",2,5:45
2009,6,KV1,"6,21,28",3,5:41
2009,7,KV1,"5,11,19",3,5:10
2009,8,KV1,"5,12,26",3,5:30
2009,9,KV1,"3,11",2,3:30
2009,7,CLP,9,1,1:00
2009,7,SHIP,"19,27",2,1:45
2009,8,SHIP,"11,19",2,1:20
2009,6,POLC,"22,28",2,3:00
2009,7,POLC,5,1,1:30
