Year,Month,Site,Days,Active Days,Trap Hours
2007,5,MCGC,"6,7,10,11,12,13,14,15,17,20,21,29,30,31",14,14:44
2007,6,MCGC,"5,6,7,8,9,12,14,17,18,19,21,22,23,27,28,30",16,23:50
2007,7,MCGC,"1,2,5,6,7,8,9,10,14,15,17,18,19,20,23,25,27,30,31",19,29:00:00
2007,8,MCGC,"2,3,7,8,9,12,13,14,15,21,22,23,24,25,27,29,31",17,24:33:00
2007,9,MCGC,"1,2,3,8,9,12,13",7,7:27
2007,5,CC3,"7,11,21",3,3:04
2007,6,CC3,27,1,1:00
2007,7,CC3,"1,5,19",3,4:10
2007,8,CC3,6,1,0:30
2007,6,GC1,"22,30",2,3:30
2007,7,GC1,"7,16,26",3,4:40
2007,8,GC1,"2,9",2,2:20
2007,5,MP1,"7,11,13,14,15,16,17,20,21,22,23,29,30",13,24:42:00
2007,6,MP1,"5,8,9,12,17,19,21,27",8,17:04
2007,7,MP1,"8,16,23,31",4,7:21
2007,8,MP1,"8,12,21,22,24,27,28,31",8,17:00
2007,9,MP1,"1,2,7,8,11,12",6,11:00
2007,5,HPK1,"17,20,23,30",4,4:45
2007,6,HPK1,"5,19,22",3,2:20
2007,7,HPK1,"7,9,16,23,31",5,8:05
2007,8,HPK1,"21,24,28",3,5:10
2007,9,HPK1,"1,2,7,12",4,6:00
2007,7,WC1,"14,30",2,4:15
2007,8,WC1,"7,13,22,29",4,5:45
2007,6,GNMNT,"13,20,29",3,5:30
2007,7,GNMNT,"6,17,24",3,4:35
2007,8,GNMNT,"1,8,14,23,30",5,9:05
2007,9,GNMNT,8,1,1:00
2007,6,HOLZ,29,1,3:00
2007,7,HOLZ,"6,17,24",3,3:35
2007,8,HOLZ,"1,8,14,23,30",5,8:37
2007,9,HOLZ,8,1,0:20
2007,6,KV1,"4,13,20,29",4,5:20
2007,7,KV1,"6,17,24",3,3:15
2007,8,KV1,"1,8,14,23,30",5,7:10
2007,9,KV1,8,1,1:00
