"site_name","cellsize","tile","band","calendar_date","value","ndvi"
"ws183","231.656358264","h08v07","250m_16_days_NDVI","2001-12-03",7261,0.7261
"ws183","231.656358264","h08v07","250m_16_days_NDVI","2001-12-19",6784,0.6784
"ws183","231.656358264","h08v07","250m_16_days_NDVI","2002-01-01",6811,0.6811
"ws183","231.656358264","h08v07","250m_16_days_NDVI","2002-01-17",7029,0.7029
"ws183","231.656358264","h08v07","250m_16_days_NDVI","2002-02-02",6497,0.6497
"ws183","231.656358264","h08v07","250m_16_days_NDVI","2002-02-18",5889,0.5889
"ws183","231.656358264","h08v07","250m_16_days_NDVI","2002-03-06",5312,0.5312
"ws183","231.656358264","h08v07","250m_16_days_NDVI","2002-03-22",4920,0.492
"ws183","231.656358264","h08v07","250m_16_days_NDVI","2002-04-07",5815,0.5815
"ws183","231.656358264","h08v07","250m_16_days_NDVI","2002-04-23",4892,0.4892
"ws183","231.656358264","h08v07","250m_16_days_NDVI","2002-05-09",5370,0.537
"ws183","231.656358264","h08v07","250m_16_days_NDVI","2002-05-25",6069,0.6069
"ws183","231.656358264","h08v07","250m_16_days_NDVI","2002-06-10",7891,0.7891
"ws183","231.656358264","h08v07","250m_16_days_NDVI","2002-06-26",7512,0.7512
"ws183","231.656358264","h08v07","250m_16_days_NDVI","2002-07-12",8048,0.8048
"ws183","231.656358264","h08v07","250m_16_days_NDVI","2002-07-28",7660,0.766
"ws183","231.656358264","h08v07","250m_16_days_NDVI","2002-08-13",7663,0.7663
"ws183","231.656358264","h08v07","250m_16_days_NDVI","2002-08-29",7651,0.7651
"ws183","231.656358264","h08v07","250m_16_days_NDVI","2002-09-14",7227,0.7227
"ws183","231.656358264","h08v07","250m_16_days_NDVI","2002-09-30",2372,0.2372
"ws183","231.656358264","h08v07","250m_16_days_NDVI","2002-10-16",4882,0.4882
"ws183","231.656358264","h08v07","250m_16_days_NDVI","2002-11-01",8034,0.8034
"ws183","231.656358264","h08v07","250m_16_days_NDVI","2002-11-17",7561,0.7561
"ws183","231.656358264","h08v07","250m_16_days_NDVI","2002-12-03",7264,0.7264
"ws183","231.656358264","h08v07","250m_16_days_NDVI","2002-12-19",6700,0.67
"ws183","231.656358264","h08v07","250m_16_days_NDVI","2003-01-01",7848,0.7848
"ws183","231.656358264","h08v07","250m_16_days_NDVI","2003-01-17",6396,0.6396
"ws183","231.656358264","h08v07","250m_16_days_NDVI","2003-02-02",6666,0.6666
"ws183","231.656358264","h08v07","250m_16_days_NDVI","2003-02-18",5910,0.591
"ws183","231.656358264","h08v07","250m_16_days_NDVI","2003-03-06",6494,0.6494
"ws183","231.656358264","h08v07","250m_16_days_NDVI","2003-03-22",6242,0.6242
"ws183","231.656358264","h08v07","250m_16_days_NDVI","2003-04-07",5280,0.528
"ws183","231.656358264","h08v07","250m_16_days_NDVI","2003-04-23",5824,0.5824
"ws183","231.656358264","h08v07","250m_16_days_NDVI","2003-05-09",5654,0.5654
"ws183","231.656358264","h08v07","250m_16_days_NDVI","2003-05-25",6656,0.6656
"ws183","231.656358264","h08v07","250m_16_days_NDVI","2003-06-10",5046,0.5046
"ws183","231.656358264","h08v07","250m_16_days_NDVI","2003-06-26",7054,0.7054
