"site_name","cellsize","tile","band","calendar_date","value","ndvi"
"ws135","231.656358264","h08v07","250m_16_days_NDVI","2001-12-03",6472,0.6472
"ws135","231.656358264","h08v07","250m_16_days_NDVI","2001-12-19",6494,0.6494
"ws135","231.656358264","h08v07","250m_16_days_NDVI","2002-01-01",6525,0.6525
"ws135","231.656358264","h08v07","250m_16_days_NDVI","2002-01-17",6017,0.6017
"ws135","231.656358264","h08v07","250m_16_days_NDVI","2002-02-02",6316,0.6316
"ws135","231.656358264","h08v07","250m_16_days_NDVI","2002-02-18",6007,0.6007
"ws135","231.656358264","h08v07","250m_16_days_NDVI","2002-03-06",4871,0.4871
"ws135","231.656358264","h08v07","250m_16_days_NDVI","2002-03-22",5342,0.5342
"ws135","231.656358264","h08v07","250m_16_days_NDVI","2002-04-07",5989,0.5989
"ws135","231.656358264","h08v07","250m_16_days_NDVI","2002-04-23",5649,0.5649
"ws135","231.656358264","h08v07","250m_16_days_NDVI","2002-05-09",6401,0.6401
"ws135","231.656358264","h08v07","250m_16_days_NDVI","2002-05-25",6199,0.6199
"ws135","231.656358264","h08v07","250m_16_days_NDVI","2002-06-10",6727,0.6727
"ws135","231.656358264","h08v07","250m_16_days_NDVI","2002-06-26",6719,0.6719
"ws135","231.656358264","h08v07","250m_16_days_NDVI","2002-07-12",6846,0.6846
"ws135","231.656358264","h08v07","250m_16_days_NDVI","2002-07-28",7855,0.7855
"ws135","231.656358264","h08v07","250m_16_days_NDVI","2002-08-13",6844,0.6844
"ws135","231.656358264","h08v07","250m_16_days_NDVI","2002-08-29",8261,0.8261
"ws135","231.656358264","h08v07","250m_16_days_NDVI","2002-09-14",7693,0.7693
"ws135","231.656358264","h08v07","250m_16_days_NDVI","2002-09-30",7891,0.7891
"ws135","231.656358264","h08v07","250m_16_days_NDVI","2002-10-16",7559,0.7559
"ws135","231.656358264","h08v07","250m_16_days_NDVI","2002-11-01",7561,0.7561
"ws135","231.656358264","h08v07","250m_16_days_NDVI","2002-11-17",6923,0.6923
"ws135","231.656358264","h08v07","250m_16_days_NDVI","2002-12-03",6485,0.6485
"ws135","231.656358264","h08v07","250m_16_days_NDVI","2002-12-19",5912,0.5912
"ws135","231.656358264","h08v07","250m_16_days_NDVI","2003-01-01",5362,0.5362
"ws135","231.656358264","h08v07","250m_16_days_NDVI","2003-01-17",6011,0.6011
"ws135","231.656358264","h08v07","250m_16_days_NDVI","2003-02-02",5670,0.567
"ws135","231.656358264","h08v07","250m_16_days_NDVI","2003-02-18",5090,0.509
"ws135","231.656358264","h08v07","250m_16_days_NDVI","2003-03-06",4806,0.4806
"ws135","231.656358264","h08v07","250m_16_days_NDVI","2003-03-22",5198,0.5198
"ws135","231.656358264","h08v07","250m_16_days_NDVI","2003-04-07",5920,0.592
"ws135","231.656358264","h08v07","250m_16_days_NDVI","2003-04-23",6030,0.603
"ws135","231.656358264","h08v07","250m_16_days_NDVI","2003-05-09",6474,0.6474
"ws135","231.656358264","h08v07","250m_16_days_NDVI","2003-05-25",6508,0.6508
"ws135","231.656358264","h08v07","250m_16_days_NDVI","2003-06-10",3859,0.3859
"ws135","231.656358264","h08v07","250m_16_days_NDVI","2003-06-26",7734,0.7734
"ws135","231.656358264","h08v07","250m_16_days_NDVI","2003-07-12",7308,0.7308
"ws135","231.656358264","h08v07","250m_16_days_NDVI","2003-07-28",7744,0.7744
"ws135","231.656358264","h08v07","250m_16_days_NDVI","2003-08-13",8560,0.856
"ws135","231.656358264","h08v07","250m_16_days_NDVI","2003-08-29",8804,0.8804
"ws135","231.656358264","h08v07","250m_16_days_NDVI","2003-09-14",8316,0.8316
"ws135","231.656358264","h08v07","250m_16_days_NDVI","2003-09-30",7170,0.717
"ws135","231.656358264","h08v07","250m_16_days_NDVI","2003-10-16",7191,0.7191
"ws135","231.656358264","h08v07","250m_16_days_NDVI","2003-11-01",7280,0.728
"ws135","231.656358264","h08v07","250m_16_days_NDVI","2003-11-17",6898,0.6898
"ws135","231.656358264","h08v07","250m_16_days_NDVI","2003-12-03",6877,0.6877
"ws135","231.656358264","h08v07","250m_16_days_NDVI","2003-12-19",5978,0.5978
"ws135","231.656358264","h08v07","250m_16_days_NDVI","2004-01-01",6174,0.6174
"ws135","231.656358264","h08v07","250m_16_days_NDVI","2004-01-17",5426,0.5426
"ws135","231.656358264","h08v07","250m_16_days_NDVI","2004-02-02",6206,0.6206
"ws135","231.656358264","h08v07","250m_16_days_NDVI","2004-02-18",5621,0.5621
"ws135","231.656358264","h08v07","250m_16_days_NDVI","2004-03-05",5374,0.5374
"ws135","231.656358264","h08v07","250m_16_days_NDVI","2004-03-21",5128,0.5128
"ws135","231.656358264","h08v07","250m_16_days_NDVI","2004-04-06",5691,0.5691
"ws135","231.656358264","h08v07","250m_16_days_NDVI","2004-04-22",6372,0.6372
"ws135","231.656358264","h08v07","250m_16_days_NDVI","2004-05-08",6877,0.6877
"ws135","231.656358264","h08v07","250m_16_days_NDVI","2004-05-24",6782,0.6782
"ws135","231.656358264","h08v07","250m_16_days_NDVI","2004-06-09",7452,0.7452
"ws135","231.656358264","h08v07","250m_16_days_NDVI","2004-06-25",6676,0.6676
"ws135","231.656358264","h08v07","250m_16_days_NDVI","2004-07-11",7658,0.7658
"ws135","231.656358264","h08v07","250m_16_days_NDVI","2004-07-27",9058,0.9058
"ws135","231.656358264","h08v07","250m_16_days_NDVI","2004-08-12",7538,0.7538
