"site_name","cellsize","tile","band","calendar_date","value","ndvi"
"ws3","231.656358264","h08v07","250m_16_days_NDVI","2001-12-03",8384,0.8384
"ws3","231.656358264","h08v07","250m_16_days_NDVI","2001-12-19",8273,0.8273
"ws3","231.656358264","h08v07","250m_16_days_NDVI","2002-01-01",8250,0.825
"ws3","231.656358264","h08v07","250m_16_days_NDVI","2002-01-17",8518,0.8518
"ws3","231.656358264","h08v07","250m_16_days_NDVI","2002-02-02",8208,0.8208
"ws3","231.656358264","h08v07","250m_16_days_NDVI","2002-02-18",7928,0.7928
"ws3","231.656358264","h08v07","250m_16_days_NDVI","2002-03-06",8143,0.8143
"ws3","231.656358264","h08v07","250m_16_days_NDVI","2002-03-22",7354,0.7354
"ws3","231.656358264","h08v07","250m_16_days_NDVI","2002-04-07",7129,0.7129
"ws3","231.656358264","h08v07","250m_16_days_NDVI","2002-04-23",7760,0.776
"ws3","231.656358264","h08v07","250m_16_days_NDVI","2002-05-09",7680,0.768
"ws3","231.656358264","h08v07","250m_16_days_NDVI","2002-05-25",8318,0.8318
"ws3","231.656358264","h08v07","250m_16_days_NDVI","2002-06-10",7440,0.744
"ws3","231.656358264","h08v07","250m_16_days_NDVI","2002-06-26",3077,0.3077
"ws3","231.656358264","h08v07","250m_16_days_NDVI","2002-07-12",8522,0.8522
"ws3","231.656358264","h08v07","250m_16_days_NDVI","2002-07-28",8339,0.8339
"ws3","231.656358264","h08v07","250m_16_days_NDVI","2002-08-13",8252,0.8252
"ws3","231.656358264","h08v07","250m_16_days_NDVI","2002-08-29",4776,0.4776
"ws3","231.656358264","h08v07","250m_16_days_NDVI","2002-09-14",8600,0.86
"ws3","231.656358264","h08v07","250m_16_days_NDVI","2002-09-30",6893,0.6893
"ws3","231.656358264","h08v07","250m_16_days_NDVI","2002-10-16",8467,0.8467
"ws3","231.656358264","h08v07","250m_16_days_NDVI","2002-11-01",7901,0.7901
"ws3","231.656358264","h08v07","250m_16_days_NDVI","2002-11-17",8366,0.8366
"ws3","231.656358264","h08v07","250m_16_days_NDVI","2002-12-03",8477,0.8477
"ws3","231.656358264","h08v07","250m_16_days_NDVI","2002-12-19",8384,0.8384
"ws3","231.656358264","h08v07","250m_16_days_NDVI","2003-01-01",8560,0.856
"ws3","231.656358264","h08v07","250m_16_days_NDVI","2003-01-17",7571,0.7571
"ws3","231.656358264","h08v07","250m_16_days_NDVI","2003-02-02",7973,0.7973
"ws3","231.656358264","h08v07","250m_16_days_NDVI","2003-02-18",8148,0.8148
"ws3","231.656358264","h08v07","250m_16_days_NDVI","2003-03-06",8165,0.8165
"ws3","231.656358264","h08v07","250m_16_days_NDVI","2003-03-22",7900,0.79
"ws3","231.656358264","h08v07","250m_16_days_NDVI","2003-04-07",7523,0.7523
"ws3","231.656358264","h08v07","250m_16_days_NDVI","2003-04-23",7585,0.7585
"ws3","231.656358264","h08v07","250m_16_days_NDVI","2003-05-09",7951,0.7951
"ws3","231.656358264","h08v07","250m_16_days_NDVI","2003-05-25",7272,0.7272
"ws3","231.656358264","h08v07","250m_16_days_NDVI","2003-06-10",4133,0.4133
"ws3","231.656358264","h08v07","250m_16_days_NDVI","2003-06-26",7904,0.7904
"ws3","231.656358264","h08v07","250m_16_days_NDVI","2003-07-12",8737,0.8737
"ws3","231.656358264","h08v07","250m_16_days_NDVI","2003-07-28",5181,0.5181
"ws3","231.656358264","h08v07","250m_16_days_NDVI","2003-08-13",3765,0.3765
"ws3","231.656358264","h08v07","250m_16_days_NDVI","2003-08-29",7054,0.7054
"ws3","231.656358264","h08v07","250m_16_days_NDVI","2003-09-14",2736,0.2736
"ws3","231.656358264","h08v07","250m_16_days_NDVI","2003-09-30",3265,0.3265
"ws3","231.656358264","h08v07","250m_16_days_NDVI","2003-10-16",8311,0.8311
"ws3","231.656358264","h08v07","250m_16_days_NDVI","2003-11-01",8612,0.8612
"ws3","231.656358264","h08v07","250m_16_days_NDVI","2003-11-17",8193,0.8193
