"site_name","tile","calendar_date","ndvi","qa_value","re_value"
"ws57","h08v06",2001-12-03,0.4024,2116,0
"ws57","h08v06",2001-12-19,0.26,2116,0
"ws57","h08v06",2002-01-01,0.2687,2116,0
"ws57","h08v06",2002-01-17,0.2541,2116,0
"ws57","h08v06",2002-02-02,0.2736,2116,0
"ws57","h08v06",2002-02-18,0.245,2116,0
"ws57","h08v06",2002-03-06,0.4178,2116,0
"ws57","h08v06",2002-03-22,0.2487,2116,0
"ws57","h08v06",2002-04-07,0.327,2116,0
"ws57","h08v06",2002-04-23,0.4861,2120,1
"ws57","h08v06",2002-05-09,0.3493,2116,0
"ws57","h08v06",2002-05-25,0.2483,2116,0
"ws57","h08v06",2002-06-10,0.4588,2120,1
"ws57","h08v06",2002-06-26,0.298,2376,1
"ws57","h08v06",2002-07-12,0.6064,2120,0
"ws57","h08v06",2002-07-28,0.4369,2376,1
"ws57","h08v06",2002-08-13,0.7069,2116,0
"ws57","h08v06",2002-08-29,0.5764,2445,1
"ws57","h08v06",2002-09-14,0.608,2116,0
"ws57","h08v06",2002-09-30,0.4923,2116,0
"ws57","h08v06",2002-10-16,0.4599,2116,0
"ws57","h08v06",2002-11-01,0.4131,2116,0
"ws57","h08v06",2002-11-17,0.4389,2116,0
"ws57","h08v06",2002-12-03,0.3249,2116,0
"ws57","h08v06",2002-12-19,0.2652,2116,0
"ws57","h08v06",2003-01-01,0.3401,2116,0
"ws57","h08v06",2003-01-17,0.3161,2116,0
"ws57","h08v06",2003-02-02,0.3684,2116,0
"ws57","h08v06",2003-02-18,0.2925,2116,0
"ws57","h08v06",2003-03-06,0.4489,2116,0
"ws57","h08v06",2003-03-22,0.459,2120,0
"ws57","h08v06",2003-04-07,0.4437,2376,1
"ws57","h08v06",2003-04-23,0.5121,2120,1
"ws57","h08v06",2003-05-09,0.3187,2116,0
"ws57","h08v06",2003-05-25,0.3912,2376,1
"ws57","h08v06",2003-06-10,0.38,2120,0
"ws57","h08v06",2003-06-26,0.5792,2116,0
"ws57","h08v06",2003-07-12,0.6836,2120,0
"ws57","h08v06",2003-07-28,0.4464,2116,0
"ws57","h08v06",2003-08-13,0.4944,2380,1
"ws57","h08v06",2003-08-29,0.639,2120,0
"ws57","h08v06",2003-09-14,0.5978,2116,0
"ws57","h08v06",2003-09-30,0.5814,2116,0
"ws57","h08v06",2003-10-16,0.5258,2116,0
"ws57","h08v06",2003-11-01,0.4497,2116,0
"ws57","h08v06",2003-11-17,0.4584,2116,0
"ws57","h08v06",2003-12-03,0.3651,2116,0
"ws57","h08v06",2003-12-19,0.3087,2116,0
"ws57","h08v06",2004-01-01,0.357,2120,1
"ws57","h08v06",2004-01-17,0.3573,2116,0
"ws57","h08v06",2004-02-02,0.36,2116,0
"ws57","h08v06",2004-02-18,0.3588,2116,0
"ws57","h08v06",2004-03-05,0.2935,2116,0
"ws57","h08v06",2004-03-21,0.4351,2116,0
"ws57","h08v06",2004-04-06,0.5905,2120,0
"ws57","h08v06",2004-04-22,0.3269,2120,0
"ws57","h08v06",2004-05-08,0.4076,2120,0
"ws57","h08v06",2004-05-24,0.5178,2120,1
"ws57","h08v06",2004-06-09,0.372,2116,0
"ws57","h08v06",2004-06-25,0.4603,2116,0
"ws57","h08v06",2004-07-11,0.5485,2376,1
"ws57","h08v06",2004-07-27,0.6345,2116,0
"ws57","h08v06",2004-08-12,0.6398,2120,1
"ws57","h08v06",2004-08-28,0.6569,2116,0
"ws57","h08v06",2004-09-13,0.6325,2120,1
"ws57","h08v06",2004-09-29,0.5749,2116,0
"ws57","h08v06",2004-10-15,0.5017,2116,0
"ws57","h08v06",2004-10-31,0.3341,2116,0
"ws57","h08v06",2004-11-16,0.2787,2116,0
"ws57","h08v06",2004-12-02,0.376,2116,0
"ws57","h08v06",2004-12-18,0.3117,2116,0
"ws57","h08v06",2005-01-01,0.2236,2116,0
