"gbifID","eventDate","month","latitude","longitude","code"
986118215,"2/15/2012",2,19.572666,-100.21385,"ws1"
984125640,"3/3/2010",3,20.29,-103.18917,"ws2"
983124034,"2/8/2009",2,19.5321,-104.1414,"ws3"
980598276,"12/30/2003",12,19.065613,-99.9829,"ws4"
980585237,"12/28/2003",12,19.111717,-99.194824,"ws5"
980561623,"1/23/1994",1,19.53804,-103.60478,"ws6"
979870808,"12/25/1993",12,17.163157,-96.594894,"ws7"
978654877,"1/26/2011",1,19.531136,-103.6109,"ws8"
977735569,"3/12/2007",3,19.435963,-101.511444,"ws9"
977727485,"3/2/2007",3,18.992157,-99.07053,"ws10"
977724193,"3/17/2007",3,18.984657,-99.08063,"ws11"
977565899,"1/6/2007",1,18.98417,-99.08007,"ws12"
976676771,"3/11/1994",3,19.637552,-103.61916,"ws13"
976587736,"12/25/2002",12,18.885073,-99.59741,"ws14"
972456505,"2/22/2010",2,19.585932,-104.27139,"ws15"
972414727,"2/23/2010",2,19.600061,-104.299995,"ws16"
971900426,"1/11/2002",1,17.14797,-96.758224,"ws17"
971876418,"1/3/2004",1,19.613722,-103.567795,"ws18"
971872500,"1/4/2004",1,19.641796,-103.61832,"ws19"
971426534,"12/31/2006",12,15.117205,-92.132034,"ws20"
970963458,"11/30/1999",11,17.107317,-96.69572,"ws21"
966402598,"12/26/2001",12,17.174093,-96.60437,"ws22"
960019883,"11/13/1984",11,23.446255,-105.82359,"ws23"
945987488,"12/19/1987",12,19.043507,-100.035614,"ws24"
942114534,"11/23/1991",11,18.660559,-99.78418,"ws25"
942047468,"12/2/1991",12,19.68769,-104.39525,"ws26"
937018462,"12/30/2003",12,19.05396,-99.99579,"ws27"
896291938,"2/27/1953",2,19.35558,-101.671058,"ws28"
896290245,"3/10/1952",3,18.714682,-97.338439,"ws29"
896265350,"11/5/1941",11,19.676056,-100.89939,"ws30"
859240826,"1/25/2009",1,17.32615,-96.46533,"ws31"
844803905,"12/23/2012",12,19.513515,-101.64285,"ws32"
844797866,"11/11/2012",11,23.985643,-104.77459,"ws33"
844788689,"2/17/2012",2,19.083334,-99.2,"ws34"
844727048,"12/26/2012",12,22.151278,-102.28093,"ws35"
844711878,"1/6/2012",1,23.589775,-105.86927,"ws36"
844690242,"12/17/2012",12,20.377777,-105.04806,"ws37"
844613492,"11/2/2012",11,19.259253,-99.137764,"ws38"
844589405,"1/12/2012",1,19.58574,-104.27436,"ws39"
844576157,"3/24/2012",3,18.986,-98.92411,"ws40"
844573882,"2/16/2012",2,17.218313,-96.73836,"ws41"
844512748,"12/14/2012",12,20.779974,-104.83246,"ws42"
844506351,"3/28/2012",3,19.616045,-97.38228,"ws43"
